,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Aladdin,0.816683,17.233678,16.416995
1,1,1,1,Aladdin's Mother,4.583425,17.233678,12.650253
2,2,2,2,Genie,14.383621000000002,17.233678,2.850057
3,3,3,3,Aladdin,17.417015000000006,35.600712,18.183696999999995
4,4,4,4,Aladdin's Mother,17.550351000000006,35.600712,18.050360999999995
5,5,5,5,Sultan,19.300386000000003,35.600712,16.300326000000002
6,6,6,6,Fatima,19.300386000000003,35.600712,16.300326000000002
7,7,7,7,Genie,28.517237,35.600712,7.083475
8,8,8,8,Aladdin,35.66738,47.800956000000006,12.133576000000005
9,9,9,9,Sultan,35.717381,47.800956000000006,12.083575000000005
10,10,10,10,Fatima,38.26743200000001,47.800956000000006,9.533524
11,11,11,11,Genie,39.684127000000004,47.800956000000006,8.116829000000003
12,12,12,12,Aladdin's Mother,41.617499,47.800956000000006,6.183457000000002
