,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Prof. Hobby,2.0333740000000002,7.166810000000001,5.1334360000000006
1,1,1,1,Supernerd,2.116709,7.166810000000001,5.0501010000000015
2,2,2,2,Supernerd,2.116709,7.166810000000001,5.0501010000000015
3,3,3,3,Syatyoo-Sama,2.116709,7.166810000000001,5.0501010000000015
4,4,4,4,Supernerd,2.116709,7.166810000000001,5.0501010000000015
5,5,5,5,Supernerd,2.116709,7.166810000000001,5.0501010000000015
6,6,6,6,Female Colleague,2.16671,7.166810000000001,5.0001000000000015
7,7,7,7,Executive,2.16671,7.166810000000001,5.0001000000000015
8,8,8,8,Sheila,2.316713,7.166810000000001,4.850097000000001
9,9,9,9,Monica Swinton,7.3501470000000015,10.200204,2.8500569999999983
10,10,10,10,Henry Swinton,7.3501470000000015,10.200204,2.8500569999999983
11,11,11,11,Martin Swinton,7.783489,10.200204,2.416714999999999
12,12,12,12,Dr. Frazier at Cryogenic Institute,8.566838,10.200204,1.6333659999999988
13,13,13,13,Prof. Hobby,9.666860000000002,10.200204,0.5333439999999978
14,14,14,14,Supernerd,9.666860000000002,10.200204,0.5333439999999978
15,15,15,15,Female Colleague,9.666860000000002,10.200204,0.5333439999999978
16,16,16,16,Supernerd,9.683527000000002,10.200204,0.5166769999999978
17,17,17,17,Syatyoo-Sama,9.716861000000002,10.200204,0.4833429999999978
18,18,18,18,Monica Swinton,10.200204,18.517037,8.316832999999999
19,19,19,19,Henry Swinton,10.250205000000001,18.517037,8.266831999999997
20,20,20,20,David,10.600212,18.517037,7.916824999999998
21,21,21,21,David,18.517037,24.36715400000001,5.850117000000013
22,22,22,22,Monica Swinton,18.650373000000002,24.36715400000001,5.716781000000008
23,23,23,23,Henry Swinton,18.650373000000002,24.36715400000001,5.716781000000008
24,24,24,24,Monica Swinton,24.383821,28.683907,4.300086
25,25,25,25,Henry Swinton,24.53382400000001,28.683907,4.1500829999999915
26,26,26,26,David,24.850497,28.683907,3.8334100000000007
27,27,27,27,Teddy,27.517217,28.683907,1.166690000000003
28,28,28,28,Monica Swinton,28.700574000000003,30.350607000000004,1.6500330000000003
29,29,29,29,David,28.783909,30.350607000000004,1.5666980000000024
30,30,30,30,Henry Swinton,29.283919,30.350607000000004,1.0666880000000027
31,31,31,31,Teddy,29.733928000000002,30.350607000000004,0.6166790000000013
32,32,32,32,Martin Swinton,30.033934000000002,30.350607000000004,0.31667300000000154
33,33,33,33,Teddy,30.383941000000004,35.81738300000001,5.433442000000002
34,34,34,34,Martin Swinton,30.400608000000002,35.81738300000001,5.416775000000005
35,35,35,35,David,30.483943000000004,35.81738300000001,5.333440000000003
36,36,36,36,Monica Swinton,31.017287000000003,35.81738300000001,4.800096000000004
37,37,37,37,Martin Swinton,35.81738300000001,41.684167,5.8667839999999964
38,38,38,38,Henry Swinton,35.81738300000001,41.684167,5.8667839999999964
39,39,39,39,Monica Swinton,35.81738300000001,41.684167,5.8667839999999964
40,40,40,40,Teddy,35.81738300000001,41.684167,5.8667839999999964
41,41,41,41,David,35.81738300000001,41.684167,5.8667839999999964
42,42,42,42,Henry Swinton,41.684167,45.450909,3.7667420000000007
43,43,43,43,Monica Swinton,41.684167,45.450909,3.7667420000000007
44,44,44,44,Martin Swinton,42.467516,45.450909,2.9833929999999995
45,45,45,45,Kid,42.534184,45.450909,2.916725
