,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Tom Pearson,1.283359,3.4334020000000005,2.1500430000000006
1,1,1,1,Nina Pearson,1.4833630000000002,3.4334020000000005,1.9500390000000003
2,2,2,2,Stuart Pearson,1.5166970000000002,3.4334020000000005,1.9167050000000003
3,3,3,3,Bethany Pearson,1.9833730000000005,3.4334020000000005,1.450029
4,4,4,4,Ricky Dillman,2.133376,3.4334020000000005,1.3000260000000003
5,5,5,5,Hannah Pearson,2.350047,3.4334020000000005,1.0833550000000003
6,6,6,6,Tom Pearson,3.5167370000000004,4.966766000000002,1.4500290000000011
7,7,7,7,Hannah Pearson,3.5167370000000004,4.966766000000002,1.4500290000000011
8,8,8,8,Bethany Pearson,3.5334040000000004,4.966766000000002,1.4333620000000011
9,9,9,9,Stuart Pearson,3.700074,4.966766000000002,1.2666920000000017
10,10,10,10,Radio Announcer,4.133416,4.966766000000002,0.8333500000000011
11,11,11,11,Nina Pearson,4.250085,4.966766000000002,0.7166810000000012
12,12,12,12,Ricky Dillman,4.583425,4.966766000000002,0.3833410000000015
13,13,13,13,Stuart Pearson,5.1501030000000005,6.4001280000000005,1.250025
14,14,14,14,Nina Pearson,5.1501030000000005,6.4001280000000005,1.250025
15,15,15,15,Bethany Pearson,5.1834370000000005,6.4001280000000005,1.216691
16,16,16,16,Hannah Pearson,5.2334380000000005,6.4001280000000005,1.16669
17,17,17,17,Tom Pearson,5.2667720000000005,6.4001280000000005,1.133356
18,18,18,18,Uncle Nathan Pearson,6.4001280000000005,8.216830999999999,1.8167029999999984
19,19,19,19,Stuart Pearson,6.466796,8.216830999999999,1.7500349999999991
20,20,20,20,Hannah Pearson,6.466796,8.216830999999999,1.7500349999999991
21,21,21,21,Jake Pearson,6.50013,8.216830999999999,1.7167009999999987
22,22,22,22,Nana Rose Pearson,6.633466,8.216830999999999,1.5833649999999988
23,23,23,23,Art Pearson,6.916805000000001,8.216830999999999,1.3000259999999981
24,24,24,24,Lee Pearson,6.916805000000001,8.216830999999999,1.3000259999999981
25,25,25,25,Tom Pearson,7.2334780000000025,8.216830999999999,0.9833529999999966
26,26,26,26,Bethany Pearson,7.2501450000000025,8.216830999999999,0.9666859999999966
27,27,27,27,Tom Pearson,8.283499,9.066848,0.7833489999999994
28,28,28,28,Ricky Dillman,8.316833,9.066848,0.7500149999999994
29,29,29,29,Bethany Pearson,8.350166999999999,9.066848,0.7166810000000012
30,30,30,30,Stuart Pearson,9.066848,10.066868,1.0000199999999992
31,31,31,31,Ricky Dillman,9.083515,10.066868,0.9833529999999993
32,32,32,32,Bethany Pearson,9.100182,10.066868,0.9666859999999992
33,33,33,33,Nina Pearson,9.100182,10.066868,0.9666859999999992
34,34,34,34,Tom Pearson,9.100182,10.066868,0.9666859999999992
35,35,35,35,Jake Pearson,9.633526000000002,10.066868,0.4333419999999979
36,36,36,36,Jake Pearson,10.066868,12.383581,2.316713
37,37,37,37,Tom Pearson,10.066868,12.383581,2.316713
38,38,38,38,Bethany Pearson,10.700214,12.383581,1.6833669999999987
39,39,39,39,Ricky Dillman,10.700214,12.383581,1.6833669999999987
40,40,40,40,Bethany Pearson,12.416915,14.266952000000002,1.8500370000000024
41,41,41,41,Ricky Dillman,12.416915,14.266952000000002,1.8500370000000024
42,42,42,42,Stuart Pearson,12.450249000000001,14.266952000000002,1.8167030000000004
43,43,43,43,Nana Rose Pearson,12.616919000000001,14.266952000000002,1.6500330000000003
44,44,44,44,Uncle Nathan Pearson,12.616919000000001,14.266952000000002,1.6500330000000003
45,45,45,45,Tom Pearson,12.616919000000001,14.266952000000002,1.6500330000000003
46,46,46,46,Jake Pearson,12.616919000000001,14.266952000000002,1.6500330000000003
47,47,47,47,Ricky Dillman,14.266952000000002,16.166990000000002,1.9000380000000003
48,48,48,48,Tom Pearson,14.300286000000002,16.166990000000002,1.8667040000000004
49,49,49,49,Tom Pearson,16.166990000000002,19.800396000000006,3.633406000000005
50,50,50,50,Jake Pearson,16.633666,19.800396000000006,3.1667300000000047
51,51,51,51,Sparks,17.017007000000003,19.800396000000006,2.7833890000000028
52,52,52,52,Skip,17.217011000000007,19.800396000000006,2.583385
53,53,53,53,Tazer,17.233678,19.800396000000006,2.5667180000000047
54,54,54,54,Razor,17.50035,19.800396000000006,2.3000460000000054
55,55,55,55,Ricky Dillman,17.600351999999994,19.800396000000006,2.2000440000000125
56,56,56,56,Hannah Pearson,18.717041000000002,19.800396000000006,1.0833550000000045
57,57,57,57,Lee Pearson,18.733708,19.800396000000006,1.0666880000000063
58,58,58,58,Art Pearson,19.200384000000003,19.800396000000006,0.6000120000000031
59,59,59,59,Razor,19.800396000000006,21.317093000000003,1.5166969999999966
60,60,60,60,Skip,19.800396000000006,21.317093000000003,1.5166969999999966
