,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Female Voice in Porn Film,0.283339,0.3666740000000001,0.0833350000000001
1,1,1,1,Female Voice in Porn Film,0.3666740000000001,1.650033,1.283359
2,2,2,2,Jim Levenstein,0.46667600000000004,1.650033,1.183357
3,3,3,3,Male Voice in Porn Film,0.7500150000000001,1.650033,0.900018
4,4,4,4,Jim's Mom,0.850017,1.650033,0.8000160000000001
5,5,5,5,Jim's Dad,1.2333580000000002,1.650033,0.4166749999999999
6,6,6,6,Jim Levenstein,1.816703,2.866724,1.050021
7,7,7,7,Chris 'Oz' Ostreicher,1.883371,2.866724,0.983353
8,8,8,8,Kevin Myers,2.150043,2.866724,0.7166809999999999
9,9,9,9,Victoria 'Vicky' Lathum,2.200044,2.866724,0.6666799999999999
10,10,10,10,Jim Levenstein,2.9333920000000004,6.3501270000000005,3.416735
11,11,11,11,Chris 'Oz' Ostreicher,2.9333920000000004,6.3501270000000005,3.416735
12,12,12,12,Kevin Myers,3.0000600000000004,6.3501270000000005,3.350067
13,13,13,13,Jessica,3.1667300000000003,6.3501270000000005,3.1833970000000003
14,14,14,14,Victoria 'Vicky' Lathum,3.1667300000000003,6.3501270000000005,3.1833970000000003
15,15,15,15,Michelle Flaherty,3.366734,6.3501270000000005,2.9833930000000004
16,16,16,16,Paul Finch,3.983413000000001,6.3501270000000005,2.3667139999999995
17,17,17,17,Steve Stifler,4.466756,6.3501270000000005,1.8833710000000004
18,18,18,18,nt0439606,5.33344,6.3501270000000005,1.0166870000000001
19,19,19,19,Steve Stifler,6.3501270000000005,9.433522000000002,3.083395000000001
20,20,20,20,Nadia,6.583465,9.433522000000002,2.8500570000000014
21,21,21,21,Jessica,6.916805000000001,9.433522000000002,2.5167170000000008
22,22,22,22,Victoria 'Vicky' Lathum,6.916805000000001,9.433522000000002,2.5167170000000008
23,23,23,23,Chuck Sherman,7.033474000000001,9.433522000000002,2.400048000000001
24,24,24,24,Jim Levenstein,7.116809000000001,9.433522000000002,2.316713000000001
25,25,25,25,Kevin Myers,7.116809000000001,9.433522000000002,2.316713000000001
26,26,26,26,Party Guy,7.116809000000001,9.433522000000002,2.316713000000001
27,27,27,27,Michelle Flaherty,9.433522000000002,10.933552,1.5000299999999989
28,28,28,28,Steve Stifler,9.483523000000002,10.933552,1.4500289999999991
29,29,29,29,Party Guy,9.616859000000002,10.933552,1.316692999999999
30,30,30,30,Chris 'Oz' Ostreicher,9.83353,10.933552,1.100022000000001
31,31,31,31,College Girl,9.883531,10.933552,1.050021000000001
32,32,32,32,Victoria 'Vicky' Lathum,10.933552,14.733628,3.800075999999999
33,33,33,33,Kevin Myers,10.933552,14.733628,3.800075999999999
34,34,34,34,Chris 'Oz' Ostreicher,11.400228,14.733628,3.3334
35,35,35,35,Steve Stifler,11.400228,14.733628,3.3334
36,36,36,36,Jim Levenstein,11.416895,14.733628,3.316733
37,37,37,37,"Sarah, the Sophomore Chick",12.533584,14.733628,2.200044
38,38,38,38,Victoria 'Vicky' Lathum,14.733628,16.800335999999998,2.0667079999999984
39,39,39,39,Jessica,14.733628,16.800335999999998,2.0667079999999984
40,40,40,40,Steve Stifler,15.166970000000001,16.800335999999998,1.6333659999999968
41,41,41,41,Jim Levenstein,15.183637,16.800335999999998,1.6166989999999988
42,42,42,42,Enthusiastic Guy,15.183637,16.800335999999998,1.6166989999999988
43,43,43,43,Kevin Myers,15.250305,16.800335999999998,1.5500309999999968
44,44,44,44,Stifler's Mom,15.366974,16.800335999999998,1.4333619999999971
45,45,45,45,"Justin, 'MILF' Guy #1",15.466976,16.800335999999998,1.3333599999999972
46,46,46,46,"John, 'MILF' Guy #2",15.483643,16.800335999999998,1.3166929999999972
47,47,47,47,Chuck Sherman,15.750315000000002,16.800335999999998,1.0500209999999957
48,48,48,48,Jim Levenstein,16.850337000000003,19.883731,3.0333939999999977
49,49,49,49,Kevin Myers,16.883671000000003,19.883731,3.0000599999999977
50,50,50,50,Chris 'Oz' Ostreicher,16.917005000000003,19.883731,2.9667259999999978
51,51,51,51,Paul Finch,16.933672,19.883731,2.9500589999999995
52,52,52,52,Chuck Sherman,17.150343000000003,19.883731,2.7333879999999984
53,53,53,53,Kevin Myers,19.900398000000006,21.600432,1.7000339999999952
54,54,54,54,Jim Levenstein,19.917065,21.600432,1.6833670000000005
