,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Kang,1.16669,2.83339,1.6667
1,1,1,1,John,1.3166930000000001,2.83339,1.516697
2,2,2,2,Malcolm Turner,2.116709,2.83339,0.7166809999999999
3,3,3,3,John,2.850057,5.0667680000000015,2.216711000000001
4,4,4,4,Malcolm Turner,2.8833910000000005,5.0667680000000015,2.183377000000001
5,5,5,5,Lester Vesco,2.8833910000000005,5.0667680000000015,2.183377000000001
6,6,6,6,Cazwell,3.4334020000000005,5.0667680000000015,1.633366000000001
7,7,7,7,Sherry Pierce,3.6667400000000003,5.0667680000000015,1.4000280000000012
8,8,8,8,Anchorperson,3.6667400000000003,5.0667680000000015,1.4000280000000012
9,9,9,9,Trent Pierce,3.950079000000001,5.0667680000000015,1.1166890000000005
10,10,10,10,Lester Vesco,5.0667680000000015,6.3334600000000005,1.266691999999999
11,11,11,11,Malcolm Turner,5.2001040000000005,6.3334600000000005,1.133356
12,12,12,12,John,5.2001040000000005,6.3334600000000005,1.133356
13,13,13,13,Cazwell,5.2334380000000005,6.3334600000000005,1.1000219999999998
14,14,14,14,FBI Agent,5.2334380000000005,6.3334600000000005,1.1000219999999998
15,15,15,15,Sherry Pierce,5.533444,6.3334600000000005,0.8000160000000003
16,16,16,16,John,6.916805000000001,10.783549,3.866744
17,17,17,17,Malcolm Turner,6.933472000000001,10.783549,3.8500769999999997
18,18,18,18,Hattie Mae Pierce,6.950139000000001,10.783549,3.8334099999999998
19,19,19,19,Sadie,7.633486,10.783549,3.1500630000000003
20,20,20,20,Miss Patterson,7.666819999999999,10.783549,3.1167290000000016
21,21,21,21,Miss Other Patterson,7.666819999999999,10.783549,3.1167290000000016
22,22,22,22,Hattie Mae Pierce,10.783549,12.66692,1.8833709999999984
23,23,23,23,Malcolm Turner,10.900218,12.66692,1.7667019999999989
24,24,24,24,Cazwell,12.683587,13.650273000000002,0.9666860000000028
25,25,25,25,Lester Vesco,12.750255000000001,13.650273000000002,0.9000180000000011
26,26,26,26,Hattie Mae Pierce,13.650273000000002,16.933672,3.283399
27,27,27,27,John,13.650273000000002,16.933672,3.283399
28,28,28,28,Malcolm Turner,13.650273000000002,16.933672,3.283399
29,29,29,29,Sherry Pierce,15.066968,16.933672,1.8667040000000021
30,30,30,30,Trent Pierce,15.216971,16.933672,1.7167010000000025
31,31,31,31,Malcolm Turner,16.933672,18.300366,1.3666939999999992
32,32,32,32,Hattie Mae Pierce,16.983673000000003,18.300366,1.3166929999999972
33,33,33,33,John,17.017007000000003,18.300366,1.2833589999999973
34,34,34,34,Sadie,17.983693000000006,18.300366,0.31667299999999443
35,35,35,35,Sherry Pierce,18.317033,21.250425000000003,2.933392000000005
36,36,36,36,Trent Pierce,18.317033,21.250425000000003,2.933392000000005
37,37,37,37,Malcolm Turner,18.617039000000002,21.250425000000003,2.6333860000000016
38,38,38,38,John,18.617039000000002,21.250425000000003,2.6333860000000016
39,39,39,39,Sherry Pierce,21.300426,24.76716200000001,3.4667360000000085
40,40,40,40,Malcolm Turner,21.300426,24.76716200000001,3.4667360000000085
41,41,41,41,Trent Pierce,21.300426,24.76716200000001,3.4667360000000085
42,42,42,42,John,21.50043,24.76716200000001,3.266732000000008
43,43,43,43,Sadie,22.467116,24.76716200000001,2.3000460000000094
44,44,44,44,Malcolm Turner,24.76716200000001,27.16721,2.40004799999999
45,45,45,45,Sherry Pierce,24.817163,27.16721,2.350047
46,46,46,46,Trent Pierce,24.850497,27.16721,2.316713
47,47,47,47,John,25.067168,27.16721,2.100042000000002
48,48,48,48,Ben Rawley,25.600512,27.16721,1.5666980000000024
49,49,49,49,John,27.16721,28.600572000000003,1.4333620000000025
50,50,50,50,Malcolm Turner,27.200544,28.600572000000003,1.4000280000000025
51,51,51,51,Ben Rawley,27.200544,28.600572000000003,1.4000280000000025
52,52,52,52,Lester Vesco,28.650573,29.750595000000004,1.1000220000000027
53,53,53,53,Receptionist,28.783909,29.750595000000004,0.9666860000000028
54,54,54,54,Malcolm Turner,28.93391200000001,29.750595000000004,0.816682999999994
55,55,55,55,John,28.96724600000001,29.750595000000004,0.7833489999999941
56,56,56,56,Trent Pierce,29.417255000000004,29.750595000000004,0.3333399999999997
57,57,57,57,Malcolm Turner,29.750595000000004,34.884031,5.133435999999996
58,58,58,58,Sadie,29.900598,34.884031,4.983433000000002
59,59,59,59,Sherry Pierce,30.617279000000003,34.884031,4.266751999999997
60,60,60,60,Twila,31.00062,34.884031,3.883410999999999
61,61,61,61,Lena,31.017287000000003,34.884031,3.866743999999997
62,62,62,62,Ritha,31.41729500000001,34.884031,3.4667359999999903
63,63,63,63,John,31.75063500000001,34.884031,3.1333959999999905
64,64,64,64,Nolan,32.11730900000001,34.884031,2.7667219999999872
65,65,65,65,Lena,34.884031,36.934072,2.050041
66,66,66,66,Nolan,34.950699,36.934072,1.9833730000000005
67,67,67,67,Ritha,34.950699,36.934072,1.9833730000000005
68,68,68,68,Twila,34.950699,36.934072,1.9833730000000005
69,69,69,69,Sherry Pierce,35.034034000000005,36.934072,1.9000379999999952
70,70,70,70,Malcolm Turner,35.034034000000005,36.934072,1.9000379999999952
71,71,71,71,Malcolm Turner,36.984073,38.517437,1.5333639999999988
72,72,72,72,Sherry Pierce,37.717421,38.517437,0.8000159999999994
73,73,73,73,Malcolm Turner,38.517437,40.984153000000006,2.466716000000005
74,74,74,74,Sherry Pierce,38.517437,40.984153000000006,2.466716000000005
75,75,75,75,Trent Pierce,39.33412000000001,40.984153000000006,1.6500329999999934
76,76,76,76,John,39.950799,40.984153000000006,1.0333540000000028
77,77,77,77,John,40.984153000000006,43.18419700000001,2.2000440000000046
78,78,78,78,Malcolm Turner,41.000820000000004,43.18419700000001,2.1833770000000072
79,79,79,79,Sherry Pierce,41.134156,43.18419700000001,2.0500410000000144
80,80,80,80,Trent Pierce,41.16749,43.18419700000001,2.016707000000011
81,81,81,81,Ben Rawley,42.284179,43.18419700000001,0.90001800000001
82,82,82,82,Miss Patterson,42.85085700000001,43.18419700000001,0.3333399999999997
83,83,83,83,Miss Other Patterson,42.85085700000001,43.18419700000001,0.3333399999999997
84,84,84,84,Nolan,43.18419700000001,46.834270000000004,3.650072999999992
85,85,85,85,Malcolm Turner,43.217531,46.834270000000004,3.6167390000000026
86,86,86,86,Miss Patterson,43.217531,46.834270000000004,3.6167390000000026
87,87,87,87,Miss Other Patterson,43.217531,46.834270000000004,3.6167390000000026
88,88,88,88,Nolan's Volunteer,43.617539,46.834270000000004,3.216731000000003
89,89,89,89,Nolan's Volunteer,43.617539,46.834270000000004,3.216731000000003
90,90,90,90,Nolan's Volunteer,43.617539,46.834270000000004,3.216731000000003
91,91,91,91,Sherry Pierce,45.917585,46.834270000000004,0.9166850000000012
92,92,92,92,John,46.86760400000001,49.817663,2.950058999999996
93,93,93,93,Trent Pierce,47.20094400000001,49.817663,2.6167189999999962
94,94,94,94,Sherry Pierce,47.35094700000001,49.817663,2.4667159999999906
95,95,95,95,Malcolm Turner,47.95095900000001,49.817663,1.866703999999992
96,96,96,96,Malcolm Turner,49.817663,52.36771400000001,2.5500510000000034
97,97,97,97,Trent Pierce,49.83433,52.36771400000001,2.5333840000000047
98,98,98,98,Basketball Teen #2,49.91766500000001,52.36771400000001,2.4500490000000004
99,99,99,99,Basketball Teen #1,49.91766500000001,52.36771400000001,2.4500490000000004
100,100,100,100,Nolan,51.6677,52.36771400000001,0.700014000000003
101,101,101,101,Sherry Pierce,52.45104900000001,53.984413,1.5333639999999915
102,102,102,102,Malcolm Turner,52.467716,53.984413,1.5166970000000006
103,103,103,103,Malcolm Turner,53.984413,55.917785,1.9333719999999983
104,104,104,104,Trent Pierce,54.08441500000001,55.917785,1.8333699999999955
105,105,105,105,Sherry Pierce,54.134416,55.917785,1.7833690000000004
106,106,106,106,Sherry Pierce,55.95111900000001,58.484503000000004,2.533383999999991
107,107,107,107,Malcolm Turner,55.95111900000001,58.484503000000004,2.533383999999991
108,108,108,108,Trent Pierce,55.95111900000001,58.484503000000004,2.533383999999991
109,109,109,109,Jud,58.484503000000004,59.66786000000001,1.183357000000008
110,110,110,110,Lester Vesco,58.484503000000004,59.66786000000001,1.183357000000008
111,111,111,111,Trent Pierce,59.66786000000001,62.451249,2.783388999999985
112,112,112,112,Malcolm Turner,59.66786000000001,62.451249,2.783388999999985
113,113,113,113,Sherry Pierce,59.66786000000001,62.451249,2.783388999999985
114,114,114,114,Nolan,60.334540000000004,62.451249,2.116708999999993
115,115,115,115,John,60.534544,62.451249,1.9167050000000003
116,116,116,116,Sherry Pierce,62.50125000000001,66.33466,3.8334099999999856
117,117,117,117,Trent Pierce,62.88459100000001,66.33466,3.450068999999992
118,118,118,118,Lester Vesco,62.95125900000001,66.33466,3.383400999999992
119,119,119,119,Malcolm Turner,63.317933,66.33466,3.016727000000003
120,120,120,120,Malcolm Turner,66.36799400000001,67.901358,1.5333639999999915
121,121,121,121,John,66.551331,67.901358,1.3500269999999972
122,122,122,122,Trent Pierce,67.05134100000001,67.901358,0.850016999999994
123,123,123,123,Sherry Pierce,67.95135900000001,73.93481200000002,5.983453000000013
124,124,124,124,Malcolm Turner,67.95135900000001,73.93481200000002,5.983453000000013
125,125,125,125,Trent Pierce,67.95135900000001,73.93481200000002,5.983453000000013
126,126,126,126,Choir #2,68.00135999999999,73.93481200000002,5.933452000000031
127,127,127,127,Choir #1,68.00135999999999,73.93481200000002,5.933452000000031
128,128,128,128,Sadie,68.06802800000001,73.93481200000002,5.86678400000001
129,129,129,129,Miss Other Patterson,68.118029,73.93481200000002,5.816783000000013
130,130,130,130,Ben Rawley,68.118029,73.93481200000002,5.816783000000013
131,131,131,131,Reverend,68.23469800000001,73.93481200000002,5.7001140000000134
132,132,132,132,Twila,68.23469800000001,73.93481200000002,5.7001140000000134
133,133,133,133,Miss Patterson,68.301366,73.93481200000002,5.6334460000000215
134,134,134,134,Organist,68.401368,73.93481200000002,5.533444000000017
135,135,135,135,Ritha,68.51803699999999,73.93481200000002,5.41677500000003
136,136,136,136,Lena,68.51803699999999,73.93481200000002,5.41677500000003
137,137,137,137,Ben Rawley,73.93481200000002,75.16816999999998,1.2333579999999529
138,138,138,138,Malcolm Turner,73.93481200000002,75.16816999999998,1.2333579999999529
139,139,139,139,Sherry Pierce,73.93481200000002,75.16816999999998,1.2333579999999529
140,140,140,140,Trent Pierce,74.00148,75.16816999999998,1.1666899999999742
141,141,141,141,Ritha,74.41815500000001,75.16816999999998,0.7500149999999621
142,142,142,142,Miss Patterson,74.41815500000001,75.16816999999998,0.7500149999999621
143,143,143,143,Miss Other Patterson,74.41815500000001,75.16816999999998,0.7500149999999621
144,144,144,144,Lena,74.41815500000001,75.16816999999998,0.7500149999999621
145,145,145,145,Twila,74.41815500000001,75.16816999999998,0.7500149999999621
146,146,146,146,Nolan,74.43482200000003,75.16816999999998,0.7333479999999497
147,147,147,147,John,74.43482200000003,75.16816999999998,0.7333479999999497
148,148,148,148,Sherry Pierce,75.23483800000002,77.83489,2.6000519999999767
149,149,149,149,Miss Other Patterson,75.26817199999998,77.83489,2.566718000000023
150,150,150,150,Lena,75.26817199999998,77.83489,2.566718000000023
151,151,151,151,Malcolm Turner,75.33484000000001,77.83489,2.5000499999999874
152,152,152,152,Twila,75.38484100000002,77.83489,2.4500489999999786
153,153,153,153,Miss Patterson,75.451509,77.83489,2.383381
154,154,154,154,Ben Rawley,75.451509,77.83489,2.383381
155,155,155,155,Trent Pierce,75.984853,77.83489,1.8500370000000004
156,156,156,156,Police Officer,77.88489100000002,80.23493800000001,2.3500469999999893
157,157,157,157,Lester Vesco,77.90155800000002,80.23493800000001,2.3333799999999907
158,158,158,158,Sherry Pierce,78.13489600000003,80.23493800000001,2.100041999999988
159,159,159,159,Malcolm Turner,78.13489600000003,80.23493800000001,2.100041999999988
160,160,160,160,Hattie Mae Pierce,78.80157600000003,80.23493800000001,1.4333619999999885
161,161,161,161,Malcolm Turner,80.23493800000001,83.751675,3.516736999999992
162,162,162,162,Ben Rawley,80.351607,83.751675,3.4000680000000045
163,163,163,163,John,80.851617,83.751675,2.9000580000000014
164,164,164,164,Cab Driver,80.91828500000003,83.751675,2.83338999999998
165,165,165,165,Hattie Mae Pierce,80.91828500000003,83.751675,2.83338999999998
166,166,166,166,Trent Pierce,81.134956,83.751675,2.616719000000004
167,167,167,167,Sadie,81.23495799999998,83.751675,2.5167170000000283
168,168,168,168,Twila,81.65163299999998,83.751675,2.1000420000000304
169,169,169,169,Lena,81.6683,83.751675,2.083375000000004
170,170,170,170,Miss Other Patterson,82.51831700000002,83.751675,1.2333579999999813
171,171,171,171,Ritha,82.61831900000001,83.751675,1.133355999999992
172,172,172,172,Miss Patterson,82.66832000000002,83.751675,1.0833549999999832
173,173,173,173,Nolan,83.15166300000001,83.751675,0.6000119999999924
174,174,174,174,Hattie Mae Pierce,83.751675,85.45170900000002,1.7000340000000165
175,175,175,175,Sadie,83.785009,85.45170900000002,1.66670000000002
176,176,176,176,Ben Rawley,83.785009,85.45170900000002,1.66670000000002
