,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Nomak,0.683347,3.6500730000000003,2.9667260000000004
1,1,1,1,Blood Bank Nurse,1.066688,3.6500730000000003,2.5833850000000003
2,2,2,2,Reaper,1.616699,3.6500730000000003,2.0333740000000002
3,3,3,3,Reaper,2.083375,3.6500730000000003,1.566698
4,4,4,4,Blade,3.6500730000000003,5.0167670000000015,1.3666940000000012
5,5,5,5,Young Blade,3.883411,5.0167670000000015,1.1333560000000014
6,6,6,6,Whistler,4.233418,5.0167670000000015,0.7833490000000012
7,7,7,7,Rush,5.0167670000000015,8.716841,3.700073999999999
8,8,8,8,Blade,5.1167690000000015,8.716841,3.6000719999999986
9,9,9,9,Rush,9.050181,10.950219,1.9000380000000003
10,10,10,10,Blade,9.200184,10.950219,1.7500350000000005
11,11,11,11,Blade,10.950219,13.16693,2.216711
12,12,12,12,Whistler,11.066888,13.16693,2.100042
13,13,13,13,Scud,13.16693,14.766962,1.6000319999999988
14,14,14,14,Blade,13.250265,14.766962,1.5166969999999989
15,15,15,15,Whistler,13.516937,14.766962,1.250024999999999
16,16,16,16,Blade,14.766962,16.983673000000003,2.216711000000004
17,17,17,17,Scud,14.83363,16.983673000000003,2.150043000000004
18,18,18,18,Whistler,15.533644,16.983673000000003,1.4500290000000025
19,19,19,19,Whistler,16.983673000000003,19.883731,2.9000579999999982
20,20,20,20,Blade,16.983673000000003,19.883731,2.9000579999999982
21,21,21,21,Scud,17.817023000000006,19.883731,2.0667079999999958
22,22,22,22,Asad,19.883731,23.200464000000004,3.316733000000003
23,23,23,23,Nyssa,19.883731,23.200464000000004,3.316733000000003
24,24,24,24,Whistler,20.117069,23.200464000000004,3.083395000000003
25,25,25,25,Scud,20.267072,23.200464000000004,2.933392000000005
26,26,26,26,Blade,20.33374,23.200464000000004,2.866724000000005
27,27,27,27,Scud,23.300466000000004,25.050501,1.750034999999997
28,28,28,28,Nyssa,23.333800000000004,25.050501,1.7167009999999967
29,29,29,29,Blade,23.417135000000002,25.050501,1.6333659999999988
30,30,30,30,Whistler,24.250485,25.050501,0.8000159999999994
31,31,31,31,Asad,24.250485,25.050501,0.8000159999999994
32,32,32,32,Asad,25.050501,27.817223,2.7667219999999983
33,33,33,33,Nyssa,25.050501,27.817223,2.7667219999999983
34,34,34,34,Scud,25.050501,27.817223,2.7667219999999983
35,35,35,35,Whistler,25.050501,27.817223,2.7667219999999983
36,36,36,36,Blade,25.050501,27.817223,2.7667219999999983
