,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Jane,0.5500109999999999,3.7167410000000003,3.1667300000000003
1,1,1,1, Jane's Band,0.816683,3.7167410000000003,2.9000580000000005
2,2,2,2,Woman In Bar,0.9500190000000001,3.7167410000000003,2.766722
3,3,3,3,Cab Driver,2.9000580000000005,3.7167410000000003,0.8166829999999998
4,4,4,4,Jane,3.7167410000000003,4.466756,0.7500149999999999
5,5,5,5,Robin,4.466756,7.033474000000001,2.5667180000000007
6,6,6,6,Jane,4.466756,7.033474000000001,2.5667180000000007
7,7,7,7,Tow Truck Driver,5.750115,7.033474000000001,1.2833590000000008
8,8,8,8,Tow Truck Driver,5.750115,7.033474000000001,1.2833590000000008
9,9,9,9,Jane,7.033474000000001,8.750175,1.7167009999999996
10,10,10,10,Robin,7.566818,8.750175,1.1833570000000009
11,11,11,11,Jane,8.850177,10.200204,1.3500269999999992
12,12,12,12,Robin,8.850177,10.200204,1.3500269999999992
13,13,13,13,Elaine,9.300186,10.200204,0.9000179999999993
14,14,14,14,Tommy,9.300186,10.200204,0.9000179999999993
15,15,15,15,Young Robin,9.383521,10.200204,0.8166829999999994
16,16,16,16,Holly,10.233538000000001,13.266932,3.0333939999999995
17,17,17,17,Jane,10.233538000000001,13.266932,3.0333939999999995
18,18,18,18,Woman at Diner,10.416875,13.266932,2.8500570000000014
19,19,19,19,Robin,10.766882,13.266932,2.50005
20,20,20,20,Robin,13.266932,15.916985000000002,2.650053000000001
21,21,21,21,Jane,13.266932,15.916985000000002,2.650053000000001
22,22,22,22,Robin,16.083655,19.533724000000007,3.4500690000000063
23,23,23,23,Jane,16.400328000000002,19.533724000000007,3.1333960000000047
24,24,24,24,Holly,16.917005000000003,19.533724000000007,2.616719000000004
25,25,25,25,Nick,17.16701,19.533724000000007,2.3667140000000053
26,26,26,26,Robin,19.533724000000007,23.00046,3.4667359999999934
27,27,27,27,Jane,19.533724000000007,23.00046,3.4667359999999934
28,28,28,28,Holly,19.567058000000007,23.00046,3.4334019999999934
29,29,29,29,Nick,19.567058000000007,23.00046,3.4334019999999934
30,30,30,30,Robin,23.00046,25.067168,2.0667079999999984
31,31,31,31,Jane,23.00046,25.067168,2.0667079999999984
32,32,32,32,Holly,23.00046,25.067168,2.0667079999999984
33,33,33,33,Nick,23.650473,25.067168,1.4166949999999972
34,34,34,34,Holly,25.133836,27.683887,2.550051
35,35,35,35,Jane,25.133836,27.683887,2.550051
36,36,36,36,Robin,25.300506,27.683887,2.383381
37,37,37,37,Nick,27.633886000000004,27.683887,0.05000099999999463
38,38,38,38,Holly,27.900558000000004,30.317273000000004,2.416715
39,39,39,39,Robin,27.900558000000004,30.317273000000004,2.416715
40,40,40,40,Jane,27.917225,30.317273000000004,2.4000480000000053
41,41,41,41,Nick,28.783909,30.317273000000004,1.5333640000000024
42,42,42,42,Jane,30.317273000000004,33.534004,3.2167310000000002
43,43,43,43,Holly,30.317273000000004,33.534004,3.2167310000000002
44,44,44,44,Robin,30.817283000000003,33.534004,2.7167209999999997
45,45,45,45,Jane,33.56733800000001,35.600712,2.033373999999996
46,46,46,46,New Mexico Police,33.56733800000001,35.600712,2.033373999999996
47,47,47,47,New Mexico Police,33.56733800000001,35.600712,2.033373999999996
48,48,48,48,Holly,33.617339,35.600712,1.9833730000000005
49,49,49,49,Robin,33.717341000000005,35.600712,1.8833709999999968
50,50,50,50,Waitress,34.984033000000004,35.600712,0.6166789999999978
51,51,51,51,Holly,35.68404700000001,37.41741500000001,1.7333680000000058
52,52,52,52,Robin,35.68404700000001,37.41741500000001,1.7333680000000058
53,53,53,53,Jane,35.784049,37.41741500000001,1.6333660000000094
54,54,54,54,Elaine,36.567398,37.41741500000001,0.8500170000000153
55,55,55,55,Young Robin,36.567398,37.41741500000001,0.8500170000000153
56,56,56,56,Tommy,36.567398,37.41741500000001,0.8500170000000153
57,57,57,57,Holly,37.600752,40.850817000000006,3.2500650000000064
58,58,58,58,Jane,37.600752,40.850817000000006,3.2500650000000064
59,59,59,59,Robin,37.784089,40.850817000000006,3.066728000000005
60,60,60,60,Dr. Newbauer,38.050761,40.850817000000006,2.800056000000005
61,61,61,61,Jane,40.850817000000006,43.500870000000006,2.6500529999999998
62,62,62,62,Robin,40.900818,43.500870000000006,2.6000520000000047
63,63,63,63,Holly,43.650873,46.984273,3.3334000000000046
64,64,64,64,Robin,43.850877000000004,46.984273,3.1333959999999976
65,65,65,65,Indigo Girls' Band,44.55089100000001,46.984273,2.4333819999999946
66,66,66,66,Indigo Girls' Band,44.55089100000001,46.984273,2.4333819999999946
67,67,67,67,Indigo Girls' Band,44.55089100000001,46.984273,2.4333819999999946
68,68,68,68,Indigo Girls' Band,44.55089100000001,46.984273,2.4333819999999946
69,69,69,69,Indigo Girls' Band,44.55089100000001,46.984273,2.4333819999999946
70,70,70,70,Jane,44.61755900000001,46.984273,2.3667139999999947
71,71,71,71,Anna,44.75089500000001,46.984273,2.2333779999999948
72,72,72,72,Alex,44.867564,46.984273,2.116709
73,73,73,73,Pete,45.01756700000001,46.984273,1.9667059999999952
74,74,74,74,Carrie,45.01756700000001,46.984273,1.9667059999999952
75,75,75,75,Indigo Girls' Band,46.984273,50.251005000000006,3.2667320000000046
76,76,76,76,Indigo Girls' Band,47.034274,50.251005000000006,3.216731000000003
77,77,77,77,Indigo Girls' Band,47.034274,50.251005000000006,3.216731000000003
78,78,78,78,Indigo Girls' Band,47.034274,50.251005000000006,3.216731000000003
79,79,79,79,Indigo Girls' Band,47.034274,50.251005000000006,3.216731000000003
80,80,80,80,Robin,47.35094700000001,50.251005000000006,2.9000579999999943
81,81,81,81,Jane,47.41761500000001,50.251005000000006,2.8333899999999943
82,82,82,82,Alex,47.41761500000001,50.251005000000006,2.8333899999999943
83,83,83,83,Abe,48.217631,50.251005000000006,2.033374000000009
84,84,84,84,Holly,48.750975,50.251005000000006,1.5000300000000095
85,85,85,85,Robin,50.251005000000006,52.05104100000001,1.8000360000000055
86,86,86,86,Jane,50.26767200000001,52.05104100000001,1.7833690000000004
87,87,87,87,Alex,50.26767200000001,52.05104100000001,1.7833690000000004
88,88,88,88,Anna,50.684347,52.05104100000001,1.3666940000000096
89,89,89,89,Louise,50.951019,52.05104100000001,1.1000220000000098
90,90,90,90,Jane,52.067708,56.91780500000001,4.850097000000005
91,91,91,91,Robin,52.11770900000001,56.91780500000001,4.800095999999996
92,92,92,92,Jane,56.91780500000001,58.751175,1.8333699999999955
93,93,93,93,Robin,57.034474,58.751175,1.7167010000000005
94,94,94,94,Alex,58.751175,59.31785300000001,0.5666780000000031
95,95,95,95,Jane,58.751175,59.31785300000001,0.5666780000000031
96,96,96,96,Holly,59.551191,61.6679,2.116709
97,97,97,97,Abe,59.551191,61.6679,2.116709
98,98,98,98,Alex,60.067868000000004,61.6679,1.6000319999999988
99,99,99,99,Robin,60.23453800000001,61.6679,1.4333619999999954
100,100,100,100,Jane,61.25122500000001,61.6679,0.4166749999999908
101,101,101,101,Anna,61.25122500000001,61.6679,0.4166749999999908
102,102,102,102,Carrie,61.25122500000001,61.6679,0.4166749999999908
103,103,103,103,Abe,61.6679,64.00128000000001,2.3333800000000053
104,104,104,104,Holly,61.6679,64.00128000000001,2.3333800000000053
105,105,105,105,Robin,63.30126600000001,64.00128000000001,0.7000139999999959
106,106,106,106,Alex,63.30126600000001,64.00128000000001,0.7000139999999959
107,107,107,107,Alex,64.00128000000001,68.301366,4.300085999999993
108,108,108,108,Robin,64.00128000000001,68.301366,4.300085999999993
109,109,109,109,Robin,68.301366,70.66808,2.3667140000000018
110,110,110,110,Jane,68.418035,70.66808,2.250045
111,111,111,111,Anna,70.40140799999998,70.66808,0.2666720000000282
112,112,112,112,Carrie,70.40140799999998,70.66808,0.2666720000000282
113,113,113,113,Pete,70.53474399999998,70.66808,0.13333600000002832
114,114,114,114,Abe,70.66808,72.884791,2.216711000000004
115,115,115,115,Holly,70.66808,72.884791,2.216711000000004
116,116,116,116,Robin,71.70143399999998,72.884791,1.1833570000000293
117,117,117,117,Nick,72.784789,72.884791,0.10000200000000348
118,118,118,118,Elaine,72.884791,76.60153199999998,3.7167409999999705
119,119,119,119,Robin,72.884791,76.60153199999998,3.7167409999999705
120,120,120,120,Jerry,72.918125,76.60153199999998,3.6834069999999737
121,121,121,121,Holly,73.80147600000002,76.60153199999998,2.8000559999999552
122,122,122,122,Abe,73.80147600000002,76.60153199999998,2.8000559999999552
123,123,123,123,Elaine,76.60153199999998,79.33492000000003,2.733388000000048
124,124,124,124,Robin,76.618199,79.33492000000003,2.716721000000021
125,125,125,125,Holly,76.80153600000001,79.33492000000003,2.5333840000000123
126,126,126,126,Abe,76.80153600000001,79.33492000000003,2.5333840000000123
127,127,127,127,Tuscon Police,76.83487000000002,79.33492000000003,2.5000500000000017
128,128,128,128,Tuscon Police,76.83487000000002,79.33492000000003,2.5000500000000017
129,129,129,129,Jane,76.95153900000003,79.33492000000003,2.383381
130,130,130,130,Jerry,77.75155500000002,79.33492000000003,1.5833650000000006
131,131,131,131,Henry,79.38492099999998,83.43500200000003,4.0500810000000484
132,132,132,132,Jane,79.45158900000001,83.43500200000003,3.983413000000013
133,133,133,133,Abe,79.45158900000001,83.43500200000003,3.983413000000013
134,134,134,134,Holly,80.13493600000002,83.43500200000003,3.300066000000001
135,135,135,135,Nick,80.13493600000002,83.43500200000003,3.300066000000001
