,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Annie Walker,0.700014,4.783429000000001,4.0834150000000005
1,1,1,1,Ted,0.700014,4.783429000000001,4.0834150000000005
2,2,2,2,nt0137785,1.1833570000000002,4.783429000000001,3.6000720000000013
3,3,3,3,nt0137784,2.116709,4.783429000000001,2.6667200000000006
4,4,4,4,Old Woman in Car,4.366754,4.783429000000001,0.4166750000000006
5,5,5,5,Boot Camp Instructor,4.783429000000001,8.583505,3.800076
6,6,6,6,Lillian,4.916765000000002,8.583505,3.666739999999999
7,7,7,7,Annie Walker,4.916765000000002,8.583505,3.666739999999999
8,8,8,8,Annie Walker,8.633506,10.600212,1.9667060000000005
9,9,9,9,Jewelry Store Couple,8.633506,10.600212,1.9667060000000005
10,10,10,10,Oscar the Security Guard,8.666839999999999,10.600212,1.933372000000002
11,11,11,11,Jewelry Store Couple,8.666839999999999,10.600212,1.933372000000002
12,12,12,12,Don Cholodecki,8.900178,10.600212,1.7000340000000005
13,13,13,13,Kahlua,9.33352,10.600212,1.2666920000000008
14,14,14,14,Brynn,10.66688,12.200244,1.5333639999999988
15,15,15,15,Annie Walker,10.866884,12.200244,1.333359999999999
16,16,16,16,Gil,11.433562,12.200244,0.7666819999999994
17,17,17,17,Lillian,12.233578,14.433622000000002,2.200044000000002
18,18,18,18,Annie Walker,12.283579,14.433622000000002,2.150043000000002
19,19,19,19,Annie Walker,14.433622000000002,16.83367,2.400048
20,20,20,20,Annie's Mom,14.633626000000001,16.83367,2.200044
21,21,21,21,nt0654514,16.083655,16.83367,0.7500150000000012
22,22,22,22,Annie Walker,17.150343000000003,21.850437000000003,4.700094
23,23,23,23,Valet,17.317013000000006,21.850437000000003,4.5334239999999975
24,24,24,24,Lillian,17.767022,21.850437000000003,4.083415000000001
25,25,25,25,Rita,18.117029000000002,21.850437000000003,3.7334080000000007
26,26,26,26,Kevin,18.650373000000002,21.850437000000003,3.200064000000001
27,27,27,27,Becca,18.650373000000002,21.850437000000003,3.200064000000001
28,28,28,28,Annie's Mistaken Husband,19.100382000000003,21.850437000000003,2.750055
