,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Himself,0.383341,2.4500490000000004,2.066708
1,1,1,1,Himself,0.483343,2.4500490000000004,1.9667060000000005
2,2,2,2,Himself,0.8000160000000001,2.4500490000000004,1.6500330000000003
3,3,3,3,Himself,0.8666840000000001,2.4500490000000004,1.583365
4,4,4,4,Herself,0.9500190000000001,2.4500490000000004,1.5000300000000002
5,5,5,5,Himself,1.133356,2.4500490000000004,1.3166930000000003
6,6,6,6,Herself,1.133356,2.4500490000000004,1.3166930000000003
7,7,7,7,Himself,4.133416,12.916925,8.783509
8,8,8,8,Himself,4.366754,12.916925,8.550171
9,9,9,9,Himself,4.783429000000001,12.916925,8.133496000000001
10,10,10,10,Himself,6.3501270000000005,12.916925,6.566798
11,11,11,11,Herself,6.3834610000000005,12.916925,6.533464
12,12,12,12,nt0743272,9.600192000000002,12.916925,3.316733
13,13,13,13,nt0166043,10.683547,12.916925,2.233378
14,14,14,14,Himself,12.916925,16.050321,3.1333959999999994
15,15,15,15,Himself,13.233598,16.050321,2.816723
16,16,16,16,Himself,13.233598,16.050321,2.816723
17,17,17,17,Himself,13.816943000000002,16.050321,2.2333779999999983
18,18,18,18,Himself,14.466956,16.050321,1.5833650000000006
19,19,19,19,Himself,16.050321,18.133696,2.083375
20,20,20,20,Himself,16.316993,18.133696,1.8167030000000004
21,21,21,21,Himself,16.667,18.133696,1.4666959999999991
22,22,22,22,Herself,16.850337000000003,18.133696,1.2833589999999973
23,23,23,23,Himself,16.967006,18.133696,1.1666899999999991
24,24,24,24,Himself,18.16703,20.467076000000002,2.3000460000000023
25,25,25,25,Himself,18.16703,20.467076000000002,2.3000460000000023
26,26,26,26,Himself,18.16703,20.467076000000002,2.3000460000000023
27,27,27,27,Himself,18.983713,20.467076000000002,1.4833630000000009
28,28,28,28,Himself,19.250385,20.467076000000002,1.2166910000000009
29,29,29,29,Himself,19.983733,20.467076000000002,0.4833430000000014
30,30,30,30,Himself,20.467076000000002,23.300466000000004,2.8333900000000014
31,31,31,31,Himself,20.583745,23.300466000000004,2.716721000000004
32,32,32,32,Himself,20.583745,23.300466000000004,2.716721000000004
33,33,33,33,Himself,20.617079,23.300466000000004,2.683387000000004
34,34,34,34,Himself,20.867084,23.300466000000004,2.4333820000000053
35,35,35,35,Himself,22.517117000000002,23.300466000000004,0.7833490000000012
36,36,36,36,Himself,23.300466000000004,26.967206,3.6667399999999972
37,37,37,37,Himself,23.300466000000004,26.967206,3.6667399999999972
38,38,38,38,Himself,23.300466000000004,26.967206,3.6667399999999972
39,39,39,39,Himself,23.300466000000004,26.967206,3.6667399999999972
40,40,40,40,Himself,23.683807,26.967206,3.283399
41,41,41,41,Herself,24.73382800000001,26.967206,2.2333779999999908
42,42,42,42,nt0166061,25.250505000000004,26.967206,1.7167009999999967
43,43,43,43,nt0166062,25.550511000000004,26.967206,1.4166949999999972
44,44,44,44,Himself,27.11720900000001,32.400648000000004,5.283438999999994
45,45,45,45,Himself,27.16721,32.400648000000004,5.233438000000003
46,46,46,46,Himself,27.16721,32.400648000000004,5.233438000000003
47,47,47,47,Himself,29.650593000000004,32.400648000000004,2.750055
48,48,48,48,Herself,30.200604,32.400648000000004,2.2000440000000046
49,49,49,49,Himself,31.65063300000001,32.400648000000004,0.7500149999999941
50,50,50,50,Himself,31.933972000000004,32.400648000000004,0.4666759999999997
51,51,51,51,Himself,32.400648000000004,36.484063000000006,4.083415000000001
52,52,52,52,Himself,32.45064900000001,36.484063000000006,4.033413999999993
53,53,53,53,Himself,32.45064900000001,36.484063000000006,4.033413999999993
54,54,54,54,Herself,33.267332,36.484063000000006,3.216731000000003
55,55,55,55,Himself,33.900678000000006,36.484063000000006,2.583385
56,56,56,56,Himself,34.184017000000004,36.484063000000006,2.3000460000000023
57,57,57,57,Himself,34.884031,36.484063000000006,1.600032000000006
58,58,58,58,Himself,36.517397,38.450769,1.9333719999999983
59,59,59,59,Himself,36.517397,38.450769,1.9333719999999983
60,60,60,60,Himself,36.68406700000001,38.450769,1.766701999999988
61,61,61,61,Himself,36.717401,38.450769,1.7333679999999991
62,62,62,62,Himself,37.33408,38.450769,1.1166890000000012
63,63,63,63,Himself,38.450769,42.267512,3.8167430000000016
64,64,64,64,Himself,38.517437,42.267512,3.7500750000000025
65,65,65,65,Himself,38.584105,42.267512,3.6834070000000025
66,66,66,66,Himself,38.700774,42.267512,3.5667380000000013
67,67,67,67,Himself,38.934112000000006,42.267512,3.333399999999997
68,68,68,68,Himself,42.000840000000004,42.267512,0.2666719999999998
69,69,69,69,Himself,42.267512,47.634286,5.3667739999999995
70,70,70,70,Himself,42.267512,47.634286,5.3667739999999995
71,71,71,71,Himself,42.267512,47.634286,5.3667739999999995
72,72,72,72,Herself,44.61755900000001,47.634286,3.016726999999996
73,73,73,73,Himself,47.68428700000001,56.434462,8.750174999999992
74,74,74,74,Himself,47.68428700000001,56.434462,8.750174999999992
75,75,75,75,Himself,47.73428800000001,56.434462,8.700173999999997
76,76,76,76,Himself,47.73428800000001,56.434462,8.700173999999997
77,77,77,77,Himself,47.900958,56.434462,8.533503999999999
78,78,78,78,Himself,48.60097200000001,56.434462,7.8334899999999905
79,79,79,79,Herself,48.617639000000004,56.434462,7.8168229999999985
80,80,80,80,Himself,49.25098500000001,56.434462,7.183476999999996
81,81,81,81,Himself,51.56769800000001,56.434462,4.866763999999995
82,82,82,82,Himself,52.33438,56.434462,4.100082
83,83,83,83,Himself,56.451129,62.984593000000004,6.533464000000002
84,84,84,84,Himself,56.451129,62.984593000000004,6.533464000000002
85,85,85,85,Himself,56.451129,62.984593000000004,6.533464000000002
86,86,86,86,Himself,56.451129,62.984593000000004,6.533464000000002
87,87,87,87,Himself,57.034474,62.984593000000004,5.950119000000001
88,88,88,88,Himself,60.217871,62.984593000000004,2.766722000000001
89,89,89,89,Himself,62.80125600000001,62.984593000000004,0.18333699999999453
90,90,90,90,Himself,62.984593000000004,69.13471600000001,6.150123000000009
91,91,91,91,Himself,62.984593000000004,69.13471600000001,6.150123000000009
92,92,92,92,Himself,62.984593000000004,69.13471600000001,6.150123000000009
93,93,93,93,Himself,63.76794200000001,69.13471600000001,5.3667739999999995
94,94,94,94,Himself,65.70131400000001,69.13471600000001,3.4334020000000014
