,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Flint Lockwood,0.7666820000000001,2.216711,1.450029
1,1,1,1,nt0482542,0.8000160000000001,2.216711,1.416695
2,2,2,2,Young Flint,1.066688,2.216711,1.150023
3,3,3,3,Flint's Teacher,1.0833549999999998,2.216711,1.1333560000000005
4,4,4,4,nt0047762,1.2500250000000002,2.216711,0.966686
5,5,5,5,'Baby' Brent,1.5000300000000002,2.216711,0.7166809999999999
6,6,6,6,Tim Lockwood,1.9833730000000005,2.216711,0.2333379999999996
7,7,7,7,Fran Lockwood,1.9833730000000005,2.216711,0.2333379999999996
8,8,8,8,Young Flint,2.216711,3.316733,1.1000219999999998
9,9,9,9,Fran Lockwood,2.216711,3.316733,1.1000219999999998
10,10,10,10,nt0128944,2.6000520000000003,3.316733,0.7166809999999999
11,11,11,11,nt0047504,2.9833930000000004,3.316733,0.3333399999999997
12,12,12,12,Tim Lockwood,3.1500630000000003,3.316733,0.16666999999999987
13,13,13,13,Flint Lockwood,3.316733,3.883411,0.566678
14,14,14,14,Tim Lockwood,3.3334,3.883411,0.5500109999999999
15,15,15,15,Young Flint,3.3334,3.883411,0.5500109999999999
16,16,16,16,Steve,3.6500730000000003,3.883411,0.23333799999999985
17,17,17,17,Flint Lockwood,3.883411,4.650093,0.7666819999999999
18,18,18,18,Flint Lockwood,4.866764000000001,7.3168130000000025,2.4500490000000017
19,19,19,19,Steve,5.350107,7.3168130000000025,1.966706000000002
20,20,20,20,nt0481951,6.3167930000000005,7.3168130000000025,1.000020000000002
21,21,21,21,Flint Lockwood,7.3168130000000025,9.083515,1.7667019999999978
22,22,22,22,Cal Devereaux,7.3834810000000015,9.083515,1.7000339999999987
23,23,23,23,Tim Lockwood,7.6001520000000005,9.083515,1.4833629999999998
24,24,24,24,Fran Lockwood,7.6001520000000005,9.083515,1.4833629999999998
25,25,25,25,Young Flint,7.6001520000000005,9.083515,1.4833629999999998
26,26,26,26,nt0128936,8.200164000000001,9.083515,0.8833509999999993
27,27,27,27,Steve,8.300166,9.083515,0.7833489999999994
28,28,28,28,nt0140678,8.616839,9.083515,0.4666759999999997
29,29,29,29,Mayor Shelbourne,9.266852,11.016887,1.7500350000000005
30,30,30,30,nt0049464,9.350187,11.016887,1.6667000000000003
31,31,31,31,Flint Lockwood,9.500190000000002,11.016887,1.5166969999999989
32,32,32,32,'Baby' Brent,9.716861000000002,11.016887,1.300025999999999
33,33,33,33,Joe Towne,9.766862,11.016887,1.2500250000000008
34,34,34,34,Tim Lockwood,10.200204,11.016887,0.8166830000000012
35,35,35,35,nt0900238,10.200204,11.016887,0.8166830000000012
36,36,36,36,'Baby' Brent,11.016887,13.366934,2.350047
37,37,37,37,Mayor Shelbourne,11.016887,13.366934,2.350047
38,38,38,38,Tim Lockwood,11.150223,13.366934,2.216711
39,39,39,39,Steve,11.233558,13.366934,2.133376
40,40,40,40,Flint Lockwood,11.233558,13.366934,2.133376
41,41,41,41,Earl Devereaux,11.450229,13.366934,1.9167050000000003
42,42,42,42,Cal Devereaux,11.650233000000002,13.366934,1.7167009999999987
43,43,43,43,Manny,12.250245,13.366934,1.1166890000000012
44,44,44,44,Sam Sparks,12.250245,13.366934,1.1166890000000012
45,45,45,45,Weather News Network Producer,12.250245,13.366934,1.1166890000000012
46,46,46,46,nt0109646,12.866924000000001,13.366934,0.5000099999999996
47,47,47,47,nt0235477,12.950259,13.366934,0.4166749999999997
48,48,48,48,Patrick Patrickson,13.100262,13.366934,0.2666719999999998
49,49,49,49,Sam Sparks,13.366934,16.883671000000003,3.5167370000000027
50,50,50,50,Mayor Shelbourne,13.383601,16.883671000000003,3.5000700000000027
51,51,51,51,nt0049456,13.383601,16.883671000000003,3.5000700000000027
52,52,52,52,Flint Lockwood,13.450269,16.883671000000003,3.4334020000000027
53,53,53,53,'Baby' Brent,13.683607000000002,16.883671000000003,3.200064000000001
54,54,54,54,Manny,13.783609000000002,16.883671000000003,3.100062000000001
55,55,55,55,Steve,13.950279000000002,16.883671000000003,2.9333920000000013
56,56,56,56,Earl Devereaux,14.016947000000002,16.883671000000003,2.8667240000000014
57,57,57,57,nt0235492,14.016947000000002,16.883671000000003,2.8667240000000014
58,58,58,58,Cal Devereaux,14.083615000000002,16.883671000000003,2.800056000000001
59,59,59,59,Patrick Patrickson,15.016967000000001,16.883671000000003,1.8667040000000021
60,60,60,60,nt0284500,15.100302,16.883671000000003,1.7833690000000042
61,61,61,61,Tim Lockwood,15.150303,16.883671000000003,1.7333680000000042
62,62,62,62,nt0490200,16.050321,16.883671000000003,0.8333500000000029
63,63,63,63,Flint Lockwood,16.983673000000003,18.933712000000003,1.9500390000000003
64,64,64,64,Steve,17.017007000000003,18.933712000000003,1.9167050000000003
65,65,65,65,Sam Sparks,17.283679000000006,18.933712000000003,1.6500329999999968
66,66,66,66,nt0140670,17.850357000000006,18.933712000000003,1.0833549999999974
67,67,67,67,nt0135669,18.600372,18.933712000000003,0.3333400000000033
68,68,68,68,Flint Lockwood,18.933712000000003,21.91710500000001,2.9833930000000066
69,69,69,69,Sam Sparks,19.017047,21.91710500000001,2.9000580000000085
70,70,70,70,Steve,19.083715,21.91710500000001,2.8333900000000085
71,71,71,71,Mayor Shelbourne,19.133716000000003,21.91710500000001,2.7833890000000068
72,72,72,72,'Baby' Brent,19.150383,21.91710500000001,2.7667220000000095
73,73,73,73,Cal Devereaux,19.183717,21.91710500000001,2.7333880000000086
74,74,74,74,Joe Towne,19.200384000000003,21.91710500000001,2.7167210000000064
75,75,75,75,nt0900275,19.200384000000003,21.91710500000001,2.7167210000000064
76,76,76,76,Earl Devereaux,19.233718000000003,21.91710500000001,2.683387000000007
77,77,77,77,Tim Lockwood,20.650413,21.91710500000001,1.2666920000000097
78,78,78,78,Patrick Patrickson,20.783749,21.91710500000001,1.1333560000000098
79,79,79,79,Manny,21.100422000000002,21.91710500000001,0.8166830000000083
80,80,80,80,nt0620097,21.683767000000003,21.91710500000001,0.2333380000000069
81,81,81,81,Tim Lockwood,21.91710500000001,23.117129000000002,1.200023999999992
82,82,82,82,Flint Lockwood,21.933772,23.117129000000002,1.1833570000000009
83,83,83,83,Manny,22.100442,23.117129000000002,1.016687000000001
84,84,84,84,Sam Sparks,22.100442,23.117129000000002,1.016687000000001
85,85,85,85,nt0047515,22.83379,23.117129000000002,0.2833390000000016
86,86,86,86,Steve,22.883791,23.117129000000002,0.2333380000000033
87,87,87,87,Flint Lockwood,23.117129000000002,26.55053100000001,3.4334020000000085
88,88,88,88,Sam Sparks,23.117129000000002,26.55053100000001,3.4334020000000085
89,89,89,89,Manny,23.117129000000002,26.55053100000001,3.4334020000000085
90,90,90,90,Steve,23.117129000000002,26.55053100000001,3.4334020000000085
91,91,91,91,nt0103010,23.767142000000003,26.55053100000001,2.7833890000000068
92,92,92,92,nt0038058,24.817163,26.55053100000001,1.7333680000000091
93,93,93,93,nt0656466,25.750515000000004,26.55053100000001,0.8000160000000065
94,94,94,94,Sam Sparks,26.55053100000001,28.867244000000003,2.3167129999999934
