,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Debbie,0.3666740000000001,4.833430000000001,4.466756000000001
1,1,1,1,Ed Warren,0.4333420000000001,4.833430000000001,4.4000879999999984
2,2,2,2,Camilla,0.83335,4.833430000000001,4.0000800000000005
3,3,3,3,Rick,0.83335,4.833430000000001,4.0000800000000005
4,4,4,4,Lorraine Warren,0.8833510000000001,4.833430000000001,3.950079000000001
5,5,5,5,Ed Warren,4.883431000000002,6.3667940000000005,1.4833629999999989
6,6,6,6,Drew,4.933432000000002,6.3667940000000005,1.4333619999999991
7,7,7,7,Lorraine Warren,5.0001000000000015,6.3667940000000005,1.3666939999999992
8,8,8,8,Student #1,5.1167690000000015,6.3667940000000005,1.250024999999999
9,9,9,9,Student #2,5.1167690000000015,6.3667940000000005,1.250024999999999
10,10,10,10,April,6.3667940000000005,7.650152999999999,1.2833589999999981
11,11,11,11,Cindy,6.3667940000000005,7.650152999999999,1.2833589999999981
12,12,12,12,Andrea,6.3667940000000005,7.650152999999999,1.2833589999999981
13,13,13,13,Nancy,6.3667940000000005,7.650152999999999,1.2833589999999981
14,14,14,14,Christine,6.3667940000000005,7.650152999999999,1.2833589999999981
15,15,15,15,Carolyn Perron,6.583465,7.650152999999999,1.0666879999999983
16,16,16,16,Roger Perron,6.583465,7.650152999999999,1.0666879999999983
17,17,17,17,Sadie the Dog,7.3501470000000015,7.650152999999999,0.3000059999999971
18,18,18,18,Nancy,7.716821,8.916845,1.200024
19,19,19,19,Cindy,7.883491000000001,8.916845,1.0333539999999992
20,20,20,20,Andrea,7.900158000000001,8.916845,1.0166869999999992
21,21,21,21,Roger Perron,7.916825000000001,8.916845,1.0000199999999992
22,22,22,22,Christine,8.050161000000001,8.916845,0.8666839999999993
23,23,23,23,Carolyn Perron,8.066828000000001,8.916845,0.8500169999999994
24,24,24,24,April,8.316833,8.916845,0.6000119999999995
25,25,25,25,Cindy,8.916845,11.883571000000002,2.9667260000000013
26,26,26,26,Nancy,8.916845,11.883571000000002,2.9667260000000013
27,27,27,27,Christine,8.916845,11.883571000000002,2.9667260000000013
28,28,28,28,Roger Perron,9.016847,11.883571000000002,2.8667240000000014
29,29,29,29,April,9.200184,11.883571000000002,2.683387000000001
30,30,30,30,Carolyn Perron,9.433522000000002,11.883571000000002,2.4500490000000004
31,31,31,31,Andrea,10.250205000000001,11.883571000000002,1.6333660000000003
32,32,32,32,Sadie the Dog,11.883571000000002,12.716921000000001,0.8333499999999994
33,33,33,33,Carolyn Perron,11.933572000000002,12.716921000000001,0.7833489999999994
34,34,34,34,Roger Perron,11.933572000000002,12.716921000000001,0.7833489999999994
35,35,35,35,Carolyn Perron,12.716921000000001,16.066988000000002,3.350067000000001
36,36,36,36,Cindy,13.150263,16.066988000000002,2.9167250000000013
37,37,37,37,April,13.150263,16.066988000000002,2.9167250000000013
38,38,38,38,Christine,13.250265,16.066988000000002,2.8167230000000014
39,39,39,39,Nancy,13.283599,16.066988000000002,2.783389000000001
40,40,40,40,Andrea,13.366934,16.066988000000002,2.700054000000001
41,41,41,41,Roger Perron,14.050281000000002,16.066988000000002,2.016707
42,42,42,42,Sadie the Dog,15.900318000000002,16.066988000000002,0.16666999999999987
43,43,43,43,Ed Warren,16.116989,18.533704,2.416715
44,44,44,44,Reporter,16.183657,18.533704,2.350047
45,45,45,45,Judy Warren,18.033694,18.533704,0.5000099999999996
46,46,46,46,Georgiana,18.233698,18.533704,0.3000059999999998
47,47,47,47,Judy Warren,18.533704,19.400388000000003,0.8666840000000029
48,48,48,48,Lorraine Warren,18.533704,19.400388000000003,0.8666840000000029
49,49,49,49,Ed Warren,18.550371,19.400388000000003,0.8500170000000047
50,50,50,50,Christine,19.633726000000006,23.983813,4.350086999999995
51,51,51,51,Nancy,20.183737,23.983813,3.8000760000000007
52,52,52,52,Roger Perron,20.867084,23.983813,3.116729000000003
53,53,53,53,Andrea,22.850457000000002,23.983813,1.1333559999999991
54,54,54,54,Cindy,23.200464000000004,23.983813,0.7833489999999976
55,55,55,55,Carolyn Perron,23.983813,26.450529000000003,2.4667160000000017
56,56,56,56,Roger Perron,24.050481,26.450529000000003,2.4000480000000017
57,57,57,57,Christine,24.83383000000001,26.450529000000003,1.6166989999999934
58,58,58,58,Nancy,24.83383000000001,26.450529000000003,1.6166989999999934
59,59,59,59,Andrea,24.83383000000001,26.450529000000003,1.6166989999999934
60,60,60,60,Cindy,24.83383000000001,26.450529000000003,1.6166989999999934
61,61,61,61,April,25.050501,26.450529000000003,1.4000280000000025
62,62,62,62,April,26.450529000000003,28.583905,2.1333759999999984
63,63,63,63,Carolyn Perron,26.450529000000003,28.583905,2.1333759999999984
64,64,64,64,Roger Perron,28.600572000000003,33.684007,5.083434999999998
65,65,65,65,Carolyn Perron,28.667240000000003,33.684007,5.016766999999998
66,66,66,66,Christine,29.217251,33.684007,4.466756
67,67,67,67,Nancy,29.817263000000004,33.684007,3.866743999999997
68,68,68,68,Andrea,33.384001000000005,33.684007,0.3000059999999962
69,69,69,69,Cindy,33.384001000000005,33.684007,0.3000059999999962
70,70,70,70,April,33.384001000000005,33.684007,0.3000059999999962
71,71,71,71,Lorraine Warren,33.70067400000001,34.800696,1.1000219999999956
72,72,72,72,Judy Warren,33.750675,34.800696,1.050021000000001
73,73,73,73,Ed Warren,33.784009000000005,34.800696,1.0166869999999977
74,74,74,74,Lorraine Warren,34.800696,35.33404,0.5333439999999996
75,75,75,75,David,34.867364,35.33404,0.4666759999999997
76,76,76,76,Leah,34.867364,35.33404,0.4666759999999997
77,77,77,77,Ed Warren,34.950699,35.33404,0.3833410000000015
78,78,78,78,Carolyn Perron,35.400708,40.634146,5.233438
79,79,79,79,Cindy,36.267392,40.634146,4.366754
80,80,80,80,April,36.317393,40.634146,4.3167529999999985
81,81,81,81,Christine,36.467396,40.634146,4.16675
82,82,82,82,Nancy,36.467396,40.634146,4.16675
83,83,83,83,Andrea,36.917405,40.634146,3.716740999999999
84,84,84,84,Andrea,40.784149000000006,43.31753300000001,2.5333840000000047
85,85,85,85,Cindy,41.100822,43.31753300000001,2.2167110000000108
86,86,86,86,Roger Perron,42.66752,43.31753300000001,0.6500130000000084
87,87,87,87,Carolyn Perron,42.817523,43.31753300000001,0.5000100000000103
88,88,88,88,Christine,43.00086,43.31753300000001,0.31667300000000864
89,89,89,89,Nancy,43.00086,43.31753300000001,0.31667300000000864
90,90,90,90,April,43.00086,43.31753300000001,0.31667300000000864
91,91,91,91,Ed Warren,43.25086500000001,43.31753300000001,0.06666799999999995
92,92,92,92,Ed Warren,43.31753300000001,45.067568,1.7500349999999898
93,93,93,93,Lorraine Warren,43.434202000000006,45.067568,1.6333659999999952
94,94,94,94,Maurice,43.434202000000006,45.067568,1.6333659999999952
95,95,95,95,Drew,43.434202000000006,45.067568,1.6333659999999952
96,96,96,96,Catholic Priest,43.434202000000006,45.067568,1.6333659999999952
97,97,97,97,Female Student,44.117549,45.067568,0.9500190000000046
98,98,98,98,Carolyn Perron,44.66756,45.067568,0.4000079999999997
99,99,99,99,Herself,44.66756,45.067568,0.4000079999999997
100,100,100,100,Drew,45.067568,45.750915000000006,0.6833470000000048
101,101,101,101,Ed Warren,45.067568,45.750915000000006,0.6833470000000048
102,102,102,102,Lorraine Warren,45.067568,45.750915000000006,0.6833470000000048
103,103,103,103,Carolyn Perron,45.067568,45.750915000000006,0.6833470000000048
104,104,104,104,Lorraine Warren,45.817583000000006,48.86764400000001,3.0500610000000066
105,105,105,105,Ed Warren,45.817583000000006,48.86764400000001,3.0500610000000066
106,106,106,106,Christine,46.034254,48.86764400000001,2.833390000000016
107,107,107,107,Andrea,46.034254,48.86764400000001,2.833390000000016
108,108,108,108,Cindy,46.034254,48.86764400000001,2.833390000000016
109,109,109,109,April,46.034254,48.86764400000001,2.833390000000016
110,110,110,110,Carolyn Perron,46.050921,48.86764400000001,2.8167230000000103
111,111,111,111,Roger Perron,46.250925,48.86764400000001,2.6167190000000105
112,112,112,112,Nancy,46.50093,48.86764400000001,2.366714000000016
113,113,113,113,Ed Warren,48.86764400000001,51.067688000000004,2.2000439999999912
114,114,114,114,Roger Perron,48.86764400000001,51.067688000000004,2.2000439999999912
115,115,115,115,Carolyn Perron,48.86764400000001,51.067688000000004,2.2000439999999912
116,116,116,116,Lorraine Warren,49.767662,51.067688000000004,1.3000260000000026
117,117,117,117,April,49.767662,51.067688000000004,1.3000260000000026
118,118,118,118,Rory,50.801016,51.067688000000004,0.2666720000000069
119,119,119,119,Lorraine Warren,51.067688000000004,52.11770900000001,1.050021000000008
120,120,120,120,Ed Warren,51.43436200000001,52.11770900000001,0.6833470000000048
121,121,121,121,Ed Warren,52.11770900000001,54.00108,1.8833709999999897
122,122,122,122,Roger Perron,52.11770900000001,54.00108,1.8833709999999897
123,123,123,123,Lorraine Warren,52.11770900000001,54.00108,1.8833709999999897
124,124,124,124,Carolyn Perron,52.11770900000001,54.00108,1.8833709999999897
125,125,125,125,Christine,53.117729000000004,54.00108,0.8833509999999976
126,126,126,126,Nancy,53.117729000000004,54.00108,0.8833509999999976
127,127,127,127,Andrea,53.117729000000004,54.00108,0.8833509999999976
128,128,128,128,Cindy,53.117729000000004,54.00108,0.8833509999999976
129,129,129,129,April,53.117729000000004,54.00108,0.8833509999999976
130,130,130,130,Roger Perron,54.00108,54.46775600000001,0.4666760000000068
131,131,131,131,Ed Warren,54.01774700000001,54.46775600000001,0.45000900000000144
132,132,132,132,Carolyn Perron,54.051081,54.46775600000001,0.416675000000005
133,133,133,133,Lorraine Warren,54.051081,54.46775600000001,0.416675000000005
134,134,134,134,Lorraine Warren,54.46775600000001,57.50115,3.0333939999999933
135,135,135,135,Judy Warren,54.50109000000001,57.50115,3.0000599999999906
136,136,136,136,Ed Warren,54.93443200000001,57.50115,2.5667179999999945
137,137,137,137,Mrs. Walker,56.46779600000001,57.50115,1.0333539999999957
138,138,138,138,Rory,56.46779600000001,57.50115,1.0333539999999957
139,139,139,139,Lorraine Warren,57.58448500000001,59.63452600000001,2.050041
140,140,140,140,Ed Warren,57.58448500000001,59.63452600000001,2.050041
141,141,141,141,Drew,57.58448500000001,59.63452600000001,2.050041
142,142,142,142,Brad,57.80115600000001,59.63452600000001,1.8333699999999955
143,143,143,143,Roger Perron,58.234498,59.63452600000001,1.400028000000006
144,144,144,144,Carolyn Perron,59.63452600000001,60.76788200000001,1.1333559999999991
145,145,145,145,Lorraine Warren,59.66786000000001,60.76788200000001,1.1000219999999956
146,146,146,146,Roger Perron,59.867864000000004,60.76788200000001,0.9000180000000029
147,147,147,147,Nancy,59.867864000000004,60.76788200000001,0.9000180000000029
148,148,148,148,Andrea,59.867864000000004,60.76788200000001,0.9000180000000029
149,149,149,149,Cindy,59.867864000000004,60.76788200000001,0.9000180000000029
150,150,150,150,April,59.867864000000004,60.76788200000001,0.9000180000000029
151,151,151,151,Drew,60.76788200000001,61.6679,0.9000179999999958
152,152,152,152,Andrea,60.78454900000001,61.6679,0.8833509999999904
153,153,153,153,Ed Warren,61.21789100000001,61.6679,0.4500089999999943
154,154,154,154,Carolyn Perron,61.41789500000001,61.6679,0.2500049999999945
155,155,155,155,Lorraine Warren,61.41789500000001,61.6679,0.2500049999999945
156,156,156,156,Roger Perron,61.41789500000001,61.6679,0.2500049999999945
157,157,157,157,Brad,61.50123000000001,61.6679,0.16666999999999632
158,158,158,158,Drew,61.6679,63.08459500000001,1.4166950000000045
159,159,159,159,Ed Warren,61.70123400000001,63.08459500000001,1.3833610000000007
160,160,160,160,Roger Perron,62.134576,63.08459500000001,0.9500190000000046
161,161,161,161,Brad,62.55125100000001,63.08459500000001,0.5333439999999996
162,162,162,162,Brad,63.08459500000001,65.18463700000001,2.100042000000002
163,163,163,163,Lorraine Warren,63.10126200000001,65.18463700000001,2.0833749999999966
164,164,164,164,Ed Warren,63.10126200000001,65.18463700000001,2.0833749999999966
165,165,165,165,Carolyn Perron,64.984633,65.18463700000001,0.20000400000000693
166,166,166,166,Drew,64.984633,65.18463700000001,0.20000400000000693
167,167,167,167,Roger Perron,65.05130100000001,65.18463700000001,0.1333359999999999
168,168,168,168,Drew,65.18463700000001,65.651313,0.4666759999999925
169,169,169,169,Brad,65.18463700000001,65.651313,0.4666759999999925
170,170,170,170,Lorraine Warren,65.55131100000001,65.651313,0.10000199999998928
171,171,171,171,Ed Warren,65.55131100000001,65.651313,0.10000199999998928
172,172,172,172,Cindy,65.651313,66.201324,0.5500109999999978
173,173,173,173,Nancy,65.651313,66.201324,0.5500109999999978
174,174,174,174,Christine,65.651313,66.201324,0.5500109999999978
175,175,175,175,Roger Perron,65.651313,66.201324,0.5500109999999978
176,176,176,176,Carolyn Perron,65.68464700000001,66.201324,0.5166769999999872
177,177,177,177,Brad,65.68464700000001,66.201324,0.5166769999999872
178,178,178,178,Andrea,65.68464700000001,66.201324,0.5166769999999872
179,179,179,179,Drew,65.68464700000001,66.201324,0.5166769999999872
180,180,180,180,Lorraine Warren,65.73464799999999,66.201324,0.4666760000000068
