,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Kwame,0.7333480000000001,7.100142000000001,6.3667940000000005
1,1,1,1,Ruhengeri,0.8833510000000001,7.100142000000001,6.2167910000000015
2,2,2,2,Trent Slater,2.750055,7.100142000000001,4.350087
3,3,3,3,Misty Calhoun,9.383521,19.733728000000006,10.350207000000006
4,4,4,4,Lovestruck Student,9.433522000000002,19.733728000000006,10.300206000000003
5,5,5,5,Admiring Student,9.433522000000002,19.733728000000006,10.300206000000003
6,6,6,6,Craig Burns,10.66688,19.733728000000006,9.066848000000006
7,7,7,7,Trent Slater,11.050221,19.733728000000006,8.683507000000006
8,8,8,8,Mike Shutello,11.416895,19.733728000000006,8.316833000000006
9,9,9,9,Aaron Ellroy,14.050281000000002,19.733728000000006,5.683447000000005
10,10,10,10,Leslie Kim,16.433661999999998,19.733728000000006,3.300066000000008
11,11,11,11,Daniel Kim,16.433661999999998,19.733728000000006,3.300066000000008
12,12,12,12,Trent Slater,20.350407,38.784109,18.433702
13,13,13,13,Mike Shutello,20.483743,38.784109,18.300366
14,14,14,14,Misty Calhoun,20.583745,38.784109,18.200364
15,15,15,15,Craig Burns,20.583745,38.784109,18.200364
16,16,16,16,Leslie Kim,20.583745,38.784109,18.200364
17,17,17,17,Daniel Kim,20.583745,38.784109,18.200364
18,18,18,18,Carl Durant,21.550431000000003,38.784109,17.233677999999998
19,19,19,19,Aaron Ellroy,21.550431000000003,38.784109,17.233677999999998
20,20,20,20,Josh Hooper,33.684007,38.784109,5.100102
21,21,21,21,Trent Slater,38.884111,58.91784500000001,20.033734000000013
22,22,22,22,Carl Durant,38.950779,58.91784500000001,19.967066000000013
23,23,23,23,Leslie Kim,38.950779,58.91784500000001,19.967066000000013
24,24,24,24,Daniel Kim,38.950779,58.91784500000001,19.967066000000013
25,25,25,25,Misty Calhoun,39.117449,58.91784500000001,19.800396000000006
26,26,26,26,Josh Hooper,39.117449,58.91784500000001,19.800396000000006
27,27,27,27,Aaron Ellroy,41.200824,58.91784500000001,17.717021000000013
28,28,28,28,Mike Shutello,41.234158,58.91784500000001,17.683687000000006
29,29,29,29,Craig Burns,44.61755900000001,58.91784500000001,14.300285999999998
30,30,30,30,Carl Durant,58.951179,73.868144,14.916964999999998
31,31,31,31,Daniel Kim,59.151183,73.868144,14.716960999999998
32,32,32,32,Josh Hooper,59.30118600000001,73.868144,14.566957999999993
33,33,33,33,Aaron Ellroy,59.30118600000001,73.868144,14.566957999999993
34,34,34,34,Leslie Kim,59.934532,73.868144,13.933612000000005
35,35,35,35,Misty Calhoun,62.101242000000006,73.868144,11.766901999999995
36,36,36,36,Trent Slater,62.184577000000004,73.868144,11.683566999999995
37,37,37,37,Trent Slater,73.868144,90.83515,16.967005999999998
38,38,38,38,Misty Calhoun,74.01814700000001,90.83515,16.817002999999982
39,39,39,39,Carl Durant,74.801496,90.83515,16.033654000000002
40,40,40,40,Aaron Ellroy,75.984853,90.83515,14.850296999999998
41,41,41,41,Daniel Kim,76.384861,90.83515,14.450288999999998
42,42,42,42,Teenage Boy,90.33514,90.83515,0.5000100000000032
43,43,43,43,Teenage Girl,90.33514,90.83515,0.5000100000000032
