,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Arctic Lab Guard,1.9000380000000001,3.6667400000000003,1.7667020000000002
1,1,1,1,Silas,3.5167370000000004,3.6667400000000003,0.1500029999999999
2,2,2,2,Lucy,3.616739,3.6667400000000003,0.050001000000000406
3,3,3,3,Gru,3.6667400000000003,8.366833999999999,4.700093999999998
4,4,4,4,Agnes,4.0000800000000005,8.366833999999999,4.3667539999999985
5,5,5,5,Edith,4.116749,8.366833999999999,4.250084999999999
6,6,6,6,Jillian,4.366754,8.366833999999999,4.000079999999999
7,7,7,7,Margo,4.716761000000001,8.366833999999999,3.650072999999998
8,8,8,8,Stuart the Minion,4.833430000000001,8.366833999999999,3.533403999999998
9,9,9,9,Gru,8.400167999999999,16.733667999999998,8.333499999999999
10,10,10,10,Lucy,8.750175,16.733667999999998,7.9834929999999975
11,11,11,11,Stuart the Minion,9.750195,16.733667999999998,6.983472999999997
12,12,12,12,Silas,12.916925,16.733667999999998,3.816742999999997
13,13,13,13,Agnes,16.733667999999998,18.750375,2.016707
14,14,14,14,Gru,16.733667999999998,18.750375,2.016707
15,15,15,15,Margo,16.783669000000003,18.750375,1.9667059999999952
16,16,16,16,Edith,16.783669000000003,18.750375,1.9667059999999952
17,17,17,17,Gru,18.750375,22.883791,4.133416
18,18,18,18,Dr. Nefario,19.950399,22.883791,2.9333919999999982
19,19,19,19,Stuart the Minion,23.333800000000004,23.567138000000003,0.23333799999999985
20,20,20,20,Edith,23.567138000000003,24.900498000000002,1.333359999999999
21,21,21,21,Margo,23.583805,24.900498000000002,1.3166930000000008
22,22,22,22,Agnes,23.600472000000003,24.900498000000002,1.300025999999999
23,23,23,23,Gru,23.700474000000003,24.900498000000002,1.2000239999999989
24,24,24,24,Kevin the Minion,24.817163,24.900498000000002,0.08333500000000171
25,25,25,25,Gru,25.0005,28.000560000000004,3.000060000000005
26,26,26,26,Kevin the Minion,25.017167,28.000560000000004,2.983393000000003
27,27,27,27,Lucy,25.83385,28.000560000000004,2.166710000000002
28,28,28,28,Gru,28.067228000000004,31.133956,3.0667279999999977
29,29,29,29,Lucy,28.100562000000004,31.133956,3.0333939999999977
30,30,30,30,Eduardo,28.400568000000003,31.133956,2.7333879999999984
31,31,31,31,El Macho,29.40058800000001,31.133956,1.7333679999999916
32,32,32,32,Edith,31.133956,33.617339,2.4833830000000003
33,33,33,33,Agnes,31.133956,33.617339,2.4833830000000003
34,34,34,34,Gru,31.133956,33.617339,2.4833830000000003
35,35,35,35,Margo,31.16729,33.617339,2.4500490000000004
36,36,36,36,Kevin the Minion,33.183997000000005,33.617339,0.4333419999999961
37,37,37,37,Stuart the Minion,33.183997000000005,33.617339,0.4333419999999961
38,38,38,38,Margo,33.66734,34.967366000000005,1.3000260000000026
39,39,39,39,Kevin the Minion,33.66734,34.967366000000005,1.3000260000000026
40,40,40,40,Agnes,33.66734,34.967366000000005,1.3000260000000026
41,41,41,41,Edith,33.66734,34.967366000000005,1.3000260000000026
42,42,42,42,Stuart the Minion,34.967366000000005,40.017467,5.050100999999998
43,43,43,43,Gru,35.23403800000001,40.017467,4.783428999999991
44,44,44,44,Lucy,35.30070600000001,40.017467,4.716760999999991
45,45,45,45,Eduardo,37.517417,40.017467,2.5000500000000017
46,46,46,46,Gru,41.134156,46.73426800000001,5.60011200000001
47,47,47,47,Lucy,41.134156,46.73426800000001,5.60011200000001
48,48,48,48,Floyd,41.200824,46.73426800000001,5.533444000000008
49,49,49,49,Margo,41.78416900000001,46.73426800000001,4.9500989999999945
50,50,50,50,Agnes,41.817503,46.73426800000001,4.916765000000005
51,51,51,51,Edith,41.817503,46.73426800000001,4.916765000000005
52,52,52,52,Antonio,43.500870000000006,46.73426800000001,3.233398000000001
53,53,53,53,Edith,46.73426800000001,49.284319,2.5500509999999963
54,54,54,54,Agnes,46.73426800000001,49.284319,2.5500509999999963
55,55,55,55,Gru,46.73426800000001,49.284319,2.5500509999999963
56,56,56,56,Margo,46.784269,49.284319,2.5000500000000017
57,57,57,57,Antonio,46.81760300000001,49.284319,2.4667159999999906
58,58,58,58,Eduardo,47.300946,49.284319,1.9833730000000005
59,59,59,59,Lucy,49.284319,50.734348,1.4500289999999936
60,60,60,60,Silas,49.284319,50.734348,1.4500289999999936
61,61,61,61,Gru,49.284319,50.734348,1.4500289999999936
62,62,62,62,Gru,51.684367,53.10106200000001,1.4166950000000114
63,63,63,63,Edith,51.70103400000001,53.10106200000001,1.400028000000006
64,64,64,64,El Macho,51.801036,53.10106200000001,1.3000260000000097
65,65,65,65,Jillian,52.16771000000001,53.10106200000001,0.9333520000000064
66,66,66,66,Shannon,52.25104500000001,53.10106200000001,0.8500170000000011
67,67,67,67,Agnes,52.41771500000001,53.10106200000001,0.6833470000000048
68,68,68,68,Italian Waiter,53.117729000000004,56.75113500000001,3.633406000000008
69,69,69,69,Shannon,53.134396,56.75113500000001,3.6167390000000097
70,70,70,70,Gru,53.23439800000001,56.75113500000001,3.5167369999999987
71,71,71,71,Lucy,53.63440600000001,56.75113500000001,3.1167289999999994
72,72,72,72,Gru,56.767802,60.0012,3.2333979999999936
73,73,73,73,Margo,56.93447200000001,60.0012,3.0667279999999906
74,74,74,74,Agnes,56.93447200000001,60.0012,3.0667279999999906
75,75,75,75,Edith,56.93447200000001,60.0012,3.0667279999999906
76,76,76,76,Silas,57.951159,60.0012,2.050041
77,77,77,77,Floyd,58.40116800000001,60.0012,1.6000319999999846
78,78,78,78,Lucy,58.91784500000001,60.0012,1.0833549999999903
79,79,79,79,Gru,60.0012,62.81792300000001,2.8167230000000103
80,80,80,80,Agnes,60.50121000000001,62.81792300000001,2.316713
81,81,81,81,Kevin the Minion,62.86792400000001,63.75127500000001,0.8833509999999976
82,82,82,82,Gru,63.76794200000001,67.71802100000001,3.9500789999999952
83,83,83,83,Margo,63.76794200000001,67.71802100000001,3.9500789999999952
84,84,84,84,Agnes,63.76794200000001,67.71802100000001,3.9500789999999952
85,85,85,85,Edith,63.76794200000001,67.71802100000001,3.9500789999999952
86,86,86,86,Antonio,64.26795200000001,67.71802100000001,3.4500689999999987
87,87,87,87,Eduardo,65.60131200000001,67.71802100000001,2.116709
88,88,88,88,Lucy,67.751355,69.03471400000001,1.2833590000000044
89,89,89,89,Flight Attendant,68.21803100000001,69.03471400000001,0.8166829999999976
90,90,90,90,Gru,69.051381,72.31811300000003,3.2667320000000184
91,91,91,91,El Macho,69.33471999999999,72.31811300000003,2.983393000000035
92,92,92,92,Dr. Nefario,69.80139600000001,72.31811300000003,2.5167170000000145
93,93,93,93,Kevin the Minion,70.11806899999999,72.31811300000003,2.2000440000000343
94,94,94,94,Edith,72.31811300000003,74.33482000000002,2.0167069999999967
95,95,95,95,Agnes,72.31811300000003,74.33482000000002,2.0167069999999967
96,96,96,96,Gru,72.43478200000001,74.33482000000002,1.9000380000000088
97,97,97,97,Margo,72.551451,74.33482000000002,1.7833690000000215
98,98,98,98,Antonio,72.784789,74.33482000000002,1.5500310000000184
99,99,99,99,Lucy,73.184797,74.33482000000002,1.1500230000000191
100,100,100,100,Eduardo,73.50147000000003,74.33482000000002,0.8333499999999958
101,101,101,101,Dr. Nefario,74.20148400000002,74.33482000000002,0.1333359999999999
102,102,102,102,Gru,74.33482000000002,75.968186,1.633365999999981
103,103,103,103,Margo,74.351487,75.968186,1.6166989999999968
104,104,104,104,Agnes,74.351487,75.968186,1.6166989999999968
105,105,105,105,Edith,74.351487,75.968186,1.6166989999999968
106,106,106,106,Dr. Nefario,74.60149200000002,75.968186,1.3666939999999812
107,107,107,107,El Macho,74.83483000000003,75.968186,1.1333559999999778
108,108,108,108,Kevin the Minion,76.05152100000002,78.41823500000002,2.3667140000000018
109,109,109,109,Margo,76.43486200000002,78.41823500000002,1.9833730000000005
110,110,110,110,Agnes,76.43486200000002,78.41823500000002,1.9833730000000005
111,111,111,111,Edith,77.16821,78.41823500000002,1.250025000000022
112,112,112,112,Dr. Nefario,78.15156300000002,78.41823500000002,0.2666719999999998
113,113,113,113,Gru,78.41823500000002,87.45174899999998,9.033513999999954
114,114,114,114,Dr. Nefario,81.35162700000002,87.45174899999998,6.100121999999956
