,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Tourist Mom,1.4500290000000002,3.350067,1.900038
1,1,1,1,Tourist Dad,1.4500290000000002,3.350067,1.900038
2,2,2,2,nt0216691,1.8000360000000002,3.350067,1.550031
3,3,3,3,Egyptian Guard,1.9667060000000005,3.350067,1.3833609999999996
4,4,4,4,nt0794871,2.0000400000000003,3.350067,1.350027
5,5,5,5,nt0971198,2.4667160000000004,3.350067,0.8833509999999998
6,6,6,6,Anchorman,2.9333920000000004,3.350067,0.4166749999999997
7,7,7,7,nt0484414,3.350067,6.516797,3.1667300000000003
8,8,8,8,Gru,3.350067,6.516797,3.1667300000000003
9,9,9,9,Fred McDade,4.766762000000001,6.516797,1.7500349999999996
10,10,10,10,nt0495220,4.933432000000002,6.516797,1.5833649999999988
11,11,11,11,Margo,5.966786000000001,6.516797,0.5500109999999996
12,12,12,12,nt0593628,5.966786000000001,6.516797,0.5500109999999996
13,13,13,13,Agnes,6.000120000000001,6.516797,0.5166769999999996
14,14,14,14,Edith,6.000120000000001,6.516797,0.5166769999999996
15,15,15,15,nt0051215,6.516797,12.033574000000002,5.516777000000001
16,16,16,16,Gru,6.516797,12.033574000000002,5.516777000000001
17,17,17,17,Dr. Nefario,6.750135,12.033574000000002,5.283439000000001
18,18,18,18,nt0037517,7.016807000000001,12.033574000000002,5.0167670000000015
19,19,19,19,nt0051217,10.766882,12.033574000000002,1.2666920000000008
20,20,20,20,Dave the Minion,10.83355,12.033574000000002,1.2000240000000009
21,21,21,21,Edith,12.033574000000002,13.816943000000002,1.7833690000000004
22,22,22,22,Margo,12.066908000000002,13.816943000000002,1.7500350000000005
23,23,23,23,Agnes,12.066908000000002,13.816943000000002,1.7500350000000005
24,24,24,24,Miss Hattie,12.533584,13.816943000000002,1.2833590000000026
25,25,25,25,nt0784907,13.16693,13.816943000000002,0.6500130000000013
26,26,26,26,Gru,13.816943000000002,17.100342,3.283399
27,27,27,27,Gru's Mom,13.933612000000002,17.100342,3.1667299999999994
28,28,28,28,nt0008525,13.933612000000002,17.100342,3.1667299999999994
29,29,29,29,nt0008549,15.916985000000002,17.100342,1.1833569999999989
30,30,30,30,nt0455893,16.066988000000002,17.100342,1.0333539999999992
31,31,31,31,Vector,16.133656000000002,17.100342,0.9666859999999992
32,32,32,32,Mr. Perkins,17.100342,18.633706,1.5333639999999988
33,33,33,33,Gru,17.117009000000003,18.633706,1.5166969999999966
34,34,34,34,nt0545750,17.483683000000006,18.633706,1.1500229999999938
35,35,35,35,Vector,18.367034,18.633706,0.2666719999999998
36,36,36,36,Gru,18.717041000000002,22.11710900000001,3.4000680000000085
37,37,37,37,nt0051222,18.717041000000002,22.11710900000001,3.4000680000000085
38,38,38,38,Vector,20.433742000000002,22.11710900000001,1.6833670000000076
39,39,39,39,nt0300022,21.467096,22.11710900000001,0.6500130000000084
40,40,40,40,Edith,22.16711,23.100462000000004,0.9333520000000028
41,41,41,41,Margo,22.200444,23.100462000000004,0.9000180000000029
