,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Lucy,1.400028,5.50011,4.100082
1,1,1,1,Adena,1.400028,5.50011,4.100082
2,2,2,2,Baron Mordo,1.400028,5.50011,4.100082
3,3,3,3,Wong,1.400028,5.50011,4.100082
4,4,4,4,Dr. Stephen Strange,3.7334080000000003,5.50011,1.766702
5,5,5,5,Dr. Stephen Strange,6.7168009999999985,9.083515,2.3667140000000018
6,6,6,6,Corey,6.866804000000001,9.083515,2.216710999999999
7,7,7,7,Oliver,7.933492000000001,9.083515,1.1500229999999991
8,8,8,8,Dr. Gina Atwater,9.266852,17.083675000000003,7.816823000000002
9,9,9,9,Dr. Stephen Strange,9.350187,17.083675000000003,7.733488000000002
10,10,10,10,Camille's Brother,10.150203,17.083675000000003,6.933472000000004
11,11,11,11,April,12.483583,17.083675000000003,4.6000920000000045
12,12,12,12,Dormammu,14.050281000000002,17.083675000000003,3.0333940000000013
13,13,13,13,Wong,16.917005000000003,17.083675000000003,0.16666999999999987
14,14,14,14,Dr. Stephen Strange,17.233678,25.850517000000004,8.616839000000002
15,15,15,15,Oliver,18.3337,25.850517000000004,7.516817000000002
16,16,16,16,Wong,20.900418,25.850517000000004,4.950099000000005
17,17,17,17,Dr. Gina Atwater,21.717101000000003,25.850517000000004,4.133416
18,18,18,18,Baron Mordo,24.167150000000003,25.850517000000004,1.6833670000000005
19,19,19,19,Ancient One,24.56715800000001,25.850517000000004,1.2833589999999937
20,20,20,20,Dr. Stephen Strange,25.967186,36.484063000000006,10.516877000000003
21,21,21,21,Wong,25.967186,36.484063000000006,10.516877000000003
22,22,22,22,Lucy,26.367194,36.484063000000006,10.116869000000003
23,23,23,23,Adena,26.367194,36.484063000000006,10.116869000000003
24,24,24,24,Baron Mordo,26.367194,36.484063000000006,10.116869000000003
25,25,25,25,April,30.733948,36.484063000000006,5.7501150000000045
26,26,26,26,Ancient One,36.50073,39.684127000000004,3.1833970000000065
27,27,27,27,Wong,36.584065,39.684127000000004,3.100062000000001
28,28,28,28,Dr. Stephen Strange,36.81740300000001,39.684127000000004,2.8667239999999907
29,29,29,29,Baron Mordo,37.50075,39.684127000000004,2.1833770000000072
30,30,30,30,Lucy,38.584105,39.684127000000004,1.1000220000000027
31,31,31,31,Adena,38.584105,39.684127000000004,1.1000220000000027
32,32,32,32,Wong,39.684127000000004,48.400968000000006,8.716841000000002
33,33,33,33,Ancient One,39.684127000000004,48.400968000000006,8.716841000000002
34,34,34,34,Baron Mordo,39.684127000000004,48.400968000000006,8.716841000000002
35,35,35,35,Adena,39.684127000000004,48.400968000000006,8.716841000000002
36,36,36,36,Dr. Stephen Strange,39.684127000000004,48.400968000000006,8.716841000000002
37,37,37,37,Lucy,39.684127000000004,48.400968000000006,8.716841000000002
38,38,38,38,Dr. Stephen Strange,48.53430400000001,60.36787400000001,11.833569999999995
39,39,39,39,Ancient One,48.80097600000001,60.36787400000001,11.566897999999995
40,40,40,40,Lucy,49.13431600000001,60.36787400000001,11.233557999999995
41,41,41,41,Adena,49.13431600000001,60.36787400000001,11.233557999999995
42,42,42,42,Baron Mordo,49.13431600000001,60.36787400000001,11.233557999999995
43,43,43,43,Wong,49.13431600000001,60.36787400000001,11.233557999999995
44,44,44,44,Dormammu,52.467716,60.36787400000001,7.900158000000005
45,45,45,45,Dr. Gina Atwater,54.01774700000001,60.36787400000001,6.3501270000000005
46,46,46,46,Dr. Stephen Strange,60.50121000000001,70.06806800000001,9.566858000000003
47,47,47,47,Wong,60.50121000000001,70.06806800000001,9.566858000000003
48,48,48,48,Ancient One,60.58454500000001,70.06806800000001,9.483522999999998
49,49,49,49,Baron Mordo,61.61789900000001,70.06806800000001,8.450169000000002
50,50,50,50,Dormammu,65.06796800000001,70.06806800000001,5.000100000000003
51,51,51,51,Dr. Gina Atwater,68.584705,70.06806800000001,1.483363000000011
