,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Juana,0.4333420000000001,25.967186,25.533844000000002
1,1,1,1,Lydia,0.6500130000000001,25.967186,25.317173
2,2,2,2,Apa,0.966686,25.967186,25.0005
3,3,3,3,Homeless Man,6.816803000000001,25.967186,19.150383
4,4,4,4,Charlie,7.766822,25.967186,18.200364
5,5,5,5,Thug #1,8.783509,25.967186,17.183677000000007
6,6,6,6,Thug #2,8.783509,25.967186,17.183677000000007
7,7,7,7,Jorge,12.533584,25.967186,13.433602000000002
8,8,8,8,Manager Brenda,13.383601,25.967186,12.583585000000001
9,9,9,9,Kyung,15.483643,25.967186,10.483543
10,10,10,10,Robert,15.50031,25.967186,10.466876
11,11,11,11,Mrs. Yoshida,15.866984000000002,25.967186,10.100202
12,12,12,12,Aki,20.400408,25.967186,5.566778000000002
13,13,13,13,Billy,20.467076000000002,25.967186,5.500109999999999
14,14,14,14,Victor,20.500410000000002,25.967186,5.466775999999999
15,15,15,15,Juana,25.967186,51.51769700000001,25.55051100000001
16,16,16,16,Lydia,26.050521000000003,51.51769700000001,25.46717600000001
17,17,17,17,Aki,27.08387500000001,51.51769700000001,24.43382200000001
18,18,18,18,Apa,28.000560000000004,51.51769700000001,23.51713700000001
19,19,19,19,Mrs. Yoshida,29.900598,51.51769700000001,21.61709900000001
20,20,20,20,Victor,30.017267000000004,51.51769700000001,21.50043000000001
21,21,21,21,Billy,30.017267000000004,51.51769700000001,21.50043000000001
22,22,22,22,Waitress #1,30.017267000000004,51.51769700000001,21.50043000000001
23,23,23,23,Waitress #2,30.017267000000004,51.51769700000001,21.50043000000001
24,24,24,24,Kyung,30.017267000000004,51.51769700000001,21.50043000000001
25,25,25,25,Robert,30.017267000000004,51.51769700000001,21.50043000000001
26,26,26,26,Mr. Yoshida,35.867384,51.51769700000001,15.650313000000011
27,27,27,27,Customer,49.18431700000001,51.51769700000001,2.3333800000000053
28,28,28,28,Aki,51.58436500000001,74.651493,23.06712799999999
29,29,29,29,Juana,51.63436600000001,74.651493,23.017126999999995
30,30,30,30,Mr. Yoshida,57.35114700000001,74.651493,17.30034599999999
31,31,31,31,Waitress #1,58.96784600000001,74.651493,15.683646999999993
32,32,32,32,Kyung,59.38452100000001,74.651493,15.266971999999996
33,33,33,33,Victor,59.45118900000001,74.651493,15.200303999999996
34,34,34,34,Billy,59.45118900000001,74.651493,15.200303999999996
35,35,35,35,Mr. Wagner,59.917865000000006,74.651493,14.733627999999996
36,36,36,36,Mrs. Yoshida,60.38454100000001,74.651493,14.266951999999993
37,37,37,37,Customer- Husband,62.367914000000006,74.651493,12.283578999999996
38,38,38,38,Customer- Wife,62.367914000000006,74.651493,12.283578999999996
39,39,39,39,Apa,64.00128000000001,74.651493,10.650212999999994
40,40,40,40,Lydia,66.451329,74.651493,8.200164000000001
41,41,41,41,Prospective Employee,69.101382,74.651493,5.550111000000001
42,42,42,42,Juana,74.651493,103.65207300000002,29.00058000000001
43,43,43,43,Kyung,75.53484399999998,103.65207300000002,28.117229000000037
44,44,44,44,Robert,75.53484399999998,103.65207300000002,28.117229000000037
45,45,45,45,Lydia,76.46819599999998,103.65207300000002,27.183877000000038
46,46,46,46,Apa,76.53486400000001,103.65207300000002,27.11720900000001
47,47,47,47,Victor,79.36825400000002,103.65207300000002,24.283818999999994
48,48,48,48,Aki,79.418255,103.65207300000002,24.23381800000001
49,49,49,49,Receptionist,85.485043,103.65207300000002,18.16703000000001
50,50,50,50,Competition Judge #2,86.00171999999998,103.65207300000002,17.650353000000038
51,51,51,51,Studio Director,86.00171999999998,103.65207300000002,17.650353000000038
52,52,52,52,Competition Judge #1,86.00171999999998,103.65207300000002,17.650353000000038
53,53,53,53,Competition Judge #3,86.268392,103.65207300000002,17.38368100000001
54,54,54,54,TV Show Coordinator,86.78506900000002,103.65207300000002,16.867003999999994
55,55,55,55,TV Show Producer,87.50175,103.65207300000002,16.150323000000018
56,56,56,56,Hitoshi Watanabe,87.50175,103.65207300000002,16.150323000000018
57,57,57,57,Frank Yamamoto,87.50175,103.65207300000002,16.150323000000018
58,58,58,58,David Kim,87.50175,103.65207300000002,16.150323000000018
59,59,59,59,Jimmy Nishida,88.18509700000001,103.65207300000002,15.466976000000004
60,60,60,60,Taiko Drummer #1,91.551831,103.65207300000002,12.100242000000007
61,61,61,61,Taiko Drummer #2,91.551831,103.65207300000002,12.100242000000007
62,62,62,62,Studio Cameraman,91.651833,103.65207300000002,12.00024000000002
63,63,63,63,Mr. Yoshida,91.818503,103.65207300000002,11.833570000000007
64,64,64,64,Reporter,100.702014,103.65207300000002,2.9500590000000098
65,65,65,65,Mrs. Yoshida,102.152043,103.65207300000002,1.5000300000000095
