,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Narrator,0.23333800000000002,0.4500090000000001,0.21667100000000009
1,1,1,1,Lucy,0.5000100000000001,2.8833910000000005,2.3833810000000004
2,2,2,2,Narrator,0.5500109999999999,2.8833910000000005,2.3333800000000005
3,3,3,3,Museum Curator,0.7333480000000001,2.8833910000000005,2.150043
4,4,4,4,Silas,1.16669,2.8833910000000005,1.7167010000000005
5,5,5,5,Narrator,2.9333920000000004,4.16675,1.233358
6,6,6,6,Edward,2.9667260000000004,4.16675,1.200024
7,7,7,7,Nacho Libre,3.0833950000000003,4.16675,1.0833549999999998
8,8,8,8,Chanchito,4.16675,4.983433000000002,0.8166830000000012
9,9,9,9,Nacho Libre,4.16675,4.983433000000002,0.8166830000000012
10,10,10,10,Edward,4.16675,4.983433000000002,0.8166830000000012
11,11,11,11,Narrator,4.16675,4.983433000000002,0.8166830000000012
12,12,12,12,Narrator,5.1501030000000005,7.3501470000000015,2.200044000000001
13,13,13,13,Susan Pervertsky,5.1501030000000005,7.3501470000000015,2.200044000000001
14,14,14,14,Flight Attendant,5.300106,7.3501470000000015,2.050041000000001
15,15,15,15,Nose Bite Guy,5.900118000000001,7.3501470000000015,1.450029000000001
16,16,16,16,Crotch Bite Guy,5.983453000000001,7.3501470000000015,1.3666940000000007
17,17,17,17,Breast Bite Woman,6.0834550000000025,7.3501470000000015,1.266691999999999
18,18,18,18,Samuel Jackson,6.2001240000000015,7.3501470000000015,1.150023
19,19,19,19,Paris Hilton,6.950139000000001,7.3501470000000015,0.4000080000000006
20,20,20,20,Narrator,7.566818,10.766882,3.200064000000001
21,21,21,21,Peter Pervertsky,7.566818,10.766882,3.200064000000001
22,22,22,22,Mystique,7.750155,10.766882,3.0167270000000004
23,23,23,23,Storm,8.650172999999999,10.766882,2.116709000000002
24,24,24,24,Wolverine,8.650172999999999,10.766882,2.116709000000002
25,25,25,25,Cyclops,8.650172999999999,10.766882,2.116709000000002
26,26,26,26,Rogue,8.650172999999999,10.766882,2.116709000000002
27,27,27,27,Magneto,10.100202000000001,10.766882,0.6666799999999995
28,28,28,28,Narrator,10.866884,14.533624,3.666739999999999
29,29,29,29,Susan Pervertsky,10.883551,14.533624,3.650072999999999
30,30,30,30,Edward,10.883551,14.533624,3.650072999999999
31,31,31,31,Peter Pervertsky,10.883551,14.533624,3.650072999999999
32,32,32,32,Lucy,10.883551,14.533624,3.650072999999999
33,33,33,33,Willy Wonka,11.233558,14.533624,3.300066
34,34,34,34,Peter Pervertsky,14.533624,16.416995,1.8833710000000004
35,35,35,35,Susan Pervertsky,14.666960000000001,16.416995,1.7500349999999991
36,36,36,36,Edward,14.666960000000001,16.416995,1.7500349999999991
37,37,37,37,Lucy,14.666960000000001,16.416995,1.7500349999999991
38,38,38,38,Willy Wonka,16.016987,16.416995,0.4000079999999997
39,39,39,39,Lucy,16.416995,20.933752,4.516756999999998
40,40,40,40,Mr. Tumnus,19.200384000000003,20.933752,1.7333679999999951
