,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Mr. Fox,1.2500250000000002,2.4833830000000003,1.2333580000000002
1,1,1,1,Mrs. Fox,1.816703,2.4833830000000003,0.6666800000000004
2,2,2,2,Mr. Fox,2.5333840000000003,4.516757,1.983373
3,3,3,3,Mrs. Fox,2.5333840000000003,4.516757,1.983373
4,4,4,4,Mr. Fox,4.850097000000001,6.600132,1.7500349999999996
5,5,5,5,Mrs. Fox,4.933432000000002,6.600132,1.6666999999999987
6,6,6,6,Ash,5.1167690000000015,6.600132,1.4833629999999989
7,7,7,7,Weasel,6.600132,7.883491000000001,1.2833590000000008
8,8,8,8,Mr. Fox,6.600132,7.883491000000001,1.2833590000000008
9,9,9,9,Kylie,6.966806000000001,7.883491000000001,0.9166850000000002
10,10,10,10,Badger,7.983493000000001,10.0002,2.0167069999999985
11,11,11,11,Linda Otter,8.100162000000001,10.0002,1.9000379999999983
12,12,12,12,Mr. Fox,8.116829000000001,10.0002,1.8833709999999984
13,13,13,13,Walter Boggis,8.416835,10.0002,1.5833649999999988
14,14,14,14,Nathan Bunce,8.633506,10.0002,1.3666939999999992
15,15,15,15,Franklin Bean,8.866844,10.0002,1.1333559999999991
16,16,16,16,Petey,8.866844,10.0002,1.1333559999999991
17,17,17,17,Squirrel Contractor,10.0002,10.716881,0.7166810000000012
18,18,18,18,Mrs. Fox,10.416875,10.716881,0.30000600000000155
19,19,19,19,Ash,10.416875,10.716881,0.30000600000000155
20,20,20,20,Mr. Fox,10.483543,10.716881,0.2333380000000016
21,21,21,21,Kylie,10.516877000000001,10.716881,0.20000399999999985
22,22,22,22,Kristofferson,10.583545,10.716881,0.1333359999999999
23,23,23,23,Kristofferson,10.733548,12.516917,1.7833689999999986
24,24,24,24,Mr. Fox,10.883551,12.516917,1.6333659999999988
25,25,25,25,Mrs. Fox,10.883551,12.516917,1.6333659999999988
26,26,26,26,Ash,11.016887,12.516917,1.5000299999999989
27,27,27,27,Mr. Fox,12.566918,13.116929,0.5500110000000014
28,28,28,28,Kylie,12.566918,13.116929,0.5500110000000014
29,29,29,29,Kristofferson,13.116929,14.600292000000001,1.4833630000000009
30,30,30,30,Ash,13.116929,14.600292000000001,1.4833630000000009
31,31,31,31,Mr. Fox,14.633626000000001,15.950319000000002,1.3166930000000008
32,32,32,32,Kylie,14.733628,15.950319000000002,1.2166910000000026
33,33,33,33,Ash,15.983653000000002,17.017007000000003,1.033354000000001
34,34,34,34,Agnes,15.983653000000002,17.017007000000003,1.033354000000001
35,35,35,35,Kristofferson,16.216991,17.017007000000003,0.800016000000003
36,36,36,36,Beaver's Son,16.216991,17.017007000000003,0.800016000000003
37,37,37,37,Mr. Fox,17.033673999999998,20.133736000000006,3.1000620000000083
38,38,38,38,Kylie,17.050341000000003,20.133736000000006,3.083395000000003
39,39,39,39,Walter Boggis,19.733728000000006,20.133736000000006,0.4000079999999997
40,40,40,40,Mrs. Fox,20.167070000000002,20.733748000000002,0.5666779999999996
41,41,41,41,Mr. Fox,20.217071,20.733748000000002,0.5166770000000014
42,42,42,42,Kylie,20.517077,20.733748000000002,0.2166710000000016
43,43,43,43,Mr. Fox,20.767082000000002,21.367094,0.6000119999999995
44,44,44,44,Kylie,20.767082000000002,21.367094,0.6000119999999995
45,45,45,45,Nathan Bunce,20.867084,21.367094,0.5000100000000032
46,46,46,46,Mrs. Fox,21.300426,21.367094,0.06666799999999995
47,47,47,47,Kristofferson,21.367094,23.450469000000002,2.083375
48,48,48,48,Coach Skip,21.367094,23.450469000000002,2.083375
49,49,49,49,Ash,21.933772,23.450469000000002,1.5166970000000006
50,50,50,50,Beaver's Son,22.583785,23.450469000000002,0.8666840000000029
51,51,51,51,Agnes,23.283799,23.450469000000002,0.16667000000000345
52,52,52,52,Kylie,23.450469000000002,23.950479,0.5000099999999996
53,53,53,53,Kristofferson,23.450469000000002,23.950479,0.5000099999999996
54,54,54,54,Ash,23.450469000000002,23.950479,0.5000099999999996
55,55,55,55,Mr. Fox,23.617139,23.950479,0.3333399999999997
56,56,56,56,Mrs. Fox,23.633806000000003,23.950479,0.316672999999998
