,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Katerina Marquez,0.816683,3.816743,3.0000600000000004
1,1,1,1,Whip Whitaker,1.0166870000000001,3.816743,2.800056
2,2,2,2,nt0349917,3.1833970000000003,3.816743,0.633346
3,3,3,3,Whip Whitaker,3.816743,6.533464,2.716721
4,4,4,4,Katerina Marquez,4.583425,6.533464,1.9500390000000003
5,5,5,5,Father on Plane,4.583425,6.533464,1.9500390000000003
6,6,6,6,Son on Plane,4.583425,6.533464,1.9500390000000003
7,7,7,7,Margaret Thomason,4.800096000000001,6.533464,1.7333679999999996
8,8,8,8,Ken Evans,5.1334360000000006,6.533464,1.4000279999999998
9,9,9,9,nt0121317,5.566778,6.533464,0.9666860000000002
10,10,10,10,Nicole,6.550131,9.233518,2.6833869999999997
11,11,11,11,Kip,7.183477000000001,9.233518,2.050041
12,12,12,12,Tiki Pot,7.3334800000000016,9.233518,1.9000379999999983
13,13,13,13,Margaret Thomason,9.250185,13.066928,3.8167430000000007
14,14,14,14,Katerina Marquez,9.250185,13.066928,3.8167430000000007
15,15,15,15,Camelia Satou,9.300186,13.066928,3.7667420000000007
16,16,16,16,Son on Plane,9.316853,13.066928,3.7500750000000007
17,17,17,17,Whip Whitaker,9.550191000000002,13.066928,3.5167369999999987
18,18,18,18,Ken Evans,9.633526000000002,13.066928,3.4334019999999987
19,19,19,19,nt0349941,9.733528000000002,13.066928,3.3334
20,20,20,20,Passenger,10.633546,13.066928,2.433382
21,21,21,21,Father on Plane,10.633546,13.066928,2.433382
22,22,22,22,Nicole,13.116929,14.850297,1.7333679999999991
23,23,23,23,Fran,13.466936,14.850297,1.3833609999999992
24,24,24,24,Katerina Marquez,14.850297,17.117009000000003,2.266712000000004
25,25,25,25,Whip Whitaker,14.850297,17.117009000000003,2.266712000000004
26,26,26,26,nt0459296,14.900298000000001,17.117009000000003,2.216711000000002
27,27,27,27,Camelia Satou,15.116969000000001,17.117009000000003,2.000040000000002
28,28,28,28,Son on Plane,15.116969000000001,17.117009000000003,2.000040000000002
29,29,29,29,Margaret Thomason,15.616979,17.117009000000003,1.5000300000000024
30,30,30,30,Nicole,15.700314000000002,17.117009000000003,1.4166950000000007
31,31,31,31,Fran,16.983673000000003,17.117009000000003,0.1333359999999999
32,32,32,32,Whip Whitaker,17.117009000000003,25.133836,8.016826999999996
33,33,33,33,Margaret Thomason,17.217011000000007,25.133836,7.916824999999991
34,34,34,34,Ken Evans,17.267012,25.133836,7.866823999999998
35,35,35,35,nt0349958,17.600351999999994,25.133836,7.533484000000005
36,36,36,36,Camelia Satou,17.683687000000006,25.133836,7.450148999999992
37,37,37,37,Katerina Marquez,17.683687000000006,25.133836,7.450148999999992
38,38,38,38,Son on Plane,17.867024,25.133836,7.266811999999998
39,39,39,39,Father on Plane,18.517037,25.133836,6.616799
40,40,40,40,nt0634902,19.717061,25.133836,5.416774999999998
41,41,41,41,Nicole,22.45044900000001,25.133836,2.683386999999989
42,42,42,42,Fran,22.45044900000001,25.133836,2.683386999999989
43,43,43,43,Whip Whitaker,25.233838000000002,26.283859000000003,1.050021000000001
44,44,44,44,Ken Evans,25.283839000000004,26.283859000000003,1.0000199999999992
45,45,45,45,Margaret Thomason,25.33384,26.283859000000003,0.9500190000000046
46,46,46,46,Katerina Marquez,25.383841000000004,26.283859000000003,0.9000179999999993
47,47,47,47,Hospital Patron,25.983853000000003,26.283859000000003,0.3000059999999998
48,48,48,48,Whip Whitaker,26.367194,34.667359999999995,8.300165999999994
49,49,49,49,Derek Hogue,26.533864,34.667359999999995,8.133495999999994
50,50,50,50,Field Reporter,26.68386700000001,34.667359999999995,7.983492999999987
51,51,51,51,Charlie Anderson,27.367214000000004,34.667359999999995,7.300145999999992
52,52,52,52,nt0349914,27.933892000000004,34.667359999999995,6.733467999999991
53,53,53,53,nt0131057,28.517237,34.667359999999995,6.1501229999999945
54,54,54,54,Craig Matson,28.683907,34.667359999999995,5.983452999999994
55,55,55,55,NTSB Agent,28.683907,34.667359999999995,5.983452999999994
