,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Forrest Gump,1.566698,3.1000620000000003,1.5333640000000004
1,1,1,1,Nurse at Park Bench,3.1000620000000003,6.7001339999999985,3.600071999999998
2,2,2,2,Forrest Gump,3.1000620000000003,6.7001339999999985,3.600071999999998
3,3,3,3,Young Forrest Gump,4.716761000000001,6.7001339999999985,1.9833729999999976
4,4,4,4,Doctor,4.750095000000001,6.7001339999999985,1.9500389999999976
5,5,5,5,Mrs. Gump,4.983433000000002,6.7001339999999985,1.7167009999999967
6,6,6,6,Crony,6.1501230000000024,6.7001339999999985,0.550010999999996
7,7,7,7,Crony,6.1667900000000015,6.7001339999999985,0.5333439999999969
8,8,8,8,Barber,6.50013,6.7001339999999985,0.20000399999999807
9,9,9,9,Young Forrest Gump,6.7001339999999985,10.183537,3.4834030000000014
10,10,10,10,Mrs. Gump,6.7001339999999985,10.183537,3.4834030000000014
11,11,11,11,Principal,7.533484,10.183537,2.6500529999999998
12,12,12,12,Forrest Gump,7.766822,10.183537,2.416714999999999
13,13,13,13,Forrest Gump,10.183537,12.200244,2.016707
14,14,14,14,Mrs. Gump,10.200204,12.200244,2.0000400000000003
15,15,15,15,Elvis Presley (Voice),10.883551,12.200244,1.316692999999999
16,16,16,16,Elvis Presley,10.883551,12.200244,1.316692999999999
17,17,17,17,Young Forrest Gump,10.916885,12.200244,1.283358999999999
18,18,18,18,Himself,11.650233000000002,12.200244,0.5500109999999978
19,19,19,19,Nurse at Park Bench,12.200244,14.716960999999998,2.516716999999998
20,20,20,20,Forrest Gump,12.200244,14.716960999999998,2.516716999999998
21,21,21,21,Mrs. Gump,12.383581,14.716960999999998,2.3333799999999982
22,22,22,22,Young Forrest Gump,12.383581,14.716960999999998,2.3333799999999982
23,23,23,23,"Dorothy Harris, School Bus Driver",12.533584,14.716960999999998,2.1833769999999983
24,24,24,24,School Bus Boy,13.116929,14.716960999999998,1.6000319999999968
25,25,25,25,School Bus Boy,13.200264,14.716960999999998,1.5166969999999966
26,26,26,26,Young Jenny Curran,13.233598,14.716960999999998,1.4833629999999969
27,27,27,27,School Bus Girl,13.233598,14.716960999999998,1.4833629999999969
28,28,28,28,School Bus Boy,13.283599,14.716960999999998,1.4333619999999971
29,29,29,29,Young Forrest Gump,14.716960999999998,15.400308,0.683347000000003
30,30,30,30,Young Jenny Curran,14.716960999999998,15.400308,0.683347000000003
31,31,31,31,Forrest Gump,14.766962,15.400308,0.6333460000000013
32,32,32,32,Forrest Gump,15.400308,17.383681000000006,1.9833730000000056
33,33,33,33,Nurse at Park Bench,15.466976,17.383681000000006,1.9167050000000057
34,34,34,34,Young Jenny Curran,15.633646,17.383681000000006,1.7500350000000058
35,35,35,35,Young Forrest Gump,15.633646,17.383681000000006,1.7500350000000058
36,36,36,36,Fat Boy,15.650313,17.383681000000006,1.7333680000000058
37,37,37,37,Boy with Cross,15.650313,17.383681000000006,1.7333680000000058
38,38,38,38,Red Headed Boy,15.650313,17.383681000000006,1.7333680000000058
39,39,39,39,Young Forrest Gump,17.383681000000006,19.517057,2.1333759999999957
40,40,40,40,Crony,17.750355000000006,19.517057,1.766701999999995
41,41,41,41,Crony,17.767022,19.517057,1.7500350000000005
42,42,42,42,Barber,17.800356,19.517057,1.7167010000000005
43,43,43,43,Forrest Gump,17.900357999999994,19.517057,1.6166990000000077
44,44,44,44,Young Jenny Curran,18.267032,19.517057,1.2500250000000008
45,45,45,45,"Mr. Curran, Jenny's Father",18.50037,19.517057,1.016687000000001
46,46,46,46,Police Chief,19.283719,19.517057,0.23333799999999985
47,47,47,47,Jenny's Grandmother,19.383721,19.517057,0.1333359999999999
48,48,48,48,Young Jenny Curran,19.517057,21.550431000000003,2.033374000000002
49,49,49,49,Forrest Gump,19.550391,21.550431000000003,2.000040000000002
