,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Gord Brody,0.816683,6.816803000000001,6.000120000000001
1,1,1,1,Andy Malloy,2.200044,6.816803000000001,4.616759000000001
2,2,2,2,Security Guard,2.5333840000000003,6.816803000000001,4.283419
3,3,3,3,Julie Brody,3.7334080000000003,6.816803000000001,3.0833950000000008
4,4,4,4,Jim Brody,3.750075,6.816803000000001,3.0667280000000012
5,5,5,5,Freddy Brody,3.766742,6.816803000000001,3.0500610000000012
6,6,6,6,Gord Brody,6.816803000000001,9.316853,2.500049999999999
7,7,7,7,Farmer #1,7.150143000000001,9.316853,2.1667099999999992
8,8,8,8,Farmer #2,7.150143000000001,9.316853,2.1667099999999992
9,9,9,9,Jim Brody,7.683486999999999,9.316853,1.6333660000000014
10,10,10,10,Julie Brody,7.683486999999999,9.316853,1.6333660000000014
11,11,11,11,Gord Brody,9.316853,12.066908000000002,2.750055000000001
12,12,12,12,Security Guard – Studio,9.383521,12.066908000000002,2.683387000000001
13,13,13,13,Davidson's Receptionist,9.900198,12.066908000000002,2.166710000000002
14,14,14,14,Woman – Restaurant,12.066908000000002,15.800316000000002,3.7334080000000007
15,15,15,15,Mr. Davidson,12.066908000000002,15.800316000000002,3.7334080000000007
16,16,16,16,Gord Brody,12.166910000000001,15.800316000000002,3.633406000000001
17,17,17,17,Man #1 – Restaurant,12.216911,15.800316000000002,3.5834050000000026
18,18,18,18,Man #2 – Restaurant,12.300246000000001,15.800316000000002,3.5000700000000013
19,19,19,19,Gord Brody,15.950319000000002,18.133696,2.1833769999999983
20,20,20,20,Mr. Davidson,16.000320000000002,18.133696,2.1333759999999984
21,21,21,21,Truck Driver,17.017007000000003,18.133696,1.1166889999999974
22,22,22,22,Farmer #1,17.650353000000006,18.133696,0.4833429999999943
23,23,23,23,Farmer #2,17.650353000000006,18.133696,0.4833429999999943
24,24,24,24,Mr. Malloy,17.950359000000006,18.133696,0.18333699999999453
25,25,25,25,Andy Malloy,17.950359000000006,18.133696,0.18333699999999453
26,26,26,26,Julie Brody,18.133696,21.533764,3.400068000000001
27,27,27,27,Jim Brody,18.200364,21.533764,3.333400000000001
28,28,28,28,Gord Brody,18.250365,21.533764,3.283399000000003
29,29,29,29,Darren,19.300386000000003,21.533764,2.2333779999999983
30,30,30,30,Mr. Malloy,19.833730000000006,21.533764,1.7000339999999952
31,31,31,31,Andy Malloy,19.850397,21.533764,1.6833670000000005
32,32,32,32,Betty,21.550431000000003,23.650473,2.1000419999999984
33,33,33,33,Gord Brody,21.600432,23.650473,2.050041
34,34,34,34,Indian Woman #2,23.650473,27.750555,4.100081999999997
35,35,35,35,Indian Woman #1,23.650473,27.750555,4.100081999999997
36,36,36,36,Gord Brody,23.650473,27.750555,4.100081999999997
37,37,37,37,Darren,23.717141,27.750555,4.033413999999997
38,38,38,38,Pregnant Woman,23.717141,27.750555,4.033413999999997
39,39,39,39,Doctor,27.383881,27.750555,0.3666739999999997
40,40,40,40,Betty,27.450549,27.750555,0.3000059999999998
41,41,41,41,Gord Brody,27.750555,32.16731,4.416755000000002
42,42,42,42,Betty,27.833890000000004,32.16731,4.333419999999997
43,43,43,43,Julie Brody,32.283978999999995,35.484043,3.2000640000000047
44,44,44,44,Freddy Brody,32.283978999999995,35.484043,3.2000640000000047
45,45,45,45,Jim Brody,32.350646999999995,35.484043,3.1333960000000047
46,46,46,46,Gord Brody,32.717321000000005,35.484043,2.7667219999999944
47,47,47,47,Gord Brody,35.484043,38.100762,2.616719000000004
48,48,48,48,Jim Brody,35.95071900000001,38.100762,2.1500429999999966
49,49,49,49,Betty,38.100762,39.367454,1.266691999999999
50,50,50,50,Gord Brody,38.13409600000001,39.367454,1.2333579999999955
51,51,51,51,Jim Brody,39.617459000000004,44.917565,5.3001059999999995
52,52,52,52,Julie Brody,39.634126,44.917565,5.283439000000001
53,53,53,53,Mr. Malloy,39.967466,44.917565,4.950099000000002
54,54,54,54,Andy Malloy,39.967466,44.917565,4.950099000000002
55,55,55,55,Betty,40.217471,44.917565,4.700094
56,56,56,56,Gord Brody,40.217471,44.917565,4.700094
57,57,57,57,Waiter,41.034154,44.917565,3.8834110000000015
58,58,58,58,Cop at Fancy Restaurant,44.734228,44.917565,0.18333700000000164
59,59,59,59,Betty,44.95089900000001,46.450929,1.5000299999999953
60,60,60,60,Gord Brody,44.95089900000001,46.450929,1.5000299999999953
61,61,61,61,Gord Brody,46.450929,48.367634,1.9167050000000003
62,62,62,62,Darren,46.73426800000001,48.367634,1.6333659999999952
63,63,63,63,Jim Brody,47.634286,48.367634,0.7333479999999994
64,64,64,64,Julie Brody,47.634286,48.367634,0.7333479999999994
65,65,65,65,Jim Brody,48.367634,50.16767,1.8000359999999986
66,66,66,66,Gord Brody,48.83431,50.16767,1.333359999999999
67,67,67,67,Julie Brody,48.83431,50.16767,1.333359999999999
68,68,68,68,Gord Brody,50.16767,52.03437400000001,1.8667040000000057
69,69,69,69,Jim Brody,50.251005000000006,52.03437400000001,1.7833690000000004
70,70,70,70,Julie Brody,50.26767200000001,52.03437400000001,1.766701999999995
71,71,71,71,Social Worker,50.284339,52.03437400000001,1.7500350000000042
72,72,72,72,Gord Brody,52.03437400000001,54.00108,1.9667059999999952
73,73,73,73,Freddy Brody,52.134376,54.00108,1.8667039999999984
74,74,74,74,Social Worker,52.31771300000001,54.00108,1.6833669999999898
75,75,75,75,Cop with Social Worker,52.467716,54.00108,1.5333639999999988
76,76,76,76,Jim Brody,53.48440300000001,54.00108,0.5166769999999943
77,77,77,77,Julie Brody,53.584405000000004,54.00108,0.4166749999999979
78,78,78,78,Gord Brody,54.00108,56.13445600000001,2.1333760000000046
79,79,79,79,Jim Brody,54.267752,56.13445600000001,1.8667040000000057
80,80,80,80,Julie Brody,54.96776600000001,56.13445600000001,1.1666899999999956
81,81,81,81,Gord Brody,56.13445600000001,58.567838,2.4333819999999946
82,82,82,82,Betty,56.68446700000001,58.567838,1.8833709999999897
83,83,83,83,Freddy Brody,58.78450900000001,60.36787400000001,1.5833650000000006
84,84,84,84,Morose Kid,58.817843,60.36787400000001,1.5500310000000042
85,85,85,85,Gord Brody,59.284519,60.36787400000001,1.0833550000000045
86,86,86,86,Sandwich Customer,59.351187,60.36787400000001,1.0166870000000046
87,87,87,87,Julie Brody,60.36787400000001,62.61791900000001,2.250045
88,88,88,88,Jim Brody,60.36787400000001,62.61791900000001,2.250045
89,89,89,89,Mr. Malloy,60.617879,62.61791900000001,2.0000400000000056
90,90,90,90,Andy Malloy,60.617879,62.61791900000001,2.0000400000000056
91,91,91,91,Gord Brody,61.23455800000001,62.61791900000001,1.3833610000000007
92,92,92,92,Local Field Reporter,61.45122900000001,62.61791900000001,1.1666899999999956
93,93,93,93,Betty,61.58456500000001,62.61791900000001,1.0333539999999957
94,94,94,94,Pimply Manager,61.91790500000001,62.61791900000001,0.7000139999999959
95,95,95,95,Gord Brody,62.61791900000001,65.01796700000001,2.4000480000000053
96,96,96,96,Jim Brody,62.61791900000001,65.01796700000001,2.4000480000000053
97,97,97,97,Darren,63.08459500000001,65.01796700000001,1.9333720000000056
98,98,98,98,Security Guard – Studio,63.717941,65.01796700000001,1.3000260000000097
99,99,99,99,Mr. Davidson,63.851277,65.01796700000001,1.1666900000000098
100,100,100,100,Julie Brody,64.25128500000001,65.01796700000001,0.766682000000003
101,101,101,101,Freddy Brody,64.25128500000001,65.01796700000001,0.766682000000003
102,102,102,102,Jim Brody,65.01796700000001,66.75133500000001,1.7333679999999991
103,103,103,103,Davidson's Receptionist,65.01796700000001,66.75133500000001,1.7333679999999991
104,104,104,104,Mr. Davidson,65.28463900000001,66.75133500000001,1.4666959999999991
105,105,105,105,Gord Brody,65.28463900000001,66.75133500000001,1.4666959999999991
106,106,106,106,Gord Brody,66.75133500000001,68.10136200000001,1.3500269999999972
107,107,107,107,Jim Brody,66.91800500000001,68.10136200000001,1.1833570000000009
108,108,108,108,Julie Brody,66.91800500000001,68.10136200000001,1.1833570000000009
109,109,109,109,Freddy Brody,66.91800500000001,68.10136200000001,1.1833570000000009
110,110,110,110,Gord Brody,68.151363,72.66812,4.516756999999998
111,111,111,111,Darren,68.451369,72.66812,4.216751000000002
112,112,112,112,Helicopter Pilot,69.584725,72.66812,3.083394999999996
113,113,113,113,Betty,69.884731,72.66812,2.783389
114,114,114,114,Gord Brody,72.66812,74.81816300000001,2.150043000000011
115,115,115,115,Jim Brody,73.701474,74.81816300000001,1.116689000000008
116,116,116,116,Foreman,74.251485,74.81816300000001,0.5666780000000102
117,117,117,117,Jim Brody,74.901498,79.56825800000001,4.666760000000012
118,118,118,118,Gord Brody,75.63484600000002,79.56825800000001,3.9334119999999904
119,119,119,119,Gord Brody,79.56825800000001,81.00161999999997,1.4333619999999598
120,120,120,120,Jim Brody,79.56825800000001,81.00161999999997,1.4333619999999598
121,121,121,121,Anchorman,80.00160000000002,81.00161999999997,1.0000199999999495
122,122,122,122,Newscaster,80.051601,81.00161999999997,0.9500189999999692
123,123,123,123,Julie Brody,80.58494499999998,81.00161999999997,0.4166749999999979
