,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Max,0.683347,2.766722,2.083375
1,1,1,1,Carter,0.966686,2.766722,1.800036
2,2,2,2,Annie,1.150023,2.766722,1.616699
3,3,3,3,Bill,1.150023,2.766722,1.616699
4,4,4,4,Dan,2.066708,2.766722,0.7000139999999999
5,5,5,5,Linda,2.066708,2.766722,0.7000139999999999
6,6,6,6,Max,2.9333920000000004,17.633685999999994,14.700293999999992
7,7,7,7,Annie,2.9333920000000004,17.633685999999994,14.700293999999992
8,8,8,8,Nurse,3.266732,17.633685999999994,14.366953999999993
9,9,9,9,Dr. Chin,3.316733,17.633685999999994,14.316952999999994
10,10,10,10,Gary,5.683447,17.633685999999994,11.950238999999993
11,11,11,11,Bastian,5.683447,17.633685999999994,11.950238999999993
12,12,12,12,Madison,8.316833,17.633685999999994,9.316852999999991
13,13,13,13,Ryan,8.550171,17.633685999999994,9.083514999999991
14,14,14,14,Michelle,8.733508,17.633685999999994,8.900177999999991
15,15,15,15,Kevin,8.83351,17.633685999999994,8.800175999999992
16,16,16,16,Ryan's Date,9.700194000000002,17.633685999999994,7.933491999999991
17,17,17,17,Ryan's Date,9.800196000000001,17.633685999999994,7.833489999999991
18,18,18,18,Ryan's Date,9.916865,17.633685999999994,7.716820999999994
19,19,19,19,Brooks,12.033574000000002,17.633685999999994,5.600111999999991
20,20,20,20,Annie,17.633685999999994,32.350646999999995,14.716960999999998
21,21,21,21,Max,17.633685999999994,32.350646999999995,14.716960999999998
22,22,22,22,Gary,18.717041000000002,32.350646999999995,13.633605999999993
23,23,23,23,Bastian,18.750375,32.350646999999995,13.600271999999995
24,24,24,24,Brooks,20.217071,32.350646999999995,12.133575999999994
25,25,25,25,Sarah,20.250405,32.350646999999995,12.100241999999994
26,26,26,26,Kevin,20.250405,32.350646999999995,12.100241999999994
27,27,27,27,Ryan,20.250405,32.350646999999995,12.100241999999994
28,28,28,28,Michelle,20.267072,32.350646999999995,12.083574999999994
29,29,29,29,Val,22.800456,32.350646999999995,9.550190999999996
30,30,30,30,Colin,22.850457000000002,32.350646999999995,9.500189999999991
31,31,31,31,FBI Agent,24.76716200000001,32.350646999999995,7.583484999999985
32,32,32,32,Max,32.433982,52.401048,19.967066000000006
33,33,33,33,Annie,32.433982,52.401048,19.967066000000006
34,34,34,34,Colin,32.900658,52.401048,19.500390000000003
35,35,35,35,Tats,33.334,52.401048,19.067048
36,36,36,36,Val,34.984033000000004,52.401048,17.417015
37,37,37,37,Brooks,35.0007,52.401048,17.400348
38,38,38,38,Kevin,36.600732,52.401048,15.800316000000002
39,39,39,39,Michelle,36.600732,52.401048,15.800316000000002
40,40,40,40,Sarah,37.700754,52.401048,14.700294
41,41,41,41,Ryan,37.717421,52.401048,14.683627
42,42,42,42,Glenda,38.900778,52.401048,13.50027
43,43,43,43,FBI Agent,41.51749700000001,52.401048,10.88355099999999
44,44,44,44,Michelle,52.401048,71.50143000000001,19.10038200000001
45,45,45,45,Ryan,52.401048,71.50143000000001,19.10038200000001
46,46,46,46,Kevin,52.401048,71.50143000000001,19.10038200000001
47,47,47,47,Sarah,52.401048,71.50143000000001,19.10038200000001
48,48,48,48,Annie,52.401048,71.50143000000001,19.10038200000001
49,49,49,49,Max,52.401048,71.50143000000001,19.10038200000001
50,50,50,50,Gary,53.21773100000001,71.50143000000001,18.283699000000006
51,51,51,51,Bastian,53.21773100000001,71.50143000000001,18.283699000000006
52,52,52,52,Debbie,55.251105,71.50143000000001,16.25032500000001
53,53,53,53,Donald Anderton,62.55125100000001,71.50143000000001,8.950179000000006
54,54,54,54,Not Denzel,64.23461800000001,71.50143000000001,7.266812000000002
55,55,55,55,Max,71.53476400000002,90.385141,18.85037699999998
56,56,56,56,Annie,71.53476400000002,90.385141,18.85037699999998
57,57,57,57,Sarah,71.53476400000002,90.385141,18.85037699999998
58,58,58,58,Kevin,71.53476400000002,90.385141,18.85037699999998
59,59,59,59,Ryan,71.53476400000002,90.385141,18.85037699999998
60,60,60,60,Michelle,71.53476400000002,90.385141,18.85037699999998
61,61,61,61,Donald Anderton,71.60143199999997,90.385141,18.78370900000003
62,62,62,62,Brooks,73.35146700000001,90.385141,17.03367399999999
63,63,63,63,Colin,73.35146700000001,90.385141,17.03367399999999
64,64,64,64,Val,73.35146700000001,90.385141,17.03367399999999
65,65,65,65,Gary,76.351527,90.385141,14.033614000000002
66,66,66,66,The Bulgarian,80.26827200000002,90.385141,10.116868999999982
67,67,67,67,Bulgarian Goon,80.26827200000002,90.385141,10.116868999999982
68,68,68,68,Max,90.451809,92.868524,2.4167149999999964
69,69,69,69,Annie,90.451809,92.868524,2.4167149999999964
70,70,70,70,Brooks,90.535144,92.868524,2.3333799999999907
71,71,71,71,Sarah,90.601812,92.868524,2.2667119999999983
72,72,72,72,Kevin,90.601812,92.868524,2.2667119999999983
73,73,73,73,Ryan,90.601812,92.868524,2.2667119999999983
74,74,74,74,Michelle,90.601812,92.868524,2.2667119999999983
75,75,75,75,Bastian,90.601812,92.868524,2.2667119999999983
76,76,76,76,Dr. Chin,91.418495,92.868524,1.450029000000001
77,77,77,77,Gary,91.551831,92.868524,1.3166929999999866
