,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Mission Control,1.033354,9.816863,8.783508999999999
1,1,1,1,Explorer Captain,1.133356,9.816863,8.683506999999999
2,2,2,2,Ryan Stone,1.350027,9.816863,8.466835999999999
3,3,3,3,Matt Kowalski,1.9667060000000005,9.816863,7.8501569999999985
4,4,4,4,Shariff,2.9833930000000004,9.816863,6.8334699999999975
5,5,5,5,Shariff,9.816863,16.616999,6.800136
6,6,6,6,Mission Control,9.816863,16.616999,6.800136
7,7,7,7,Matt Kowalski,9.816863,16.616999,6.800136
8,8,8,8,Ryan Stone,9.816863,16.616999,6.800136
9,9,9,9,Russian Space Station Captain,9.83353,16.616999,6.783469
10,10,10,10,Explorer Captain,9.866864,16.616999,6.750135
11,11,11,11,Matt Kowalski,16.616999,21.733768,5.1167690000000015
12,12,12,12,Ryan Stone,16.633666,21.733768,5.100102
13,13,13,13,Shariff,20.167070000000002,21.733768,1.5666979999999988
14,14,14,14,Shariff,21.733768,24.26715200000001,2.5333840000000087
15,15,15,15,Matt Kowalski,21.733768,24.26715200000001,2.5333840000000087
16,16,16,16,Ryan Stone,21.733768,24.26715200000001,2.5333840000000087
17,17,17,17,Explorer Captain,22.517117000000002,24.26715200000001,1.7500350000000076
18,18,18,18,Matt Kowalski,24.26715200000001,32.50065,8.23349799999999
19,19,19,19,Ryan Stone,24.26715200000001,32.50065,8.23349799999999
20,20,20,20,Matt Kowalski,32.50065,37.534084,5.033434
21,21,21,21,Ryan Stone,32.50065,37.534084,5.033434
22,22,22,22,Ryan Stone,37.534084,44.66756,7.133476000000003
23,23,23,23,Ryan Stone,44.66756,48.78430900000001,4.116749000000007
24,24,24,24,Ryan Stone,48.78430900000001,53.48440300000001,4.700094
25,25,25,25,Ryan Stone,53.50107000000001,56.98447300000001,3.483402999999996
26,26,26,26,Ryan Stone,57.01780700000001,66.11798900000001,9.100181999999997
27,27,27,27,Aningaaq,57.101142,66.11798900000001,9.016847000000006
28,28,28,28,Matt Kowalski,62.734588,66.11798900000001,3.3834010000000063
29,29,29,29,Ryan Stone,66.11798900000001,71.16809,5.050100999999998
30,30,30,30,Ryan Stone,71.16809,73.31813299999997,2.150042999999968
31,31,31,31,Ryan Stone,73.31813299999997,76.901538,3.5834050000000275
32,32,32,32,Ryan Stone,77.01820699999998,81.06828800000002,4.0500810000000484
33,33,33,33,Mission Control,78.81824300000002,81.06828800000002,2.250045
34,34,34,34,Ryan Stone,81.06828800000002,83.80167600000001,2.7333879999999904
