,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Kofi Novia,1.616699,5.300106,3.683407
1,1,1,1,Kofi Novia,5.300106,11.100222,5.800116
2,2,2,2,Deni Maroon,5.566778,11.100222,5.533444
3,3,3,3,Butcher,6.3834610000000005,11.100222,4.716761
4,4,4,4,Deni's Neighbor,6.650133,11.100222,4.450089
5,5,5,5,Shopkeeper Woman,6.983473000000001,11.100222,4.1167489999999995
6,6,6,6,Victor,7.3168130000000025,11.100222,3.783408999999998
7,7,7,7,Mapi,7.3168130000000025,11.100222,3.783408999999998
8,8,8,8,Dodo,7.3668140000000015,11.100222,3.733407999999999
9,9,9,9,Radio Station Engineer,8.900178,11.100222,2.200044
10,10,10,10,Yara Love,9.783529,11.100222,1.3166930000000008
11,11,11,11,Kito,9.933532000000001,11.100222,1.1666899999999991
12,12,12,12,Radio Station Engineer,11.116889,17.66702,6.550131
13,13,13,13,Deni Maroon,11.133556,17.66702,6.533464
14,14,14,14,Factory Guard,11.966906000000002,17.66702,5.700113999999999
15,15,15,15,Emani Dune,12.100242,17.66702,5.566778000000001
16,16,16,16,Coley,13.150263,17.66702,4.516757
17,17,17,17,nt0748588,14.933632000000001,17.66702,2.733388
18,18,18,18,Deni Maroon,17.717021000000006,23.383801000000002,5.6667799999999975
19,19,19,19,Red's Secretary,18.017027,23.383801000000002,5.366774000000003
20,20,20,20,Red Cargo,18.633706,23.383801000000002,4.750095000000002
21,21,21,21,nt0009373,19.133716000000003,23.383801000000002,4.250084999999999
22,22,22,22,Kofi Novia,23.683807,30.183937000000004,6.500130000000002
23,23,23,23,nt1527183,23.767142000000003,30.183937000000004,6.4167950000000005
24,24,24,24,Deni Maroon,24.133816000000003,30.183937000000004,6.050121000000001
25,25,25,25,nt0279886,25.883851000000003,30.183937000000004,4.300086
26,26,26,26,Yara Love,30.183937000000004,31.917305,1.7333679999999951
27,27,27,27,Kofi Novia,30.300606,31.917305,1.6166990000000006
28,28,28,28,nt1439414,30.383941000000004,31.917305,1.5333639999999953
29,29,29,29,Kito,30.733948,31.917305,1.183356999999997
30,30,30,30,Naeema,31.133956,31.917305,0.7833489999999976
31,31,31,31,Deni Maroon,31.967306000000004,33.283999,1.3166929999999972
32,32,32,32,Zoila,32.25064500000001,33.283999,1.0333539999999886
33,33,33,33,Mapi,32.25064500000001,33.283999,1.0333539999999886
34,34,34,34,Naeema,33.400668,36.967406,3.5667379999999937
35,35,35,35,Kofi Novia,33.56733800000001,36.967406,3.4000679999999903
36,36,36,36,Yara Love,33.56733800000001,36.967406,3.4000679999999903
37,37,37,37,Deni Maroon,33.734008,36.967406,3.2333979999999936
38,38,38,38,Red Cargo,34.90069800000001,36.967406,2.0667079999999842
39,39,39,39,Red's Secretary,34.967366000000005,36.967406,2.0000399999999914
40,40,40,40,Radio Station Engineer,36.084055000000006,36.967406,0.8833509999999904
41,41,41,41,Kofi Novia,37.034074,45.250905,8.216831000000006
42,42,42,42,Woman at Concert,37.767422,45.250905,7.483483
43,43,43,43,Deni Maroon,38.100762,45.250905,7.150142999999999
44,44,44,44,Zoila,38.584105,45.250905,6.666800000000002
45,45,45,45,Mapi,38.584105,45.250905,6.666800000000002
46,46,46,46,Deni's Assassin,41.85083700000001,45.250905,3.4000679999999903
47,47,47,47,Red Cargo,45.250905,51.16769000000001,5.916785000000004
48,48,48,48,Red's Chauffeur,45.784249,51.16769000000001,5.383441000000005
49,49,49,49,Factory Guard,47.55095100000001,51.16769000000001,3.616738999999996
50,50,50,50,nt0009375,47.967626,51.16769000000001,3.2000640000000047
51,51,51,51,Zoila,48.284299,51.16769000000001,2.8833910000000103
52,52,52,52,Mapi,48.284299,51.16769000000001,2.8833910000000103
53,53,53,53,Deni Maroon,48.334300000000006,51.16769000000001,2.8333900000000014
54,54,54,54,Kofi Novia,49.46765600000001,51.16769000000001,1.7000339999999952
55,55,55,55,Yara Love,50.484343,51.16769000000001,0.6833470000000048
56,56,56,56,Coley,50.584345000000006,51.16769000000001,0.5833450000000013
