,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Harry Potter,0.8833510000000001,1.416695,0.5333439999999999
1,1,1,1,James Potter,1.0000200000000001,1.416695,0.4166749999999999
2,2,2,2,Lily Potter,1.0000200000000001,1.416695,0.4166749999999999
3,3,3,3,Ron Weasley,1.116689,1.416695,0.300006
4,4,4,4,Hermione Granger,1.116689,1.416695,0.300006
5,5,5,5,Uncle Vernon Dursley,1.33336,1.416695,0.08333499999999994
6,6,6,6,Aunt Petunia Dursley,1.416695,2.9833930000000004,1.5666980000000004
7,7,7,7,Harry Potter,1.4833630000000002,2.9833930000000004,1.5000300000000002
8,8,8,8,Uncle Vernon Dursley,1.583365,2.9833930000000004,1.4000280000000005
9,9,9,9,Dudley Dursley,1.583365,2.9833930000000004,1.4000280000000005
10,10,10,10,Dudley Dursley,3.0167270000000004,4.300086,1.283359
11,11,11,11,Harry Potter,3.0167270000000004,4.300086,1.283359
12,12,12,12,Dobby the House Elf,3.0333940000000004,4.300086,1.266692
13,13,13,13,Dudley Dursley,4.300086,7.900158000000001,3.6000720000000013
14,14,14,14,Uncle Vernon Dursley,4.300086,7.900158000000001,3.6000720000000013
15,15,15,15,Mrs. Mason,4.300086,7.900158000000001,3.6000720000000013
16,16,16,16,Mr. Mason,4.350087,7.900158000000001,3.5500710000000013
17,17,17,17,Aunt Petunia Dursley,4.350087,7.900158000000001,3.5500710000000013
18,18,18,18,Dobby the House Elf,4.450089,7.900158000000001,3.4500690000000014
19,19,19,19,Harry Potter,4.450089,7.900158000000001,3.4500690000000014
20,20,20,20,Aunt Petunia Dursley,7.900158000000001,10.466876,2.566717999999998
21,21,21,21,Dudley Dursley,7.900158000000001,10.466876,2.566717999999998
22,22,22,22,Uncle Vernon Dursley,7.900158000000001,10.466876,2.566717999999998
23,23,23,23,Harry Potter,8.050161000000001,10.466876,2.4167149999999977
24,24,24,24,Ron Weasley,8.883511,10.466876,1.5833649999999988
25,25,25,25,Fred Weasley,8.883511,10.466876,1.5833649999999988
26,26,26,26,George Weasley,8.883511,10.466876,1.5833649999999988
27,27,27,27,Ron Weasley,10.750215,12.050241000000002,1.3000260000000008
28,28,28,28,Harry Potter,10.750215,12.050241000000002,1.3000260000000008
29,29,29,29,George Weasley,10.750215,12.050241000000002,1.3000260000000008
30,30,30,30,Fred Weasley,10.816883,12.050241000000002,1.2333580000000008
31,31,31,31,Mrs Weasley,11.583565000000002,12.050241000000002,0.4666759999999997
32,32,32,32,Ginny Weasley,12.066908000000002,14.100282000000002,2.0333740000000002
33,33,33,33,Mrs Weasley,12.083575000000002,14.100282000000002,2.016707
34,34,34,34,Ron Weasley,12.166910000000001,14.100282000000002,1.9333720000000003
35,35,35,35,Harry Potter,12.166910000000001,14.100282000000002,1.9333720000000003
36,36,36,36,Percy Weasley,12.183577,14.100282000000002,1.916705000000002
37,37,37,37,Fred Weasley,12.183577,14.100282000000002,1.916705000000002
38,38,38,38,George Weasley,12.183577,14.100282000000002,1.916705000000002
39,39,39,39,Arthur Weasley,12.466916000000001,14.100282000000002,1.6333660000000003
40,40,40,40,Mrs Weasley,14.116949000000002,15.183637,1.0666879999999974
41,41,41,41,Percy Weasley,14.133616000000002,15.183637,1.0500209999999974
42,42,42,42,George Weasley,14.133616000000002,15.183637,1.0500209999999974
43,43,43,43,Ron Weasley,14.150283000000002,15.183637,1.0333539999999974
44,44,44,44,Harry Potter,14.150283000000002,15.183637,1.0333539999999974
45,45,45,45,Arthur Weasley,14.150283000000002,15.183637,1.0333539999999974
46,46,46,46,Ginny Weasley,14.150283000000002,15.183637,1.0333539999999974
47,47,47,47,Fred Weasley,14.150283000000002,15.183637,1.0333539999999974
48,48,48,48,Harry Potter,15.200304000000001,16.366994000000002,1.1666900000000011
49,49,49,49,Harry Potter,16.383661,16.967006,0.5833450000000013
50,50,50,50,Aged Witch,16.383661,16.967006,0.5833450000000013
51,51,51,51,Rubeus Hagrid,16.83367,16.967006,0.1333359999999999
52,52,52,52,Rubeus Hagrid,17.017007000000003,17.933692,0.9166849999999976
53,53,53,53,Harry Potter,17.033673999999998,17.933692,0.9000180000000029
54,54,54,54,Hermione Granger,17.417015000000006,17.933692,0.5166769999999943
55,55,55,55,Girl in Bookstore,17.933692,22.25044500000001,4.316753000000009
56,56,56,56,Professor Gilderoy Lockhart,17.950359000000006,22.25044500000001,4.300086000000004
57,57,57,57,Harry Potter,18.050361,22.25044500000001,4.200084000000011
58,58,58,58,Hermione Granger,18.050361,22.25044500000001,4.200084000000011
59,59,59,59,Mrs. Granger,18.117029000000002,22.25044500000001,4.133416000000008
60,60,60,60,Ron Weasley,18.117029000000002,22.25044500000001,4.133416000000008
61,61,61,61,Mrs Weasley,18.117029000000002,22.25044500000001,4.133416000000008
62,62,62,62,Arthur Weasley,18.117029000000002,22.25044500000001,4.133416000000008
63,63,63,63,Mr. Granger,18.133696,22.25044500000001,4.116749000000009
64,64,64,64,Ginny Weasley,18.133696,22.25044500000001,4.116749000000009
65,65,65,65,Short Man - Daily Prophet,18.400368,22.25044500000001,3.8500770000000095
66,66,66,66,Draco Malfoy,19.117049,22.25044500000001,3.1333960000000083
67,67,67,67,Lucius Malfoy,19.950399,22.25044500000001,2.3000460000000094
68,68,68,68,Arthur Weasley,22.31711300000001,23.617139,1.300025999999992
69,69,69,69,Ron Weasley,22.35044700000001,23.617139,1.266691999999992
70,70,70,70,Harry Potter,22.35044700000001,23.617139,1.266691999999992
71,71,71,71,Percy Weasley,22.35044700000001,23.617139,1.266691999999992
72,72,72,72,Mrs Weasley,22.35044700000001,23.617139,1.266691999999992
73,73,73,73,Ginny Weasley,22.35044700000001,23.617139,1.266691999999992
74,74,74,74,Fred Weasley,22.35044700000001,23.617139,1.266691999999992
75,75,75,75,George Weasley,22.35044700000001,23.617139,1.266691999999992
76,76,76,76,Station Guard,22.983793,23.617139,0.6333460000000031
77,77,77,77,Ron Weasley,23.783809,24.050481,0.2666719999999998
78,78,78,78,Harry Potter,23.783809,24.050481,0.2666719999999998
79,79,79,79,Ron Weasley,24.183817,25.933852,1.7500350000000005
80,80,80,80,Harry Potter,24.183817,25.933852,1.7500350000000005
81,81,81,81,Ron Weasley,26.067188,29.46725600000001,3.4000680000000085
82,82,82,82,Harry Potter,26.100522,29.46725600000001,3.366734000000009
83,83,83,83,Argus Filch,29.150583,29.46725600000001,0.31667300000000864
84,84,84,84,Severus Snape,29.483923000000004,31.117289000000003,1.6333659999999988
85,85,85,85,Argus Filch,29.633926000000002,31.117289000000003,1.4833630000000009
86,86,86,86,Ron Weasley,29.633926000000002,31.117289000000003,1.4833630000000009
87,87,87,87,Harry Potter,29.633926000000002,31.117289000000003,1.4833630000000009
88,88,88,88,Professor Albus Dumbledore,30.150603000000004,31.117289000000003,0.9666859999999992
89,89,89,89,Professor Minerva McGonagall,30.183937000000004,31.117289000000003,0.9333519999999992
90,90,90,90,Professor Pomona Sprout,31.433962000000005,33.183997000000005,1.7500350000000005
91,91,91,91,Dean Thomas,31.500630000000005,33.183997000000005,1.6833670000000005
92,92,92,92,Draco Malfoy,31.500630000000005,33.183997000000005,1.6833670000000005
93,93,93,93,Ron Weasley,31.500630000000005,33.183997000000005,1.6833670000000005
94,94,94,94,Gregory Goyle,31.500630000000005,33.183997000000005,1.6833670000000005
95,95,95,95,Neville Longbottom,31.500630000000005,33.183997000000005,1.6833670000000005
96,96,96,96,Seamus Finnigan,31.500630000000005,33.183997000000005,1.6833670000000005
97,97,97,97,Harry Potter,31.500630000000005,33.183997000000005,1.6833670000000005
98,98,98,98,Vincent Crabbe,31.500630000000005,33.183997000000005,1.6833670000000005
99,99,99,99,Susan Bones,31.533964000000005,33.183997000000005,1.6500330000000003
100,100,100,100,Hermione Granger,31.533964000000005,33.183997000000005,1.6500330000000003
101,101,101,101,Nearly Headless Nick,33.250665000000005,35.217371,1.9667059999999952
102,102,102,102,Percy Weasley,33.267332,35.217371,1.9500389999999967
103,103,103,103,Penelope Clearwater,33.267332,35.217371,1.9500389999999967
104,104,104,104,Ron Weasley,33.450669000000005,35.217371,1.766701999999995
105,105,105,105,Harry Potter,33.56733800000001,35.217371,1.6500329999999934
106,106,106,106,Colin Creevey,33.617339,35.217371,1.6000319999999988
107,107,107,107,Hermione Granger,33.734008,35.217371,1.4833629999999969
108,108,108,108,Dean Thomas,33.750675,35.217371,1.4666959999999991
109,109,109,109,Fred Weasley,33.750675,35.217371,1.4666959999999991
110,110,110,110,George Weasley,33.750675,35.217371,1.4666959999999991
111,111,111,111,Oliver Wood,33.834010000000006,35.217371,1.3833609999999936
112,112,112,112,Neville Longbottom,33.850677000000005,35.217371,1.3666939999999954
113,113,113,113,Seamus Finnigan,33.950679,35.217371,1.266691999999999
114,114,114,114,Draco Malfoy,34.00068,35.217371,1.2166909999999973
115,115,115,115,Gregory Goyle,34.00068,35.217371,1.2166909999999973
116,116,116,116,Vincent Crabbe,34.00068,35.217371,1.2166909999999973
117,117,117,117,Mrs Weasley,34.467356,35.217371,0.7500149999999977
118,118,118,118,Ginny Weasley,34.917365000000004,35.217371,0.3000059999999962
119,119,119,119,Professor Gilderoy Lockhart,35.250705,37.984093,2.7333879999999984
120,120,120,120,Susan Bones,35.250705,37.984093,2.7333879999999984
121,121,121,121,Draco Malfoy,35.250705,37.984093,2.7333879999999984
122,122,122,122,Ron Weasley,35.250705,37.984093,2.7333879999999984
123,123,123,123,Gregory Goyle,35.250705,37.984093,2.7333879999999984
124,124,124,124,Neville Longbottom,35.250705,37.984093,2.7333879999999984
125,125,125,125,Seamus Finnigan,35.250705,37.984093,2.7333879999999984
126,126,126,126,Harry Potter,35.250705,37.984093,2.7333879999999984
127,127,127,127,Hermione Granger,35.250705,37.984093,2.7333879999999984
128,128,128,128,Vincent Crabbe,35.250705,37.984093,2.7333879999999984
129,129,129,129,Oliver Wood,38.06742800000001,39.884131,1.8167029999999893
130,130,130,130,Harry Potter,38.06742800000001,39.884131,1.8167029999999893
131,131,131,131,Fred Weasley,38.08409500000001,39.884131,1.8000359999999844
132,132,132,132,George Weasley,38.08409500000001,39.884131,1.8000359999999844
133,133,133,133,Katie Bell,38.08409500000001,39.884131,1.8000359999999844
