,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Hugo Cabret,1.916705,3.4667360000000005,1.5500310000000004
1,1,1,1,Station Inspector,2.066708,3.4667360000000005,1.4000280000000005
2,2,2,2,Madame Emilie,2.283379,3.4667360000000005,1.1833570000000004
3,3,3,3,Lisette,2.350047,3.4667360000000005,1.1166890000000005
4,4,4,4,Monsieur Frick,2.4000480000000004,3.4667360000000005,1.066688
5,5,5,5,Monsieur Labisse,2.4333820000000004,3.4667360000000005,1.033354
6,6,6,6,Django Reinhardt,2.5167170000000003,3.4667360000000005,0.9500190000000002
7,7,7,7,Georges Méliès,3.400068,3.4667360000000005,0.0666680000000004
8,8,8,8,Georges Méliès,3.4667360000000005,7.016807000000001,3.5500710000000004
9,9,9,9,Hugo Cabret,3.633406,7.016807000000001,3.383401000000001
10,10,10,10,Isabelle,3.783409,7.016807000000001,3.233398000000001
11,11,11,11,Hugo Cabret,7.016807000000001,9.600192000000002,2.5833850000000007
12,12,12,12,Georges Méliès,7.016807000000001,9.600192000000002,2.5833850000000007
13,13,13,13,Station Inspector,7.116809000000001,9.600192000000002,2.483383000000001
14,14,14,14,Django Reinhardt,7.783489,9.600192000000002,1.8167030000000013
15,15,15,15,Madame Emilie,7.966826000000001,9.600192000000002,1.6333660000000003
16,16,16,16,James Joyce,8.016827000000001,9.600192000000002,1.5833650000000006
17,17,17,17,Salvador Dali,8.016827000000001,9.600192000000002,1.5833650000000006
18,18,18,18,Monsieur Frick,8.600172,9.600192000000002,1.000020000000001
19,19,19,19,Hugo Cabret,9.600192000000002,12.983593,3.3834009999999988
20,20,20,20,Madame Emilie,11.100222,12.983593,1.8833710000000004
21,21,21,21,Monsieur Frick,11.133556,12.983593,1.8500370000000004
22,22,22,22,Georges Méliès,12.983593,17.333679999999998,4.350086999999997
23,23,23,23,Hugo Cabret,13.100262,17.333679999999998,4.233417999999997
24,24,24,24,Mama Jeanne,15.350307,17.333679999999998,1.9833729999999967
25,25,25,25,Isabelle,15.350307,17.333679999999998,1.9833729999999967
26,26,26,26,Hugo Cabret,17.333679999999998,21.050421000000004,3.7167410000000083
27,27,27,27,Hugo's Father,17.983693000000006,21.050421000000004,3.0667279999999977
28,28,28,28,Hugo Cabret,21.050421000000004,23.533804000000003,2.4833830000000003
29,29,29,29,Uncle Claude,21.183757000000004,23.533804000000003,2.350047
30,30,30,30,Madame Emilie,23.533804000000003,26.017187000000003,2.4833830000000003
31,31,31,31,Hugo Cabret,23.650473,26.017187000000003,2.3667140000000018
32,32,32,32,Monsieur Frick,23.750475,26.017187000000003,2.2667120000000023
33,33,33,33,Station Inspector,24.56715800000001,26.017187000000003,1.4500289999999936
34,34,34,34,Lisette,25.250505000000004,26.017187000000003,0.7666819999999994
35,35,35,35,Georges Méliès,26.017187000000003,30.200604,4.183416999999995
36,36,36,36,Hugo Cabret,26.16719,30.200604,4.033413999999997
37,37,37,37,Isabelle,27.367214000000004,30.200604,2.8333899999999943
38,38,38,38,Monsieur Labisse,28.100562000000004,30.200604,2.1000419999999957
39,39,39,39,Hugo Cabret,30.200604,33.050661000000005,2.8500570000000067
40,40,40,40,Isabelle,30.200604,33.050661000000005,2.8500570000000067
41,41,41,41,Georges Méliès,30.550611000000004,33.050661000000005,2.5000500000000017
42,42,42,42,Django Reinhardt,33.050661000000005,35.717381,2.666719999999998
43,43,43,43,Madame Emilie,33.117329000000005,35.717381,2.600051999999998
44,44,44,44,Hugo Cabret,33.200664,35.717381,2.516717
45,45,45,45,Georges Méliès,33.283999,35.717381,2.4333820000000017
46,46,46,46,Isabelle,34.250685000000004,35.717381,1.4666959999999991
47,47,47,47,Street Kid,35.717381,38.41743500000001,2.7000540000000086
48,48,48,48,Hugo Cabret,35.81738300000001,38.41743500000001,2.6000520000000047
49,49,49,49,Station Inspector,35.934052,38.41743500000001,2.4833830000000106
50,50,50,50,Policeman,37.717421,38.41743500000001,0.7000140000000101
51,51,51,51,Hugo Cabret,38.41743500000001,41.200824,2.783388999999985
52,52,52,52,Isabelle,38.450769,41.200824,2.750054999999996
53,53,53,53,The Boy,40.25080500000001,41.200824,0.9500189999999904
54,54,54,54,The Pal,40.65081300000001,41.200824,0.5500109999999907
55,55,55,55,Theatre Manager,40.93415200000001,41.200824,0.2666719999999856
56,56,56,56,Hugo Cabret,41.200824,42.71752100000001,1.5166970000000148
57,57,57,57,Isabelle,41.200824,42.71752100000001,1.5166970000000148
58,58,58,58,Hugo Cabret,42.71752100000001,45.917585,3.2000639999999905
59,59,59,59,Isabelle,42.71752100000001,45.917585,3.2000639999999905
60,60,60,60,Station Inspector,43.00086,45.917585,2.916725
61,61,61,61,Hugo Cabret,45.917585,47.60095200000001,1.6833670000000045
62,62,62,62,Isabelle,45.917585,47.60095200000001,1.6833670000000045
63,63,63,63,Hugo Cabret,47.60095200000001,49.11764900000001,1.5166970000000006
64,64,64,64,Isabelle,47.61761900000001,49.11764900000001,1.5000299999999953
65,65,65,65,Hugo Cabret,49.11764900000001,52.30104600000001,3.1833970000000003
66,66,66,66,Isabelle,49.11764900000001,52.30104600000001,3.1833970000000003
67,67,67,67,Hugo Cabret,52.30104600000001,55.61777900000001,3.3167330000000064
68,68,68,68,Isabelle,52.30104600000001,55.61777900000001,3.3167330000000064
69,69,69,69,Hugo Cabret,55.61777900000001,58.351167000000004,2.7333879999999904
70,70,70,70,Isabelle,55.61777900000001,58.351167000000004,2.7333879999999904
71,71,71,71,Mama Jeanne,55.83445,58.351167000000004,2.516717000000007
72,72,72,72,Hugo Cabret,58.351167000000004,63.03459400000001,4.683427000000009
73,73,73,73,Mama Jeanne,58.351167000000004,63.03459400000001,4.683427000000009
74,74,74,74,Isabelle,58.367834,63.03459400000001,4.666760000000012
75,75,75,75,Georges Méliès,59.06784800000001,63.03459400000001,3.966746000000001
76,76,76,76,Hugo Cabret,63.03459400000001,64.88463100000001,1.8500370000000004
77,77,77,77,Isabelle,63.03459400000001,64.88463100000001,1.8500370000000004
78,78,78,78,Monsieur Labisse,63.90127800000001,64.88463100000001,0.983353000000001
79,79,79,79,Station Inspector,64.751295,64.88463100000001,0.1333360000000141
80,80,80,80,Madame Emilie,64.751295,64.88463100000001,0.1333360000000141
