,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,TV Personality,0.9000180000000001,2.16671,1.266692
1,1,1,1,Dr. Alice Krippin,1.1000219999999998,2.16671,1.0666880000000003
2,2,2,2,Robert Neville,3.266732,5.2001040000000005,1.9333720000000003
3,3,3,3,Sam,3.366734,5.2001040000000005,1.8333700000000004
4,4,4,4,Sam,5.2001040000000005,7.850157000000001,2.6500530000000007
5,5,5,5,Robert Neville,5.2001040000000005,7.850157000000001,2.6500530000000007
6,6,6,6,Robert Neville,8.183497000000001,10.183537,2.0000399999999985
7,7,7,7,Sam,8.316833,10.183537,1.8667039999999984
8,8,8,8,Herself,8.883511,10.183537,1.300025999999999
9,9,9,9,Zoe Neville,9.316853,10.183537,0.8666839999999993
10,10,10,10,Marley Neville,9.316853,10.183537,0.8666839999999993
11,11,11,11,Himself,9.766862,10.183537,0.4166749999999997
12,12,12,12,Herself,9.83353,10.183537,0.3500069999999997
13,13,13,13,Sam,10.183537,12.083575000000002,1.9000380000000021
14,14,14,14,Robert Neville,10.183537,12.083575000000002,1.9000380000000021
15,15,15,15,Robert Neville,12.616919000000001,15.250305,2.633386
16,16,16,16,Sam,12.616919000000001,15.250305,2.633386
17,17,17,17,Zoe Neville,13.100262,15.250305,2.150043
18,18,18,18,Marley Neville,13.116929,15.250305,2.133376
19,19,19,19,Military Driver - Jay,13.183597,15.250305,2.066708
20,20,20,20,Mike - Military Escort,13.200264,15.250305,2.050041
21,21,21,21,President,14.100282000000002,15.250305,1.1500229999999991
22,22,22,22,Robert Neville,15.266972,18.3337,3.0667279999999995
23,23,23,23,Sam,15.416975,18.3337,2.916725
24,24,24,24,Zoe Neville,15.833650000000002,18.3337,2.500049999999998
25,25,25,25,Marley Neville,15.833650000000002,18.3337,2.500049999999998
26,26,26,26,Robert Neville,18.350367000000002,26.71720100000001,8.366834000000008
27,27,27,27,Sam,18.350367000000002,26.71720100000001,8.366834000000008
28,28,28,28,Robert Neville,26.71720100000001,31.81730300000001,5.100102
29,29,29,29,Sam,30.650613000000003,31.81730300000001,1.1666900000000062
30,30,30,30,Sam,31.81730300000001,34.267352,2.4500489999999933
31,31,31,31,Robert Neville,31.81730300000001,34.267352,2.4500489999999933
32,32,32,32,Alpha Male,34.084015,34.267352,0.18333700000000164
33,33,33,33,Creature Vocals,34.084015,34.267352,0.18333700000000164
34,34,34,34,Robert Neville,34.267352,37.784089,3.5167369999999987
35,35,35,35,Alpha Female,34.467356,37.784089,3.316733
36,36,36,36,Robert Neville,37.784089,39.250785,1.4666959999999991
37,37,37,37,Sam,37.88409100000001,39.250785,1.3666939999999883
38,38,38,38,Robert Neville,39.284119,44.067548,4.783429000000004
39,39,39,39,Zoe Neville,39.317453,44.067548,4.750095000000002
40,40,40,40,Mike - Military Escort,39.384121,44.067548,4.683427000000002
41,41,41,41,Marley Neville,39.567458,44.067548,4.50009
42,42,42,42,Military Driver - Jay,39.85079700000001,44.067548,4.216750999999995
43,43,43,43,Military Scanning Tech,40.767482,44.067548,3.300066000000001
44,44,44,44,Woman Evacuee,41.200824,44.067548,2.866724000000005
45,45,45,45,Little Girl Evacuee,41.200824,44.067548,2.866724000000005
46,46,46,46,Military Police,41.800836,44.067548,2.2667120000000054
47,47,47,47,Robert Neville,44.08421500000001,45.01756700000001,0.9333519999999992
48,48,48,48,Himself,44.43422200000001,45.01756700000001,0.5833449999999942
49,49,49,49,Dr. Alice Krippin,44.517557000000004,45.01756700000001,0.5000100000000032
50,50,50,50,Sam,44.784229,45.01756700000001,0.2333380000000033
51,51,51,51,Sam,45.01756700000001,53.917745,8.90017799999999
52,52,52,52,Robert Neville,45.01756700000001,53.917745,8.90017799999999
53,53,53,53,Alpha Male,51.98437300000001,53.917745,1.9333719999999843
54,54,54,54,Creature Vocals,51.98437300000001,53.917745,1.9333719999999843
55,55,55,55,Robert Neville,53.934412,56.91780500000001,2.9833930000000066
56,56,56,56,Sam,54.08441500000001,56.91780500000001,2.8333900000000014
57,57,57,57,Robert Neville,57.08447500000001,59.70119400000001,2.6167189999999962
