,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Teenage Boy Car Driver,0.4333420000000001,2.5167170000000003,2.083375
1,1,1,1,Teenage Girl,0.4333420000000001,2.5167170000000003,2.083375
2,2,2,2,Teenage Boy,0.4333420000000001,2.5167170000000003,2.083375
3,3,3,3,Teenage Girl,0.4333420000000001,2.5167170000000003,2.083375
4,4,4,4,Dovchenko,1.8000360000000002,2.5167170000000003,0.7166810000000001
5,5,5,5,M.P. Sergeant,2.750055,3.883411,1.133356
6,6,6,6,M.P. in Guard Hut,2.750055,3.883411,1.133356
7,7,7,7,Dovchenko,3.0000600000000004,3.883411,0.8833509999999998
8,8,8,8,'Mac' George Michale,3.900078,18.250365,14.350286999999998
9,9,9,9,Indiana Jones,4.150083,18.250365,14.100281999999998
10,10,10,10,Russian Soldier,4.433422,18.250365,13.816942999999998
11,11,11,11,Russian Soldier,4.433422,18.250365,13.816942999999998
12,12,12,12,Dovchenko,5.0334340000000015,18.250365,13.216930999999995
13,13,13,13,Irina Spalko,5.650113,18.250365,12.600251999999998
14,14,14,14,Russian Soldier,5.766782000000001,18.250365,12.483582999999998
15,15,15,15,Indiana Jones,18.3337,21.700434,3.366734000000001
16,16,16,16,Irina Spalko,18.600372,21.700434,3.100062000000001
17,17,17,17,Russian Soldier,19.917065,21.700434,1.7833690000000004
18,18,18,18,Indiana Jones,21.867104,24.53382400000001,2.6667200000000086
19,19,19,19,Smith,22.08377500000001,24.53382400000001,2.4500490000000004
20,20,20,20,Taylor,22.08377500000001,24.53382400000001,2.4500490000000004
21,21,21,21,General Ross,23.150463000000002,24.53382400000001,1.3833610000000078
22,22,22,22,Irina Spalko,23.517137,24.53382400000001,1.016687000000008
23,23,23,23,Dean Charles Stanforth,24.66716000000001,26.16719,1.5000299999999918
24,24,24,24,Indiana Jones,24.683827,26.16719,1.4833630000000009
25,25,25,25,Indiana Jones,26.250525000000003,27.617219,1.3666939999999954
26,26,26,26,Dean Charles Stanforth,26.283859000000003,27.617219,1.3333599999999954
27,27,27,27,"Professor Henry Jones, Sr.",27.100542,27.617219,0.5166769999999978
28,28,28,28,Marcus Brody,27.100542,27.617219,0.5166769999999978
29,29,29,29,Indiana Jones,27.617219,28.667240000000003,1.0500210000000043
30,30,30,30,Russian Suit,27.883891,28.667240000000003,0.7833490000000047
31,31,31,31,Russian Suit,27.900558000000004,28.667240000000003,0.7666819999999994
32,32,32,32,Mutt Williams,27.967226000000004,28.667240000000003,0.7000139999999995
33,33,33,33,Mutt Williams,28.667240000000003,33.684007,5.016766999999998
34,34,34,34,Professor Oxley,28.667240000000003,33.684007,5.016766999999998
35,35,35,35,Indiana Jones,28.667240000000003,33.684007,5.016766999999998
36,36,36,36,Slugger,28.783909,33.684007,4.900098000000002
37,37,37,37,Letterman,28.783909,33.684007,4.900098000000002
38,38,38,38,Diner Waitress,29.46725600000001,33.684007,4.2167509999999915
39,39,39,39,Malt Shop Teen,29.817263000000004,33.684007,3.866743999999997
40,40,40,40,Russian Suit,29.983933000000004,33.684007,3.700073999999997
41,41,41,41,Russian Suit,29.983933000000004,33.684007,3.700073999999997
42,42,42,42,College Brawler,29.983933000000004,33.684007,3.700073999999997
43,43,43,43,Letterman,33.083995,33.684007,0.6000119999999995
44,44,44,44,Letterman,33.083995,33.684007,0.6000119999999995
45,45,45,45,Mutt Williams,33.684007,36.95073900000001,3.2667320000000117
46,46,46,46,Indiana Jones,33.684007,36.95073900000001,3.2667320000000117
47,47,47,47,Smith,33.784009000000005,36.95073900000001,3.1667300000000083
48,48,48,48,Taylor,33.784009000000005,36.95073900000001,3.1667300000000083
49,49,49,49,Russian Suit,33.917345000000005,36.95073900000001,3.0333940000000084
50,50,50,50,Russian Suit,33.917345000000005,36.95073900000001,3.0333940000000084
51,51,51,51,Student in Library,36.434062,36.95073900000001,0.5166770000000156
52,52,52,52,Indiana Jones,36.95073900000001,38.50077,1.55003099999999
53,53,53,53,Mutt Williams,36.967406,38.50077,1.533364000000006
54,54,54,54,Mutt Williams,38.750775,39.26745200000001,0.5166770000000156
55,55,55,55,Indiana Jones,38.767442,39.26745200000001,0.5000100000000103
56,56,56,56,Mutt Williams,39.26745200000001,41.100822,1.833369999999988
57,57,57,57,Indiana Jones,39.26745200000001,41.100822,1.833369999999988
58,58,58,58,'Mac' George Michale,40.93415200000001,41.100822,0.16666999999998922
59,59,59,59,Sanitarium Nun,41.100822,44.10088200000001,3.000060000000012
60,60,60,60,Indiana Jones,41.134156,44.10088200000001,2.9667260000000155
61,61,61,61,Mutt Williams,41.184157000000006,44.10088200000001,2.9167250000000067
62,62,62,62,Shouting Inmate,41.250825000000006,44.10088200000001,2.8500570000000067
63,63,63,63,Fast Speaking Inmate,41.350827,44.10088200000001,2.7500550000000104
64,64,64,64,Mutt Williams,44.36755400000001,55.60111200000001,11.233557999999995
65,65,65,65,Indiana Jones,44.450889000000004,55.60111200000001,11.150223000000004
66,66,66,66,Cemetery Warrior,44.95089900000001,55.60111200000001,10.650213
67,67,67,67,Cemetery Warrior,44.984233,55.60111200000001,10.616879000000004
68,68,68,68,Cave Warrior,45.684247000000006,55.60111200000001,9.916865
69,69,69,69,Mutt Williams,55.60111200000001,56.26779200000001,0.6666799999999995
70,70,70,70,Indiana Jones,55.60111200000001,56.26779200000001,0.6666799999999995
71,71,71,71,'Mac' George Michale,55.851117,56.26779200000001,0.416675000000005
72,72,72,72,Dovchenko,55.88445100000001,56.26779200000001,0.3833409999999944
