,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Willie Scott,0.4500090000000001,2.850057,2.400048
1,1,1,1,Kao Kan,2.850057,10.616879,7.766822000000001
2,2,2,2,Chen,2.850057,10.616879,7.766822000000001
3,3,3,3,Lao Che,2.850057,10.616879,7.766822000000001
4,4,4,4,Willie Scott,2.9667260000000004,10.616879,7.650152999999999
5,5,5,5,Wu Han,2.9833930000000004,10.616879,7.633486
6,6,6,6,Indiana Jones,3.0333940000000004,10.616879,7.5834850000000005
7,7,7,7,Maitre d',3.5500710000000004,10.616879,7.066808
8,8,8,8,Chief Henchman,9.450189000000002,10.616879,1.1666899999999991
9,9,9,9,Willie Scott,10.616879,12.733588000000001,2.116709
10,10,10,10,Indiana Jones,10.616879,12.733588000000001,2.116709
11,11,11,11,Short Round,10.883551,12.733588000000001,1.8500370000000004
12,12,12,12,Kao Kan,11.233558,12.733588000000001,1.5000300000000006
13,13,13,13,Lao Che,11.266892,12.733588000000001,1.4666960000000009
14,14,14,14,Weber,12.850257000000001,13.716941000000002,0.8666840000000011
15,15,15,15,Indiana Jones,12.850257000000001,13.716941000000002,0.8666840000000011
16,16,16,16,Willie Scott,12.850257000000001,13.716941000000002,0.8666840000000011
17,17,17,17,Short Round,12.850257000000001,13.716941000000002,0.8666840000000011
18,18,18,18,Lao Che,13.16693,13.716941000000002,0.5500110000000014
19,19,19,19,Kao Kan,13.16693,13.716941000000002,0.5500110000000014
20,20,20,20,Chinese Pilot,13.616939000000002,13.716941000000002,0.10000199999999992
21,21,21,21,Chinese Co-Pilot,13.616939000000002,13.716941000000002,0.10000199999999992
22,22,22,22,Indiana Jones,13.983613000000002,17.700354,3.716740999999999
23,23,23,23,Short Round,14.050281000000002,17.700354,3.650072999999999
24,24,24,24,Willie Scott,14.133616000000002,17.700354,3.566737999999998
25,25,25,25,Chinese Pilot,15.150303,17.700354,2.5500510000000016
