,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Young Elise Rainier,1.5333640000000002,3.933412000000001,2.400048000000001
1,1,1,1,Young Lorraine,1.816703,3.933412000000001,2.116709000000001
2,2,2,2,Young Carl,2.100042,3.933412000000001,1.8333700000000008
3,3,3,3,Young Josh,3.300066,3.933412000000001,0.6333460000000009
4,4,4,4,Young Josh,3.950079000000001,10.450209,6.500129999999999
5,5,5,5,Young Elise Rainier,3.966746000000001,10.450209,6.483462999999999
6,6,6,6,Young Carl,4.100082,10.450209,6.350127
7,7,7,7,Young Lorraine,4.100082,10.450209,6.350127
8,8,8,8,Renai Lambert,10.800216,16.216991,5.416775
9,9,9,9,Josh Lambert,10.800216,16.216991,5.416775
10,10,10,10,Dalton Lambert,10.800216,16.216991,5.416775
11,11,11,11,Foster Lambert,10.800216,16.216991,5.416775
12,12,12,12,Young Josh,11.683567000000002,16.216991,4.533423999999998
13,13,13,13,Detective Sendal,12.916925,16.216991,3.300066
14,14,14,14,Elise Rainier,14.400288000000002,16.216991,1.8167029999999984
15,15,15,15,Lorraine Lambert,14.933632000000001,16.216991,1.283358999999999
16,16,16,16,Dalton Lambert,16.300326000000002,18.317033,2.0167069999999967
17,17,17,17,Foster Lambert,16.300326000000002,18.317033,2.0167069999999967
18,18,18,18,Renai Lambert,16.316993,18.317033,2.0000399999999985
19,19,19,19,Josh Lambert,16.316993,18.317033,2.0000399999999985
20,20,20,20,Lorraine Lambert,16.333660000000002,18.317033,1.9833729999999967
21,21,21,21,Jessica,16.383661,18.317033,1.9333719999999983
22,22,22,22,Kali,16.383661,18.317033,1.9333719999999983
23,23,23,23,Kali,16.383661,18.317033,1.9333719999999983
24,24,24,24,Renai Lambert,18.367034,22.367114,4.0000800000000005
25,25,25,25,Kali,19.833730000000006,22.367114,2.5333839999999945
26,26,26,26,Kali,19.833730000000006,22.367114,2.5333839999999945
27,27,27,27,Josh Lambert,21.267092,22.367114,1.1000219999999992
28,28,28,28,Specs,22.367114,26.033854,3.6667400000000008
29,29,29,29,Tucker,22.367114,26.033854,3.6667400000000008
30,30,30,30,Young Elise Rainier,25.133836,26.033854,0.9000180000000029
31,31,31,31,Young Josh,25.133836,26.033854,0.9000180000000029
32,32,32,32,Young Lorraine,25.517177000000004,26.033854,0.5166769999999978
33,33,33,33,Lorraine Lambert,26.033854,30.133936,4.100081999999997
34,34,34,34,Foster Lambert,26.55053100000001,30.133936,3.5834049999999884
35,35,35,35,Dalton Lambert,26.68386700000001,30.133936,3.4500689999999885
36,36,36,36,Mother of Parker Crane,28.483903,30.133936,1.6500329999999968
37,37,37,37,Josh Lambert,29.617259000000004,30.133936,0.5166769999999943
38,38,38,38,Renai Lambert,30.183937000000004,32.817322999999995,2.633385999999991
39,39,39,39,Kali,30.383941000000004,32.817322999999995,2.4333819999999906
40,40,40,40,Kali,30.383941000000004,32.817322999999995,2.4333819999999906
41,41,41,41,Foster Lambert,30.517277000000004,32.817322999999995,2.3000459999999907
42,42,42,42,Josh Lambert,30.550611000000004,32.817322999999995,2.2667119999999907
43,43,43,43,Dalton Lambert,30.733948,32.817322999999995,2.083374999999993
44,44,44,44,Lorraine Lambert,31.25062500000001,32.817322999999995,1.5666979999999846
45,45,45,45,Mother of Parker Crane,31.58396500000001,32.817322999999995,1.2333579999999849
46,46,46,46,Lorraine Lambert,32.817322999999995,34.117349000000004,1.3000260000000097
47,47,47,47,Specs,32.883990999999995,34.117349000000004,1.2333580000000095
48,48,48,48,Tucker,32.933992,34.117349000000004,1.1833570000000009
49,49,49,49,Young Josh,33.550671,34.117349000000004,0.5666780000000031
50,50,50,50,Josh Lambert,33.750675,34.117349000000004,0.3666740000000033
51,51,51,51,Renai Lambert,34.134015999999995,37.50075,3.366734000000001
52,52,52,52,Detective Sendal,34.467356,37.50075,3.0333939999999933
53,53,53,53,Mother of Parker Crane,34.650693000000004,37.50075,2.8500569999999925
54,54,54,54,Kali,36.467396,37.50075,1.0333539999999957
55,55,55,55,Kali,36.467396,37.50075,1.0333539999999957
56,56,56,56,Carl,37.50075,42.067508000000004,4.566758000000006
57,57,57,57,Lorraine Lambert,37.634086,42.067508000000004,4.433422
58,58,58,58,Specs,37.66742000000001,42.067508000000004,4.400087999999997
59,59,59,59,Tucker,37.86742400000001,42.067508000000004,4.200083999999997
60,60,60,60,Renai Lambert,42.067508000000004,42.750855,0.6833469999999977
61,61,61,61,Josh Lambert,42.10084200000001,42.750855,0.6500129999999942
62,62,62,62,Lorraine Lambert,42.800856,47.367614,4.566758
63,63,63,63,Carl,42.83419000000001,47.367614,4.5334239999999975
64,64,64,64,Specs,42.867524,47.367614,4.50009
65,65,65,65,Tucker,42.90085800000001,47.367614,4.466755999999997
66,66,66,66,Old Parker,44.00088,47.367614,3.366734000000001
67,67,67,67,Bride in Black,44.01754700000001,47.367614,3.3500669999999957
68,68,68,68,Young Josh,44.784229,47.367614,2.583385
69,69,69,69,Young Lorraine,44.784229,47.367614,2.583385
70,70,70,70,Coma Ward Nurse,44.96756600000001,47.367614,2.40004799999999
71,71,71,71,Front Desk Nurse Hillary,46.60093200000001,47.367614,0.7666819999999959
72,72,72,72,Josh Lambert,47.367614,48.45096900000001,1.0833550000000045
73,73,73,73,Lorraine Lambert,48.484303000000004,48.86764400000001,0.3833410000000086
74,74,74,74,Carl,48.484303000000004,48.86764400000001,0.3833410000000086
75,75,75,75,Specs,48.50097,48.86764400000001,0.3666740000000104
76,76,76,76,Tucker,48.51763700000001,48.86764400000001,0.35000700000000506
77,77,77,77,Old Parker,48.65097300000001,48.86764400000001,0.2166710000000052
78,78,78,78,Renai Lambert,48.86764400000001,52.10104200000001,3.2333979999999936
79,79,79,79,Josh Lambert,48.900978,52.10104200000001,3.2000640000000047
80,80,80,80,Kali,49.25098500000001,52.10104200000001,2.850057
81,81,81,81,Kali,49.25098500000001,52.10104200000001,2.850057
82,82,82,82,Tucker,52.10104200000001,56.184457,4.083414999999995
83,83,83,83,Specs,52.267712,56.184457,3.916744999999999
84,84,84,84,Lorraine Lambert,52.284379,56.184457,3.9000780000000006
85,85,85,85,Carl,52.35104700000001,56.184457,3.8334099999999935
86,86,86,86,Young Parker,54.83443000000001,56.184457,1.35002699999999
87,87,87,87,Dalton Lambert,56.21779100000001,59.11784900000001,2.9000579999999943
88,88,88,88,Foster Lambert,56.83447,59.11784900000001,2.283379000000004
89,89,89,89,Dark Haired Woman,58.18449700000001,59.11784900000001,0.9333519999999992
