,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Chris McCandless,0.7833490000000001,1.2333580000000002,0.4500090000000001
1,1,1,1,Billie McCandless,0.8666840000000001,1.2333580000000002,0.3666740000000001
2,2,2,2,Walt McCandless,0.9166850000000001,1.2333580000000002,0.3166730000000001
3,3,3,3,Chris McCandless,2.066708,5.2334380000000005,3.1667300000000003
4,4,4,4,Jim Gallien,3.683407,5.2334380000000005,1.5500310000000006
5,5,5,5,Chris McCandless,5.700114,8.033494000000001,2.333380000000001
6,6,6,6,nt0149745,6.2667920000000015,8.033494000000001,1.7667019999999996
7,7,7,7,Chris McCandless,8.033494000000001,10.283539,2.2500449999999983
8,8,8,8,Chris McCandless,10.316873,13.616939000000002,3.300066000000003
9,9,9,9,Walt McCandless,13.783609000000002,17.133676,3.3500669999999992
10,10,10,10,Billie McCandless,13.783609000000002,17.133676,3.3500669999999992
11,11,11,11,Graduation Reader,13.933612000000002,17.133676,3.200064
12,12,12,12,Additional Narrator,14.200284000000002,17.133676,2.933392
13,13,13,13,Chris McCandless,14.600292000000001,17.133676,2.533384
14,14,14,14,Graduating Billie McCandless,15.450309,17.133676,1.6833670000000005
15,15,15,15,Billie McCandless,17.133676,20.233738,3.1000619999999977
16,16,16,16,Walt McCandless,17.133676,20.233738,3.1000619999999977
17,17,17,17,Waitress,17.217011000000007,20.233738,3.0167269999999924
18,18,18,18,Chris McCandless,17.250345000000006,20.233738,2.9833929999999924
19,19,19,19,Additional Narrator,17.267012,20.233738,2.9667259999999978
20,20,20,20,nt0139229,19.517057,20.233738,0.7166809999999977
21,21,21,21,Additional Narrator,20.233738,21.450429000000003,1.2166910000000044
22,22,22,22,Chris McCandless,20.233738,21.450429000000003,1.2166910000000044
23,23,23,23,Walt McCandless,20.250405,21.450429000000003,1.2000240000000026
24,24,24,24,Billie McCandless,21.133756,21.450429000000003,0.31667300000000154
25,25,25,25,Chris McCandless,21.50043,24.050481,2.550051
26,26,26,26,Chris McCandless,24.050481,27.733888000000004,3.6834070000000025
27,27,27,27,Additional Narrator,25.067168,27.733888000000004,2.6667200000000046
28,28,28,28,Billie McCandless,25.150503000000004,27.733888000000004,2.583385
29,29,29,29,Walt McCandless,25.250505000000004,27.733888000000004,2.4833830000000003
30,30,30,30,Building Manager,25.950519000000003,27.733888000000004,1.7833690000000004
31,31,31,31,Chris McCandless,27.733888000000004,28.600572000000003,0.8666839999999993
32,32,32,32,Rainey,28.167230000000004,28.600572000000003,0.4333419999999997
33,33,33,33,Jan Burres,28.250565,28.600572000000003,0.3500070000000015
34,34,34,34,Rainey,28.600572000000003,30.167270000000002,1.5666979999999988
35,35,35,35,Chris McCandless,28.600572000000003,30.167270000000002,1.5666979999999988
36,36,36,36,Jan Burres,28.600572000000003,30.167270000000002,1.5666979999999988
37,37,37,37,Chris McCandless,30.200604,32.400648000000004,2.2000440000000046
38,38,38,38,Rainey,30.300606,32.400648000000004,2.1000420000000046
39,39,39,39,Additional Narrator,30.433942,32.400648000000004,1.9667060000000056
40,40,40,40,Billie McCandless,30.66728,32.400648000000004,1.7333680000000022
41,41,41,41,Walt McCandless,30.717281000000003,32.400648000000004,1.6833670000000005
42,42,42,42,Jan Burres,32.267312000000004,32.400648000000004,0.1333359999999999
43,43,43,43,nt0539654,32.267312000000004,32.400648000000004,0.1333359999999999
44,44,44,44,Chris McCandless,32.400648000000004,36.317393,3.916744999999999
45,45,45,45,Rainey,32.417315,36.317393,3.9000780000000006
46,46,46,46,Jan Burres,32.917325000000005,36.317393,3.400067999999997
47,47,47,47,nt0539651,35.034034000000005,36.317393,1.2833589999999973
48,48,48,48,Rainey,36.317393,38.00076000000001,1.6833670000000045
49,49,49,49,Jan Burres,36.517397,38.00076000000001,1.4833630000000042
50,50,50,50,Chris McCandless,36.517397,38.00076000000001,1.4833630000000042
51,51,51,51,nt0462218,37.41741500000001,38.00076000000001,0.5833449999999942
52,52,52,52,Chris McCandless,38.050761,40.53414400000001,2.4833830000000106
53,53,53,53,Additional Narrator,39.684127000000004,40.53414400000001,0.8500170000000082
54,54,54,54,nt0208147,39.967466,40.53414400000001,0.5666780000000102
55,55,55,55,Chris McCandless,40.53414400000001,42.83419000000001,2.3000459999999947
56,56,56,56,Wayne Westerberg,42.85085700000001,44.41755500000001,1.5666979999999953
57,57,57,57,Chris McCandless,42.934192,44.41755500000001,1.4833630000000042
58,58,58,58,Kevin,43.83421000000001,44.41755500000001,0.5833449999999942
59,59,59,59,Chris McCandless,44.600892,45.450909,0.8500170000000011
60,60,60,60,Wayne Westerberg,44.63422600000001,45.450909,0.8166829999999905
61,61,61,61,nt0342172,44.63422600000001,45.450909,0.8166829999999905
62,62,62,62,Kevin,44.63422600000001,45.450909,0.8166829999999905
63,63,63,63,Kevin,45.550911000000006,48.66764000000001,3.1167290000000065
64,64,64,64,Gail Borah,45.584245,48.66764000000001,3.0833950000000097
65,65,65,65,Chris McCandless,45.63424600000001,48.66764000000001,3.0333940000000013
66,66,66,66,Wayne Westerberg,45.684247000000006,48.66764000000001,2.9833930000000066
67,67,67,67,nt0342165,45.684247000000006,48.66764000000001,2.9833930000000066
68,68,68,68,nt0493626,45.767582,48.66764000000001,2.900058000000016
69,69,69,69,nt0342167,47.00094000000001,48.66764000000001,1.6667000000000058
70,70,70,70,Additional Narrator,48.884311,50.651013000000006,1.7667020000000089
71,71,71,71,Walt McCandless,49.00098000000001,50.651013000000006,1.6500329999999934
72,72,72,72,Billie McCandless,49.00098000000001,50.651013000000006,1.6500329999999934
73,73,73,73,Wayne Westerberg,49.06764800000001,50.651013000000006,1.5833649999999937
74,74,74,74,Chris McCandless,49.11764900000001,50.651013000000006,1.5333639999999988
75,75,75,75,Kevin,49.234318,50.651013000000006,1.4166950000000045
76,76,76,76,nt0342176,49.26765200000001,50.651013000000006,1.3833609999999936
77,77,77,77,Gail Borah,50.217671,50.651013000000006,0.4333420000000032
78,78,78,78,nt0214762,50.30100600000001,50.651013000000006,0.350006999999998
79,79,79,79,Wayne Westerberg,50.651013000000006,52.151043,1.5000299999999953
80,80,80,80,Chris McCandless,50.751015,52.151043,1.4000279999999992
81,81,81,81,Kevin,51.30102600000001,52.151043,0.850016999999994
82,82,82,82,nt0117187,51.601032000000004,52.151043,0.5500109999999978
83,83,83,83,Chris McCandless,52.151043,54.75109500000001,2.6000520000000047
84,84,84,84,nt0139226,52.151043,54.75109500000001,2.6000520000000047
85,85,85,85,Billie McCandless,52.151043,54.75109500000001,2.6000520000000047
86,86,86,86,Additional Narrator,52.217711,54.75109500000001,2.5333840000000047
87,87,87,87,Lee's Ferry Ranger,54.75109500000001,56.35112700000001,1.600032000000006
88,88,88,88,Chris McCandless,54.75109500000001,56.35112700000001,1.600032000000006
89,89,89,89,nt0401623,55.06776800000001,56.35112700000001,1.2833590000000044
90,90,90,90,nt0401625,55.367774,56.35112700000001,0.9833530000000152
91,91,91,91,nt0401624,55.53444400000001,56.35112700000001,0.8166830000000047
92,92,92,92,nt0656086,55.83445,56.35112700000001,0.5166770000000156
93,93,93,93,Chris McCandless,56.434462,57.78448900000001,1.3500270000000043
94,94,94,94,Trail Guide,56.71780100000001,57.78448900000001,1.0666879999999992
95,95,95,95,nt0197321,57.78448900000001,62.63458600000001,4.850097000000005
96,96,96,96,Mads,57.78448900000001,62.63458600000001,4.850097000000005
97,97,97,97,Sonja,57.80115600000001,62.63458600000001,4.83343
98,98,98,98,Chris McCandless,58.084495,62.63458600000001,4.550091000000017
99,99,99,99,nt0197310,58.33450000000001,62.63458600000001,4.300086
100,100,100,100,nt0197317,61.81790300000001,62.63458600000001,0.8166830000000047
101,101,101,101,Additional Narrator,62.70125400000001,64.43462199999999,1.7333679999999774
102,102,102,102,Chris McCandless,62.784589000000004,64.43462199999999,1.6500329999999863
103,103,103,103,Man in Phone Booth,62.93459200000001,64.43462199999999,1.5000299999999809
104,104,104,104,Additional Narrator,64.43462199999999,66.78466900000001,2.3500470000000178
105,105,105,105,Chris McCandless,64.43462199999999,66.78466900000001,2.3500470000000178
106,106,106,106,Chris McCandless - age 4,64.76796200000001,66.78466900000001,2.0167069999999967
107,107,107,107,nt0457536,64.76796200000001,66.78466900000001,2.0167069999999967
108,108,108,108,nt0348480,64.951299,66.78466900000001,1.8333700000000024
109,109,109,109,Chris McCandless,66.78466900000001,67.98469300000001,1.2000239999999989
110,110,110,110,Immigration Officer,67.15134300000001,67.98469300000001,0.8333499999999958
111,111,111,111,Chris McCandless,67.98469300000001,69.93473200000001,1.950039000000004
112,112,112,112,Chris McCandless,70.05140100000001,72.73478800000002,2.6833870000000104
113,113,113,113,Passerby,70.45140900000001,72.73478800000002,2.2833790000000107
114,114,114,114,Social Worker,71.218091,72.73478800000002,1.516697000000022
115,115,115,115,Chris McCandless,72.73478800000002,74.30148600000003,1.5666980000000024
116,116,116,116,Guy At Bar,73.68480699999998,74.30148600000003,0.6166790000000475
117,117,117,117,Social Worker,74.00148,74.30148600000003,0.30000600000002464
118,118,118,118,Chris McCandless,74.41815500000001,75.95151899999998,1.533363999999963
119,119,119,119,Bull,74.884831,75.95151899999998,1.0666879999999708
120,120,120,120,nt0669879,74.884831,75.95151899999998,1.0666879999999708
121,121,121,121,nt0048575,75.051501,75.95151899999998,0.9000179999999744
122,122,122,122,Chris McCandless,75.95151899999998,78.351567,2.4000480000000266
123,123,123,123,Chris McCandless,78.40156800000003,82.151643,3.7500749999999816
124,124,124,124,Additional Narrator,78.718241,82.151643,3.4334020000000014
125,125,125,125,Walt McCandless,79.08491500000002,82.151643,3.0667279999999835
126,126,126,126,Carine McCandless - age 11,79.118249,82.151643,3.0333940000000013
127,127,127,127,nt0272283,79.118249,82.151643,3.0333940000000013
128,128,128,128,Billie McCandless,79.134916,82.151643,3.016727000000003
129,129,129,129,Lori,81.73496800000002,82.151643,0.4166749999999837
130,130,130,130,nt0354231,81.73496800000002,82.151643,0.4166749999999837
131,131,131,131,nt0354232,81.81830300000001,82.151643,0.33333999999999264
132,132,132,132,Chris McCandless,82.151643,84.38502100000002,2.233378000000016
133,133,133,133,Additional Narrator,82.23497800000001,84.38502100000002,2.150043000000011
134,134,134,134,Billie McCandless,82.33498,84.38502100000002,2.0500410000000207
135,135,135,135,Walt McCandless,82.468316,84.38502100000002,1.9167050000000216
136,136,136,136,nt0646485,83.58500500000002,84.38502100000002,0.8000159999999994
137,137,137,137,Chris McCandless,84.46835600000001,90.06846800000002,5.60011200000001
138,138,138,138,Jan Burres,90.28513900000002,93.351867,3.0667279999999835
139,139,139,139,Rainey,90.451809,93.351867,2.9000580000000014
