,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Jack Ryan,0.8000160000000001,4.766762000000001,3.966746000000001
1,1,1,1,Student,1.650033,4.766762000000001,3.1167290000000007
2,2,2,2,Student,1.650033,4.766762000000001,3.1167290000000007
3,3,3,3,Student,2.200044,4.766762000000001,2.5667180000000007
4,4,4,4,Jack Ryan,4.816763000000001,5.66678,0.8500169999999994
5,5,5,5,Corpsman,4.816763000000001,5.66678,0.8500169999999994
6,6,6,6,Field Doctor,4.833430000000001,5.66678,0.8333499999999994
7,7,7,7,Corpsman,4.966766000000002,5.66678,0.7000139999999986
8,8,8,8,Jack Ryan,5.750115,7.5834850000000005,1.8333700000000004
9,9,9,9,Cathy Muller,5.766782000000001,7.5834850000000005,1.8167029999999995
10,10,10,10,Walter Reed Doctor,6.750135,7.5834850000000005,0.8333500000000003
11,11,11,11,Thomas Harper,6.783469,7.5834850000000005,0.8000160000000003
12,12,12,12,Thomas Harper,7.650152999999999,9.016847,1.3666940000000016
13,13,13,13,Jack Ryan,7.650152999999999,9.016847,1.3666940000000016
14,14,14,14,Jack Ryan,9.016847,12.050241000000002,3.0333940000000013
15,15,15,15,Cathy Muller,9.016847,12.050241000000002,3.0333940000000013
16,16,16,16,Thomas Harper,10.283539,12.050241000000002,1.7667020000000022
17,17,17,17,Jack Ryan,12.216911,13.566938,1.3500270000000008
18,18,18,18,Teddy Hefferman,12.483583,13.566938,1.083355000000001
19,19,19,19,Sarah,12.850257000000001,13.566938,0.7166809999999995
20,20,20,20,Dixon Lewis,13.650273000000002,14.633626000000001,0.9833529999999993
21,21,21,21,Sergey Dostal,13.716941000000002,14.633626000000001,0.9166849999999992
22,22,22,22,Jack Ryan,14.283619000000002,14.633626000000001,0.3500069999999997
23,23,23,23,Jack Ryan,14.83363,15.583645,0.7500150000000012
24,24,24,24,Cathy Muller,15.66698,16.000320000000002,0.3333400000000015
25,25,25,25,Jack Ryan,16.033654000000002,16.366994000000002,0.3333399999999997
26,26,26,26,Cathy Muller,16.366994000000002,16.867004,0.5000099999999996
27,27,27,27,Cathy Muller,16.900338,18.183697,1.2833589999999973
28,28,28,28,Jack Ryan,16.917005000000003,18.183697,1.2666919999999957
29,29,29,29,Anchor,17.017007000000003,18.183697,1.1666899999999956
30,30,30,30,Viktor Cherevin,18.267032,19.600392000000006,1.333360000000006
31,31,31,31,Sherevin's Doctor,18.267032,19.600392000000006,1.333360000000006
32,32,32,32,Viktor Cherevin,19.667060000000006,21.000420000000002,1.3333599999999954
33,33,33,33,Sorokin's Bodyguard,19.750395,21.000420000000002,1.2500250000000008
34,34,34,34,The Minister Sorokin,19.817063,21.000420000000002,1.1833570000000009
35,35,35,35,Rob Behringer,21.16709,22.11710900000001,0.9500190000000082
36,36,36,36,Jack Ryan,21.16709,22.11710900000001,0.9500190000000082
37,37,37,37,Cathy Muller,22.133776,23.650473,1.5166970000000006
38,38,38,38,Jack Ryan,22.15044300000001,23.650473,1.5000299999999918
39,39,39,39,Jack Ryan,23.717141,24.70049400000001,0.9833530000000079
40,40,40,40,Embee Deng,23.717141,24.70049400000001,0.9833530000000079
41,41,41,41,Jack Ryan,24.750495,28.783909,4.0334140000000005
42,42,42,42,Embee Deng,24.83383000000001,28.783909,3.9500789999999917
43,43,43,43,Moscow Hotel Receptionist,25.283839000000004,28.783909,3.5000699999999973
44,44,44,44,Russian Maid,25.400508,28.783909,3.3834010000000028
45,45,45,45,Jack Ryan,28.783909,31.33396,2.550051
46,46,46,46,Cathy Muller,29.46725600000001,31.33396,1.866703999999992
47,47,47,47,Jack Ryan,31.33396,38.750775,7.416814999999996
48,48,48,48,Cathy Muller,32.150643,38.750775,6.600131999999995
49,49,49,49,Thomas Harper,34.034014000000006,38.750775,4.716760999999991
50,50,50,50,Jack Ryan,38.750775,40.45080900000001,1.7000340000000094
51,51,51,51,Viktor Cherevin,40.684147,41.550831,0.8666839999999993
52,52,52,52,Jack Ryan,41.600832000000004,46.584265,4.983432999999998
53,53,53,53,Katya,42.10084200000001,46.584265,4.483422999999995
54,54,54,54,CIA Payoff Guard,42.50085000000001,46.584265,4.083414999999995
55,55,55,55,Viktor Cherevin,43.167530000000006,46.584265,3.4167349999999956
56,56,56,56,Dimitri Lemkov,44.96756600000001,46.584265,1.61669899999999
57,57,57,57,Jack Ryan,46.584265,48.80097600000001,2.2167110000000108
58,58,58,58,Thomas Harper,46.93427200000001,48.80097600000001,1.8667040000000057
59,59,59,59,Constantin,47.050941,48.80097600000001,1.750035000000011
60,60,60,60,Jack Ryan,48.83431,50.184337000000006,1.3500270000000043
61,61,61,61,Cathy Muller,48.950979,50.184337000000006,1.2333580000000095
62,62,62,62,Viktor Cherevin,50.217671,50.601012,0.3833409999999944
63,63,63,63,Cherevin's Bodyguard,50.217671,50.601012,0.3833409999999944
64,64,64,64,Cherevin's Bodyguard,50.217671,50.601012,0.3833409999999944
65,65,65,65,Katya,50.23433800000001,50.601012,0.36667399999998906
66,66,66,66,Ancient Priest,50.684347,51.684367,1.0000199999999992
67,67,67,67,Mr. Borovsky,50.717681000000006,51.684367,0.9666859999999956
68,68,68,68,Mrs. Borovsky,50.717681000000006,51.684367,0.9666859999999956
69,69,69,69,Aleksandr Borovsky,50.717681000000006,51.684367,0.9666859999999956
70,70,70,70,FBI Agent,50.951019,51.684367,0.7333479999999994
71,71,71,71,Aleksandr Borovsky,51.801036,53.30106600000001,1.5000300000000095
72,72,72,72,Mrs. Borovsky,51.884371,53.30106600000001,1.4166950000000114
73,73,73,73,Mr. Borovsky,51.96770600000001,53.30106600000001,1.333360000000006
74,74,74,74,FBI Agent,52.35104700000001,53.30106600000001,0.9500190000000046
75,75,75,75,Cathy Muller,53.3344,55.367774,2.033373999999996
76,76,76,76,Jack Ryan,53.41773500000001,55.367774,1.9500389999999896
77,77,77,77,Thomas Harper,53.50107000000001,55.367774,1.8667039999999844
78,78,78,78,Constantin,54.517757,55.367774,0.850016999999994
79,79,79,79,Cherevin's Guest Driver,55.367774,57.484483,2.116709
80,80,80,80,Cathy Muller,55.40110800000001,57.484483,2.083374999999989
81,81,81,81,Jack Ryan,55.40110800000001,57.484483,2.083374999999989
82,82,82,82,Jack Ryan,57.484483,73.13479600000002,15.650313000000025
83,83,83,83,Cathy Muller,57.484483,73.13479600000002,15.650313000000025
84,84,84,84,Viktor Cherevin,57.684487,73.13479600000002,15.450309000000026
85,85,85,85,Dimitri Lemkov,57.91782500000001,73.13479600000002,15.216971000000017
86,86,86,86,Thomas Harper,58.101162,73.13479600000002,15.033634000000019
87,87,87,87,Amy Chang,58.20116400000001,73.13479600000002,14.93363200000001
88,88,88,88,Constantin,60.151203,73.13479600000002,12.983593000000019
89,89,89,89,Cherevin's Bodyguard,61.801236,73.13479600000002,11.33356000000002
90,90,90,90,CIA Payoff Guard,62.33458,73.13479600000002,10.800216000000017
91,91,91,91,Katya,62.734588,73.13479600000002,10.400208000000019
92,92,92,92,Teddy Hefferman,67.15134300000001,73.13479600000002,5.983453000000013
93,93,93,93,Rob Behringer,67.53468400000001,73.13479600000002,5.60011200000001
94,94,94,94,Viktor Cherevin,73.13479600000002,73.90147800000003,0.766682000000003
95,95,95,95,Dimitri Lemkov,73.201464,73.90147800000003,0.7000140000000243
96,96,96,96,Cherevin's Bodyguard,73.701474,73.90147800000003,0.2000040000000212
97,97,97,97,Cherevin's Bodyguard,73.701474,73.90147800000003,0.2000040000000212
98,98,98,98,Thomas Harper,73.984813,76.101522,2.116709
99,99,99,99,Constantin,73.984813,76.101522,2.116709
100,100,100,100,Amy Chang,73.984813,76.101522,2.116709
101,101,101,101,Jack Ryan,74.06814800000002,76.101522,2.0333739999999807
102,102,102,102,Cathy Muller,74.084815,76.101522,2.0167069999999967
103,103,103,103,Cherevin's Bodyguard,75.201504,76.101522,0.9000180000000029
104,104,104,104,Cherevin's Bodyguard,75.284839,76.101522,0.8166829999999976
105,105,105,105,Cathy Muller,76.15152300000003,81.83497000000001,5.683446999999987
106,106,106,106,Cherevin's Bodyguard,76.15152300000003,81.83497000000001,5.683446999999987
107,107,107,107,Constantin,76.218191,81.83497000000001,5.616779000000008
108,108,108,108,Jack Ryan,76.218191,81.83497000000001,5.616779000000008
109,109,109,109,Thomas Harper,76.251525,81.83497000000001,5.583445000000012
110,110,110,110,Amy Chang,76.50153,81.83497000000001,5.333440000000009
111,111,111,111,Cherevin's Bodyguard,76.918205,81.83497000000001,4.916765000000012
112,112,112,112,Viktor Cherevin,76.98487300000002,81.83497000000001,4.850096999999991
113,113,113,113,Cherevin's Bodyguard,77.051541,81.83497000000001,4.783429000000012
114,114,114,114,Amy Chang,81.96830600000001,87.11840900000001,5.150103000000001
115,115,115,115,Aide,81.98497300000002,87.11840900000001,5.133435999999988
116,116,116,116,Aleksandr Borovsky,82.01830700000002,87.11840900000001,5.1001019999999935
117,117,117,117,FBI Agent,82.184977,87.11840900000001,4.9334320000000105
118,118,118,118,Cathy Muller,82.318313,87.11840900000001,4.800096000000012
119,119,119,119,Jack Ryan,82.318313,87.11840900000001,4.800096000000012
120,120,120,120,Aide,82.318313,87.11840900000001,4.800096000000012
121,121,121,121,Thomas Harper,82.43498199999998,87.11840900000001,4.683427000000037
122,122,122,122,Aide,82.48498300000001,87.11840900000001,4.633426
123,123,123,123,Aide,82.53498400000002,87.11840900000001,4.583424999999991
124,124,124,124,Auto-Plant Worker,83.15166300000001,87.11840900000001,3.966746000000001
125,125,125,125,Aide,83.43500200000003,87.11840900000001,3.683406999999988
126,126,126,126,FBI Lead Agent,86.951739,87.11840900000001,0.16667000000001053
127,127,127,127,Viktor Cherevin,87.11840900000001,95.368574,8.250164999999981
128,128,128,128,Amy Chang,87.318413,95.368574,8.050160999999989
129,129,129,129,Thomas Harper,87.33508,95.368574,8.03349399999999
130,130,130,130,Cathy Muller,87.33508,95.368574,8.03349399999999
131,131,131,131,Jack Ryan,87.33508,95.368574,8.03349399999999
132,132,132,132,CIA Agent,87.33508,95.368574,8.03349399999999
133,133,133,133,Katya,88.45176900000001,95.368574,6.916804999999982
134,134,134,134,NY Police,88.86844400000004,95.368574,6.500129999999956
135,135,135,135,Teddy Hefferman,89.85179699999998,95.368574,5.516777000000019
136,136,136,136,Cherevin's Bodyguard,89.98513299999998,95.368574,5.383441000000019
137,137,137,137,Cherevin's Bodyguard,89.98513299999998,95.368574,5.383441000000019
138,138,138,138,Aleksandr Borovsky,90.468476,95.368574,4.900098000000002
139,139,139,139,FBI Explosives Expert,91.00182,95.368574,4.366754
140,140,140,140,Viktor Cherevin,95.418575,96.601932,1.1833570000000009
141,141,141,141,The Minister Sorokin,96.101922,96.601932,0.5000100000000032
142,142,142,142,Sorokin's Bodyguard,96.101922,96.601932,0.5000100000000032
143,143,143,143,Cathy Muller,96.618599,97.785289,1.166690000000003
144,144,144,144,Jack Ryan,96.718601,97.785289,1.0666879999999992
145,145,145,145,Jack Ryan,97.785289,98.901978,1.1166889999999938
146,146,146,146,Thomas Harper,97.83529,98.901978,1.0666879999999992
