,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Jogger,0.9166850000000001,3.0667280000000003,2.150043
1,1,1,1,Gamer,1.33336,3.0667280000000003,1.7333680000000002
2,2,2,2,Young Spencer,3.1833970000000003,7.2668120000000025,4.083415000000001
3,3,3,3,Young Fridge,3.383401,7.2668120000000025,3.8834110000000015
4,4,4,4,Spencer's Mom,3.750075,7.2668120000000025,3.5167370000000027
5,5,5,5,Fridge's Mom,4.150083,7.2668120000000025,3.1167290000000016
6,6,6,6,Young Bethany,4.550091,7.2668120000000025,2.7167210000000024
7,7,7,7,Girl in Car,6.1167890000000025,7.2668120000000025,1.150023
8,8,8,8,Old Man Vreeke,6.550131,7.2668120000000025,0.7166810000000021
9,9,9,9,Bethany's Mom,6.650133,7.2668120000000025,0.6166790000000022
10,10,10,10,Young Bethany,7.3334800000000016,12.566918,5.233437999999998
11,11,11,11,Lucinda,7.4334820000000015,12.566918,5.133435999999998
12,12,12,12,Teacher,7.5834850000000005,12.566918,4.983432999999999
13,13,13,13,Coach Web,8.3335,12.566918,4.233417999999999
14,14,14,14,Young Spencer,8.3335,12.566918,4.233417999999999
15,15,15,15,Fussfeld,8.3335,12.566918,4.233417999999999
16,16,16,16,Young Martha,8.750175,12.566918,3.816742999999999
17,17,17,17,Male Gym Teacher,9.866864,12.566918,2.700054
18,18,18,18,Miss Mathers,9.950199000000001,12.566918,2.616718999999998
19,19,19,19,Principal Bentley,9.950199000000001,12.566918,2.616718999999998
20,20,20,20,Young Fridge,9.950199000000001,12.566918,2.616718999999998
21,21,21,21,Principal Bentley,12.583585000000001,17.233678,4.650093
22,22,22,22,Young Spencer,12.583585000000001,17.233678,4.650093
23,23,23,23,Young Fridge,12.583585000000001,17.233678,4.650093
24,24,24,24,Young Bethany,12.616919000000001,17.233678,4.616759
25,25,25,25,Young Martha,12.766922000000001,17.233678,4.466756
26,26,26,26,Dr. Smolder Bravestone,17.483683000000006,23.700474000000003,6.216790999999998
27,27,27,27,Franklin Moose Finbar,18.217031,23.700474000000003,5.483443000000005
28,28,28,28,Ruby Roundhouse,18.233698,23.700474000000003,5.466776000000002
29,29,29,29,Professor Shelly Oberon,18.817043,23.700474000000003,4.883431000000002
30,30,30,30,Nigel,23.350467000000002,23.700474000000003,0.3500070000000015
31,31,31,31,Ruby Roundhouse,23.700474000000003,29.317253000000004,5.616779000000001
32,32,32,32,Nigel,23.700474000000003,29.317253000000004,5.616779000000001
33,33,33,33,Dr. Smolder Bravestone,23.700474000000003,29.317253000000004,5.616779000000001
34,34,34,34,Franklin Moose Finbar,23.700474000000003,29.317253000000004,5.616779000000001
35,35,35,35,Professor Shelly Oberon,23.700474000000003,29.317253000000004,5.616779000000001
36,36,36,36,Van Pelt,25.83385,29.317253000000004,3.4834030000000027
37,37,37,37,Ruby Roundhouse,29.317253000000004,34.417355,5.100101999999996
38,38,38,38,Dr. Smolder Bravestone,29.317253000000004,34.417355,5.100101999999996
39,39,39,39,Franklin Moose Finbar,29.317253000000004,34.417355,5.100101999999996
40,40,40,40,Professor Shelly Oberon,29.317253000000004,34.417355,5.100101999999996
41,41,41,41,Professor Shelly Oberon,34.484023,38.01742700000001,3.5334040000000115
42,42,42,42,Franklin Moose Finbar,34.484023,38.01742700000001,3.5334040000000115
43,43,43,43,Ruby Roundhouse,34.517357000000004,38.01742700000001,3.5000700000000085
44,44,44,44,Dr. Smolder Bravestone,34.600691999999995,38.01742700000001,3.4167350000000174
45,45,45,45,Professor Shelly Oberon,38.06742800000001,40.417475,2.3500469999999964
46,46,46,46,Franklin Moose Finbar,38.08409500000001,40.417475,2.3333799999999907
47,47,47,47,Dr. Smolder Bravestone,38.08409500000001,40.417475,2.3333799999999907
48,48,48,48,Ruby Roundhouse,38.100762,40.417475,2.316713
49,49,49,49,Professor Shelly Oberon,40.434142,41.484163,1.050021000000001
50,50,50,50,Franklin Moose Finbar,40.434142,41.484163,1.050021000000001
51,51,51,51,Dr. Smolder Bravestone,40.434142,41.484163,1.050021000000001
52,52,52,52,Van Pelt,41.6675,42.45084900000001,0.7833490000000154
53,53,53,53,Bivouac Biker,41.83417,42.45084900000001,0.6166790000000121
54,54,54,54,Dr. Smolder Bravestone,42.45084900000001,47.15094300000001,4.700094
55,55,55,55,Franklin Moose Finbar,42.45084900000001,47.15094300000001,4.700094
56,56,56,56,Professor Shelly Oberon,42.45084900000001,47.15094300000001,4.700094
57,57,57,57,Ruby Roundhouse,42.467516,47.15094300000001,4.683427000000009
58,58,58,58,nt1654580,44.717561,47.15094300000001,2.4333820000000093
59,59,59,59,Franklin Moose Finbar,47.234278,57.201144000000006,9.966866000000003
60,60,60,60,Dr. Smolder Bravestone,47.234278,57.201144000000006,9.966866000000003
61,61,61,61,Ruby Roundhouse,47.250945,57.201144000000006,9.950199000000003
62,62,62,62,Professor Shelly Oberon,47.28427900000001,57.201144000000006,9.916864999999994
63,63,63,63,Bread Vendor,47.784289,57.201144000000006,9.416855000000004
64,64,64,64,Boy at Bazaar,49.33432000000001,57.201144000000006,7.866823999999994
65,65,65,65,Van Pelt,54.53442400000001,57.201144000000006,2.666719999999998
66,66,66,66,nt1654585,54.53442400000001,57.201144000000006,2.666719999999998
67,67,67,67,Scorpion Recipient,54.951099000000006,57.201144000000006,2.250045
68,68,68,68,Alex,56.73446800000001,57.201144000000006,0.4666759999999997
69,69,69,69,Alex,57.201144000000006,60.484543,3.2833989999999957
70,70,70,70,Ruby Roundhouse,57.201144000000006,60.484543,3.2833989999999957
71,71,71,71,Dr. Smolder Bravestone,57.201144000000006,60.484543,3.2833989999999957
72,72,72,72,Franklin Moose Finbar,57.201144000000006,60.484543,3.2833989999999957
73,73,73,73,Professor Shelly Oberon,57.201144000000006,60.484543,3.2833989999999957
74,74,74,74,Scorpion Recipient,59.951199,60.484543,0.5333439999999996
75,75,75,75,Van Pelt,59.96786600000001,60.484543,0.5166769999999943
76,76,76,76,Alex,60.484543,63.317933,2.8333899999999943
77,77,77,77,Ruby Roundhouse,60.484543,63.317933,2.8333899999999943
78,78,78,78,Dr. Smolder Bravestone,60.56787800000001,63.317933,2.750054999999989
79,79,79,79,Professor Shelly Oberon,60.65121300000001,63.317933,2.6667199999999838
80,80,80,80,Franklin Moose Finbar,60.75121500000001,63.317933,2.5667179999999874
81,81,81,81,Alex,63.317933,68.21803100000001,4.900098000000014
82,82,82,82,Ruby Roundhouse,63.317933,68.21803100000001,4.900098000000014
83,83,83,83,Franklin Moose Finbar,63.317933,68.21803100000001,4.900098000000014
84,84,84,84,Professor Shelly Oberon,63.317933,68.21803100000001,4.900098000000014
85,85,85,85,Dr. Smolder Bravestone,63.33460000000001,68.21803100000001,4.883431000000002
86,86,86,86,Transportation Shed Guard,65.85131700000001,68.21803100000001,2.3667140000000018
87,87,87,87,Transportation Shed Guard,65.934652,68.21803100000001,2.2833790000000107
88,88,88,88,Alex,68.23469800000001,70.33474000000001,2.100042000000002
89,89,89,89,nt1654583,68.23469800000001,70.33474000000001,2.100042000000002
90,90,90,90,Dr. Smolder Bravestone,68.284699,70.33474000000001,2.050041000000008
91,91,91,91,Franklin Moose Finbar,68.301366,70.33474000000001,2.033374000000009
92,92,92,92,Professor Shelly Oberon,68.568038,70.33474000000001,1.7667020000000089
93,93,93,93,Transportation Shed Guard,70.33474000000001,75.83485,5.500109999999991
94,94,94,94,Ruby Roundhouse,70.33474000000001,75.83485,5.500109999999991
95,95,95,95,Transportation Shed Guard,70.33474000000001,75.83485,5.500109999999991
96,96,96,96,Professor Shelly Oberon,70.60141200000002,75.83485,5.233437999999978
97,97,97,97,Franklin Moose Finbar,70.60141200000002,75.83485,5.233437999999978
98,98,98,98,Dr. Smolder Bravestone,70.60141200000002,75.83485,5.233437999999978
99,99,99,99,Alex,70.60141200000002,75.83485,5.233437999999978
100,100,100,100,Professor Shelly Oberon,76.16819000000002,81.268292,5.100101999999978
101,101,101,101,Franklin Moose Finbar,76.16819000000002,81.268292,5.100101999999978
102,102,102,102,Dr. Smolder Bravestone,76.16819000000002,81.268292,5.100101999999978
103,103,103,103,Ruby Roundhouse,76.16819000000002,81.268292,5.100101999999978
104,104,104,104,Alex,76.16819000000002,81.268292,5.100101999999978
105,105,105,105,Alex,81.268292,83.98501300000002,2.716721000000021
106,106,106,106,Franklin Moose Finbar,81.268292,83.98501300000002,2.716721000000021
107,107,107,107,nt1654591,81.268292,83.98501300000002,2.716721000000021
108,108,108,108,Professor Shelly Oberon,81.268292,83.98501300000002,2.716721000000021
109,109,109,109,Dr. Smolder Bravestone,81.30162600000001,83.98501300000002,2.6833870000000104
110,110,110,110,Ruby Roundhouse,81.33496000000002,83.98501300000002,2.6500529999999998
111,111,111,111,Alex,84.13501600000002,88.30176600000001,4.166749999999993
