,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Enrique Cardoso,1.350027,4.50009,3.1500630000000003
1,1,1,1,Ben Hildebrand,1.433362,4.50009,3.0667280000000003
2,2,2,2,Eric Kirby,1.433362,4.50009,3.0667280000000003
3,3,3,3,Charlie,4.50009,7.4001480000000015,2.9000580000000014
4,4,4,4,Dr. Alan Grant,4.583425,7.4001480000000015,2.8167230000000014
5,5,5,5,Dr. Ellie Sattler,4.616759,7.4001480000000015,2.783389000000001
6,6,6,6,Hannah,4.883431000000002,7.4001480000000015,2.516717
7,7,7,7,Mark Degler,5.0834350000000015,7.4001480000000015,2.316713
8,8,8,8,Dr. Alan Grant,7.4001480000000015,9.666860000000002,2.266712
9,9,9,9,Female Student,8.150163000000001,9.666860000000002,1.5166970000000006
10,10,10,10,Symposium Leader,8.3335,9.666860000000002,1.3333600000000008
11,11,11,11,Male Student,8.900178,9.666860000000002,0.7666820000000012
12,12,12,12,M.B. Nash,9.666860000000002,10.883551,1.2166909999999989
13,13,13,13,Cooper,9.850197,10.883551,1.033354000000001
14,14,14,14,Mr. Udesky,10.016867,10.883551,0.8666840000000011
15,15,15,15,Billy Brennan,11.00022,13.600272,2.6000520000000003
16,16,16,16,Cheryl Logan,11.00022,13.600272,2.6000520000000003
17,17,17,17,Dr. Alan Grant,11.700234000000002,13.600272,1.9000379999999983
18,18,18,18,Paul Kirby,13.016927,13.600272,0.5833449999999996
19,19,19,19,Dr. Alan Grant,13.616939000000002,15.750315000000002,2.133376
20,20,20,20,Billy Brennan,13.616939000000002,15.750315000000002,2.133376
21,21,21,21,Paul Kirby,13.766942000000002,15.750315000000002,1.9833730000000005
22,22,22,22,Amanda Kirby,13.800276000000002,15.750315000000002,1.9500390000000003
23,23,23,23,Dr. Alan Grant,15.916985000000002,17.300345999999998,1.3833609999999954
24,24,24,24,Billy Brennan,15.916985000000002,17.300345999999998,1.3833609999999954
25,25,25,25,Paul Kirby,16.967006,17.300345999999998,0.3333399999999962
26,26,26,26,Mr. Udesky,16.967006,17.300345999999998,0.3333399999999962
27,27,27,27,Cooper,16.967006,17.300345999999998,0.3333399999999962
28,28,28,28,M.B. Nash,16.967006,17.300345999999998,0.3333399999999962
29,29,29,29,Dr. Alan Grant,17.300345999999998,19.867064000000006,2.5667180000000087
30,30,30,30,Billy Brennan,17.517017000000006,19.867064000000006,2.350047
31,31,31,31,Cooper,17.583685000000006,19.867064000000006,2.283379
32,32,32,32,Amanda Kirby,17.867024,19.867064000000006,2.0000400000000056
33,33,33,33,Paul Kirby,17.867024,19.867064000000006,2.0000400000000056
34,34,34,34,Mr. Udesky,17.867024,19.867064000000006,2.0000400000000056
35,35,35,35,M.B. Nash,17.867024,19.867064000000006,2.0000400000000056
36,36,36,36,Dr. Alan Grant,19.900398000000006,22.617119,2.7167209999999926
37,37,37,37,Billy Brennan,20.000400000000006,22.617119,2.6167189999999927
38,38,38,38,Amanda Kirby,20.100402000000006,22.617119,2.5167169999999928
39,39,39,39,Mr. Udesky,20.233738,22.617119,2.383381
40,40,40,40,Cooper,20.233738,22.617119,2.383381
41,41,41,41,M.B. Nash,20.233738,22.617119,2.383381
42,42,42,42,Paul Kirby,20.367074,22.617119,2.250045
43,43,43,43,Dr. Alan Grant,22.617119,24.30048600000001,1.6833670000000112
44,44,44,44,Amanda Kirby,22.683787,24.30048600000001,1.6166990000000112
45,45,45,45,Paul Kirby,22.733788,24.30048600000001,1.5666980000000097
46,46,46,46,Billy Brennan,22.733788,24.30048600000001,1.5666980000000097
47,47,47,47,Mr. Udesky,22.783789000000002,24.30048600000001,1.5166970000000075
48,48,48,48,M.B. Nash,22.783789000000002,24.30048600000001,1.5166970000000075
49,49,49,49,Amanda Kirby,24.33382000000001,26.283859000000003,1.9500389999999928
50,50,50,50,Paul Kirby,24.33382000000001,26.283859000000003,1.9500389999999928
51,51,51,51,Dr. Alan Grant,24.33382000000001,26.283859000000003,1.9500389999999928
52,52,52,52,Mr. Udesky,24.33382000000001,26.283859000000003,1.9500389999999928
53,53,53,53,Billy Brennan,24.33382000000001,26.283859000000003,1.9500389999999928
54,54,54,54,Mr. Udesky,26.283859000000003,27.883891,1.6000319999999952
55,55,55,55,Amanda Kirby,26.283859000000003,27.883891,1.6000319999999952
56,56,56,56,Paul Kirby,26.300526,27.883891,1.5833649999999968
57,57,57,57,Dr. Alan Grant,26.367194,27.883891,1.5166969999999966
58,58,58,58,Billy Brennan,26.367194,27.883891,1.5166969999999966
59,59,59,59,Paul Kirby,27.883891,29.717261000000004,1.8333700000000053
60,60,60,60,Amanda Kirby,27.917225,29.717261000000004,1.8000360000000055
61,61,61,61,Dr. Alan Grant,28.000560000000004,29.717261000000004,1.7167010000000005
62,62,62,62,Mr. Udesky,28.017227000000002,29.717261000000004,1.7000340000000025
63,63,63,63,Billy Brennan,28.017227000000002,29.717261000000004,1.7000340000000025
64,64,64,64,Eric Kirby,28.050561,29.717261000000004,1.6667000000000058
