,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Bridesmaid,0.7333480000000001,2.4833830000000003,1.7500350000000002
1,1,1,1,Bridesmaid,0.7333480000000001,2.4833830000000003,1.7500350000000002
2,2,2,2,Veruca,0.7333480000000001,2.4833830000000003,1.7500350000000002
3,3,3,3,Bridesmaid,0.7333480000000001,2.4833830000000003,1.7500350000000002
4,4,4,4,Bridesmaid,0.7333480000000001,2.4833830000000003,1.7500350000000002
5,5,5,5,Patricia,0.7333480000000001,2.4833830000000003,1.7500350000000002
6,6,6,6,nt0566649,1.2166910000000002,2.4833830000000003,1.2666920000000002
7,7,7,7,Danny Maccabee,1.366694,2.4833830000000003,1.1166890000000005
8,8,8,8,nt0178897,1.816703,2.4833830000000003,0.6666800000000004
9,9,9,9,nt0805326,1.950039,2.4833830000000003,0.5333440000000003
10,10,10,10,nt0588944,2.200044,2.4833830000000003,0.28333900000000023
11,11,11,11,Eddie,2.283379,2.4833830000000003,0.2000040000000003
12,12,12,12,Mr. Maccabee,2.4333820000000004,2.4833830000000003,0.05000099999999996
13,13,13,13,Mrs. Maccabee,2.4333820000000004,2.4833830000000003,0.05000099999999996
14,14,14,14,Danny Maccabee,2.4833830000000003,5.0501010000000015,2.5667180000000007
15,15,15,15,Pick Up Guy #1,2.616719,5.0501010000000015,2.4333820000000017
16,16,16,16,Joanna Damon,2.616719,5.0501010000000015,2.4333820000000017
17,17,17,17,nt0828212,2.616719,5.0501010000000015,2.4333820000000017
18,18,18,18,Pick Up Guy #2,2.733388,5.0501010000000015,2.3167130000000014
19,19,19,19,nt0414015,3.200064,5.0501010000000015,1.8500370000000017
20,20,20,20,Young College Girl,4.316753,5.0501010000000015,0.7333480000000012
21,21,21,21,Katherine Murphy,5.0834350000000015,8.416835,3.3334
22,22,22,22,Delivery Guy,5.1001020000000015,8.416835,3.316733
23,23,23,23,Danny Maccabee,5.750115,8.416835,2.6667200000000006
24,24,24,24,Kirsten Brant,5.816783000000001,8.416835,2.6000520000000003
25,25,25,25,nt0091448,6.2334580000000015,8.416835,2.1833769999999992
26,26,26,26,nt0091449,7.033474000000001,8.416835,1.3833609999999998
27,27,27,27,Eddie,7.2334780000000025,8.416835,1.1833569999999982
28,28,28,28,nt0645292,8.200164000000001,8.416835,0.21667099999999986
29,29,29,29,nt0091444,8.200164000000001,8.416835,0.21667099999999986
30,30,30,30,Danny Maccabee,8.550171,9.600192000000002,1.050021000000001
31,31,31,31,Adon,8.550171,9.600192000000002,1.050021000000001
32,32,32,32,Eddie,8.550171,9.600192000000002,1.050021000000001
33,33,33,33,Adon's Guest,8.550171,9.600192000000002,1.050021000000001
34,34,34,34,nt0239761,8.750175,9.600192000000002,0.8500170000000011
35,35,35,35,nt0239758,8.983513,9.600192000000002,0.6166790000000013
36,36,36,36,Adon's Wife,9.416855000000002,9.600192000000002,0.18333699999999986
37,37,37,37,Danny Maccabee,9.600192000000002,11.100222,1.5000299999999989
38,38,38,38,Ariel,9.633526000000002,11.100222,1.4666959999999991
39,39,39,39,Adon's Guest,10.300206,11.100222,0.8000160000000012
40,40,40,40,Adon,10.316873,11.100222,0.7833490000000012
41,41,41,41,Adon's Wife,10.366874000000001,11.100222,0.7333479999999994
42,42,42,42,Palmer,10.383541000000001,11.100222,0.7166809999999995
43,43,43,43,nt0239757,10.400208000000001,11.100222,0.7000139999999995
44,44,44,44,nt0239756,10.750215,11.100222,0.3500069999999997
45,45,45,45,Danny Maccabee,11.133556,13.050261,1.9167050000000003
46,46,46,46,Palmer,11.133556,13.050261,1.9167050000000003
47,47,47,47,Date with Scary Woman,11.350227,13.050261,1.7000340000000005
48,48,48,48,Scary Woman,11.350227,13.050261,1.7000340000000005
49,49,49,49,Adon's Guest,11.516897000000002,13.050261,1.5333639999999988
50,50,50,50,Danny Maccabee,13.083595,14.333620000000002,1.2500250000000008
51,51,51,51,Palmer,13.100262,14.333620000000002,1.2333580000000008
52,52,52,52,Katherine Murphy,14.333620000000002,18.817043,4.483423
53,53,53,53,Danny Maccabee,14.433622000000002,18.817043,4.383421
54,54,54,54,Rosa,15.266972,18.817043,3.5500710000000013
55,55,55,55,Maggie,15.266972,18.817043,3.5500710000000013
56,56,56,56,Michael,15.266972,18.817043,3.5500710000000013
57,57,57,57,Palmer,18.867044000000003,21.483763000000003,2.616719
