,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Scrap Yard Man,0.83335,6.533464,5.700114
1,1,1,1,June Havens,0.83335,6.533464,5.700114
2,2,2,2,Roy Miller,0.850017,6.533464,5.683447
3,3,3,3,Ticket Agent,2.4667160000000004,6.533464,4.0667480000000005
4,4,4,4,TSA Officer,3.4334020000000005,6.533464,3.100062
5,5,5,5,Gate Agent,4.316753,6.533464,2.216711
6,6,6,6,John Fitzgerald,5.2167710000000005,6.533464,1.316693
7,7,7,7,Isabel George - C.I.A. Director,5.300106,6.533464,1.233358
8,8,8,8,June Havens,6.533464,16.266992000000002,9.733528000000002
9,9,9,9,Roy Miller,6.533464,16.266992000000002,9.733528000000002
10,10,10,10,Flight Attendant,6.583465,16.266992000000002,9.683527000000002
11,11,11,11,Danny,7.6168190000000005,16.266992000000002,8.650173000000002
12,12,12,12,June Havens,16.266992000000002,17.933692,1.6666999999999987
13,13,13,13,Roy Miller,16.283659,17.933692,1.6500330000000003
14,14,14,14,18 Wheeler Driver,17.417015000000006,17.933692,0.5166769999999943
15,15,15,15,June Havens,17.933692,20.317073,2.383381
16,16,16,16,Roy Miller,17.933692,20.317073,2.383381
17,17,17,17,June Havens,20.317073,22.200444,1.8833710000000004
18,18,18,18,Newscaster,21.16709,22.200444,1.0333539999999992
19,19,19,19,Rodney,21.483763000000003,22.200444,0.7166809999999977
20,20,20,20,Wilmer,22.200444,24.750495,2.550051
21,21,21,21,June Havens,22.200444,24.750495,2.550051
22,22,22,22,April Havens,22.25044500000001,24.750495,2.5000499999999906
23,23,23,23,Braces,22.983793,24.750495,1.7667020000000022
24,24,24,24,John Fitzgerald,23.217131,24.750495,1.5333640000000024
25,25,25,25,Roy Miller,23.317133,24.750495,1.4333620000000025
26,26,26,26,June Havens,24.817163,28.833910000000003,4.016747000000001
27,27,27,27,Braces,24.83383000000001,28.833910000000003,4.000079999999993
28,28,28,28,Roy Miller,25.950519000000003,28.833910000000003,2.883391
29,29,29,29,Roy Miller,28.833910000000003,30.850617000000003,2.016707
30,30,30,30,June Havens,28.93391200000001,30.850617000000003,1.9167049999999928
31,31,31,31,Rodney,30.483943000000004,30.850617000000003,0.3666739999999997
32,32,32,32,Rodney,30.850617000000003,34.717361000000004,3.8667440000000006
33,33,33,33,June Havens,30.917285000000003,34.717361000000004,3.8000760000000007
34,34,34,34,Roy Miller,32.283978999999995,34.717361000000004,2.4333820000000093
35,35,35,35,June Havens,34.717361000000004,38.534104000000006,3.8167430000000016
36,36,36,36,Roy Miller,34.717361000000004,38.534104000000006,3.8167430000000016
37,37,37,37,Rodney,34.950699,38.534104000000006,3.5834050000000066
38,38,38,38,Roy Miller,38.567438,42.76752200000001,4.200084000000004
39,39,39,39,Newscaster #2,38.917445,42.76752200000001,3.8500770000000064
40,40,40,40,June Havens,38.934112000000006,42.76752200000001,3.8334100000000007
41,41,41,41,Rodney,38.984113,42.76752200000001,3.7834090000000073
42,42,42,42,Rodney,42.76752200000001,43.217531,0.4500089999999943
43,43,43,43,June Havens,42.76752200000001,43.217531,0.4500089999999943
44,44,44,44,Roy Miller,42.76752200000001,43.217531,0.4500089999999943
45,45,45,45,Isabel George - C.I.A. Director,42.817523,43.217531,0.4000079999999997
46,46,46,46,Braces,42.85085700000001,43.217531,0.36667399999998906
47,47,47,47,John Fitzgerald,42.85085700000001,43.217531,0.36667399999998906
48,48,48,48,Roy Miller,43.300866000000006,48.66764000000001,5.366774000000007
49,49,49,49,June Havens,43.31753300000001,48.66764000000001,5.350107000000001
50,50,50,50,June Havens,48.66764000000001,52.23437800000001,3.5667379999999937
51,51,51,51,Roy Miller,48.73430800000001,52.23437800000001,3.5000699999999934
52,52,52,52,June Havens,52.23437800000001,55.651113,3.4167349999999956
53,53,53,53,Antonio Quintana,53.401068,55.651113,2.250045
54,54,54,54,Eduardo,53.41773500000001,55.651113,2.2333779999999948
55,55,55,55,Roy Miller,53.734408,55.651113,1.9167050000000003
56,56,56,56,June Havens,55.651113,56.65113300000001,1.0000200000000063
57,57,57,57,Roy Miller,55.651113,56.65113300000001,1.0000200000000063
58,58,58,58,June Havens,56.71780100000001,60.284539,3.5667379999999937
59,59,59,59,Simon Feck,57.25114500000001,60.284539,3.0333939999999933
60,60,60,60,Engineer,57.28447900000001,60.284539,3.0000599999999906
61,61,61,61,Roy Miller,57.334480000000006,60.284539,2.950058999999996
62,62,62,62,Bernhard,58.05116100000001,60.284539,2.2333779999999948
63,63,63,63,June Havens,60.284539,62.93459200000001,2.650053000000007
64,64,64,64,Train Cook,60.31787300000001,62.93459200000001,2.6167189999999962
65,65,65,65,Bernhard,60.534544,62.93459200000001,2.4000480000000124
66,66,66,66,Simon Feck,61.067888,62.93459200000001,1.8667040000000057
67,67,67,67,Roy Miller,61.16789000000001,62.93459200000001,1.7667020000000022
68,68,68,68,John Fitzgerald,62.95125900000001,64.184617,1.2333579999999955
69,69,69,69,Braces,63.06792800000001,64.184617,1.1166889999999938
70,70,70,70,Roy Miller,63.584605,64.184617,0.6000119999999995
71,71,71,71,June Havens,63.76794200000001,64.184617,0.4166749999999908
72,72,72,72,June Havens,64.184617,65.70131400000001,1.5166970000000075
73,73,73,73,Roy Miller,64.184617,65.70131400000001,1.5166970000000075
74,74,74,74,Simon Feck,65.70131400000001,68.934712,3.2333979999999936
75,75,75,75,Roy Miller,65.70131400000001,68.934712,3.2333979999999936
76,76,76,76,June Havens,65.751315,68.934712,3.1833970000000003
77,77,77,77,Naomi,66.701334,68.934712,2.2333780000000023
78,78,78,78,Antonio Quintana,68.21803100000001,68.934712,0.7166809999999941
79,79,79,79,Braces,68.86804400000001,68.934712,0.06666799999999284
80,80,80,80,Isabel George - C.I.A. Director,68.91804499999999,68.934712,0.016667000000012422
81,81,81,81,Isabel George - C.I.A. Director,68.934712,71.01808700000002,2.083375000000018
82,82,82,82,June Havens,68.934712,71.01808700000002,2.083375000000018
83,83,83,83,John Fitzgerald,69.16805000000001,71.01808700000002,1.8500370000000144
84,84,84,84,Roy Miller,69.51805700000001,71.01808700000002,1.5000300000000095
85,85,85,85,Antonio Quintana,69.618059,71.01808700000002,1.4000280000000205
86,86,86,86,Braces,70.60141200000002,71.01808700000002,0.4166749999999979
87,87,87,87,June Havens,71.01808700000002,75.90151800000002,4.883431000000002
88,88,88,88,Roy Miller,71.084755,75.90151800000002,4.816763000000023
89,89,89,89,John Fitzgerald,73.151463,75.90151800000002,2.7500550000000175
90,90,90,90,Simon Feck,73.48480300000001,75.90151800000002,2.4167150000000106
91,91,91,91,Braces,73.48480300000001,75.90151800000002,2.4167150000000106
92,92,92,92,Isabel George - C.I.A. Director,74.03481400000003,75.90151800000002,1.8667039999999984
93,93,93,93,Braces,75.90151800000002,76.93487200000001,1.0333539999999886
94,94,94,94,Simon Feck,75.90151800000002,76.93487200000001,1.0333539999999886
95,95,95,95,June Havens,75.95151899999998,76.93487200000001,0.9833530000000366
96,96,96,96,Isabel George - C.I.A. Director,75.95151899999998,76.93487200000001,0.9833530000000366
97,97,97,97,Rodney,76.80153600000001,76.93487200000001,0.1333359999999999
98,98,98,98,April Havens,76.80153600000001,76.93487200000001,0.1333359999999999
99,99,99,99,Rodney's Girl,76.80153600000001,76.93487200000001,0.1333359999999999
100,100,100,100,Simon Feck,77.10154200000002,77.651553,0.5500109999999836
101,101,101,101,Braces,77.16821,77.651553,0.483343000000005
102,102,102,102,John Fitzgerald,77.16821,77.651553,0.483343000000005
103,103,103,103,June Havens,77.651553,79.00158,1.3500269999999972
104,104,104,104,Wilmer,77.784889,79.00158,1.2166909999999973
105,105,105,105,June Havens,79.00158,83.45166900000002,4.45008900000002
106,106,106,106,Frank Jenkins,80.13493600000002,83.45166900000002,3.316733
107,107,107,107,Molly Knight,80.26827200000002,83.45166900000002,3.1833970000000003
