,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Lara Croft,0.7333480000000001,5.483443,4.750095
1,1,1,1,nt0165832,3.4834030000000005,5.483443,2.0000400000000003
2,2,2,2,Bryce,5.483443,6.550131,1.066688
3,3,3,3,Lara Croft,5.5167769999999985,6.550131,1.033354000000002
4,4,4,4,Hillary,6.0667880000000025,6.550131,0.4833429999999978
5,5,5,5,Lara Croft,6.566798,7.3668140000000015,0.8000160000000012
6,6,6,6,Hillary,7.016807000000001,7.3668140000000015,0.3500070000000006
7,7,7,7,Manfred Powell,7.566818,9.516857000000002,1.950039000000002
8,8,8,8,Mr. Pimms,7.566818,9.516857000000002,1.950039000000002
9,9,9,9,Distinguished Gentleman,7.6168190000000005,9.516857000000002,1.9000380000000008
10,10,10,10,Lara Croft,9.583525000000002,11.16689,1.5833649999999988
11,11,11,11,Hillary,9.600192000000002,11.16689,1.5666979999999988
12,12,12,12,Lord Richard Croft,10.466876,11.16689,0.7000140000000012
13,13,13,13,Lara Croft,11.233558,11.833570000000002,0.6000120000000013
14,14,14,14,Hillary,11.316893,11.833570000000002,0.5166770000000014
15,15,15,15,Lara Croft,11.916905000000002,14.116949000000002,2.200044
16,16,16,16,Lord Richard Croft,12.266912,14.116949000000002,1.8500370000000024
17,17,17,17,Young Lara,12.33358,14.116949000000002,1.7833690000000022
18,18,18,18,nt0345074,12.366914,14.116949000000002,1.7500350000000022
19,19,19,19,Lara Croft,14.116949000000002,17.933692,3.816742999999999
20,20,20,20,Bryce,14.916965,17.933692,3.0167270000000013
21,21,21,21,Hillary,16.466995999999998,17.933692,1.4666960000000024
22,22,22,22,Lara Croft,17.933692,20.567078,2.633385999999998
23,23,23,23,Boothby's Auctioneer,18.133696,20.567078,2.4333819999999977
24,24,24,24,Wilson,18.183697,20.567078,2.383381
25,25,25,25,Alex West,19.200384000000003,20.567078,1.3666939999999954
26,26,26,26,Lara Croft,20.583745,23.267132000000004,2.683387000000004
27,27,27,27,Wilson,20.600412,23.267132000000004,2.6667200000000046
28,28,28,28,Lord Richard Croft,23.150463000000002,23.267132000000004,0.11666900000000167
29,29,29,29,Mr. Pimms,23.433802000000004,25.917185000000003,2.4833830000000003
30,30,30,30,Lara Croft,23.483803,25.917185000000003,2.4333820000000017
31,31,31,31,"Julius, Assault Team Leader",23.483803,25.917185000000003,2.4333820000000017
32,32,32,32,Manfred Powell,24.117149,25.917185000000003,1.8000360000000022
33,33,33,33,Bryce,25.917185000000003,30.217271000000004,4.300086
34,34,34,34,Lara Croft,26.033854,30.217271000000004,4.183417000000002
35,35,35,35,Hillary,26.417195000000003,30.217271000000004,3.8000760000000007
36,36,36,36,"Julius, Assault Team Leader",27.217211,30.217271000000004,3.000060000000005
37,37,37,37,Hillary,30.217271000000004,34.284019,4.066747999999997
38,38,38,38,Lara Croft,30.600612,34.284019,3.683406999999999
39,39,39,39,Bryce,31.150623000000003,34.284019,3.1333959999999976
40,40,40,40,nt0646673,31.65063300000001,34.284019,2.633385999999991
41,41,41,41,"Julius, Assault Team Leader",34.284019,38.28409900000001,4.000080000000011
42,42,42,42,Mr. Pimms,34.43402200000001,38.28409900000001,3.850076999999999
43,43,43,43,Manfred Powell,34.600691999999995,38.28409900000001,3.6834070000000168
44,44,44,44,UPS Guy,34.884031,38.28409900000001,3.400068000000012
45,45,45,45,Hillary,35.23403800000001,38.28409900000001,3.0500609999999995
46,46,46,46,Bryce,35.23403800000001,38.28409900000001,3.0500609999999995
47,47,47,47,Lara Croft,35.317373,38.28409900000001,2.9667260000000084
48,48,48,48,nt0811576,37.41741500000001,38.28409900000001,0.8666839999999993
49,49,49,49,Lord Richard Croft,37.534084,38.28409900000001,0.7500150000000119
50,50,50,50,nt0345078,37.93409200000001,38.28409900000001,0.35000700000000506
51,51,51,51,Lara Croft,38.28409900000001,40.25080500000001,1.9667059999999952
52,52,52,52,Lord Richard Croft,38.28409900000001,40.25080500000001,1.9667059999999952
53,53,53,53,Ancient High Priest,38.517437,40.25080500000001,1.7333680000000058
54,54,54,54,Young Lara,38.884111,40.25080500000001,1.3666940000000096
55,55,55,55,Hillary,39.86746400000001,40.25080500000001,0.3833409999999944
56,56,56,56,Bryce,39.86746400000001,40.25080500000001,0.3833409999999944
57,57,57,57,nt0345084,39.98413300000001,40.25080500000001,0.2666719999999998
58,58,58,58,Lara Croft,40.25080500000001,42.000840000000004,1.750034999999997
59,59,59,59,"Julius, Assault Team Leader",40.93415200000001,42.000840000000004,1.066687999999992
60,60,60,60,Manfred Powell,40.984153000000006,42.000840000000004,1.0166869999999977
61,61,61,61,Alex West,41.084155,42.000840000000004,0.9166850000000012
62,62,62,62,Lara Croft,42.084175,44.83423000000001,2.7500550000000104
63,63,63,63,nt0165912,42.134176000000004,44.83423000000001,2.7000540000000086
64,64,64,64,Alex West,42.18417700000001,44.83423000000001,2.6500529999999998
65,65,65,65,Head Laborer,42.85085700000001,44.83423000000001,1.9833730000000005
66,66,66,66,Manfred Powell,43.11752900000001,44.83423000000001,1.7167010000000005
67,67,67,67,Mr. Pimms,43.11752900000001,44.83423000000001,1.7167010000000005
68,68,68,68,Little Cambodian Girl,43.417535,44.83423000000001,1.4166950000000114
69,69,69,69,"Julius, Assault Team Leader",43.76754200000001,44.83423000000001,1.0666879999999992
70,70,70,70,Little Cambodian Girl,44.83423000000001,49.85099700000001,5.016766999999994
71,71,71,71,Lara Croft,44.83423000000001,49.85099700000001,5.016766999999994
72,72,72,72,Alex West,46.15092300000001,49.85099700000001,3.7000739999999936
73,73,73,73,Manfred Powell,46.15092300000001,49.85099700000001,3.7000739999999936
74,74,74,74,Mr. Pimms,46.15092300000001,49.85099700000001,3.7000739999999936
75,75,75,75,Head Laborer,46.517597,49.85099700000001,3.3334000000000046
76,76,76,76,"Julius, Assault Team Leader",46.834270000000004,49.85099700000001,3.016727000000003
77,77,77,77,Mr. Pimms,49.85099700000001,52.501050000000006,2.6500529999999998
78,78,78,78,Manfred Powell,49.85099700000001,52.501050000000006,2.6500529999999998
79,79,79,79,Alex West,49.85099700000001,52.501050000000006,2.6500529999999998
80,80,80,80,Lara Croft,49.86766400000001,52.501050000000006,2.6333859999999945
81,81,81,81,"Julius, Assault Team Leader",50.717681000000006,52.501050000000006,1.7833690000000004
82,82,82,82,Head Laborer,51.56769800000001,52.501050000000006,0.9333519999999992
83,83,83,83,nt0070974,52.03437400000001,52.501050000000006,0.4666759999999997
84,84,84,84,Lara Croft,52.51771700000001,54.401088,1.8833709999999897
85,85,85,85,Manfred Powell,52.66772,54.401088,1.7333679999999991
86,86,86,86,Mr. Pimms,52.66772,54.401088,1.7333679999999991
87,87,87,87,Alex West,52.701054000000006,54.401088,1.7000339999999952
88,88,88,88,Head Laborer,52.701054000000006,54.401088,1.7000339999999952
89,89,89,89,"Julius, Assault Team Leader",52.95105900000001,54.401088,1.4500289999999936
90,90,90,90,Lara Croft,54.50109000000001,58.90117800000001,4.400087999999997
91,91,91,91,Manfred Powell,54.717761,58.90117800000001,4.183417000000007
92,92,92,92,"Julius, Assault Team Leader",54.80109600000001,58.90117800000001,4.100082
93,93,93,93,Alex West,55.251105,58.90117800000001,3.650073000000007
94,94,94,94,Mr. Pimms,56.50113,58.90117800000001,2.4000480000000053
95,95,95,95,Head Laborer,56.85113700000001,58.90117800000001,2.050041
96,96,96,96,nt0165895,58.434502,58.90117800000001,0.4666760000000068
97,97,97,97,Lara Croft,58.90117800000001,59.801196,0.9000179999999887
98,98,98,98,Alex West,59.05118100000001,59.801196,0.7500149999999906
99,99,99,99,Manfred Powell,59.05118100000001,59.801196,0.7500149999999906
100,100,100,100,Mr. Pimms,59.05118100000001,59.801196,0.7500149999999906
101,101,101,101,"Julius, Assault Team Leader",59.05118100000001,59.801196,0.7500149999999906
102,102,102,102,Lara Croft,59.90119800000001,62.517917000000004,2.6167189999999962
103,103,103,103,Young Buddhist Monk,60.284539,62.517917000000004,2.2333780000000023
104,104,104,104,Manfred Powell,60.76788200000001,62.517917000000004,1.750034999999997
105,105,105,105,Mr. Pimms,60.78454900000001,62.517917000000004,1.7333679999999916
106,106,106,106,Bryce,61.601232,62.517917000000004,0.9166850000000012
107,107,107,107,Lara Croft,62.717921,64.034614,1.316693000000008
108,108,108,108,Aged Buddhist Monk,62.86792400000001,64.034614,1.1666899999999956
109,109,109,109,nt0165881,63.23459800000001,64.034614,0.8000159999999923
110,110,110,110,Manfred Powell,64.301286,67.901358,3.6000719999999973
111,111,111,111,Lara Croft,64.351287,67.901358,3.5500710000000018
112,112,112,112,Alex West,67.96802600000001,69.234718,1.266691999999992
113,113,113,113,Shocked Maid,68.36803400000001,69.234718,0.8666839999999922
114,114,114,114,Lara Croft,68.584705,69.234718,0.6500130000000013
115,115,115,115,Distinguished Gentleman,69.234718,71.25142500000003,2.016707000000025
116,116,116,116,Mr. Pimms,69.25138500000001,71.25142500000003,2.0000400000000127
117,117,117,117,Manfred Powell,69.26805200000001,71.25142500000003,1.9833730000000145
118,118,118,118,Lara Croft,69.50139,71.25142500000003,1.750035000000025
