,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Ms. Berry - Teacher,0.83335,2.066708,1.2333580000000002
1,1,1,1,Child at Party and School,1.116689,2.066708,0.9500190000000002
2,2,2,2,Child at Party and School,1.150023,2.066708,0.9166850000000002
3,3,3,3,Max Reede,1.1833570000000002,2.066708,0.883351
4,4,4,4,Fletcher Reede,1.6667,2.066708,0.40000800000000014
5,5,5,5,Macho Attorney,1.700034,2.066708,0.36667400000000017
6,6,6,6,Skull,1.7500350000000002,2.066708,0.316673
7,7,7,7,Publicist,1.883371,2.066708,0.1833370000000003
8,8,8,8,Max Reede,2.066708,5.833450000000001,3.7667420000000007
9,9,9,9,Audrey Reede,2.066708,5.833450000000001,3.7667420000000007
10,10,10,10,Fletcher Reede,2.4500490000000004,5.833450000000001,3.3834010000000005
11,11,11,11,nt0331472,2.4667160000000004,5.833450000000001,3.366734000000001
12,12,12,12,nt0068036,3.750075,5.833450000000001,2.083375000000001
13,13,13,13,Jerry,4.0334140000000005,5.833450000000001,1.8000360000000004
14,14,14,14,Beggar at Office,5.716781,5.833450000000001,0.1166690000000008
15,15,15,15,Fred,5.833450000000001,7.3668140000000015,1.5333640000000006
16,16,16,16,Miranda,5.833450000000001,7.3668140000000015,1.5333640000000006
17,17,17,17,Fletcher Reede,6.3167930000000005,7.3668140000000015,1.050021000000001
18,18,18,18,Max Reede,6.3834610000000005,7.3668140000000015,0.983353000000001
19,19,19,19,nt0052850,6.4501290000000004,7.3668140000000015,0.9166850000000012
20,20,20,20,Jane,6.4501290000000004,7.3668140000000015,0.9166850000000012
21,21,21,21,Pete,6.866804000000001,7.3668140000000015,0.5000100000000005
22,22,22,22,Randy,7.000140000000001,7.3668140000000015,0.3666740000000006
23,23,23,23,Greta,7.050141000000001,7.3668140000000015,0.31667300000000065
24,24,24,24,Zit Boy,7.050141000000001,7.3668140000000015,0.31667300000000065
25,25,25,25,Greta,7.3668140000000015,9.550191000000002,2.183377
26,26,26,26,Fletcher Reede,7.3834810000000015,9.550191000000002,2.16671
27,27,27,27,Max Reede,7.3834810000000015,9.550191000000002,2.16671
28,28,28,28,Fred,8.433502,9.550191000000002,1.1166890000000012
29,29,29,29,Miranda,8.466836,9.550191000000002,1.083355000000001
30,30,30,30,Piano Player,9.550191000000002,10.516877000000001,0.9666859999999992
31,31,31,31,Jerry,9.650193000000002,10.516877000000001,0.8666839999999993
32,32,32,32,Audrey Reede,9.650193000000002,10.516877000000001,0.8666839999999993
33,33,33,33,Fletcher Reede,10.583545,12.250245,1.6666999999999987
34,34,34,34,Max Reede,10.66688,12.250245,1.5833649999999988
35,35,35,35,nt0052841,11.350227,12.250245,0.9000179999999993
36,36,36,36,Audrey Reede,12.250245,13.633606000000002,1.3833610000000025
37,37,37,37,Jerry,12.250245,13.633606000000002,1.3833610000000025
38,38,38,38,Fletcher Reede,12.300246000000001,13.633606000000002,1.3333600000000008
39,39,39,39,Max Reede,12.300246000000001,13.633606000000002,1.3333600000000008
40,40,40,40,nt0571058,12.816923,13.633606000000002,0.8166830000000029
41,41,41,41,Samantha Cole,13.633606000000002,16.600332,2.9667259999999995
