,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Sam,0.6500130000000001,3.4334020000000005,2.783389000000001
1,1,1,1,Jacob,0.66668,3.4334020000000005,2.766722000000001
2,2,2,2,Max,0.683347,3.4334020000000005,2.7500550000000006
3,3,3,3,Gabe,0.716681,3.4334020000000005,2.7167210000000006
4,4,4,4,Boy Who Throws Up,0.983353,3.4334020000000005,2.4500490000000004
5,5,5,5,Boy Who Throws Up,0.983353,3.4334020000000005,2.4500490000000004
6,6,6,6,Second Grade Boy,0.983353,3.4334020000000005,2.4500490000000004
7,7,7,7,Rosemary,1.850037,3.4334020000000005,1.5833650000000006
8,8,8,8,Gabe,3.4334020000000005,5.1334360000000006,1.700034
9,9,9,9,Young Leslie,3.4500690000000005,5.1334360000000006,1.6833669999999998
10,10,10,10,Young Adam,3.5167370000000004,5.1334360000000006,1.616699
11,11,11,11,Leslie,3.850077,5.1334360000000006,1.2833590000000004
12,12,12,12,Adam,3.850077,5.1334360000000006,1.2833590000000004
13,13,13,13,Ronny,4.366754,5.1334360000000006,0.7666820000000003
14,14,14,14,Rosemary,4.866764000000001,5.1334360000000006,0.2666719999999998
15,15,15,15,Gabe,5.1334360000000006,7.200144000000001,2.066708
16,16,16,16,Sam,5.1334360000000006,7.200144000000001,2.066708
17,17,17,17,Max,5.2167710000000005,7.200144000000001,1.9833730000000005
18,18,18,18,Jacob,5.2167710000000005,7.200144000000001,1.9833730000000005
19,19,19,19,Rosemary,5.366774,7.200144000000001,1.8333700000000004
20,20,20,20,Young Rosemary,5.50011,7.200144000000001,1.7000340000000005
21,21,21,21,Young Gabe,5.50011,7.200144000000001,1.7000340000000005
22,22,22,22,Leslie,5.650113,7.200144000000001,1.5500310000000006
23,23,23,23,Adam,6.516797,7.200144000000001,0.6833470000000004
24,24,24,24,Gabe,7.200144000000001,9.883531,2.6833869999999997
25,25,25,25,Adam,7.200144000000001,9.883531,2.6833869999999997
26,26,26,26,Tim Staples,7.2334780000000025,9.883531,2.650052999999997
27,27,27,27,Master Coles,7.2501450000000025,9.883531,2.633385999999997
28,28,28,28,Birdie,7.4668160000000015,9.883531,2.4167149999999977
29,29,29,29,Rosemary,7.4668160000000015,9.883531,2.4167149999999977
30,30,30,30,Mae-Li,7.4668160000000015,9.883531,2.4167149999999977
31,31,31,31,Mae-Li,7.4668160000000015,9.883531,2.4167149999999977
32,32,32,32,David Betanahu,8.116829000000001,9.883531,1.7667019999999989
33,33,33,33,Sam,9.400188,9.883531,0.4833429999999996
34,34,34,34,Max,9.400188,9.883531,0.4833429999999996
35,35,35,35,Jacob,9.400188,9.883531,0.4833429999999996
36,36,36,36,Master Coles,9.883531,12.716921000000001,2.8333900000000014
