,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Sky News Anchor,1.33336,2.850057,1.516697
1,1,1,1,General Brigham,1.400028,2.850057,1.450029
2,2,2,2,BBC News Anchor,1.7333680000000002,2.850057,1.1166889999999998
3,3,3,3,Cage,1.8000360000000002,2.850057,1.0500209999999999
4,4,4,4,Rita,1.9833730000000005,2.850057,0.8666839999999996
5,5,5,5,Military Spokesperson 1,2.083375,2.850057,0.7666819999999999
6,6,6,6,UDF Commercial,2.16671,2.850057,0.6833469999999999
7,7,7,7,CNN News Anchor,2.4667160000000004,2.850057,0.3833409999999997
8,8,8,8,Military Spokesperson 2,2.6333860000000002,2.850057,0.21667099999999986
9,9,9,9,Cage,3.0000600000000004,8.300166,5.300106
10,10,10,10,Julie,3.5167370000000004,8.300166,4.783429
11,11,11,11,Secretary - Iris,3.950079000000001,8.300166,4.350087
12,12,12,12,General Brigham,4.0834150000000005,8.300166,4.216751
13,13,13,13,Cage,8.300166,14.083615000000002,5.783449000000001
14,14,14,14,Rita,8.950178999999997,14.083615000000002,5.133436000000005
15,15,15,15,Cruel Sergeant,9.00018,14.083615000000002,5.0834350000000015
16,16,16,16,Master Sergeant Farell,9.200184,14.083615000000002,4.883431000000002
17,17,17,17,Kimmel,12.266912,14.083615000000002,1.8167030000000024
18,18,18,18,Ford,12.266912,14.083615000000002,1.8167030000000024
19,19,19,19,Nance,12.300246000000001,14.083615000000002,1.7833690000000004
20,20,20,20,Griff,12.350247,14.083615000000002,1.7333680000000022
21,21,21,21,Kuntz,12.350247,14.083615000000002,1.7333680000000022
22,22,22,22,Skinner,12.433582000000001,14.083615000000002,1.6500330000000003
23,23,23,23,Master Sergeant Farell,14.166950000000002,25.017167,10.850217
24,24,24,24,Nance,14.400288000000002,25.017167,10.616878999999999
25,25,25,25,Ford,14.416955000000002,25.017167,10.600211999999999
26,26,26,26,Griff,14.450289000000001,25.017167,10.566877999999999
27,27,27,27,Cage,14.483623000000001,25.017167,10.533544
28,28,28,28,Kuntz,14.683627,25.017167,10.33354
29,29,29,29,Skinner,14.883631,25.017167,10.133536
30,30,30,30,Kimmel,15.0003,25.017167,10.016867
31,31,31,31,Rita,16.116989,25.017167,8.900178
32,32,32,32,Cage,25.017167,27.617219,2.600051999999998
33,33,33,33,Rita,25.100502,27.617219,2.516717
34,34,34,34,Cruel Sergeant,25.167170000000002,27.617219,2.4500489999999964
35,35,35,35,Master Sergeant Farell,25.33384,27.617219,2.283379
36,36,36,36,Ford,26.733868,27.617219,0.8833509999999976
37,37,37,37,Griff,26.75053500000001,27.617219,0.8666839999999887
38,38,38,38,Kimmel,26.88387100000001,27.617219,0.7333479999999888
39,39,39,39,Kuntz,26.88387100000001,27.617219,0.7333479999999888
40,40,40,40,Skinner,26.95053900000001,27.617219,0.6666799999999888
41,41,41,41,Nance,27.133876,27.617219,0.4833429999999978
42,42,42,42,Nance,27.617219,30.633946,3.016727000000003
43,43,43,43,Cage,27.617219,30.633946,3.016727000000003
44,44,44,44,Kimmel,27.633886000000004,30.633946,3.0000599999999977
45,45,45,45,Griff,27.667220000000004,30.633946,2.9667259999999978
46,46,46,46,Master Sergeant Farell,28.083895000000002,30.633946,2.550051
47,47,47,47,Skinner,28.267232000000003,30.633946,2.3667139999999978
48,48,48,48,Ford,28.433902000000003,30.633946,2.2000439999999983
49,49,49,49,Rita,29.717261000000004,30.633946,0.9166849999999976
50,50,50,50,Cage,30.633946,33.183997000000005,2.5500510000000034
51,51,51,51,Rita,30.700614,33.183997000000005,2.4833830000000034
52,52,52,52,Cruel Sergeant,30.750615000000003,33.183997000000005,2.4333820000000017
53,53,53,53,Master Sergeant Farell,30.767282,33.183997000000005,2.4167150000000035
54,54,54,54,Skinner,31.433962000000005,33.183997000000005,1.7500350000000005
55,55,55,55,Kimmel,31.533964000000005,33.183997000000005,1.6500330000000003
56,56,56,56,Nance,31.533964000000005,33.183997000000005,1.6500330000000003
57,57,57,57,Griff,31.600632000000004,33.183997000000005,1.5833650000000006
58,58,58,58,Kuntz,31.633966000000004,33.183997000000005,1.5500310000000006
59,59,59,59,Ford,31.68396700000001,33.183997000000005,1.5000299999999953
60,60,60,60,Cage,33.183997000000005,34.684027,1.5000299999999953
61,61,61,61,Cruel Sergeant,33.200664,34.684027,1.4833629999999969
62,62,62,62,Kimmel,33.267332,34.684027,1.4166949999999972
63,63,63,63,Rita,33.450669000000005,34.684027,1.2333579999999955
64,64,64,64,Cage,34.684027,39.217451000000004,4.533424000000005
65,65,65,65,Cruel Sergeant,34.717361000000004,39.217451000000004,4.50009
66,66,66,66,Rita,34.784029000000004,39.217451000000004,4.433422
67,67,67,67,Master Sergeant Farell,34.867364,39.217451000000004,4.350087000000002
68,68,68,68,Kimmel,35.017367,39.217451000000004,4.200084000000004
69,69,69,69,Ford,35.017367,39.217451000000004,4.200084000000004
70,70,70,70,Kuntz,35.017367,39.217451000000004,4.200084000000004
71,71,71,71,Nance,35.100702000000005,39.217451000000004,4.116748999999999
72,72,72,72,Griff,35.20070399999999,39.217451000000004,4.0167470000000165
73,73,73,73,Skinner,35.250705,39.217451000000004,3.966746000000001
74,74,74,74,Rita,39.217451000000004,46.634266,7.416814999999992
75,75,75,75,Cage,39.217451000000004,46.634266,7.416814999999992
76,76,76,76,Dr. Carter,40.434142,46.634266,6.200123999999995
77,77,77,77,Rita,46.634266,50.351007,3.7167410000000083
78,78,78,78,Cage,46.634266,50.351007,3.7167410000000083
79,79,79,79,Master Sergeant Farell,48.000960000000006,50.351007,2.3500469999999964
80,80,80,80,Kimmel,48.034294,50.351007,2.316713
81,81,81,81,Skinner,48.034294,50.351007,2.316713
82,82,82,82,Cruel Sergeant,48.884311,50.351007,1.466696000000006
83,83,83,83,Cage,50.56767800000001,51.63436600000001,1.0666879999999992
84,84,84,84,Dr. Carter,50.66768,51.63436600000001,0.96668600000001
85,85,85,85,Rita,50.66768,51.63436600000001,0.96668600000001
86,86,86,86,Cage,51.83437000000001,53.534404,1.7000339999999952
87,87,87,87,Rita,51.83437000000001,53.534404,1.7000339999999952
88,88,88,88,Cage,53.534404,54.28441900000001,0.7500150000000048
89,89,89,89,Skinner,53.584405000000004,54.28441900000001,0.700014000000003
90,90,90,90,Kimmel,53.651073,54.28441900000001,0.6333460000000102
91,91,91,91,Master Sergeant Farell,54.36775400000001,56.33446000000001,1.9667059999999952
92,92,92,92,Cage,54.53442400000001,56.33446000000001,1.8000359999999986
93,93,93,93,Drunk,54.83443000000001,56.33446000000001,1.5000299999999953
94,94,94,94,Old Man,54.884431000000006,56.33446000000001,1.450029000000001
95,95,95,95,Bar Maid,55.13443600000001,56.33446000000001,1.2000239999999989
96,96,96,96,Old Man 2,55.16777,56.33446000000001,1.1666900000000098
97,97,97,97,Old Man 3,55.60111200000001,56.33446000000001,0.7333479999999994
98,98,98,98,Rita,56.33446000000001,58.58450500000001,2.250045
99,99,99,99,Cage,56.451129,58.58450500000001,2.1333760000000046
100,100,100,100,Dr. Carter,56.86780400000001,58.58450500000001,1.7167010000000005
101,101,101,101,Master Sergeant Farell,57.91782500000001,58.58450500000001,0.6666799999999995
102,102,102,102,Skinner,57.91782500000001,58.58450500000001,0.6666799999999995
103,103,103,103,Nance,57.91782500000001,58.58450500000001,0.6666799999999995
104,104,104,104,Kimmel,57.967826,58.58450500000001,0.6166790000000049
105,105,105,105,Ford,57.967826,58.58450500000001,0.6166790000000049
106,106,106,106,Kuntz,57.967826,58.58450500000001,0.6166790000000049
107,107,107,107,Cage,58.63450600000001,61.28455900000001,2.6500529999999998
108,108,108,108,Rita,58.684507,61.28455900000001,2.6000520000000047
109,109,109,109,Rita,61.28455900000001,63.184597,1.900037999999988
110,110,110,110,Cage,61.28455900000001,63.184597,1.900037999999988
111,111,111,111,Cage,63.251265000000004,70.61807900000002,7.366814000000019
112,112,112,112,Rita,63.251265000000004,70.61807900000002,7.366814000000019
113,113,113,113,Cage,70.61807900000002,75.66818,5.050100999999984
114,114,114,114,Cruel Sergeant,70.73474800000002,75.66818,4.933431999999981
115,115,115,115,Master Sergeant Farell,70.951419,75.66818,4.716761000000004
116,116,116,116,Rita,71.13475600000002,75.66818,4.5334239999999815
117,117,117,117,Griff,71.93477200000002,75.66818,3.733407999999984
118,118,118,118,Skinner,72.48478300000002,75.66818,3.183396999999985
119,119,119,119,Kimmel,72.634786,75.66818,3.0333940000000013
120,120,120,120,Rita,75.66818,81.534964,5.8667839999999964
121,121,121,121,Cage,75.66818,81.534964,5.8667839999999964
122,122,122,122,General Brigham,77.701554,81.534964,3.8334100000000007
123,123,123,123,Secretary - Iris,78.93491200000003,81.534964,2.6000519999999767
124,124,124,124,Rita,81.534964,83.33500000000002,1.80003600000002
125,125,125,125,Cage,81.534964,83.33500000000002,1.80003600000002
126,126,126,126,Cage,83.33500000000002,85.45170900000002,2.116709
127,127,127,127,Infirmary Nurse,83.751675,85.45170900000002,1.7000340000000165
128,128,128,128,Rita,84.78502900000002,85.45170900000002,0.6666799999999995
129,129,129,129,Rita,85.45170900000002,85.93505200000001,0.4833429999999908
130,130,130,130,Cage,85.45170900000002,85.93505200000001,0.4833429999999908
131,131,131,131,Cage,85.93505200000001,88.018427,2.083374999999989
132,132,132,132,Skinner,86.00171999999998,88.018427,2.016707000000025
133,133,133,133,Kimmel,86.018387,88.018427,2.0000399999999985
134,134,134,134,Griff,86.28505899999998,88.018427,1.7333680000000269
135,135,135,135,Ford,86.28505899999998,88.018427,1.7333680000000269
136,136,136,136,Nance,86.28505899999998,88.018427,1.7333680000000269
137,137,137,137,Kuntz,86.28505899999998,88.018427,1.7333680000000269
138,138,138,138,Rita,87.55175100000002,88.018427,0.4666759999999783
139,139,139,139,Master Sergeant Farell,88.151763,103.085395,14.933632000000005
140,140,140,140,Drop Ship Pilot,88.518437,103.085395,14.566957999999998
141,141,141,141,Skinner,88.58510500000001,103.085395,14.500289999999993
142,142,142,142,Cage,88.60177200000004,103.085395,14.483622999999964
143,143,143,143,Griff,88.73510800000004,103.085395,14.350286999999964
144,144,144,144,Kimmel,88.73510800000004,103.085395,14.350286999999964
145,145,145,145,Rita,88.73510800000004,103.085395,14.350286999999964
146,146,146,146,Ford,88.73510800000004,103.085395,14.350286999999964
147,147,147,147,Nance,88.73510800000004,103.085395,14.350286999999964
148,148,148,148,Kuntz,88.73510800000004,103.085395,14.350286999999964
149,149,149,149,Cage,103.085395,105.952119,2.8667239999999907
150,150,150,150,Julie,103.66874,105.952119,2.2833789999999965
151,151,151,151,Rita,104.018747,105.952119,1.933371999999992
152,152,152,152,General Brigham,104.035414,105.952119,1.9167049999999928
153,153,153,153,Master Sergeant Farell,104.585425,105.952119,1.3666939999999954
154,154,154,154,Griff,104.685427,105.952119,1.266691999999992
155,155,155,155,Kimmel,104.685427,105.952119,1.266691999999992
156,156,156,156,Ford,104.685427,105.952119,1.266691999999992
157,157,157,157,Skinner,104.718761,105.952119,1.2333579999999955
158,158,158,158,Nance,104.768762,105.952119,1.1833570000000009
159,159,159,159,Kuntz,104.802096,105.952119,1.1500229999999902
160,160,160,160,Himself,113.768942,127.652553,13.883611000000002
161,161,161,161,Cage,113.802276,127.652553,13.850276999999993
162,162,162,162,Rita,113.802276,127.652553,13.850276999999993
163,163,163,163,Herself,113.90227800000001,127.652553,13.750274999999988
164,164,164,164,Himself,114.068948,127.652553,13.583604999999993
165,165,165,165,Himself,114.085615,127.652553,13.566937999999993
166,166,166,166,Himself,114.118949,127.652553,13.533603999999995
167,167,167,167,Himself,118.01902700000001,127.652553,9.633525999999991
168,168,168,168,Himself,118.035694,127.652553,9.616858999999991
169,169,169,169,Herself,118.035694,127.652553,9.616858999999991
170,170,170,170,Himself,118.035694,127.652553,9.616858999999991
