,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Jamie Randall,0.6166790000000001,3.850077,3.233398
1,1,1,1,Joan,1.3166930000000001,3.850077,2.533384
2,2,2,2,Christy,1.566698,3.850077,2.283379
3,3,3,3,Jerry,1.633366,3.850077,2.216711
4,4,4,4,Amber,3.0500610000000004,3.850077,0.8000159999999998
5,5,5,5,Josh Randall,3.850077,7.2334780000000025,3.3834010000000023
6,6,6,6,Jamie Randall,3.866744,7.2334780000000025,3.3667340000000023
7,7,7,7,Dr. James Randall,3.900078,7.2334780000000025,3.3334000000000024
8,8,8,8,Dr. Helen Randall,3.900078,7.2334780000000025,3.3334000000000024
9,9,9,9,Farrah,4.0000800000000005,7.2334780000000025,3.233398000000002
10,10,10,10,Nancy Randall,4.766762000000001,7.2334780000000025,2.4667160000000017
11,11,11,11,Pfizer Convention MC,7.2334780000000025,9.633526000000002,2.400047999999999
12,12,12,12,Pfizer Trainee #2,7.2834790000000025,9.633526000000002,2.350046999999999
13,13,13,13,Jamie Randall,7.2834790000000025,9.633526000000002,2.350046999999999
14,14,14,14,Gina,7.4334820000000015,9.633526000000002,2.200044
15,15,15,15,Texas,7.716821,9.633526000000002,1.9167050000000008
16,16,16,16,Pfizer Trainee #5,8.550171,9.633526000000002,1.083355000000001
17,17,17,17,Pfizer Trainee #4,9.116849,9.633526000000002,0.5166770000000014
18,18,18,18,Jamie Randall,9.633526000000002,11.466896,1.8333699999999984
19,19,19,19,Gina,9.683527000000002,11.466896,1.7833689999999986
20,20,20,20,Bruce Winston,9.883531,11.466896,1.5833650000000006
21,21,21,21,Doctor In Parking Lot,10.783549,11.466896,0.6833469999999995
22,22,22,22,Ted Goldstein,11.050221,11.466896,0.4166749999999997
23,23,23,23,Jamie Randall,11.50023,14.200284000000002,2.700054000000001
24,24,24,24,Bruce Winston,11.616899000000002,14.200284000000002,2.583385
25,25,25,25,'Lisa',11.833570000000002,14.200284000000002,2.366714
26,26,26,26,Gail,12.616919000000001,14.200284000000002,1.5833650000000006
27,27,27,27,Dr. Stan Knight,12.950259,14.200284000000002,1.2500250000000008
28,28,28,28,Cindy,12.950259,14.200284000000002,1.2500250000000008
29,29,29,29,La Boheme Receptionist,13.350267,14.200284000000002,0.8500170000000011
30,30,30,30,Trey Hannigan,13.383601,14.200284000000002,0.8166830000000012
31,31,31,31,Gail,14.200284000000002,17.517017000000006,3.3167330000000046
32,32,32,32,Jamie Randall,14.200284000000002,17.517017000000006,3.3167330000000046
33,33,33,33,Cindy,14.433622000000002,17.517017000000006,3.0833950000000048
34,34,34,34,Dr. Stan Knight,15.533644,17.517017000000006,1.9833730000000056
35,35,35,35,Homeless Man,16.283659,17.517017000000006,1.2333580000000062
36,36,36,36,'Lisa',17.083675000000003,17.517017000000006,0.4333420000000032
37,37,37,37,Bruce Winston,17.550351000000006,18.117029000000002,0.566677999999996
38,38,38,38,Jamie Randall,17.550351000000006,18.117029000000002,0.566677999999996
