,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Skipper,0.25000500000000003,0.5333439999999999,0.2833389999999999
1,1,1,1,Rico,0.383341,0.5333439999999999,0.15000299999999994
2,2,2,2,Private,0.383341,0.5333439999999999,0.15000299999999994
3,3,3,3,Kowalski,0.383341,0.5333439999999999,0.15000299999999994
4,4,4,4,Baby Alex,0.7333480000000001,4.250085,3.5167370000000004
5,5,5,5,Baby Alex,0.7333480000000001,4.250085,3.5167370000000004
6,6,6,6,Zuba,0.7833490000000001,4.250085,3.466736
7,7,7,7,nt0493430,1.2333580000000002,4.250085,3.0167270000000004
8,8,8,8,Makunga,1.600032,4.250085,2.6500530000000007
9,9,9,9,nt0016812,2.4833830000000003,4.250085,1.766702
10,10,10,10,Poacher #1,2.9333920000000004,4.250085,1.316693
11,11,11,11,Poacher #2,2.9500590000000004,4.250085,1.300026
12,12,12,12,nt0016818,3.1667300000000003,4.250085,1.0833549999999998
13,13,13,13,nt0016805,3.783409,4.250085,0.4666760000000005
14,14,14,14,Baby Alex,4.316753,6.750135,2.433382
15,15,15,15,Baby Alex,4.316753,6.750135,2.433382
16,16,16,16,Baby Marty,5.383441,6.750135,1.366694
17,17,17,17,Baby Melman,5.383441,6.750135,1.366694
18,18,18,18,Baby Gloria,5.383441,6.750135,1.366694
19,19,19,19,nt0311323,5.566778,6.750135,1.183357
20,20,20,20,Alex,5.716781,6.750135,1.033354
21,21,21,21,Gloria,5.750115,6.750135,1.0000200000000001
22,22,22,22,Marty,5.750115,6.750135,1.0000200000000001
23,23,23,23,Melman,5.750115,6.750135,1.0000200000000001
24,24,24,24,nt0727234,5.850117000000001,6.750135,0.9000179999999993
25,25,25,25,Newscaster,6.1667900000000015,6.750135,0.5833449999999987
26,26,26,26,Nana,6.2167910000000015,6.750135,0.5333439999999987
27,27,27,27,Newscaster,6.4001280000000005,6.750135,0.3500069999999997
28,28,28,28,nt0477227,6.4167950000000005,6.750135,0.3333399999999997
29,29,29,29,Newscaster,6.566798,6.750135,0.18333699999999986
30,30,30,30,Alex,6.783469,9.416855000000002,2.6333860000000016
31,31,31,31,Marty,6.816803000000001,9.416855000000002,2.6000520000000007
32,32,32,32,Melman,6.866804000000001,9.416855000000002,2.5500510000000007
33,33,33,33,Gloria,6.883471000000001,9.416855000000002,2.5333840000000007
34,34,34,34,nt0434860,7.4501490000000015,9.416855000000002,1.9667060000000005
35,35,35,35,nt0298315,7.533484,9.416855000000002,1.8833710000000021
36,36,36,36,Maurice,7.900158000000001,9.416855000000002,1.5166970000000006
37,37,37,37,Julien,8.000160000000001,9.416855000000002,1.4166950000000007
38,38,38,38,Mort,9.050181,9.416855000000002,0.3666740000000015
39,39,39,39,Kowalski,9.416855000000002,13.100262,3.683406999999999
40,40,40,40,Skipper,9.416855000000002,13.100262,3.683406999999999
41,41,41,41,Mort,9.483523000000002,13.100262,3.616738999999999
42,42,42,42,Julien,9.566858000000002,13.100262,3.5334039999999987
43,43,43,43,Maurice,9.566858000000002,13.100262,3.5334039999999987
44,44,44,44,Rico,9.716861000000002,13.100262,3.3834009999999988
45,45,45,45,Private,9.733528000000002,13.100262,3.3667339999999992
46,46,46,46,Gloria,9.83353,13.100262,3.266732000000001
47,47,47,47,Marty,9.83353,13.100262,3.266732000000001
48,48,48,48,Melman,9.83353,13.100262,3.266732000000001
49,49,49,49,Alex,9.83353,13.100262,3.266732000000001
50,50,50,50,Mason,9.83353,13.100262,3.266732000000001
51,51,51,51,Skipper,13.116929,15.866984000000002,2.750055000000001
52,52,52,52,Kowalski,13.116929,15.866984000000002,2.750055000000001
53,53,53,53,Rico,13.366934,15.866984000000002,2.5000500000000017
54,54,54,54,Gloria,13.700274000000002,15.866984000000002,2.16671
55,55,55,55,Marty,13.700274000000002,15.866984000000002,2.16671
56,56,56,56,Melman,13.700274000000002,15.866984000000002,2.16671
57,57,57,57,Alex,13.700274000000002,15.866984000000002,2.16671
58,58,58,58,nt0263088,13.733608000000002,15.866984000000002,2.133376
59,59,59,59,Julien,14.083615000000002,15.866984000000002,1.7833690000000004
60,60,60,60,Maurice,14.083615000000002,15.866984000000002,1.7833690000000004
61,61,61,61,Private,14.083615000000002,15.866984000000002,1.7833690000000004
62,62,62,62,Mason,14.783629000000001,15.866984000000002,1.083355000000001
63,63,63,63,nt0388342,15.133636,15.866984000000002,0.733348000000003
64,64,64,64,Gloria,15.966986000000002,17.567018,1.6000319999999988
65,65,65,65,Marty,15.966986000000002,17.567018,1.6000319999999988
66,66,66,66,Melman,15.966986000000002,17.567018,1.6000319999999988
67,67,67,67,Alex,15.966986000000002,17.567018,1.6000319999999988
68,68,68,68,Mason,16.150323,17.567018,1.4166950000000007
69,69,69,69,Skipper,16.333660000000002,17.567018,1.233357999999999
70,70,70,70,Rico,16.366994000000002,17.567018,1.2000239999999989
71,71,71,71,Private,16.366994000000002,17.567018,1.2000239999999989
72,72,72,72,Kowalski,16.366994000000002,17.567018,1.2000239999999989
73,73,73,73,nt0540433,17.133676,17.567018,0.4333419999999997
74,74,74,74,Alex,17.567018,20.433742000000002,2.8667240000000014
75,75,75,75,Melman,17.567018,20.433742000000002,2.8667240000000014
76,76,76,76,Marty,17.567018,20.433742000000002,2.8667240000000014
77,77,77,77,Gloria,17.567018,20.433742000000002,2.8667240000000014
78,78,78,78,Tourist with Video Camera,17.933692,20.433742000000002,2.5000500000000017
79,79,79,79,Guide,17.933692,20.433742000000002,2.5000500000000017
80,80,80,80,Nana,17.933692,20.433742000000002,2.5000500000000017
81,81,81,81,Tourist with University Shirt,17.950359000000006,20.433742000000002,2.4833829999999963
82,82,82,82,Additional Zebras,19.633726000000006,20.433742000000002,0.8000159999999958
83,83,83,83,Telephone Recording,19.633726000000006,20.433742000000002,0.8000159999999958
84,84,84,84,Alex,20.433742000000002,23.933812000000003,3.5000700000000013
85,85,85,85,Gloria,20.500410000000002,23.933812000000003,3.4334020000000014
86,86,86,86,Marty,20.500410000000002,23.933812000000003,3.4334020000000014
87,87,87,87,Melman,20.500410000000002,23.933812000000003,3.4334020000000014
88,88,88,88,Hippo Girlfriend,20.683747,23.933812000000003,3.250065000000003
89,89,89,89,Additional Giraffe,20.683747,23.933812000000003,3.250065000000003
90,90,90,90,Stephen the Giraffe,20.683747,23.933812000000003,3.250065000000003
91,91,91,91,Zuba,21.283759000000003,23.933812000000003,2.6500529999999998
92,92,92,92,Mom,21.350427000000003,23.933812000000003,2.583385
93,93,93,93,Makunga,23.233798000000004,23.933812000000003,0.7000139999999995
94,94,94,94,Teetsi,23.233798000000004,23.933812000000003,0.7000139999999995
95,95,95,95,Julien,23.583805,23.933812000000003,0.3500070000000015
96,96,96,96,Maurice,23.583805,23.933812000000003,0.3500070000000015
97,97,97,97,Julien,23.950479,26.867204,2.916725
98,98,98,98,Marty,24.100482000000003,26.867204,2.7667219999999983
99,99,99,99,Additional Zebras,24.167150000000003,26.867204,2.7000539999999984
100,100,100,100,Melman,24.46715600000001,26.867204,2.40004799999999
101,101,101,101,Additional Giraffe,24.46715600000001,26.867204,2.40004799999999
102,102,102,102,Stephen the Giraffe,24.46715600000001,26.867204,2.40004799999999
103,103,103,103,Gloria,24.817163,26.867204,2.050041
104,104,104,104,Hippo Girlfriend,24.817163,26.867204,2.050041
105,105,105,105,Maurice,24.817163,26.867204,2.050041
106,106,106,106,nt0263097,24.933832000000002,26.867204,1.9333719999999983
107,107,107,107,Alex,25.083835,26.867204,1.7833690000000004
108,108,108,108,Zuba,25.083835,26.867204,1.7833690000000004
109,109,109,109,Mom,25.083835,26.867204,1.7833690000000004
110,110,110,110,nt0298324,25.867184,26.867204,1.0000199999999992
111,111,111,111,Moto Moto,26.133856,26.867204,0.7333479999999994
112,112,112,112,Alex,26.867204,28.500570000000003,1.6333660000000023
113,113,113,113,Makunga,26.900538,28.500570000000003,1.6000320000000023
114,114,114,114,nt0016815,26.900538,28.500570000000003,1.6000320000000023
115,115,115,115,Zuba,26.967206,28.500570000000003,1.5333640000000024
116,116,116,116,Mom,27.00054,28.500570000000003,1.5000300000000024
117,117,117,117,Gloria,28.033894000000004,28.500570000000003,0.4666759999999997
118,118,118,118,Marty,28.033894000000004,28.500570000000003,0.4666759999999997
119,119,119,119,Melman,28.033894000000004,28.500570000000003,0.4666759999999997
120,120,120,120,nt0263092,28.050561,28.500570000000003,0.450009000000005
121,121,121,121,Julien,28.050561,28.500570000000003,0.450009000000005
122,122,122,122,Skipper,28.517237,30.967286,2.4500490000000004
123,123,123,123,Rico,28.567238000000003,30.967286,2.4000479999999977
124,124,124,124,Private,28.567238000000003,30.967286,2.4000479999999977
125,125,125,125,Kowalski,28.567238000000003,30.967286,2.4000479999999977
126,126,126,126,Tourist with Video Camera,28.817243,30.967286,2.150043
127,127,127,127,Guide,28.817243,30.967286,2.150043
128,128,128,128,Tourist with University Shirt,28.817243,30.967286,2.150043
129,129,129,129,Nana,28.817243,30.967286,2.150043
130,130,130,130,Alex,30.983953000000003,33.867344,2.883391
131,131,131,131,Zuba,30.983953000000003,33.867344,2.883391
132,132,132,132,Mom,30.983953000000003,33.867344,2.883391
133,133,133,133,nt0656651,32.58398500000001,33.867344,1.28335899999999
134,134,134,134,nt0514016,33.534004,33.867344,0.3333399999999997
135,135,135,135,Tourist with Video Camera,33.867344,35.317373,1.450029000000001
136,136,136,136,Guide,33.900678000000006,35.317373,1.4166949999999972
137,137,137,137,Nana,33.967346000000006,35.317373,1.3500269999999972
138,138,138,138,Tourist with University Shirt,34.167350000000006,35.317373,1.1500229999999974
139,139,139,139,Female Tourist,34.184017000000004,35.317373,1.1333559999999991
140,140,140,140,Tourist with New York T-Shirt,34.184017000000004,35.317373,1.1333559999999991
141,141,141,141,nt0185962,34.584025000000004,35.317373,0.7333479999999994
142,142,142,142,Mort,35.36737400000001,37.184077,1.8167029999999893
143,143,143,143,Rico,35.75071500000001,37.184077,1.4333619999999954
144,144,144,144,Private,35.75071500000001,37.184077,1.4333619999999954
145,145,145,145,Kowalski,35.75071500000001,37.184077,1.4333619999999954
146,146,146,146,Skipper,35.784049,37.184077,1.4000279999999992
147,147,147,147,Mason,36.267392,37.184077,0.9166850000000012
148,148,148,148,Cub,37.184077,38.250765,1.0666879999999992
149,149,149,149,Alex,37.200744,38.250765,1.050021000000001
150,150,150,150,Makunga,37.400748,38.250765,0.8500170000000011
151,151,151,151,nt0319237,37.517417,38.250765,0.7333479999999994
152,152,152,152,Cub,38.250765,40.217471,1.966706000000002
153,153,153,153,Alex,38.250765,40.217471,1.966706000000002
154,154,154,154,Teetsi,38.26743200000001,40.217471,1.9500389999999967
155,155,155,155,Zuba,38.40076800000001,40.217471,1.8167029999999968
156,156,156,156,Mom,38.40076800000001,40.217471,1.8167029999999968
157,157,157,157,Makunga,38.867444000000006,40.217471,1.3500269999999972
158,158,158,158,nt0319233,38.934112000000006,40.217471,1.2833589999999973
159,159,159,159,Teetsi,40.217471,42.98419300000001,2.7667220000000095
160,160,160,160,Mom,40.217471,42.98419300000001,2.7667220000000095
161,161,161,161,Zuba,40.217471,42.98419300000001,2.7667220000000095
162,162,162,162,Alex,40.217471,42.98419300000001,2.7667220000000095
163,163,163,163,Makunga,40.700814,42.98419300000001,2.2833790000000107
164,164,164,164,nt0204863,41.317493000000006,42.98419300000001,1.6667000000000058
165,165,165,165,nt0319218,42.43418200000001,42.98419300000001,0.5500110000000049
166,166,166,166,Stephen the Giraffe,42.98419300000001,45.56757800000001,2.583385
167,167,167,167,Additional Giraffe,42.98419300000001,45.56757800000001,2.583385
168,168,168,168,Melman,42.98419300000001,45.56757800000001,2.583385
169,169,169,169,Little Giraffe,43.31753300000001,45.56757800000001,2.250045
170,170,170,170,Elephant,43.650873,45.56757800000001,1.9167050000000143
171,171,171,171,Marty,44.317553000000004,45.56757800000001,1.2500250000000082
172,172,172,172,Additional Zebras,44.400888,45.56757800000001,1.1666900000000098
173,173,173,173,nt0298322,44.76756200000001,45.56757800000001,0.8000159999999994
174,174,174,174,nt0540435,44.88423100000001,45.56757800000001,0.6833470000000048
175,175,175,175,Kowalski,45.56757800000001,49.367654,3.8000759999999913
176,176,176,176,Skipper,45.56757800000001,49.367654,3.8000759999999913
177,177,177,177,Additional Zebras,45.917585,49.367654,3.4500689999999987
