,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Himself,0.6000120000000001,2.150043,1.5500310000000002
1,1,1,1,Himself,1.816703,2.150043,0.3333400000000002
2,2,2,2,Himself,2.116709,2.150043,0.033333999999999975
3,3,3,3,Himself,2.266712,3.8000760000000002,1.5333640000000002
4,4,4,4,Himself,4.116749,5.66678,1.5500309999999995
5,5,5,5,Himself,4.850097000000001,5.66678,0.8166829999999994
6,6,6,6,Himself,5.316773,5.66678,0.3500069999999997
7,7,7,7,Himself,5.766782000000001,9.616859000000002,3.8500770000000006
8,8,8,8,Himself,5.900118000000001,9.616859000000002,3.7167410000000007
9,9,9,9,Himself,6.1334560000000025,9.616859000000002,3.4834029999999987
10,10,10,10,Himself,8.400167999999999,9.616859000000002,1.2166910000000026
11,11,11,11,Himself,9.616859000000002,13.550271,3.933411999999999
12,12,12,12,Himself,9.750195,13.550271,3.8000760000000007
13,13,13,13,Himself,10.200204,13.550271,3.350067000000001
14,14,14,14,Himself,12.283579,13.550271,1.2666920000000008
15,15,15,15,Himself,13.550271,15.283639,1.7333680000000005
16,16,16,16,Himself,13.916945000000002,15.283639,1.3666939999999992
17,17,17,17,Himself,14.433622000000002,15.283639,0.8500169999999994
18,18,18,18,Himself,14.866964000000001,15.283639,0.4166749999999997
19,19,19,19,Himself,15.283639,21.6671,6.3834610000000005
20,20,20,20,Himself,16.083655,21.6671,5.583445000000001
21,21,21,21,Himself,16.483663,21.6671,5.183437000000001
22,22,22,22,Himself,17.617019000000006,21.6671,4.050080999999995
23,23,23,23,Himself,21.700434,29.53392400000001,7.833490000000008
24,24,24,24,Himself,21.700434,29.53392400000001,7.833490000000008
25,25,25,25,Himself,22.933792,29.53392400000001,6.600132000000008
26,26,26,26,Himself,23.367134000000004,29.53392400000001,6.166790000000006
27,27,27,27,Himself,25.367174,29.53392400000001,4.166750000000011
28,28,28,28,Himself,26.350527000000003,29.53392400000001,3.1833970000000065
29,29,29,29,Himself,28.583905,29.53392400000001,0.9500190000000082
30,30,30,30,Himself,29.967266,38.317433,8.350167000000003
31,31,31,31,Himself,30.050601000000004,38.317433,8.266831999999997
32,32,32,32,Himself,30.233938000000002,38.317433,8.083495
33,33,33,33,Himself,30.450609000000004,38.317433,7.866823999999998
34,34,34,34,Himself,33.834010000000006,38.317433,4.483422999999995
35,35,35,35,Himself,34.800696,38.317433,3.5167369999999987
36,36,36,36,Himself,38.317433,45.717581,7.4001480000000015
37,37,37,37,Himself,38.317433,45.717581,7.4001480000000015
38,38,38,38,Herself,38.884111,45.717581,6.8334700000000055
39,39,39,39,Himself,39.884131,45.717581,5.833450000000006
40,40,40,40,Himself,40.05080100000001,45.717581,5.6667799999999975
41,41,41,41,Himself,41.750835,45.717581,3.966746000000001
42,42,42,42,Himself,45.884251000000006,65.03463400000001,19.150383000000005
43,43,43,43,Himself,45.934252,65.03463400000001,19.10038200000001
44,44,44,44,Himself,49.33432000000001,65.03463400000001,15.700314
45,45,45,45,Himself,52.35104700000001,65.03463400000001,12.683587000000005
46,46,46,46,Himself,64.65129300000001,65.03463400000001,0.3833410000000015
47,47,47,47,Himself,65.18463700000001,80.68494700000002,15.500310000000011
48,48,48,48,Himself,65.66798,80.68494700000002,15.016967000000026
49,49,49,49,Himself,66.434662,80.68494700000002,14.25028500000002
50,50,50,50,Himself,68.73470800000001,80.68494700000002,11.950239000000007
51,51,51,51,Himself,71.93477200000002,80.68494700000002,8.750174999999999
52,52,52,52,Himself,78.51823700000001,80.68494700000002,2.166710000000009
53,53,53,53,Herself,80.01826700000002,80.68494700000002,0.6666799999999995
54,54,54,54,Himself,80.701614,89.91846500000004,9.216851000000034
55,55,55,55,Herself,82.13497600000002,89.91846500000004,7.783489000000018
56,56,56,56,Himself,82.80165600000002,89.91846500000004,7.116809000000018
57,57,57,57,Himself,84.15168299999998,89.91846500000004,5.766782000000062
58,58,58,58,Himself,85.00170000000001,89.91846500000004,4.9167650000000265
59,59,59,59,Himself,85.96838600000002,89.91846500000004,3.9500790000000174
60,60,60,60,Himself,87.768422,89.91846500000004,2.1500430000000392
61,61,61,61,Himself,89.885131,89.91846500000004,0.03333400000003905
62,62,62,62,Himself,89.91846500000004,101.518697,11.600231999999965
63,63,63,63,Himself,89.91846500000004,101.518697,11.600231999999965
64,64,64,64,Himself,91.185157,101.518697,10.33354
65,65,65,65,Herself,94.96856600000001,101.518697,6.550130999999992
66,66,66,66,Himself,95.568578,101.518697,5.950119000000001
67,67,67,67,Himself,98.61863900000002,101.518697,2.9000579999999867
