,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,John,0.683347,3.83341,3.1500630000000003
1,1,1,1,Boy,0.7666820000000001,3.83341,3.0667280000000003
2,2,2,2,Jenny,1.366694,3.83341,2.466716
3,3,3,3,nt0996414,3.1167290000000003,3.83341,0.7166809999999999
4,4,4,4,John,3.83341,6.4334620000000005,2.6000520000000003
5,5,5,5,Jenny,3.83341,6.4334620000000005,2.6000520000000003
6,6,6,6,Arnie Klein,4.433422,6.4334620000000005,2.0000400000000003
7,7,7,7,Sebastian,4.616759,6.4334620000000005,1.8167030000000004
8,8,8,8,John,6.516797,8.350166999999999,1.8333699999999984
9,9,9,9,Jenny,6.7334679999999985,8.350166999999999,1.6166990000000006
10,10,10,10,Sebastian,8.350166999999999,10.250205000000001,1.9000380000000021
11,11,11,11,John,8.350166999999999,10.250205000000001,1.9000380000000021
12,12,12,12,Arnie Klein,9.116849,10.250205000000001,1.1333560000000011
13,13,13,13,John,10.283539,12.033574000000002,1.7500350000000022
14,14,14,14,Jenny,10.316873,12.033574000000002,1.7167010000000025
15,15,15,15,Lori,10.500210000000001,12.033574000000002,1.5333640000000006
16,16,16,16,Jenny,12.116909,15.933652000000002,3.8167430000000016
17,17,17,17,John,12.116909,15.933652000000002,3.8167430000000016
18,18,18,18,Lisa,13.766942000000002,15.933652000000002,2.16671
19,19,19,19,Neighbor Mom (Nurse),13.766942000000002,15.933652000000002,2.16671
20,20,20,20,John,15.933652000000002,17.750355000000006,1.816703000000004
21,21,21,21,Jenny,16.533664,17.750355000000006,1.2166910000000044
22,22,22,22,Sebastian,17.750355000000006,20.800416000000002,3.050060999999996
23,23,23,23,John,17.83369,20.800416000000002,2.9667260000000013
24,24,24,24,Viviana,18.300366,20.800416000000002,2.5000500000000017
25,25,25,25,Shannon,18.300366,20.800416000000002,2.5000500000000017
26,26,26,26,Jorge,19.567058000000007,20.800416000000002,1.2333579999999955
27,27,27,27,Jenny,20.283739,20.800416000000002,0.5166770000000014
28,28,28,28,John,20.817083,22.933792,2.116709
29,29,29,29,Arnie Klein,20.867084,22.933792,2.066708000000002
30,30,30,30,Jenny,22.300446,22.933792,0.6333459999999995
31,31,31,31,Ms. Kornblut,22.933792,26.00052,3.0667280000000012
32,32,32,32,Jenny,23.00046,26.00052,3.0000600000000013
33,33,33,33,John,23.00046,26.00052,3.0000600000000013
34,34,34,34,nt0336790,23.567138000000003,26.00052,2.4333819999999977
35,35,35,35,nt0336786,23.900478000000003,26.00052,2.1000419999999984
36,36,36,36,nt0336804,24.683827,26.00052,1.3166930000000008
37,37,37,37,nt0336797,25.733848000000002,26.00052,0.2666719999999998
38,38,38,38,Jenny,26.200524,27.850557000000002,1.6500330000000003
39,39,39,39,John,26.200524,27.850557000000002,1.6500330000000003
40,40,40,40,Arnie Klein,27.850557000000002,29.383921000000004,1.5333640000000024
41,41,41,41,John,27.933892000000004,29.383921000000004,1.450029000000001
42,42,42,42,John,29.383921000000004,32.25064500000001,2.8667240000000085
43,43,43,43,Jenny,29.50059000000001,32.25064500000001,2.7500550000000032
44,44,44,44,Sebastian,29.767262,32.25064500000001,2.483383000000014
45,45,45,45,Herself,29.900598,32.25064500000001,2.350047000000014
46,46,46,46,Himself,29.900598,32.25064500000001,2.350047000000014
47,47,47,47,nt0100529,30.650613000000003,32.25064500000001,1.6000320000000094
