,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Prison Guard #1,0.583345,6.1334560000000025,5.550111000000002
1,1,1,1,Boris' Girlfriend,0.583345,6.1334560000000025,5.550111000000002
2,2,2,2,Prison Guard #2,0.583345,6.1334560000000025,5.550111000000002
3,3,3,3,nt0296174,1.7833690000000002,6.1334560000000025,4.350087000000002
4,4,4,4,Prison Guard #3,1.8333700000000002,6.1334560000000025,4.300086000000002
5,5,5,5,nt0950565,2.050041,6.1334560000000025,4.083415000000001
6,6,6,6,Boris The Animal,2.183377,6.1334560000000025,3.9500790000000015
7,7,7,7,nt0296172,2.300046,6.1334560000000025,3.8334100000000015
8,8,8,8,Prison Guard #4,2.683387,6.1334560000000025,3.4500690000000023
9,9,9,9,Obadiah Price,4.366754,6.1334560000000025,1.7667020000000022
10,10,10,10,Agent K,6.1501230000000024,8.216830999999999,2.0667079999999967
11,11,11,11,Agent J,6.1501230000000024,8.216830999999999,2.0667079999999967
12,12,12,12,nt0167395,7.066808000000001,8.216830999999999,1.1500229999999982
13,13,13,13,Dead Zed,8.316833,10.816883,2.50005
14,14,14,14,Agent J,8.383500999999999,10.816883,2.4333820000000017
15,15,15,15,Agent O,8.383500999999999,10.816883,2.4333820000000017
16,16,16,16,Brain Alien,8.383500999999999,10.816883,2.4333820000000017
17,17,17,17,Agent K,8.433502,10.816883,2.383381
18,18,18,18,Jeffrey Price,10.816883,13.583605,2.766722
19,19,19,19,Boris The Animal,10.916885,13.583605,2.66672
20,20,20,20,Agent K,11.483563,13.583605,2.100042
21,21,21,21,Agent J,11.483563,13.583605,2.100042
22,22,22,22,Mr. Wu's Bartender,11.566898000000002,13.583605,2.0167069999999985
23,23,23,23,Mr. Wu,11.583565000000002,13.583605,2.0000399999999985
24,24,24,24,Agent K,13.583605,18.283699,4.700093999999998
25,25,25,25,Agent J,13.666940000000002,18.283699,4.6167589999999965
26,26,26,26,Mr. Wu's Bartender,13.700274000000002,18.283699,4.5834249999999965
27,27,27,27,Agent O,14.466956,18.283699,3.816742999999999
28,28,28,28,Mr. Wu,15.783649000000002,18.283699,2.5000499999999963
29,29,29,29,Boris The Animal,17.000339999999998,18.283699,1.2833590000000008
30,30,30,30,Agent J,18.367034,22.583785,4.216750999999999
31,31,31,31,Agent K,18.783709,22.583785,3.800075999999997
32,32,32,32,2012 MIB HQ Guard,19.950399,22.583785,2.633385999999998
33,33,33,33,Alien on TV Monitors,20.267072,22.583785,2.316713
34,34,34,34,Boris The Animal,20.400408,22.583785,2.183377
35,35,35,35,nt0311240,20.650413,22.583785,1.9333719999999983
36,36,36,36,Roman The Fabulist,20.733748000000002,22.583785,1.8500369999999968
37,37,37,37,Agent O,20.967086,22.583785,1.6166990000000006
38,38,38,38,nt0167406,22.00044,22.583785,0.5833449999999978
39,39,39,39,Agent J,22.583785,24.850497,2.2667120000000023
40,40,40,40,Agent K,22.800456,24.850497,2.050041
41,41,41,41,nt0167392,24.26715200000001,24.850497,0.5833449999999907
42,42,42,42,Mom,24.650493,24.850497,0.20000399999999985
43,43,43,43,Little Chocolate Milk Girl,24.650493,24.850497,0.20000399999999985
44,44,44,44,Agent J,24.883831,31.48396300000001,6.600132000000008
45,45,45,45,Mom,24.933832000000002,31.48396300000001,6.550131000000008
46,46,46,46,Little Chocolate Milk Girl,24.933832000000002,31.48396300000001,6.550131000000008
47,47,47,47,1969 MIB HQ Guard,25.717181000000004,31.48396300000001,5.766782000000006
48,48,48,48,Agent AA,25.817183000000004,31.48396300000001,5.666780000000006
49,49,49,49,Agent O,26.91720500000001,31.48396300000001,4.566758
50,50,50,50,Alien on TV Monitors,27.15054300000001,31.48396300000001,4.3334199999999985
51,51,51,51,Alien on TV Monitors,27.967226000000004,31.48396300000001,3.5167370000000067
52,52,52,52,nt0680269,28.583905,31.48396300000001,2.9000580000000085
53,53,53,53,nt0330243,29.36725400000001,31.48396300000001,2.116709
54,54,54,54,nt0330260,31.150623000000003,31.48396300000001,0.33334000000000685
55,55,55,55,Agent J,31.51729700000001,37.584085,6.066787999999992
56,56,56,56,Jeffrey Price,31.633966000000004,37.584085,5.950118999999997
57,57,57,57,Agent J,37.600752,42.98419300000001,5.383441000000012
58,58,58,58,1969 Man in Elevator,37.93409200000001,42.98419300000001,5.050101000000005
59,59,59,59,Car Theft Victim,38.767442,42.98419300000001,4.216751000000009
60,60,60,60,Hotel Doorman,38.800776000000006,42.98419300000001,4.183417000000007
61,61,61,61,Boris The Animal,39.550791,42.98419300000001,3.4334020000000147
62,62,62,62,Coney Island Flower Child,39.700794,42.98419300000001,3.283399000000009
63,63,63,63,Coney Island Hippie,39.700794,42.98419300000001,3.283399000000009
64,64,64,64,1969 NYPD Cop #1,40.25080500000001,42.98419300000001,2.7333880000000046
65,65,65,65,1969 NYPD Cop #2,40.25080500000001,42.98419300000001,2.7333880000000046
66,66,66,66,Roman The Fabulist,40.38414100000001,42.98419300000001,2.6000520000000047
67,67,67,67,Screaming Lady on Ferris Wheel,42.31751300000001,42.98419300000001,0.6666799999999995
68,68,68,68,Young Agent K,42.71752100000001,42.98419300000001,0.2666719999999998
69,69,69,69,Agent J,42.98419300000001,45.950919000000006,2.9667259999999933
70,70,70,70,Detained Teenage Alien,43.150863,45.950919000000006,2.800056000000005
71,71,71,71,Agent X,43.350867,45.950919000000006,2.6000520000000047
72,72,72,72,Young Agent O,43.350867,45.950919000000006,2.6000520000000047
73,73,73,73,Griffin,43.367534000000006,45.950919000000006,2.583385
74,74,74,74,Young Agent K,43.467536,45.950919000000006,2.4833830000000034
75,75,75,75,nt0644586,44.95089900000001,45.950919000000006,1.0000199999999992
76,76,76,76,Agent J,46.050921,48.91764500000001,2.866724000000005
77,77,77,77,Young Agent K,46.08425500000001,48.91764500000001,2.8333899999999943
78,78,78,78,nt0311258,46.46759600000001,48.91764500000001,2.4500490000000004
79,79,79,79,Agent X,48.684307000000004,48.91764500000001,0.2333380000000033
80,80,80,80,Young Agent O,48.71764100000001,48.91764500000001,0.20000399999999985
81,81,81,81,nt0789789,48.73430800000001,48.91764500000001,0.18333699999999453
82,82,82,82,Young Agent K,48.91764500000001,53.95107900000001,5.033434
83,83,83,83,Agent J,48.91764500000001,53.95107900000001,5.033434
84,84,84,84,Bowling Ball Head,51.31769300000001,53.95107900000001,2.6333859999999945
85,85,85,85,Four-Armed Alien,51.31769300000001,53.95107900000001,2.6333859999999945
86,86,86,86,Young Agent O,53.36773400000001,53.95107900000001,0.5833449999999942
87,87,87,87,Buzz Aldrin,53.451069,53.95107900000001,0.5000100000000103
88,88,88,88,Agent J,53.984413,62.917925,8.933511999999991
89,89,89,89,Young Agent K,53.984413,62.917925,8.933511999999991
90,90,90,90,Funky '60s Dude,54.784429,62.917925,8.133495999999994
91,91,91,91,Andy Warhol,55.13443600000001,62.917925,7.783488999999987
92,92,92,92,nt0375674,55.634446,62.917925,7.283478999999999
93,93,93,93,Transvestite at Happening,57.034474,62.917925,5.883450999999994
94,94,94,94,nt0040402,57.534484000000006,62.917925,5.383440999999992
95,95,95,95,Griffin,58.084495,62.917925,4.83343
96,96,96,96,Muscle Boy at Happening,58.301166,62.917925,4.616758999999996
97,97,97,97,Boy's Girlfriend at Happening,58.301166,62.917925,4.616758999999996
98,98,98,98,Guru,61.00122,62.917925,1.9167049999999928
99,99,99,99,nt0135668,61.03455400000001,62.917925,1.8833709999999897
100,100,100,100,Boris The Animal,61.28455900000001,62.917925,1.633365999999988
101,101,101,101,nt0062804,61.56789800000001,62.917925,1.35002699999999
102,102,102,102,nt0311235,62.21791100000001,62.917925,0.7000139999999888
103,103,103,103,nt0481951,62.534584,62.917925,0.3833409999999944
104,104,104,104,Young Agent K,62.93459200000001,65.86798399999999,2.933391999999984
105,105,105,105,Agent J,63.06792800000001,65.86798399999999,2.800055999999984
106,106,106,106,Diner Waitress,63.15126300000001,65.86798399999999,2.716720999999985
107,107,107,107,New York Mets Fan #1,65.20130400000001,65.86798399999999,0.6666799999999853
108,108,108,108,New York Mets Fan #2,65.234638,65.86798399999999,0.6333459999999889
109,109,109,109,Young Agent K,65.934652,69.901398,3.966746000000001
110,110,110,110,Agent J,65.98465300000001,69.901398,3.9167449999999917
111,111,111,111,Griffin,66.301326,69.901398,3.6000719999999973
112,112,112,112,Cleon Jones,68.46803600000001,69.901398,1.4333619999999885
113,113,113,113,Boris The Animal,69.084715,69.901398,0.8166829999999976
114,114,114,114,Boris The Animal,69.901398,71.91810500000003,2.016707000000025
115,115,115,115,Griffin,69.901398,71.91810500000003,2.016707000000025
116,116,116,116,Young Agent K,69.96806600000001,71.91810500000003,1.9500390000000185
117,117,117,117,Agent J,70.0014,71.91810500000003,1.9167050000000216
118,118,118,118,nt0763719,71.70143399999998,71.91810500000003,0.2166710000000478
119,119,119,119,Boris The Animal,72.018107,77.88489100000002,5.866784000000024
120,120,120,120,Young Agent K,73.68480699999998,77.88489100000002,4.200084000000048
121,121,121,121,Griffin,73.68480699999998,77.88489100000002,4.200084000000048
122,122,122,122,Agent J,74.01814700000001,77.88489100000002,3.8667440000000113
123,123,123,123,nt0311254,77.21821100000003,77.88489100000002,0.6666799999999995
124,124,124,124,nt0395882,77.50155000000002,77.88489100000002,0.3833410000000015
125,125,125,125,Agent J,77.968226,81.801636,3.8334100000000007
126,126,126,126,Young Agent K,77.968226,81.801636,3.8334100000000007
127,127,127,127,Griffin,77.98489300000001,81.801636,3.8167429999999882
128,128,128,128,Young Agent O,78.05156099999998,81.801636,3.750075000000024
129,129,129,129,Buzz Aldrin,80.01826700000002,81.801636,1.783368999999979
130,130,130,130,Michael Collins,80.01826700000002,81.801636,1.783368999999979
131,131,131,131,Neil Armstrong,80.01826700000002,81.801636,1.783368999999979
132,132,132,132,Air Force MP #2,80.984953,81.801636,0.8166829999999976
133,133,133,133,Air Force MP #1,80.984953,81.801636,0.8166829999999976
134,134,134,134,Colonel,81.934972,84.435022,2.5000500000000017
135,135,135,135,Agent J,82.00164000000002,84.435022,2.4333819999999804
136,136,136,136,Young Agent K,82.00164000000002,84.435022,2.4333819999999804
137,137,137,137,Griffin,82.00164000000002,84.435022,2.4333819999999804
138,138,138,138,Air Force MP #2,82.00164000000002,84.435022,2.4333819999999804
139,139,139,139,Air Force MP #1,82.00164000000002,84.435022,2.4333819999999804
140,140,140,140,Agent J,84.56835799999998,92.53518400000002,7.96682600000004
141,141,141,141,Young Agent K,84.56835799999998,92.53518400000002,7.96682600000004
142,142,142,142,Colonel,84.60169200000001,92.53518400000002,7.933492000000001
143,143,143,143,Boris The Animal,86.31839300000001,92.53518400000002,6.2167910000000015
144,144,144,144,Young Wife #1 Watching Launch,87.41841500000002,92.53518400000002,5.116768999999991
145,145,145,145,Young Husband #1 Watching Launch,87.41841500000002,92.53518400000002,5.116768999999991
146,146,146,146,Young Wife #2 Watching Launch,87.41841500000002,92.53518400000002,5.116768999999991
147,147,147,147,Husband Watching Launch,87.868424,92.53518400000002,4.666760000000012
148,148,148,148,Wife Watching Launch,87.868424,92.53518400000002,4.666760000000012
149,149,149,149,Neil Armstrong,90.968486,92.53518400000002,1.5666980000000166
150,150,150,150,Buzz Aldrin,90.985153,92.53518400000002,1.5500310000000184
151,151,151,151,Michael Collins,90.985153,92.53518400000002,1.5500310000000184
152,152,152,152,nt0040388,91.985173,92.53518400000002,0.550011000000012
153,153,153,153,nt0040405,92.435182,92.53518400000002,0.10000200000001767
154,154,154,154,Young Agent K,92.685187,95.48524300000001,2.800056000000012
155,155,155,155,Colonel,92.718521,95.48524300000001,2.766722000000016
156,156,156,156,Agent J,92.868524,95.48524300000001,2.6167190000000176
157,157,157,157,Boris The Animal,92.968526,95.48524300000001,2.5167170000000145
158,158,158,158,Colonel's Son,93.551871,95.48524300000001,1.9333720000000056
159,159,159,159,Agent J,95.50191,98.085295,2.583385000000007
160,160,160,160,Agent K,95.818583,98.085295,2.2667119999999983
161,161,161,161,Griffin,97.43528200000002,98.085295,0.6500129999999871
162,162,162,162,nt0167393,97.75195500000001,98.085295,0.33333999999999264
