,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Dr. Nekhorvich,0.8000160000000001,1.933372,1.133356
1,1,1,1,Hugh Stamp,2.0000400000000003,6.1334560000000025,4.133416000000002
2,2,2,2,Dr. Nekhorvich,2.0000400000000003,6.1334560000000025,4.133416000000002
3,3,3,3,Ethan Hunt,2.066708,6.1334560000000025,4.066748000000001
4,4,4,4,Co-Pilot,3.266732,6.1334560000000025,2.8667240000000023
5,5,5,5,Relief Pilot,3.283399,6.1334560000000025,2.8500570000000023
6,6,6,6,Wallis,3.383401,6.1334560000000025,2.7500550000000024
7,7,7,7,Ulrich,4.483423,6.1334560000000025,1.6500330000000023
8,8,8,8,Sean Ambrose,5.1667700000000005,6.1334560000000025,0.966686000000002
9,9,9,9,Ethan Hunt,6.1834570000000015,10.816883,4.633425999999999
10,10,10,10,Man with Mission Rocket in Helicopter,8.750175,10.816883,2.066708
11,11,11,11,Mission Commander Swanbeck,9.466856000000002,10.816883,1.3500269999999992
12,12,12,12,Nyah Nordoff-Hall,9.633526000000002,10.816883,1.1833569999999989
13,13,13,13,Flamenco Dancer,10.966886,13.150263,2.183377
14,14,14,14,Flamenco Dancer,11.033554,13.150263,2.116709
15,15,15,15,Flamenco Dancer,11.033554,13.150263,2.116709
16,16,16,16,Flamenco Dancer,11.033554,13.150263,2.116709
17,17,17,17,Flamenco Dancer,11.033554,13.150263,2.116709
18,18,18,18,Ethan Hunt,11.250225,13.150263,1.9000380000000003
19,19,19,19,Nyah Nordoff-Hall,11.450229,13.150263,1.7000340000000005
20,20,20,20,Flamenco Dancer,12.416915,13.150263,0.7333480000000012
21,21,21,21,Flamenco Dancer,12.416915,13.150263,0.7333480000000012
22,22,22,22,Nyah Nordoff-Hall,13.150263,17.233678,4.0834150000000005
23,23,23,23,Ethan Hunt,13.816943000000002,17.233678,3.4167349999999987
24,24,24,24,Senor De L'Arena,14.083615000000002,17.233678,3.1500629999999994
25,25,25,25,Nyah Nordoff-Hall,17.233678,18.233698,1.0000199999999992
26,26,26,26,Ethan Hunt,17.233678,18.233698,1.0000199999999992
27,27,27,27,Nyah Nordoff-Hall,18.367034,21.88377100000001,3.5167370000000098
28,28,28,28,Ethan Hunt,18.533704,21.88377100000001,3.350067000000009
29,29,29,29,Ethan Hunt,21.95043900000001,23.967146000000003,2.016706999999993
30,30,30,30,Nyah Nordoff-Hall,22.367114,23.967146000000003,1.6000320000000023
31,31,31,31,Mission Commander Swanbeck,24.200484000000003,30.517277000000004,6.3167930000000005
32,32,32,32,Ethan Hunt,24.33382000000001,30.517277000000004,6.1834569999999935
33,33,33,33,Dr. Nekhorvich,25.533844000000002,30.517277000000004,4.983433000000002
34,34,34,34,Sean Ambrose,27.350547,30.517277000000004,3.1667300000000047
35,35,35,35,Ethan Hunt,30.567278,33.717341000000005,3.150063000000003
36,36,36,36,Nyah Nordoff-Hall,31.033954,33.717341000000005,2.683387000000004
37,37,37,37,Nyah Nordoff-Hall,33.717341000000005,34.684027,0.9666859999999956
38,38,38,38,Ethan Hunt,33.767342000000006,34.684027,0.916684999999994
39,39,39,39,Sean Ambrose,34.150683,34.684027,0.5333439999999996
40,40,40,40,Nyah Nordoff-Hall,34.784029000000004,39.650793,4.866763999999995
41,41,41,41,Billy Baird,35.067368,39.650793,4.583424999999998
42,42,42,42,Luther Stickell,35.184037000000004,39.650793,4.466755999999997
43,43,43,43,Ethan Hunt,35.400708,39.650793,4.250084999999999
44,44,44,44,Sean Ambrose,36.10072200000001,39.650793,3.5500709999999884
45,45,45,45,Hugh Stamp,36.417395000000006,39.650793,3.2333979999999936
46,46,46,46,Wallis,39.650793,41.65083300000001,2.0000400000000127
47,47,47,47,Hugh Stamp,39.684127000000004,41.65083300000001,1.9667060000000087
48,48,48,48,Nyah Nordoff-Hall,39.73412800000001,41.65083300000001,1.9167050000000003
49,49,49,49,Sean Ambrose,39.73412800000001,41.65083300000001,1.9167050000000003
50,50,50,50,Ethan Hunt,40.234138,41.65083300000001,1.4166950000000114
51,51,51,51,Luther Stickell,40.38414100000001,41.65083300000001,1.2666920000000057
52,52,52,52,Ethan Hunt,41.684167,42.950859,1.266691999999999
53,53,53,53,Dr. Nekhorvich,41.98417300000001,42.950859,0.9666859999999886
54,54,54,54,Luther Stickell,42.11750900000001,42.950859,0.8333499999999887
55,55,55,55,Sean Ambrose,43.03419400000001,45.850917,2.816722999999996
56,56,56,56,Hugh Stamp,43.067528,45.850917,2.783389
57,57,57,57,Nyah Nordoff-Hall,43.90087800000001,45.850917,1.9500389999999896
58,58,58,58,Nyah Nordoff-Hall,46.100922,47.100942,1.0000200000000063
