,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Young Adam,1.5166970000000002,2.9333920000000004,1.4166950000000005
1,1,1,1,Young Emma,1.5500310000000002,2.9333920000000004,1.3833610000000005
2,2,2,2,Emma,3.1500630000000003,5.533444,2.383381
3,3,3,3,Adam Franklin,3.316733,5.533444,2.216711
4,4,4,4,Frat Party Dancer,3.316733,5.533444,2.216711
5,5,5,5,Frat Party Dancer,3.316733,5.533444,2.216711
6,6,6,6,Patrice,3.5000700000000005,5.533444,2.033374
7,7,7,7,Eli,4.183417,5.533444,1.350027
8,8,8,8,nt0266077,5.316773,5.533444,0.21667099999999986
9,9,9,9,Kevin,5.533444,7.650152999999999,2.1167089999999984
10,10,10,10,Katie,5.533444,7.650152999999999,2.1167089999999984
11,11,11,11,Emma's Relative,5.533444,7.650152999999999,2.1167089999999984
12,12,12,12,Sandra Kurtzman,5.533444,7.650152999999999,2.1167089999999984
13,13,13,13,Emma,5.533444,7.650152999999999,2.1167089999999984
14,14,14,14,Adam Franklin,5.833450000000001,7.650152999999999,1.8167029999999973
15,15,15,15,nt0817604,6.033454000000001,7.650152999999999,1.6166989999999979
16,16,16,16,Patrice,7.883491000000001,10.066868,2.1833769999999983
17,17,17,17,Eli,7.933492000000001,10.066868,2.1333759999999984
18,18,18,18,Adam Franklin,8.350166999999999,10.066868,1.7167010000000005
19,19,19,19,Vanessa,8.400167999999999,10.066868,1.6667000000000003
20,20,20,20,Emma,8.533503999999999,10.066868,1.5333640000000006
21,21,21,21,Katie,8.766842,10.066868,1.300025999999999
22,22,22,22,Sari,10.116869,11.900238000000002,1.7833690000000022
23,23,23,23,Benji,10.200204,11.900238000000002,1.7000340000000025
24,24,24,24,Megan,10.283539,11.900238000000002,1.6166990000000023
25,25,25,25,Adam Franklin,10.300206,11.900238000000002,1.6000320000000023
26,26,26,26,Writer,10.300206,11.900238000000002,1.6000320000000023
27,27,27,27,Writer,10.300206,11.900238000000002,1.6000320000000023
28,28,28,28,Lucy,10.33354,11.900238000000002,1.5666980000000024
29,29,29,29,TV Director,10.866884,11.900238000000002,1.033354000000001
30,30,30,30,Chuck,11.650233000000002,11.900238000000002,0.2500049999999998
31,31,31,31,Adam Franklin,11.900238000000002,15.850317000000002,3.950079000000001
32,32,32,32,Alvin,12.450249000000001,15.850317000000002,3.400068000000001
33,33,33,33,Vanessa,14.533624,15.850317000000002,1.3166930000000026
34,34,34,34,nt0178920,15.0003,15.850317000000002,0.8500170000000029
35,35,35,35,Eli,15.850317000000002,17.650353000000006,1.8000360000000042
36,36,36,36,Adam Franklin,15.850317000000002,17.650353000000006,1.8000360000000042
37,37,37,37,Wallace,15.883651000000002,17.650353000000006,1.7667020000000042
38,38,38,38,Joy,16.950339000000003,17.650353000000006,0.700014000000003
39,39,39,39,Adam Franklin,17.650353000000006,21.067088000000002,3.4167349999999956
40,40,40,40,Shira,18.017027,21.067088000000002,3.050061000000003
41,41,41,41,Guy,19.267052000000003,21.067088000000002,1.8000359999999986
42,42,42,42,Patrice,19.533724000000007,21.067088000000002,1.5333639999999953
43,43,43,43,Emma,19.800396000000006,21.067088000000002,1.2666919999999957
44,44,44,44,nt0265992,19.800396000000006,21.067088000000002,1.2666919999999957
45,45,45,45,Adam Franklin,21.067088000000002,25.983853000000003,4.916765000000002
46,46,46,46,Emma,21.067088000000002,25.983853000000003,4.916765000000002
47,47,47,47,nt0797257,22.18377700000001,25.983853000000003,3.8000759999999936
48,48,48,48,Shira,24.517157,25.983853000000003,1.4666960000000024
49,49,49,49,nt0183868,24.717161,25.983853000000003,1.2666920000000026
50,50,50,50,nt0266005,25.683847000000004,25.983853000000003,0.3000059999999998
51,51,51,51,Guy,25.800516000000002,25.983853000000003,0.18333700000000164
52,52,52,52,Adam Franklin,25.983853000000003,28.283899,2.3000459999999983
53,53,53,53,Eli,26.050521000000003,28.283899,2.2333779999999983
54,54,54,54,Emma,26.400528,28.283899,1.8833710000000004
55,55,55,55,Sam,26.400528,28.283899,1.8833710000000004
56,56,56,56,Emma,28.333900000000003,30.367274,2.033373999999996
57,57,57,57,Sam,28.333900000000003,30.367274,2.033373999999996
58,58,58,58,Guy,28.333900000000003,30.367274,2.033373999999996
59,59,59,59,Patrice,28.333900000000003,30.367274,2.033373999999996
60,60,60,60,Adam Franklin,28.383901,30.367274,1.9833729999999967
61,61,61,61,Dr. Metzner,29.967266,30.367274,0.4000079999999997
62,62,62,62,nt0098752,30.183937000000004,30.367274,0.18333699999999453
63,63,63,63,Bar Group,30.367274,32.200644000000004,1.8333700000000053
64,64,64,64,Bar Group,30.367274,32.200644000000004,1.8333700000000053
65,65,65,65,Adam Franklin,30.617279000000003,32.200644000000004,1.5833650000000006
66,66,66,66,Eli,30.617279000000003,32.200644000000004,1.5833650000000006
67,67,67,67,Wallace,31.233958,32.200644000000004,0.9666860000000028
68,68,68,68,Joy,31.633966000000004,32.200644000000004,0.5666779999999996
69,69,69,69,Emma,32.217310999999995,34.56735800000001,2.3500470000000178
70,70,70,70,Adam Franklin,32.233978,34.56735800000001,2.3333800000000124
71,71,71,71,nt0724314,32.50065,34.56735800000001,2.0667080000000126
72,72,72,72,nt0183879,33.033994,34.56735800000001,1.533364000000013
73,73,73,73,Man with Dog,34.150683,34.56735800000001,0.4166750000000121
74,74,74,74,Emma,34.56735800000001,36.850737,2.2833789999999894
75,75,75,75,Adam Franklin,34.617359,36.850737,2.2333780000000023
76,76,76,76,Megan,34.850697000000004,36.850737,2.0000399999999985
77,77,77,77,Lucy,34.850697000000004,36.850737,2.0000399999999985
78,78,78,78,Shira,35.61737900000001,36.850737,1.2333579999999955
79,79,79,79,Patrice,35.61737900000001,36.850737,1.2333579999999955
80,80,80,80,Sam,35.88405100000001,36.850737,0.9666859999999956
81,81,81,81,Eli,36.634066,36.850737,0.2166710000000052
82,82,82,82,Shira,37.00074,39.584125,2.583385
83,83,83,83,Katie,37.00074,39.584125,2.583385
84,84,84,84,Kevin,37.00074,39.584125,2.583385
85,85,85,85,Patrice,37.100742,39.584125,2.4833830000000034
86,86,86,86,Eli,37.100742,39.584125,2.4833830000000034
87,87,87,87,Emma,37.267412,39.584125,2.316713
88,88,88,88,Sam,37.267412,39.584125,2.316713
89,89,89,89,Adam Franklin,37.300746000000004,39.584125,2.2833789999999965
90,90,90,90,nt0736044,37.83409,39.584125,1.750034999999997
