,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Kate,0.66668,4.383421,3.7167410000000003
1,1,1,1,John,0.66668,4.383421,3.7167410000000003
2,2,2,2,Delivery Room Nurse,1.0833549999999998,4.383421,3.300066
3,3,3,3,Dr. Browning,4.466756,5.66678,1.200024
4,4,4,4,Kate,4.50009,5.66678,1.16669
5,5,5,5,Kate,5.66678,7.000140000000001,1.3333600000000008
6,6,6,6,Max,6.000120000000001,7.000140000000001,1.0000200000000001
7,7,7,7,Kate,7.183477000000001,9.266852,2.083375
8,8,8,8,Max,8.250164999999999,9.266852,1.016687000000001
9,9,9,9,John,8.616839,9.266852,0.6500129999999995
10,10,10,10,Daniel,8.616839,9.266852,0.6500129999999995
11,11,11,11,Max,9.266852,11.33356,2.066708
12,12,12,12,Kate,9.266852,11.33356,2.066708
13,13,13,13,Daniel,9.300186,11.33356,2.0333740000000002
14,14,14,14,John,9.33352,11.33356,2.0000400000000003
15,15,15,15,Kate,11.33356,13.350267,2.016707
16,16,16,16,John,11.833570000000002,13.350267,1.5166969999999989
17,17,17,17,John,13.433602,16.566998,3.133396000000001
18,18,18,18,Kate,13.483603,16.566998,3.083395000000001
19,19,19,19,Sister Abigail,14.000280000000002,16.566998,2.566718
20,20,20,20,Esther,15.133636,16.566998,1.4333620000000025
21,21,21,21,John,16.566998,18.467036,1.9000379999999983
22,22,22,22,Esther,16.600332,18.467036,1.8667039999999984
23,23,23,23,Kate,17.300345999999998,18.467036,1.166690000000003
24,24,24,24,Sister Abigail,17.317013000000006,18.467036,1.1500229999999938
25,25,25,25,Esther,18.467036,21.367094,2.9000580000000014
26,26,26,26,Sister Abigail,18.467036,21.367094,2.9000580000000014
27,27,27,27,Kate,18.483703,21.367094,2.883391000000003
28,28,28,28,John,18.483703,21.367094,2.883391000000003
29,29,29,29,Max,20.767082000000002,21.367094,0.6000119999999995
30,30,30,30,Daniel,21.367094,22.35044700000001,0.9833530000000079
31,31,31,31,Grandma Barbara,21.367094,22.35044700000001,0.9833530000000079
32,32,32,32,Esther,21.400428,22.35044700000001,0.9500190000000082
33,33,33,33,John,21.433762,22.35044700000001,0.9166850000000082
34,34,34,34,Kate,21.483763000000003,22.35044700000001,0.8666840000000064
35,35,35,35,Max,21.483763000000003,22.35044700000001,0.8666840000000064
36,36,36,36,Max,22.35044700000001,23.433802000000004,1.083354999999994
37,37,37,37,Esther,22.35044700000001,23.433802000000004,1.083354999999994
38,38,38,38,Kate,22.38378100000001,23.433802000000004,1.050020999999994
39,39,39,39,Grandma Barbara,22.433782,23.433802000000004,1.0000200000000028
40,40,40,40,John,22.433782,23.433802000000004,1.0000200000000028
41,41,41,41,Daniel,22.600452,23.433802000000004,0.8333500000000029
42,42,42,42,Daniel's Friend,22.617119,23.433802000000004,0.8166830000000047
43,43,43,43,Daniel's Friend,22.783789000000002,23.433802000000004,0.6500130000000013
44,44,44,44,Daniel's Friend,23.433802000000004,24.167150000000003,0.7333479999999994
45,45,45,45,Daniel's Friend,23.433802000000004,24.167150000000003,0.7333479999999994
46,46,46,46,Daniel,23.433802000000004,24.167150000000003,0.7333479999999994
47,47,47,47,Max,24.167150000000003,25.400508,1.2333579999999955
48,48,48,48,Esther,24.167150000000003,25.400508,1.2333579999999955
49,49,49,49,Grandma Barbara,24.183817,25.400508,1.2166909999999973
50,50,50,50,Kate,24.183817,25.400508,1.2166909999999973
51,51,51,51,Kate,25.483843000000004,27.15054300000001,1.6667000000000058
52,52,52,52,John,25.650513000000004,27.15054300000001,1.500030000000006
53,53,53,53,Esther,25.917185000000003,27.15054300000001,1.2333580000000062
54,54,54,54,Max,26.483863000000003,27.15054300000001,0.6666800000000066
55,55,55,55,John,27.15054300000001,28.600572000000003,1.4500289999999936
56,56,56,56,Kate,27.18387700000001,28.600572000000003,1.4166949999999936
57,57,57,57,Esther,27.283879,28.600572000000003,1.3166930000000043
58,58,58,58,Daniel,27.383881,28.600572000000003,1.2166910000000044
59,59,59,59,Max,27.383881,28.600572000000003,1.2166910000000044
60,60,60,60,Teacher,28.150563000000002,28.600572000000003,0.45000900000000144
61,61,61,61,Brenda,28.150563000000002,28.600572000000003,0.45000900000000144
62,62,62,62,Esther,28.617239,30.700614,2.083375
63,63,63,63,Max,28.617239,30.700614,2.083375
64,64,64,64,Kate,28.667240000000003,30.700614,2.0333739999999985
65,65,65,65,Daniel,29.10058200000001,30.700614,1.6000319999999917
66,66,66,66,Kate,30.700614,33.384001000000005,2.683387000000004
67,67,67,67,Esther,30.717281000000003,33.384001000000005,2.666720000000001
68,68,68,68,Esther,33.434002,34.417355,0.983353000000001
69,69,69,69,Daniel,33.450669000000005,34.417355,0.9666859999999956
70,70,70,70,Daniel's Friend,33.450669000000005,34.417355,0.9666859999999956
71,71,71,71,Daniel's Friend,33.450669000000005,34.417355,0.9666859999999956
72,72,72,72,Brenda,33.63400600000001,34.417355,0.7833489999999941
73,73,73,73,Kate,34.450689000000004,36.850737,2.4000479999999977
74,74,74,74,Esther,34.450689000000004,36.850737,2.4000479999999977
75,75,75,75,John,35.350707,36.850737,1.5000300000000024
76,76,76,76,Daniel,35.400708,36.850737,1.450029000000001
77,77,77,77,Max,35.56737800000001,36.850737,1.28335899999999
78,78,78,78,Kate,36.850737,38.784109,1.9333719999999983
79,79,79,79,John,36.88407100000001,38.784109,1.900037999999988
80,80,80,80,Esther,38.650773,38.784109,0.1333359999999999
81,81,81,81,Esther,38.784109,40.65081300000001,1.8667040000000057
82,82,82,82,Kate,38.850777,40.65081300000001,1.8000360000000055
83,83,83,83,John,39.60079200000001,40.65081300000001,1.050020999999994
84,84,84,84,John,40.71748100000001,43.850877000000004,3.1333959999999976
85,85,85,85,Esther,40.71748100000001,43.850877000000004,3.1333959999999976
86,86,86,86,Max,40.71748100000001,43.850877000000004,3.1333959999999976
87,87,87,87,Brenda,40.817483,43.850877000000004,3.0333940000000013
88,88,88,88,Joyce,40.967486,43.850877000000004,2.883391000000003
89,89,89,89,John,43.867544,46.48426300000001,2.6167190000000105
90,90,90,90,Max,43.867544,46.48426300000001,2.6167190000000105
91,91,91,91,Esther,43.884211,46.48426300000001,2.600052000000012
92,92,92,92,Kate,44.00088,46.48426300000001,2.4833830000000106
93,93,93,93,Daniel,44.517557000000004,46.48426300000001,1.9667060000000087
94,94,94,94,Max,46.48426300000001,48.100962,1.61669899999999
95,95,95,95,Esther,46.48426300000001,48.100962,1.61669899999999
96,96,96,96,Kate,46.48426300000001,48.100962,1.61669899999999
97,97,97,97,Sister Abigail,46.650933,48.100962,1.450029000000001
98,98,98,98,Kate,48.100962,50.951019,2.850057
99,99,99,99,Esther,48.284299,50.951019,2.6667200000000046
100,100,100,100,John,49.20098400000001,50.951019,1.7500349999999898
