,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Elizabeth Marston,0.66668,15.383641,14.716960999999998
1,1,1,1,Dr. William Moulton Marston,0.66668,15.383641,14.716960999999998
2,2,2,2,Teen Donn,0.9000180000000001,15.383641,14.483623000000001
3,3,3,3,Josette Frank,1.583365,15.383641,13.800276
4,4,4,4,Olive Byrne,2.800056,15.383641,12.583585000000001
5,5,5,5,Student,2.800056,15.383641,12.583585000000001
6,6,6,6,Dr. William Moulton Marston,15.400308,33.083995,17.683687
7,7,7,7,Josette Frank,15.516977,33.083995,17.567018
8,8,8,8,Olive Byrne,15.633646,33.083995,17.450349000000006
9,9,9,9,Teen Donn,15.633646,33.083995,17.450349000000006
10,10,10,10,Student,15.633646,33.083995,17.450349000000006
11,11,11,11,Elizabeth Marston,15.900318000000002,33.083995,17.183677
12,12,12,12,Mary,16.983673000000003,33.083995,16.100322
13,13,13,13,Sara,16.983673000000003,33.083995,16.100322
14,14,14,14,Brant Gregory,25.133836,33.083995,7.950159000000002
15,15,15,15,Josette Frank,33.133996,51.03435400000001,17.900358000000004
16,16,16,16,Dr. William Moulton Marston,33.183997000000005,51.03435400000001,17.850357000000006
17,17,17,17,Elizabeth Marston,33.267332,51.03435400000001,17.767022000000004
18,18,18,18,Olive Byrne,34.36735400000001,51.03435400000001,16.666999999999994
19,19,19,19,Brant Gregory,34.36735400000001,51.03435400000001,16.666999999999994
20,20,20,20,M.C. Gaines,34.867364,51.03435400000001,16.166990000000006
21,21,21,21,Mary,37.700754,51.03435400000001,13.333600000000004
22,22,22,22,Student,37.700754,51.03435400000001,13.333600000000004
23,23,23,23,Elizabeth Marston,51.067688000000004,65.05130100000001,13.983613000000005
24,24,24,24,Dr. William Moulton Marston,51.067688000000004,65.05130100000001,13.983613000000005
25,25,25,25,Olive Byrne,51.067688000000004,65.05130100000001,13.983613000000005
26,26,26,26,Brant Gregory,51.90103800000001,65.05130100000001,13.150263000000002
27,27,27,27,Josette Frank,54.117749,65.05130100000001,10.933552000000004
28,28,28,28,Manager,56.451129,65.05130100000001,8.600172000000008
29,29,29,29,Dean Liddy,56.60113200000001,65.05130100000001,8.450169000000002
30,30,30,30,Molly Stewart,58.63450600000001,65.05130100000001,6.4167950000000005
31,31,31,31,Charles Guyette,63.60127200000001,65.05130100000001,1.450029000000001
32,32,32,32,Elizabeth Marston,65.33464000000001,74.71816100000002,9.383521000000016
33,33,33,33,Olive Byrne,65.33464000000001,74.71816100000002,9.383521000000016
34,34,34,34,Dr. William Moulton Marston,65.41797500000001,74.71816100000002,9.300186000000009
35,35,35,35,Charles Guyette,66.23465800000001,74.71816100000002,8.483503000000013
36,36,36,36,Dr. William Moulton Marston,74.71816100000002,89.451789,14.733627999999984
37,37,37,37,Elizabeth Marston,74.96816600000002,89.451789,14.48362299999998
38,38,38,38,Olive Byrne,74.96816600000002,89.451789,14.48362299999998
39,39,39,39,M.C. Gaines,76.218191,89.451789,13.233598
40,40,40,40,Dorothy Roubicek,79.80159599999998,89.451789,9.65019300000003
41,41,41,41,Teen Donn,80.28493900000002,89.451789,9.166849999999982
42,42,42,42,Josette Frank,82.36831400000001,89.451789,7.083474999999992
43,43,43,43,Molly Stewart,82.50165000000001,89.451789,6.950138999999992
44,44,44,44,Fred Stewart,83.95167900000001,89.451789,5.500109999999991
45,45,45,45,Elizabeth Marston,89.468456,103.368734,13.900278
46,46,46,46,Dr. William Moulton Marston,89.468456,103.368734,13.900278
47,47,47,47,Olive Byrne,90.15180300000002,103.368734,13.216930999999988
48,48,48,48,Teen Donn,90.15180300000002,103.368734,13.216930999999988
49,49,49,49,M.C. Gaines,90.735148,103.368734,12.633586000000005
50,50,50,50,Dorothy Roubicek,90.735148,103.368734,12.633586000000005
51,51,51,51,Josette Frank,91.16849,103.368734,12.200243999999998
52,52,52,52,Doctor,92.218511,103.368734,11.150222999999995
