,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Nick,0.850017,1.633366,0.7833490000000001
1,1,1,1,Pulaski,0.9333520000000001,1.633366,0.700014
2,2,2,2,Roy,1.033354,1.633366,0.600012
3,3,3,3,Nick,1.700034,4.250085,2.5500510000000003
4,4,4,4,Julia,2.283379,4.250085,1.9667060000000005
5,5,5,5,Hayes,4.283419,6.3667940000000005,2.083375
6,6,6,6,Detective in Locker Room,4.300086,6.3667940000000005,2.066708
7,7,7,7,Nick,4.450089,6.3667940000000005,1.9167050000000003
8,8,8,8,Officer Murphy,4.450089,6.3667940000000005,1.9167050000000003
9,9,9,9,Hayes,6.466796,9.516857000000002,3.0500610000000012
10,10,10,10,Nick,6.466796,9.516857000000002,3.0500610000000012
11,11,11,11,Detective in Locker Room,7.4834830000000006,9.516857000000002,2.0333740000000007
12,12,12,12,Nick,9.516857000000002,11.750235000000002,2.233378
13,13,13,13,Julia,9.550191000000002,11.750235000000002,2.200044
14,14,14,14,Nick,11.750235000000002,14.666960000000001,2.916725
15,15,15,15,Proctor,11.800236000000002,14.666960000000001,2.866724
16,16,16,16,Nick,14.666960000000001,18.267032,3.6000719999999986
17,17,17,17,Proctor,14.750295000000001,18.267032,3.5167369999999987
18,18,18,18,R.I.P.D. '70s Cop,16.233658000000002,18.267032,2.0333739999999985
19,19,19,19,R.I.P.D. Cop,16.350327,18.267032,1.9167050000000003
20,20,20,20,R.I.P.D. Cop,16.350327,18.267032,1.9167050000000003
21,21,21,21,Roy,16.817003000000003,18.267032,1.4500289999999971
22,22,22,22,Clerk in VCR Repair Shop,18.317033,21.33376,3.016727000000003
23,23,23,23,Roy,18.367034,21.33376,2.9667260000000013
24,24,24,24,Nick,18.383701000000002,21.33376,2.9500589999999995
25,25,25,25,Hayes,19.067048000000003,21.33376,2.2667119999999983
26,26,26,26,Detective in Locker Room,19.067048000000003,21.33376,2.2667119999999983
27,27,27,27,Julia,19.117049,21.33376,2.216711
28,28,28,28,Nick,21.33376,22.800456,1.4666959999999991
29,29,29,29,Roy,21.33376,22.800456,1.4666959999999991
30,30,30,30,Nick's Avatar,21.933772,22.800456,0.8666839999999993
31,31,31,31,Roy's Avatar,22.233778,22.800456,0.5666779999999996
32,32,32,32,Roy,22.83379,24.850497,2.016707
33,33,33,33,Nick,22.883791,24.850497,1.966706000000002
34,34,34,34,Nick,24.850497,33.850677000000005,9.000180000000004
35,35,35,35,Roy,24.850497,33.850677000000005,9.000180000000004
36,36,36,36,Stanley Nawicki,27.617219,33.850677000000005,6.233458000000006
37,37,37,37,Nick's Avatar,27.683887,33.850677000000005,6.166790000000006
38,38,38,38,Roy's Avatar,27.683887,33.850677000000005,6.166790000000006
39,39,39,39,Roy,33.867344,36.267392,2.4000479999999977
40,40,40,40,Nick,33.884011,36.267392,2.383381
41,41,41,41,R.I.P.D. Cop,34.117349000000004,36.267392,2.1500429999999966
42,42,42,42,R.I.P.D. Cop,34.117349000000004,36.267392,2.1500429999999966
43,43,43,43,Proctor,34.134015999999995,36.267392,2.1333760000000046
44,44,44,44,R.I.P.D. Evidence Clerk,34.750695,36.267392,1.5166970000000006
45,45,45,45,R.I.P.D. Evidence Clerk,34.750695,36.267392,1.5166970000000006
46,46,46,46,Roy,36.350727000000006,39.06744800000001,2.7167210000000064
47,47,47,47,Nick,36.400728,39.06744800000001,2.666720000000012
48,48,48,48,Nick's Avatar,36.95073900000001,39.06744800000001,2.116709
49,49,49,49,Roy's Avatar,36.95073900000001,39.06744800000001,2.116709
50,50,50,50,Elliot,37.00074,39.06744800000001,2.0667080000000126
51,51,51,51,Elliot,39.06744800000001,43.800876,4.733427999999988
52,52,52,52,Roy,39.13411600000001,43.800876,4.6667599999999885
53,53,53,53,Nick,39.150783000000004,43.800876,4.650092999999998
54,54,54,54,Hayes,39.700794,43.800876,4.100082
55,55,55,55,Julia,41.217491,43.800876,2.583385
56,56,56,56,Hayes,43.817543,46.017587000000006,2.2000440000000046
57,57,57,57,Roy,43.867544,46.017587000000006,2.150043000000004
58,58,58,58,Nick,43.867544,46.017587000000006,2.150043000000004
59,59,59,59,Roy's Avatar,44.267552,46.017587000000006,1.7500350000000042
60,60,60,60,Nick's Avatar,44.28421900000001,46.017587000000006,1.7333679999999991
61,61,61,61,Nick,46.017587000000006,49.550991,3.5334039999999973
62,62,62,62,Roy,46.017587000000006,49.550991,3.5334039999999973
63,63,63,63,Pulaski,46.08425500000001,49.550991,3.4667359999999903
64,64,64,64,Hayes,46.434262,49.550991,3.1167290000000065
65,65,65,65,Nick's Avatar,47.41761500000001,49.550991,2.133375999999992
66,66,66,66,Roy's Avatar,47.567618,49.550991,1.9833730000000005
67,67,67,67,Nick's Avatar,49.567658,52.36771400000001,2.800056000000005
