,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Dr. Kerry Atkins,1.5166970000000002,5.1501030000000005,3.633406
1,1,1,1,Claire Wyden,2.0333740000000002,5.1501030000000005,3.1167290000000003
2,2,2,2,Davis Okoye,5.2001040000000005,17.450349000000006,12.250245000000007
3,3,3,3,Nelson,5.283439,17.450349000000006,12.166910000000005
4,4,4,4,Connor,5.300106,17.450349000000006,12.150243000000007
5,5,5,5,Amy,5.316773,17.450349000000006,12.133576000000005
6,6,6,6,Female Gorilla 1,6.566798,17.450349000000006,10.883551000000004
7,7,7,7,Female Gorilla 2,6.583465,17.450349000000006,10.866884000000004
8,8,8,8,George,8.383500999999999,17.450349000000006,9.06684800000001
9,9,9,9,Brett Wyden,17.450349000000006,19.833730000000006,2.383381
10,10,10,10,Claire Wyden,17.533684,19.833730000000006,2.3000460000000054
11,11,11,11,Burke,18.817043,19.833730000000006,1.0166870000000046
12,12,12,12,Zammit,19.117049,19.833730000000006,0.7166810000000048
13,13,13,13,Taylor,19.117049,19.833730000000006,0.7166810000000048
14,14,14,14,Garrick,19.133716000000003,19.833730000000006,0.700014000000003
15,15,15,15,Dr. Kate Caldwell,19.950399,21.50043,1.5500310000000006
16,16,16,16,HLN Reporter,20.33374,21.50043,1.166690000000003
17,17,17,17,Brett Wyden,20.433742000000002,21.50043,1.0666879999999992
18,18,18,18,Claire Wyden,20.733748000000002,21.50043,0.7666819999999994
19,19,19,19,San Diego Newscaster #1,20.800416000000002,21.50043,0.7000139999999995
20,20,20,20,San Diego Newscaster #2,20.800416000000002,21.50043,0.7000139999999995
21,21,21,21,George,21.000420000000002,21.50043,0.5000099999999996
22,22,22,22,San Diego Reporter,21.317093000000003,21.50043,0.18333699999999808
23,23,23,23,Zammit,21.550431000000003,29.867264000000002,8.316832999999999
24,24,24,24,Burke,21.550431000000003,29.867264000000002,8.316832999999999
25,25,25,25,Garrick,21.733768,29.867264000000002,8.133496000000001
26,26,26,26,Taylor,21.733768,29.867264000000002,8.133496000000001
27,27,27,27,Claire Wyden,22.100442,29.867264000000002,7.766822000000001
28,28,28,28,Brett Wyden,22.11710900000001,29.867264000000002,7.750154999999991
29,29,29,29,Davis Okoye,22.567118,29.867264000000002,7.300146000000002
30,30,30,30,George,22.567118,29.867264000000002,7.300146000000002
31,31,31,31,Nelson,22.600452,29.867264000000002,7.266812000000002
32,32,32,32,Amy,24.350487,29.867264000000002,5.516777000000001
33,33,33,33,Dr. Kate Caldwell,24.383821,29.867264000000002,5.483443000000001
34,34,34,34,Connor,24.417155,29.867264000000002,5.450109000000001
35,35,35,35,Police Captain,28.433902000000003,29.867264000000002,1.4333619999999991
36,36,36,36,Zammit,29.950599000000004,34.667359999999995,4.716760999999991
37,37,37,37,Garrick,30.033934000000002,34.667359999999995,4.633425999999994
38,38,38,38,Taylor,30.033934000000002,34.667359999999995,4.633425999999994
39,39,39,39,Burke,30.067268,34.667359999999995,4.6000919999999965
40,40,40,40,Brett Wyden,31.150623000000003,34.667359999999995,3.516736999999992
41,41,41,41,Claire Wyden,31.200624,34.667359999999995,3.4667359999999934
42,42,42,42,Dr. Kate Caldwell,34.950699,40.567478,5.616779000000001
43,43,43,43,Davis Okoye,34.950699,40.567478,5.616779000000001
44,44,44,44,Harvey Russell,35.26737199999999,40.567478,5.300106000000014
45,45,45,45,George,36.717401,40.567478,3.850076999999999
46,46,46,46,Brett Wyden,40.567478,56.434462,15.866984000000002
47,47,47,47,Claire Wyden,40.60081200000001,56.434462,15.833649999999993
48,48,48,48,Dr. Kate Caldwell,40.71748100000001,56.434462,15.716980999999995
49,49,49,49,Davis Okoye,40.71748100000001,56.434462,15.716980999999995
50,50,50,50,San Diego Reporter,41.067488,56.434462,15.366974000000004
51,51,51,51,Zoo Reporter,41.117489000000006,56.434462,15.316972999999996
52,52,52,52,George,43.484203,56.434462,12.950259000000004
53,53,53,53,Harvey Russell,44.00088,56.434462,12.433582000000001
54,54,54,54,C-17 Pilot,44.16755000000001,56.434462,12.26691199999999
55,55,55,55,Agent Park,51.001020000000004,56.434462,5.433441999999999
56,56,56,56,Dr. Kate Caldwell,56.53446400000001,64.551291,8.016827000000001
57,57,57,57,Davis Okoye,56.53446400000001,64.551291,8.016827000000001
58,58,58,58,Harvey Russell,56.53446400000001,64.551291,8.016827000000001
59,59,59,59,Colonel Blake,56.60113200000001,64.551291,7.9501589999999975
60,60,60,60,George,56.967806,64.551291,7.583485000000002
61,61,61,61,Kaplan,58.367834,64.551291,6.183457000000002
62,62,62,62,Second MP,58.551171,64.551291,6.00012000000001
63,63,63,63,First MP,58.567838,64.551291,5.983453000000004
64,64,64,64,Radar Officer,62.917925,64.551291,1.6333660000000094
65,65,65,65,Captain Evans,63.33460000000001,64.551291,1.2166909999999973
66,66,66,66,Communications Officer,63.68460700000001,64.551291,0.8666839999999993
67,67,67,67,Davis Okoye,64.551291,82.468316,17.917024999999995
68,68,68,68,Dr. Kate Caldwell,64.551291,82.468316,17.917024999999995
69,69,69,69,George,65.101302,82.468316,17.367013999999998
70,70,70,70,Colonel Blake,66.017987,82.468316,16.450328999999996
71,71,71,71,Communications Officer,66.051321,82.468316,16.416995
72,72,72,72,Local Chicago Reporter,66.051321,82.468316,16.416995
73,73,73,73,Reporter on the Ground,66.25132500000001,82.468316,16.216990999999993
74,74,74,74,Kaplan,66.467996,82.468316,16.000320000000002
75,75,75,75,Radar Officer,66.51799700000001,82.468316,15.950318999999993
76,76,76,76,Harvey Russell,66.61799900000001,82.468316,15.85031699999999
77,77,77,77,Officer,70.91808499999998,82.468316,11.550231000000027
78,78,78,78,Brett Wyden,72.651453,82.468316,9.816862999999998
79,79,79,79,Claire Wyden,72.66812,82.468316,9.800196
80,80,80,80,Davis Okoye,82.80165600000002,99.68532700000002,16.883670999999993
81,81,81,81,Dr. Kate Caldwell,83.00166,99.68532700000002,16.683667000000018
82,82,82,82,George,83.70167400000003,99.68532700000002,15.98365299999999
83,83,83,83,Pilot,84.985033,99.68532700000002,14.700294000000017
84,84,84,84,Co-Pilot,85.068368,99.68532700000002,14.616959000000007
85,85,85,85,Commanding Officer,87.38508100000001,99.68532700000002,12.300246000000001
86,86,86,86,Air Force Captain,87.40174800000001,99.68532700000002,12.283579000000005
87,87,87,87,Harvey Russell,87.55175100000002,99.68532700000002,12.13357599999999
88,88,88,88,Soldier with SAT Phone,87.868424,99.68532700000002,11.816903000000007
89,89,89,89,Colonel Blake,89.51845700000001,99.68532700000002,10.166870000000003
