,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Wade,1.1833570000000002,10.033534,8.850176999999997
1,1,1,1,Old Boxing Woman,1.583365,10.033534,8.450168999999999
2,2,2,2,Stacks Pizza Paul,1.6833669999999998,10.033534,8.350166999999999
3,3,3,3,Pole Dancer,1.916705,10.033534,8.116829
4,4,4,4,Boy Playing Tennis,2.0000400000000003,10.033534,8.033494000000001
5,5,5,5,Mrs. Gilmore,2.083375,10.033534,7.9501589999999975
6,6,6,6,Parzival,4.766762000000001,10.033534,5.266771999999999
7,7,7,7,Aech,5.33344,10.033534,4.700093999999999
8,8,8,8,Daito,5.833450000000001,10.033534,4.200083999999999
9,9,9,9,Sho,5.883451000000001,10.033534,4.150082999999999
10,10,10,10,Rick,6.4334620000000005,10.033534,3.6000719999999986
11,11,11,11,Leslee,6.550131,10.033534,3.4834029999999987
12,12,12,12,Girl in Bedroom at House,6.816803000000001,10.033534,3.2167309999999985
13,13,13,13,Hong Kong Businessman,6.916805000000001,10.033534,3.1167289999999985
14,14,14,14,James Donovan Halliday,7.200144000000001,10.033534,2.8333899999999987
15,15,15,15,Ogden Morrow,7.2501450000000025,10.033534,2.783388999999997
16,16,16,16,Anorak,9.16685,10.033534,0.8666839999999993
17,17,17,17,Parzival,10.133536,16.917005000000003,6.783469000000004
18,18,18,18,Sixer Drill Instructor,10.866884,16.917005000000003,6.0501210000000025
19,19,19,19,Oology Expert,11.033554,16.917005000000003,5.883451000000003
20,20,20,20,Oology Expert,11.033554,16.917005000000003,5.883451000000003
21,21,21,21,Oology Expert,11.033554,16.917005000000003,5.883451000000003
22,22,22,22,Oology Expert,11.033554,16.917005000000003,5.883451000000003
23,23,23,23,Oology Expert,11.033554,16.917005000000003,5.883451000000003
24,24,24,24,Chief Oology Expert,11.033554,16.917005000000003,5.883451000000003
25,25,25,25,Oology Expert,11.033554,16.917005000000003,5.883451000000003
26,26,26,26,Sorrento,11.216891,16.917005000000003,5.700114000000003
27,27,27,27,Aech,11.466896,16.917005000000003,5.450109000000002
28,28,28,28,Art3mis,12.266912,16.917005000000003,4.6500930000000045
29,29,29,29,Aech,16.917005000000003,22.66712,5.750114999999997
30,30,30,30,Art3mis,16.933672,22.66712,5.733447999999999
31,31,31,31,Parzival,16.967006,22.66712,5.700113999999999
32,32,32,32,Alice,20.133736000000006,22.66712,2.5333839999999945
33,33,33,33,Snacks (Bootsuit Commercial),20.300406,22.66712,2.3667140000000018
34,34,34,34,Kid (Bootsuit Commercial),20.350407,22.66712,2.316713
35,35,35,35,Wade,20.433742000000002,22.66712,2.2333779999999983
36,36,36,36,Female Gamer (Bootsuit Commercial),20.483743,22.66712,2.183377
37,37,37,37,Rick,20.533744,22.66712,2.133376000000002
38,38,38,38,Parzival,22.683787,28.400568000000003,5.7167810000000046
39,39,39,39,Curator,22.783789000000002,28.400568000000003,5.616779000000001
40,40,40,40,James Donovan Halliday,23.283799,28.400568000000003,5.116769000000005
41,41,41,41,Halliday 7 Years Old,23.433802000000004,28.400568000000003,4.966766000000002
42,42,42,42,Wade,25.417175000000004,28.400568000000003,2.9833929999999995
43,43,43,43,Art3mis,25.683847000000004,28.400568000000003,2.7167209999999997
44,44,44,44,Anorak,27.650553000000002,28.400568000000003,0.7500150000000012
45,45,45,45,IOI Board Member,28.400568000000003,33.50067000000001,5.100102000000003
46,46,46,46,Sorrento,28.450569,33.50067000000001,5.050101000000005
47,47,47,47,F'Nale Zandor,28.500570000000003,33.50067000000001,5.000100000000003
48,48,48,48,IOI Board Member,28.550571,33.50067000000001,4.950099000000005
49,49,49,49,Aech,29.633926000000002,33.50067000000001,3.866744000000004
50,50,50,50,Parzival,29.683927000000004,33.50067000000001,3.8167430000000016
51,51,51,51,Wade,30.367274,33.50067000000001,3.1333960000000083
52,52,52,52,Sorrento's Man,30.583945000000003,33.50067000000001,2.916725000000003
53,53,53,53,Andrew (Sorrento's Head of Security),30.583945000000003,33.50067000000001,2.916725000000003
54,54,54,54,Sorrento's Assistant,30.583945000000003,33.50067000000001,2.916725000000003
55,55,55,55,I-R0k,31.16729,33.50067000000001,2.3333800000000053
56,56,56,56,Art3mis,33.50067000000001,40.60081200000001,7.1001420000000035
57,57,57,57,Wade,33.517337000000005,40.60081200000001,7.083475000000008
58,58,58,58,Anorak,33.550671,40.60081200000001,7.050141000000013
59,59,59,59,Aech,33.66734,40.60081200000001,6.933472000000008
60,60,60,60,Daito,33.750675,40.60081200000001,6.8501370000000135
61,61,61,61,Sho,33.867344,40.60081200000001,6.733468000000008
62,62,62,62,Parzival,35.317373,40.60081200000001,5.283439000000008
63,63,63,63,Goro,35.63404600000001,40.60081200000001,4.966766000000002
64,64,64,64,Curator,36.867404,40.60081200000001,3.7334080000000114
65,65,65,65,Ogden Morrow,36.900738,40.60081200000001,3.700074000000015
66,66,66,66,James Donovan Halliday,36.984073,40.60081200000001,3.6167390000000097
67,67,67,67,Sorrento,37.100742,40.60081200000001,3.500070000000015
68,68,68,68,Parzival,40.60081200000001,50.11766900000001,9.516856999999996
69,69,69,69,Aech,40.60081200000001,50.11766900000001,9.516856999999996
70,70,70,70,Wade,42.18417700000001,50.11766900000001,7.933491999999994
71,71,71,71,Art3mis,42.91752500000001,50.11766900000001,7.2001439999999945
72,72,72,72,I-R0k,43.234198000000006,50.11766900000001,6.883471000000001
73,73,73,73,Sorrento,43.717541,50.11766900000001,6.4001280000000085
74,74,74,74,Tracer,45.467576,50.11766900000001,4.6500930000000045
75,75,75,75,I-R0k,50.11766900000001,59.51785700000001,9.400188
