,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Truck Driver,2.150043,5.950119000000001,3.8000760000000007
1,1,1,1,Sharon,2.266712,5.950119000000001,3.6834070000000008
2,2,2,2,nt0269510,2.266712,5.950119000000001,3.6834070000000008
3,3,3,3,Mechanic,2.266712,5.950119000000001,3.6834070000000008
4,4,4,4,Shafiq,2.5000500000000003,5.950119000000001,3.4500690000000005
5,5,5,5,Tea boy,2.5000500000000003,5.950119000000001,3.4500690000000005
6,6,6,6,Sharon,6.1501230000000024,11.383561,5.233437999999998
7,7,7,7,Shafiq,7.000140000000001,11.383561,4.383420999999999
8,8,8,8,Truck Driver,11.400228,18.683707000000002,7.283479000000002
9,9,9,9,Lamaji,11.516897000000002,18.683707000000002,7.166810000000001
10,10,10,10,Wanchuk,13.116929,18.683707000000002,5.566778000000001
11,11,11,11,Wanchuk's sister,13.116929,18.683707000000002,5.566778000000001
12,12,12,12,Cholo players,14.400288000000002,18.683707000000002,4.283419
13,13,13,13,Cholo players,14.400288000000002,18.683707000000002,4.283419
14,14,14,14,Cholo players,14.400288000000002,18.683707000000002,4.283419
15,15,15,15,Sharon,18.683707000000002,23.017127,4.333419999999997
16,16,16,16,Lamaji,18.783709,23.017127,4.233417999999997
17,17,17,17,Truck Driver,18.933712000000003,23.017127,4.083414999999995
18,18,18,18,Army Jawan,18.933712000000003,23.017127,4.083414999999995
19,19,19,19,Shafiq,19.183717,23.017127,3.833409999999997
20,20,20,20,John Chako,23.017127,28.400568000000003,5.383441000000005
21,21,21,21,Shafiq,23.433802000000004,28.400568000000003,4.966766000000002
22,22,22,22,Sharon,23.683807,28.400568000000003,4.716761000000002
23,23,23,23,John Chako's driver,25.100502,28.400568000000003,3.3000660000000046
24,24,24,24,Sharon,29.583925000000004,33.717341000000005,4.133416
25,25,25,25,Shafiq,29.633926000000002,33.717341000000005,4.083415000000001
26,26,26,26,Sharon,33.834010000000006,39.367454,5.533443999999998
27,27,27,27,Shafiq,35.61737900000001,39.367454,3.7500749999999954
28,28,28,28,Sharon,39.40078800000001,43.05086100000001,3.650072999999999
29,29,29,29,Shafiq,39.650793,43.05086100000001,3.400068000000012
30,30,30,30,Sharon,43.05086100000001,46.61759900000001,3.5667380000000013
31,31,31,31,Shafiq,43.484203,46.61759900000001,3.133396000000012
32,32,32,32,John Chako,44.384221000000004,46.61759900000001,2.2333780000000094
