,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Zordon,0.83335,3.233398,2.400048
1,1,1,1,Yellow Ranger (Prologue),1.400028,3.233398,1.8333700000000002
2,2,2,2,Rita Repulsa,2.200044,3.233398,1.033354
3,3,3,3,Jason (Red Ranger),3.250065,5.1334360000000006,1.8833710000000004
4,4,4,4,Hawkeye,3.266732,5.1334360000000006,1.8667040000000004
5,5,5,5,Sam Scott,5.283439,10.216871000000001,4.933432000000002
6,6,6,6,Jason (Red Ranger),5.283439,10.216871000000001,4.933432000000002
7,7,7,7,Kimberly (Pink Ranger),6.7168009999999985,10.216871000000001,3.5000700000000027
8,8,8,8,Bully,7.100142000000001,10.216871000000001,3.1167290000000003
9,9,9,9,Detention Student #3,7.166810000000001,10.216871000000001,3.0500610000000004
10,10,10,10,Billy (Blue Ranger),7.2334780000000025,10.216871000000001,2.983392999999998
11,11,11,11,Detention Teacher,8.400167999999999,10.216871000000001,1.8167030000000024
12,12,12,12,Maddy Hart,8.633506,10.216871000000001,1.5833650000000006
13,13,13,13,Amanda,8.633506,10.216871000000001,1.5833650000000006
14,14,14,14,Jason (Red Ranger),10.216871000000001,13.783609000000002,3.5667380000000013
15,15,15,15,Kimberly (Pink Ranger),10.266872,13.783609000000002,3.5167370000000027
16,16,16,16,Billy (Blue Ranger),10.33354,13.783609000000002,3.4500690000000027
17,17,17,17,Sam Scott,11.600232000000002,13.783609000000002,2.183377
18,18,18,18,Candace Cranston,12.50025,13.783609000000002,1.2833590000000026
19,19,19,19,Billy (Blue Ranger),13.783609000000002,20.650413,6.8668039999999975
20,20,20,20,Jason (Red Ranger),13.783609000000002,20.650413,6.8668039999999975
21,21,21,21,Zack (Black Ranger),15.533644,20.650413,5.1167690000000015
22,22,22,22,Trini (Yellow Ranger),15.766982000000002,20.650413,4.883430999999998
23,23,23,23,Kimberly (Pink Ranger),16.316993,20.650413,4.3334199999999985
24,24,24,24,Trini (Yellow Ranger),20.733748000000002,25.017167,4.2834189999999985
25,25,25,25,Zack (Black Ranger),20.733748000000002,25.017167,4.2834189999999985
26,26,26,26,Jason (Red Ranger),20.733748000000002,25.017167,4.2834189999999985
27,27,27,27,Kimberly (Pink Ranger),20.733748000000002,25.017167,4.2834189999999985
28,28,28,28,Billy (Blue Ranger),20.733748000000002,25.017167,4.2834189999999985
29,29,29,29,Sam Scott,25.033834,29.983933000000004,4.950099000000005
30,30,30,30,Rita Repulsa,25.550511000000004,29.983933000000004,4.433422
31,31,31,31,Jason (Red Ranger),25.817183000000004,29.983933000000004,4.16675
32,32,32,32,Kimberly (Pink Ranger),26.250525000000003,29.983933000000004,3.7334080000000007
33,33,33,33,Billy (Blue Ranger),26.400528,29.983933000000004,3.5834050000000026
34,34,34,34,Bully,27.667220000000004,29.983933000000004,2.316713
35,35,35,35,Sam Scott,30.0006,37.95075900000001,7.9501590000000135
36,36,36,36,Police Officer,30.0006,37.95075900000001,7.9501590000000135
37,37,37,37,Rita Repulsa,30.633946,37.95075900000001,7.31681300000001
38,38,38,38,Jason (Red Ranger),31.183957000000003,37.95075900000001,6.766802000000008
39,39,39,39,Kimberly (Pink Ranger),31.183957000000003,37.95075900000001,6.766802000000008
40,40,40,40,Billy (Blue Ranger),31.183957000000003,37.95075900000001,6.766802000000008
41,41,41,41,Zack (Black Ranger),31.31729300000001,37.95075900000001,6.633466000000002
