,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Michael Marks,1.2333580000000002,3.616739,2.383381
1,1,1,1,John Kramer,1.7167010000000005,3.616739,1.900038
2,2,2,2,Hooded Figure,2.8833910000000005,3.616739,0.7333479999999994
3,3,3,3,Hooded Figure,4.0500810000000005,4.350087,0.3000059999999998
4,4,4,4,Michael Marks,4.0500810000000005,4.350087,0.3000059999999998
5,5,5,5,John Kramer,4.0500810000000005,4.350087,0.3000059999999998
6,6,6,6,Hooded Figure,4.566758,4.66676,0.10000199999999992
7,7,7,7,Michael Marks,4.566758,4.66676,0.10000199999999992
8,8,8,8,John Kramer,4.566758,4.66676,0.10000199999999992
9,9,9,9,Eric Matthews,4.683427,5.33344,0.6500130000000004
10,10,10,10,Security Officer,4.883431000000002,5.33344,0.4500089999999988
11,11,11,11,Daniel Matthews,5.0501010000000015,5.33344,0.2833389999999989
12,12,12,12,Eric Matthews,5.33344,6.1834570000000015,0.8500170000000011
13,13,13,13,Daniel Matthews,5.350107,6.1834570000000015,0.8333500000000011
14,14,14,14,Eric Matthews,6.1834570000000015,6.750135,0.5666779999999987
15,15,15,15,Daniel Matthews,6.2501250000000015,6.750135,0.5000099999999987
16,16,16,16,Eric Matthews,6.750135,9.066848,2.316713
17,17,17,17,Detective Allison Kerry,6.783469,9.066848,2.283379
18,18,18,18,Michael Marks,7.4501490000000015,9.066848,1.6166989999999988
19,19,19,19,Detective Allison Kerry,9.083515,10.316873,1.233357999999999
20,20,20,20,John Kramer,9.083515,10.316873,1.233357999999999
21,21,21,21,Eric Matthews,9.133516,10.316873,1.1833569999999989
22,22,22,22,SWAT Member Joe,10.316873,10.616879,0.30000600000000155
23,23,23,23,Eric Matthews,10.316873,10.616879,0.30000600000000155
24,24,24,24,Detective Allison Kerry,10.366874000000001,10.616879,0.2500049999999998
25,25,25,25,Michael Marks,10.416875,10.616879,0.2000040000000016
26,26,26,26,Daniel Rigg,10.633546,11.833570000000002,1.2000240000000009
27,27,27,27,Detective Allison Kerry,10.83355,11.833570000000002,1.000020000000001
28,28,28,28,Eric Matthews,10.83355,11.833570000000002,1.000020000000001
29,29,29,29,Daniel Rigg,11.950239000000002,15.700314000000002,3.7500750000000007
30,30,30,30,Detective Allison Kerry,12.866924000000001,15.700314000000002,2.8333900000000014
31,31,31,31,Eric Matthews,13.033594,15.700314000000002,2.666720000000001
32,32,32,32,SWAT Member Joe,13.450269,15.700314000000002,2.2500450000000023
33,33,33,33,John Kramer,13.933612000000002,15.700314000000002,1.7667020000000004
34,34,34,34,Daniel Rigg,15.700314000000002,18.283699,2.5833849999999963
35,35,35,35,Eric Matthews,15.700314000000002,18.283699,2.5833849999999963
36,36,36,36,Detective Allison Kerry,15.700314000000002,18.283699,2.5833849999999963
37,37,37,37,SWAT Member Joe,15.716981000000002,18.283699,2.5667179999999963
38,38,38,38,Laura Hunter,16.066988000000002,18.283699,2.2167109999999965
39,39,39,39,Daniel Matthews,16.066988000000002,18.283699,2.2167109999999965
40,40,40,40,Gus Colyard,16.066988000000002,18.283699,2.2167109999999965
41,41,41,41,Addison Corday,16.066988000000002,18.283699,2.2167109999999965
42,42,42,42,Xavier Chavez,16.066988000000002,18.283699,2.2167109999999965
43,43,43,43,Jonas Singer,16.416995,18.283699,1.8667039999999984
44,44,44,44,John Kramer,16.600332,18.283699,1.6833669999999967
45,45,45,45,Jonas Singer,18.283699,21.617099000000003,3.3334000000000046
46,46,46,46,Gus Colyard,18.283699,21.617099000000003,3.3334000000000046
47,47,47,47,Daniel Matthews,18.283699,21.617099000000003,3.3334000000000046
48,48,48,48,Laura Hunter,18.283699,21.617099000000003,3.3334000000000046
49,49,49,49,Amanda Young,18.50037,21.617099000000003,3.116729000000003
50,50,50,50,Addison Corday,18.517037,21.617099000000003,3.1000620000000048
51,51,51,51,Xavier Chavez,18.767042,21.617099000000003,2.850057000000003
52,52,52,52,Obi Tate,18.783709,21.617099000000003,2.8333900000000014
53,53,53,53,Amanda Young,21.617099000000003,24.617159,3.0000599999999977
54,54,54,54,Jonas Singer,21.617099000000003,24.617159,3.0000599999999977
55,55,55,55,Obi Tate,21.650433000000003,24.617159,2.9667259999999978
56,56,56,56,John Kramer,21.767102,24.617159,2.850057
57,57,57,57,Addison Corday,21.783769000000003,24.617159,2.8333899999999983
58,58,58,58,Xavier Chavez,21.783769000000003,24.617159,2.8333899999999983
59,59,59,59,Daniel Matthews,21.850437000000003,24.617159,2.7667219999999983
60,60,60,60,Gus Colyard,22.033774,24.617159,2.583385
61,61,61,61,Laura Hunter,22.16711,24.617159,2.4500490000000004
62,62,62,62,Xavier Chavez,24.617159,26.967206,2.350047
63,63,63,63,Addison Corday,24.617159,26.967206,2.350047
64,64,64,64,Amanda Young,24.617159,26.967206,2.350047
65,65,65,65,Jonas Singer,24.617159,26.967206,2.350047
66,66,66,66,Gus Colyard,24.617159,26.967206,2.350047
67,67,67,67,Daniel Matthews,24.617159,26.967206,2.350047
68,68,68,68,Laura Hunter,24.617159,26.967206,2.350047
69,69,69,69,Eric Matthews,24.63382600000001,26.967206,2.3333799999999907
70,70,70,70,Detective Allison Kerry,24.783829,26.967206,2.183377
71,71,71,71,Daniel Rigg,24.80049600000001,26.967206,2.166709999999992
72,72,72,72,John Kramer,24.917165,26.967206,2.050041
