,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Adam Faulkner-Stanheight,0.7500150000000001,2.16671,1.416695
1,1,1,1,Dr. Lawrence Gordon,1.7667020000000002,2.16671,0.4000079999999999
2,2,2,2,Adam Faulkner-Stanheight,2.16671,6.016787000000001,3.8500770000000006
3,3,3,3,Dr. Lawrence Gordon,2.4833830000000003,6.016787000000001,3.5334040000000004
4,4,4,4,Dr. Lawrence Gordon,6.033454000000001,12.133576,6.100121999999999
5,5,5,5,Adam Faulkner-Stanheight,6.050121000000001,12.133576,6.083454999999999
6,6,6,6,Jigsaw,9.850197,12.133576,2.283379
7,7,7,7,Dr. Lawrence Gordon,12.133576,16.250325,4.116749
8,8,8,8,Adam Faulkner-Stanheight,12.250245,16.250325,4.0000800000000005
9,9,9,9,Jigsaw,12.433582000000001,16.250325,3.816742999999999
10,10,10,10,Detective Steven Sing,16.250325,18.433702,2.183377
11,11,11,11,Kerry,16.250325,18.433702,2.183377
12,12,12,12,Detective David Tapp,16.250325,18.433702,2.183377
13,13,13,13,Dr. Lawrence Gordon,16.250325,18.433702,2.183377
14,14,14,14,Paul,16.516997,18.433702,1.9167050000000003
15,15,15,15,Jigsaw,17.217011000000007,18.433702,1.2166909999999935
16,16,16,16,Dr. Lawrence Gordon,18.433702,20.050401,1.6166990000000006
17,17,17,17,Paul,18.50037,20.050401,1.5500310000000006
18,18,18,18,Detective Steven Sing,18.50037,20.050401,1.5500310000000006
19,19,19,19,Mark,18.683707000000002,20.050401,1.3666939999999992
20,20,20,20,Detective David Tapp,18.700374,20.050401,1.3500270000000008
21,21,21,21,Jigsaw,18.700374,20.050401,1.3500270000000008
22,22,22,22,Kerry,18.833710000000004,20.050401,1.2166909999999973
23,23,23,23,Dr. Lawrence Gordon,20.050401,22.08377500000001,2.033374000000009
24,24,24,24,Carla,20.117069,22.08377500000001,1.9667060000000087
25,25,25,25,Zep Hindle,20.233738,22.08377500000001,1.850037000000011
26,26,26,26,Detective David Tapp,20.800416000000002,22.08377500000001,1.283359000000008
27,27,27,27,Alison Gordon,20.83375,22.08377500000001,1.2500250000000117
28,28,28,28,Detective Steven Sing,20.83375,22.08377500000001,1.2500250000000117
29,29,29,29,Diana Gordon,20.83375,22.08377500000001,1.2500250000000117
30,30,30,30,Brett,22.08377500000001,23.083795000000002,1.0000199999999921
31,31,31,31,Dr. Lawrence Gordon,22.133776,23.083795000000002,0.9500190000000012
32,32,32,32,Dr. Lawrence Gordon,23.083795000000002,27.433882000000004,4.350087000000002
33,33,33,33,Detective Steven Sing,23.100462000000004,27.433882000000004,4.3334199999999985
34,34,34,34,Amanda,23.267132000000004,27.433882000000004,4.16675
35,35,35,35,Detective David Tapp,23.367134000000004,27.433882000000004,4.0667480000000005
36,36,36,36,Jigsaw,24.417155,27.433882000000004,3.016727000000003
37,37,37,37,Dead Cellmate,25.83385,27.433882000000004,1.6000320000000023
38,38,38,38,Amanda,27.433882000000004,29.550591000000004,2.116709
39,39,39,39,Detective David Tapp,27.467216000000004,29.550591000000004,2.083375
40,40,40,40,Jigsaw,28.233898000000003,29.550591000000004,1.3166930000000008
41,41,41,41,Dr. Lawrence Gordon,28.983913,29.550591000000004,0.5666780000000031
42,42,42,42,Adam Faulkner-Stanheight,29.733928000000002,32.200644000000004,2.4667160000000017
43,43,43,43,Dr. Lawrence Gordon,29.867264000000002,32.200644000000004,2.3333800000000022
44,44,44,44,Diana Gordon,32.217310999999995,36.900738,4.683427000000002
45,45,45,45,Alison Gordon,33.584005000000005,36.900738,3.316732999999992
46,46,46,46,Dr. Lawrence Gordon,34.417355,36.900738,2.4833829999999963
47,47,47,47,Dr. Lawrence Gordon,36.95073900000001,39.13411600000001,2.183377
48,48,48,48,Adam Faulkner-Stanheight,37.134076,39.13411600000001,2.0000400000000127
49,49,49,49,Diana Gordon,37.234078000000004,39.13411600000001,1.9000380000000088
50,50,50,50,Alison Gordon,37.850757,39.13411600000001,1.2833590000000117
51,51,51,51,Jigsaw,38.01742700000001,39.13411600000001,1.1166890000000012
52,52,52,52,Diana Gordon,39.13411600000001,42.85085700000001,3.716740999999999
53,53,53,53,Zep Hindle,39.517457,42.85085700000001,3.333400000000012
54,54,54,54,Alison Gordon,39.634126,42.85085700000001,3.2167310000000096
