,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,David Kim,1.566698,1.8000360000000002,0.2333380000000003
1,1,1,1,Pamela Nam Kim,1.566698,1.8000360000000002,0.2333380000000003
2,2,2,2,Young Margot (5 yrs),1.566698,1.8000360000000002,0.2333380000000003
3,3,3,3,Young Margot (5 yrs),2.133376,12.700254,10.566877999999999
4,4,4,4,Pamela Nam Kim,2.133376,12.700254,10.566877999999999
5,5,5,5,David Kim,2.133376,12.700254,10.566877999999999
6,6,6,6,Young Margot (7 yrs),2.816723,12.700254,9.883531
7,7,7,7,Young Margot (9 yrs),3.0833950000000003,12.700254,9.616858999999998
8,8,8,8,Margot,6.2167910000000015,12.700254,6.483462999999998
9,9,9,9,Peter,9.183517,12.700254,3.5167369999999987
10,10,10,10,Margot,12.983593,26.65053300000001,13.66694000000001
11,11,11,11,David Kim,13.583605,26.65053300000001,13.06692800000001
12,12,12,12,Michael Porter,15.633646,26.65053300000001,11.01688700000001
13,13,13,13,Mrs. Shahinian,17.383681000000006,26.65053300000001,9.266852000000004
14,14,14,14,Peter,18.867044000000003,26.65053300000001,7.7834890000000065
15,15,15,15,Pamela Nam Kim,20.250405,26.65053300000001,6.4001280000000085
16,16,16,16,Young Margot (5 yrs),20.367074,26.65053300000001,6.283459000000013
17,17,17,17,Isaac's Mom,21.267092,26.65053300000001,5.383441000000008
18,18,18,18,Isaac,23.467136000000004,26.65053300000001,3.1833970000000065
19,19,19,19,911 Operator,24.200484000000003,26.65053300000001,2.450049000000007
20,20,20,20,Detective Vick,24.80049600000001,26.65053300000001,1.8500370000000004
21,21,21,21,Pamela Nam Kim,26.767202,47.53428400000001,20.767082000000006
22,22,22,22,Margot,26.767202,47.53428400000001,20.767082000000006
23,23,23,23,Detective Vick,29.750595000000004,47.53428400000001,17.783689000000006
24,24,24,24,Isaac,30.650613000000003,47.53428400000001,16.883671000000003
25,25,25,25,Margot's Friend #1,31.033954,47.53428400000001,16.500330000000005
26,26,26,26,Peter,31.633966000000004,47.53428400000001,15.900318000000002
27,27,27,27,Abigail,32.133976000000004,47.53428400000001,15.400308000000004
28,28,28,28,Derek Ellis,36.300726,47.53428400000001,11.23355800000001
29,29,29,29,Sadie (YouCast),40.65081300000001,47.53428400000001,6.883471000000001
30,30,30,30,Cody (YouCast),40.767482,47.53428400000001,6.7668020000000055
31,31,31,31,David Kim,41.217491,47.53428400000001,6.316793000000002
32,32,32,32,Hannah,44.66756,47.53428400000001,2.866724000000005
33,33,33,33,David Kim,47.53428400000001,65.50131,17.967025999999994
34,34,34,34,Detective Vick,47.53428400000001,65.50131,17.967025999999994
35,35,35,35,Pamela Nam Kim,50.101002,65.50131,15.400308000000004
36,36,36,36,Margot,50.101002,65.50131,15.400308000000004
37,37,37,37,Natalie Boyd,53.56773800000001,65.50131,11.933571999999993
38,38,38,38,Male Anchor,55.60111200000001,65.50131,9.900197999999996
39,39,39,39,Female Anchor,55.75111500000001,65.50131,9.75019499999999
40,40,40,40,Peter,55.95111900000001,65.50131,9.550190999999991
41,41,41,41,Search Reporter,56.451129,65.50131,9.050181000000002
42,42,42,42,Mike Makowsky,56.66780000000001,65.50131,8.833509999999997
43,43,43,43,Stacy,57.667820000000006,65.50131,7.833489999999998
44,44,44,44,Abigail,58.05116100000001,65.50131,7.450148999999996
45,45,45,45,John Watson,58.33450000000001,65.50131,7.166809999999992
46,46,46,46,Derek Ellis,58.83451000000001,65.50131,6.666799999999995
47,47,47,47,Robert,60.334540000000004,65.50131,5.16677
48,48,48,48,Radio Jockey,62.984593000000004,65.50131,2.516717
49,49,49,49,David Kim,65.534644,75.16816999999998,9.633525999999977
50,50,50,50,Peter,65.86798399999999,75.16816999999998,9.300185999999982
51,51,51,51,Faustine Rea,73.23479800000001,75.16816999999998,1.933371999999963
52,52,52,52,Randy Cartoff,73.568138,75.16816999999998,1.6000319999999704
53,53,53,53,Detective Vick,74.45148900000002,75.16816999999998,0.7166809999999515
54,54,54,54,David Kim,75.201504,86.11838900000002,10.916885000000024
55,55,55,55,Detective Vick,75.46817600000001,86.11838900000002,10.650213000000008
56,56,56,56,Randy Cartoff,76.30152600000002,86.11838900000002,9.816862999999998
57,57,57,57,Margot,77.151543,86.11838900000002,8.966846000000018
58,58,58,58,Pamela Nam Kim,77.318213,86.11838900000002,8.800176000000024
59,59,59,59,Hannah,78.50157,86.11838900000002,7.616819000000023
60,60,60,60,SVPD Homicide Agent,86.16839,96.90193800000002,10.733548000000011
61,61,61,61,Detective Vick,86.25172500000002,96.90193800000002,10.650212999999994
62,62,62,62,Robert,87.28507900000002,96.90193800000002,9.616858999999991
63,63,63,63,David Kim,93.735208,96.90193800000002,3.1667300000000163
64,64,64,64,Margot,94.068548,96.90193800000002,2.8333900000000085
