,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Carrie Bradshaw,0.6333460000000001,3.866744,3.233398
1,1,1,1,Twenty-Something Girl Dreaming,0.6333460000000001,3.866744,3.233398
2,2,2,2,Twenty-Something Girl #3,0.816683,3.866744,3.0500610000000004
3,3,3,3,Twenty-Something Girl #1,0.816683,3.866744,3.0500610000000004
4,4,4,4,Twenty-Something Girl #4,0.816683,3.866744,3.0500610000000004
5,5,5,5,Twenty-Something Girl #2,0.816683,3.866744,3.0500610000000004
6,6,6,6,Girl Slapping Guy,1.3000260000000001,3.866744,2.566718
7,7,7,7,Charlotte York,1.566698,3.866744,2.300046
8,8,8,8,Miranda Hobbes,1.616699,3.866744,2.250045
9,9,9,9,Samantha Jones,1.6667,3.866744,2.200044
10,10,10,10,Harry Goldenblatt,2.266712,3.866744,1.600032
11,11,11,11,Lily York Goldenblatt,2.4333820000000004,3.866744,1.4333619999999998
12,12,12,12,Lily York Goldenblatt,2.4333820000000004,3.866744,1.4333619999999998
13,13,13,13,Steve Brady,2.6333860000000002,3.866744,1.233358
14,14,14,14,Brady Hobbes,2.783389,3.866744,1.0833549999999998
15,15,15,15,Smith Jerrod,3.0667280000000003,3.866744,0.8000159999999998
16,16,16,16,Mr. Big,3.366734,3.866744,0.5000100000000001
17,17,17,17,Carrie Bradshaw,3.883411,6.900138000000001,3.0167270000000013
18,18,18,18,Mr. Big,3.933412000000001,6.900138000000001,2.966726
19,19,19,19,Real Estate Agent,4.633426,6.900138000000001,2.266712000000001
20,20,20,20,Building Agent,4.733428000000001,6.900138000000001,2.16671
21,21,21,21,Charlotte York,6.900138000000001,7.933492000000001,1.033354
22,22,22,22,Carrie Bradshaw,6.900138000000001,7.933492000000001,1.033354
23,23,23,23,Miranda Hobbes,6.916805000000001,7.933492000000001,1.0166870000000001
24,24,24,24,Samantha Jones,7.783489,7.933492000000001,0.15000300000000075
25,25,25,25,Carrie Bradshaw,7.950159000000001,9.600192000000002,1.6500330000000003
26,26,26,26,Samantha Jones,7.983493000000001,9.600192000000002,1.6166990000000006
27,27,27,27,Charlotte York,8.016827000000001,9.600192000000002,1.5833650000000006
28,28,28,28,Miranda Hobbes,8.033494000000001,9.600192000000002,1.5666980000000006
29,29,29,29,Auctioneer,8.750175,9.600192000000002,0.8500170000000011
30,30,30,30,Auction Bidder,8.883511,9.600192000000002,0.7166810000000012
31,31,31,31,Baby Voiced Woman,9.600192000000002,10.366874000000001,0.7666819999999994
32,32,32,32,Charlotte York,9.600192000000002,10.366874000000001,0.7666819999999994
33,33,33,33,Carrie Bradshaw,9.600192000000002,10.366874000000001,0.7666819999999994
34,34,34,34,Samantha Jones,9.600192000000002,10.366874000000001,0.7666819999999994
35,35,35,35,Miranda Hobbes,9.633526000000002,10.366874000000001,0.7333479999999994
36,36,36,36,Mr. Big,10.366874000000001,12.116909,1.7500349999999991
37,37,37,37,Carrie Bradshaw,10.366874000000001,12.116909,1.7500349999999991
38,38,38,38,Miranda Hobbes,12.116909,14.000280000000002,1.8833710000000021
39,39,39,39,Charlotte York,12.116909,14.000280000000002,1.8833710000000021
40,40,40,40,Carrie Bradshaw,12.116909,14.000280000000002,1.8833710000000021
