,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Dr. John Watson,0.816683,2.4667160000000004,1.6500330000000003
1,1,1,1,Inspector Lestrade,0.816683,2.4667160000000004,1.6500330000000003
2,2,2,2,Sherlock Holmes,0.9500190000000001,2.4667160000000004,1.5166970000000002
3,3,3,3,Young Woman Sacrifice,2.4667160000000004,6.600132,4.133416
4,4,4,4,Lord Blackwood,2.4667160000000004,6.600132,4.133416
5,5,5,5,Sherlock Holmes,2.9333920000000004,6.600132,3.66674
6,6,6,6,Dr. John Watson,3.1500630000000003,6.600132,3.450069
7,7,7,7,Lord Coward,4.0000800000000005,6.600132,2.6000520000000003
8,8,8,8,Inspector Lestrade,5.550111,6.600132,1.050021
9,9,9,9,Photographer,6.550131,6.600132,0.05000099999999996
10,10,10,10,Inspector Lestrade,6.600132,8.550171,1.9500390000000003
11,11,11,11,Sherlock Holmes,6.600132,8.550171,1.9500390000000003
12,12,12,12,Dr. John Watson,6.600132,8.550171,1.9500390000000003
13,13,13,13,Captain Philips,7.2668120000000025,8.550171,1.2833589999999981
14,14,14,14,Mrs. Hudson,7.933492000000001,8.550171,0.6166789999999995
15,15,15,15,Sherlock Holmes,8.550171,11.483563,2.933392
16,16,16,16,Dr. John Watson,8.566838,11.483563,2.916725
17,17,17,17,Lord Blackwood,9.550191000000002,11.483563,1.9333719999999983
18,18,18,18,Young Woman Sacrifice,9.550191000000002,11.483563,1.9333719999999983
19,19,19,19,Mrs. Hudson,10.16687,11.483563,1.3166930000000008
20,20,20,20,Sherlock Holmes,11.633566000000002,13.483603,1.8500369999999984
21,21,21,21,Dr. John Watson,12.066908000000002,13.483603,1.4166949999999991
22,22,22,22,Mary Morstan,12.100242,13.483603,1.3833610000000007
23,23,23,23,Mary Morstan,13.483603,15.683647,2.200044
24,24,24,24,Sherlock Holmes,13.483603,15.683647,2.200044
25,25,25,25,Dr. John Watson,13.483603,15.683647,2.200044
26,26,26,26,Sherlock Holmes,15.683647,19.133716000000003,3.4500690000000027
27,27,27,27,McMurdo,15.733648000000002,19.133716000000003,3.400068000000001
28,28,28,28,Prizefighter,15.816983000000002,19.133716000000003,3.316733000000001
