,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Bob Lee Swagger,1.8667040000000001,2.9833930000000004,1.1166890000000005
1,1,1,1,Donnie Fenn,1.8667040000000001,2.9833930000000004,1.1166890000000005
2,2,2,2,Sarah Fenn,2.5833850000000003,2.9833930000000004,0.40000800000000014
3,3,3,3,Spook,3.1667300000000003,6.016787000000001,2.8500570000000005
4,4,4,4,Agent #1,3.1833970000000003,6.016787000000001,2.8333900000000005
5,5,5,5,Bob Lee Swagger,3.4834030000000005,6.016787000000001,2.5333840000000003
6,6,6,6,Donnie Fenn,3.4834030000000005,6.016787000000001,2.5333840000000003
7,7,7,7,Donnie Fenn,6.1001220000000025,8.250164999999999,2.1500429999999966
8,8,8,8,Bob Lee Swagger,6.1167890000000025,8.250164999999999,2.1333759999999966
9,9,9,9,Bob Lee Swagger,8.316833,10.400208000000001,2.083375
10,10,10,10,Michael Sandor,9.566858000000002,10.400208000000001,0.8333499999999994
11,11,11,11,Colonel Isaac Johnson,9.700194000000002,10.400208000000001,0.7000139999999995
12,12,12,12,Louis Dobbler,9.866864,10.400208000000001,0.5333440000000014
13,13,13,13,Jack Payne,9.950199000000001,10.400208000000001,0.4500089999999997
14,14,14,14,Colonel Isaac Johnson,10.566878,12.616919000000001,2.050041
15,15,15,15,Louis Dobbler,10.583545,12.616919000000001,2.0333740000000002
16,16,16,16,Jack Payne,10.733548,12.616919000000001,1.8833710000000004
17,17,17,17,Bob Lee Swagger,10.866884,12.616919000000001,1.7500350000000005
18,18,18,18,Colonel Isaac Johnson,12.616919000000001,16.083655,3.4667359999999987
19,19,19,19,Bob Lee Swagger,12.616919000000001,16.083655,3.4667359999999987
20,20,20,20,Jack Payne,15.583645,16.083655,0.5000099999999996
21,21,21,21,Louis Dobbler,15.583645,16.083655,0.5000099999999996
22,22,22,22,Louis Dobbler,16.116989,18.900378000000003,2.7833890000000028
23,23,23,23,Colonel Isaac Johnson,16.133656000000002,18.900378000000003,2.766722000000001
24,24,24,24,Jack Payne,16.133656000000002,18.900378000000003,2.766722000000001
25,25,25,25,Bob Lee Swagger,16.366994000000002,18.900378000000003,2.5333840000000016
