,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Prince Charming,0.8833510000000001,1.7333680000000002,0.8500170000000001
1,1,1,1,Prince Charming,1.7500350000000002,2.5500510000000003,0.8000160000000001
2,2,2,2,Wolf,2.33338,2.5500510000000003,0.21667100000000028
3,3,3,3,Shrek,2.5500510000000003,4.816763000000001,2.2667120000000005
4,4,4,4,Princess Fiona,2.6333860000000002,4.816763000000001,2.183377000000001
5,5,5,5,Princess Fiona,4.883431000000002,6.933472000000001,2.050041
6,6,6,6,Shrek,4.883431000000002,6.933472000000001,2.050041
7,7,7,7,Donkey,4.983433000000002,6.933472000000001,1.950039
8,8,8,8,Herald,6.950139000000001,8.700174,1.7500349999999996
9,9,9,9,Princess Fiona,7.150143000000001,8.700174,1.5500309999999995
10,10,10,10,Shrek,7.150143000000001,8.700174,1.5500309999999995
11,11,11,11,Donkey,7.733488,8.700174,0.9666860000000002
12,12,12,12,Princess Fiona,8.733508,8.966846,0.23333799999999985
13,13,13,13,Donkey,8.733508,8.966846,0.23333799999999985
14,14,14,14,Shrek,8.783509,8.966846,0.18333699999999986
15,15,15,15,Mongo,8.816842999999997,8.966846,0.15000300000000344
16,16,16,16,Three Pigs,8.83351,8.966846,0.1333359999999999
17,17,17,17,Blind Mouse,8.83351,8.966846,0.1333359999999999
18,18,18,18,Wolf,8.983513,11.16689,2.183377
19,19,19,19,Mongo,8.983513,11.16689,2.183377
20,20,20,20,Three Pigs,9.016847,11.16689,2.150043
21,21,21,21,Shrek,9.033514,11.16689,2.133376
22,22,22,22,Donkey,9.083515,11.16689,2.083375
23,23,23,23,Shrek,11.16689,13.133596,1.9667060000000005
24,24,24,24,Princess Fiona,11.16689,13.133596,1.9667060000000005
25,25,25,25,Donkey,11.216891,13.133596,1.9167050000000003
26,26,26,26,King,12.716921000000001,13.133596,0.4166749999999997
27,27,27,27,Queen,12.716921000000001,13.133596,0.4166749999999997
28,28,28,28,Shrek,13.133596,15.0003,1.8667039999999984
29,29,29,29,Princess Fiona,13.133596,15.0003,1.8667039999999984
30,30,30,30,King,13.16693,15.0003,1.8333699999999984
31,31,31,31,Queen,13.16693,15.0003,1.8333699999999984
32,32,32,32,Man with Box,13.216931,15.0003,1.7833689999999986
33,33,33,33,Shrek,15.0003,18.350367000000002,3.350067000000003
34,34,34,34,Princess Fiona,15.100302,18.350367000000002,3.250065000000003
35,35,35,35,Queen,15.100302,18.350367000000002,3.250065000000003
36,36,36,36,King,15.133636,18.350367000000002,3.216731000000003
37,37,37,37,Donkey,15.766982000000002,18.350367000000002,2.583385
38,38,38,38,Humphries,17.300345999999998,18.350367000000002,1.0500210000000043
39,39,39,39,Donkey,18.350367000000002,21.400428,3.0500609999999995
40,40,40,40,Queen,18.350367000000002,21.400428,3.0500609999999995
41,41,41,41,King,18.383701000000002,21.400428,3.0167269999999995
42,42,42,42,Princess Fiona,18.383701000000002,21.400428,3.0167269999999995
43,43,43,43,Shrek,18.383701000000002,21.400428,3.0167269999999995
44,44,44,44,Fairy Godmother,19.400388000000003,21.400428,2.0000399999999985
45,45,45,45,Dresser,20.433742000000002,21.400428,0.9666859999999992
46,46,46,46,Mirror,21.400428,23.683807,2.283379
47,47,47,47,Princess Fiona,21.400428,23.683807,2.283379
48,48,48,48,Shrek,21.417095000000003,23.683807,2.2667119999999983
49,49,49,49,Donkey,21.483763000000003,23.683807,2.2000439999999983
50,50,50,50,Fairy Godmother,21.50043,23.683807,2.183377
51,51,51,51,Shrek,23.683807,24.883831,1.2000239999999989
52,52,52,52,King,23.783809,24.883831,1.1000219999999992
53,53,53,53,Queen,23.800476000000003,24.883831,1.0833549999999974
54,54,54,54,Fairy Godmother,24.717161,24.883831,0.16666999999999987
55,55,55,55,King,24.900498000000002,27.233878000000004,2.3333800000000022
56,56,56,56,Fairy Godmother,24.917165,27.233878000000004,2.316713000000004
57,57,57,57,Prince Charming,25.283839000000004,27.233878000000004,1.9500390000000003
58,58,58,58,Fast Food Clerk,26.100522,27.233878000000004,1.1333560000000027
59,59,59,59,King,27.583885,29.36725400000001,1.783369000000011
60,60,60,60,Bar Frog,28.100562000000004,29.36725400000001,1.2666920000000057
61,61,61,61,Ugly Stepsister,28.233898000000003,29.36725400000001,1.1333560000000062
62,62,62,62,Puss In Boots,28.833910000000003,29.36725400000001,0.5333440000000067
63,63,63,63,Shrek,29.50059000000001,32.633986,3.1333959999999905
64,64,64,64,Princess Fiona,29.517257000000004,32.633986,3.116728999999996
65,65,65,65,Doll,30.483943000000004,32.633986,2.1500429999999966
66,66,66,66,King,31.71730100000001,32.633986,0.9166849999999904
67,67,67,67,Shrek,32.717321000000005,38.184097,5.466775999999998
68,68,68,68,Donkey,32.750655,38.184097,5.433441999999999
69,69,69,69,Puss In Boots,33.800676,38.184097,4.3834209999999985
70,70,70,70,Fairy Godmother,36.900738,38.184097,1.2833590000000044
71,71,71,71,Princess Fiona,38.184097,40.084135,1.9000380000000021
72,72,72,72,King,38.55077100000001,40.084135,1.5333639999999915
73,73,73,73,Queen,38.55077100000001,40.084135,1.5333639999999915
74,74,74,74,Humphries,39.100782,40.084135,0.983353000000001
75,75,75,75,Shrek,40.084135,43.750875,3.6667399999999972
76,76,76,76,Puss In Boots,40.084135,43.750875,3.6667399999999972
77,77,77,77,Donkey,40.100802,43.750875,3.650072999999999
78,78,78,78,Fairy Godmother,40.850817000000006,43.750875,2.9000579999999943
79,79,79,79,Receptionist,40.93415200000001,43.750875,2.8167229999999885
80,80,80,80,Shrek,43.83421000000001,46.15092300000001,2.316713
