,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Amanda Shelton,0.983353,4.850097000000001,3.8667440000000006
1,1,1,1,Molly,1.2666920000000002,4.850097000000001,3.5834050000000013
2,2,2,2,TJ Russo,1.3000260000000001,4.850097000000001,3.5500710000000013
3,3,3,3,Tom Bartlett,1.6833669999999998,4.850097000000001,3.166730000000001
4,4,4,4,Charlie,1.6833669999999998,4.850097000000001,3.166730000000001
5,5,5,5,Abe,1.6833669999999998,4.850097000000001,3.166730000000001
6,6,6,6,Valderon,1.700034,4.850097000000001,3.1500630000000007
7,7,7,7,Gene O'Reilly,2.116709,4.850097000000001,2.7333880000000006
8,8,8,8,Amanda Shelton,4.850097000000001,6.533464,1.6833669999999996
9,9,9,9,Aunt Stella,4.950099000000002,6.533464,1.5833649999999988
10,10,10,10,Tom Bartlett,6.6668,9.366854,2.700054
11,11,11,11,Reporter,6.883471000000001,9.366854,2.483382999999999
12,12,12,12,Lois McNally,6.900138000000001,9.366854,2.466715999999999
13,13,13,13,Chris,7.4334820000000015,9.366854,1.9333719999999983
14,14,14,14,Nolan Traynor,9.366854,11.750235000000002,2.3833810000000017
15,15,15,15,Amanda Shelton,9.366854,11.750235000000002,2.3833810000000017
16,16,16,16,Howard,10.183537,11.750235000000002,1.5666980000000024
17,17,17,17,Ruth,10.183537,11.750235000000002,1.5666980000000024
18,18,18,18,Bill,10.283539,11.750235000000002,1.4666960000000024
19,19,19,19,Aunt Stella,10.433542,11.750235000000002,1.3166930000000026
20,20,20,20,Tom Bartlett,10.650213,11.750235000000002,1.100022000000001
21,21,21,21,Chris,10.650213,11.750235000000002,1.100022000000001
22,22,22,22,Amanda Shelton,11.783569000000002,13.750275000000002,1.9667060000000005
23,23,23,23,Tom Bartlett,11.866904000000002,13.750275000000002,1.8833710000000004
24,24,24,24,Chris,11.866904000000002,13.750275000000002,1.8833710000000004
25,25,25,25,Gene O'Reilly,11.866904000000002,13.750275000000002,1.8833710000000004
26,26,26,26,Aunt Stella,13.433602,13.750275000000002,0.31667300000000154
27,27,27,27,Bill,13.433602,13.750275000000002,0.31667300000000154
28,28,28,28,Howard,13.433602,13.750275000000002,0.31667300000000154
29,29,29,29,Ruth,13.433602,13.750275000000002,0.31667300000000154
30,30,30,30,Amanda Shelton,13.750275000000002,18.183697,4.433421999999997
31,31,31,31,Nolan Traynor,13.766942000000002,18.183697,4.416754999999997
32,32,32,32,Aunt Stella,14.766962,18.183697,3.4167349999999987
33,33,33,33,Tom Bartlett,14.766962,18.183697,3.4167349999999987
34,34,34,34,Chris,14.766962,18.183697,3.4167349999999987
35,35,35,35,Bill,14.766962,18.183697,3.4167349999999987
36,36,36,36,Howard,14.766962,18.183697,3.4167349999999987
37,37,37,37,Ruth,14.766962,18.183697,3.4167349999999987
38,38,38,38,Ruth,18.183697,21.783769000000003,3.6000720000000044
39,39,39,39,Howard,18.183697,21.783769000000003,3.6000720000000044
40,40,40,40,Bill,18.183697,21.783769000000003,3.6000720000000044
41,41,41,41,Chris,18.183697,21.783769000000003,3.6000720000000044
42,42,42,42,Tom Bartlett,18.183697,21.783769000000003,3.6000720000000044
43,43,43,43,Aunt Stella,18.383701000000002,21.783769000000003,3.400068000000001
44,44,44,44,Amanda Shelton,18.567038,21.783769000000003,3.216731000000003
45,45,45,45,Nolan Traynor,18.567038,21.783769000000003,3.216731000000003
46,46,46,46,Lois McNally,21.783769000000003,24.36715400000001,2.583385000000007
47,47,47,47,Tom Bartlett,21.783769000000003,24.36715400000001,2.583385000000007
48,48,48,48,Jonathan Bendel,23.083795000000002,24.36715400000001,1.283359000000008
49,49,49,49,Nolan Traynor,24.36715400000001,27.700554000000004,3.333399999999993
50,50,50,50,Amanda Shelton,24.36715400000001,27.700554000000004,3.333399999999993
