,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Naomi Singer,2.0000400000000003,3.4167350000000005,1.4166950000000005
1,1,1,1,Carly Norris,3.5334040000000004,8.166830000000001,4.633426
2,2,2,2,Gus Hale,3.6667400000000003,8.166830000000001,4.50009
3,3,3,3,Doorman #1,4.2667519999999985,8.166830000000001,3.9000780000000015
4,4,4,4,Evelyn McEvoy,4.366754,8.166830000000001,3.8000760000000007
5,5,5,5,Judy Marks,5.66678,8.166830000000001,2.5000500000000008
6,6,6,6,Peter Farrell,7.133476000000001,8.166830000000001,1.033354
7,7,7,7,Samantha Moore,7.2334780000000025,8.166830000000001,0.9333519999999984
8,8,8,8,Carly Norris,8.166830000000001,12.466916000000001,4.300086
9,9,9,9,Zeke Hawkins,8.400167999999999,12.466916000000001,4.066748000000001
10,10,10,10,Doorman #1,8.566838,12.466916000000001,3.9000780000000006
11,11,11,11,Gus Hale,10.0002,12.466916000000001,2.4667160000000017
12,12,12,12,Carly Norris,12.566918,16.83367,4.266752000000002
13,13,13,13,Zeke Hawkins,14.633626000000001,16.83367,2.200044
14,14,14,14,Evelyn McEvoy,16.216991,16.83367,0.6166790000000013
15,15,15,15,Gus Hale,16.400328000000002,16.83367,0.4333419999999997
16,16,16,16,Alex Parsons,16.900338,19.067048000000003,2.166710000000002
17,17,17,17,Jackie Kinsella,16.967006,19.067048000000003,2.100042000000002
18,18,18,18,Carly Norris,16.983673000000003,19.067048000000003,2.083375
19,19,19,19,Jack Landsford,17.033673999999998,19.067048000000003,2.0333740000000056
20,20,20,20,Carly Norris,19.117049,24.73382800000001,5.616779000000008
21,21,21,21,Vida Warren,19.150383,24.73382800000001,5.583445000000008
22,22,22,22,Judy Marks,21.567098,24.73382800000001,3.1667300000000083
23,23,23,23,Zeke Hawkins,21.800436,24.73382800000001,2.9333920000000084
24,24,24,24,Jack Landsford,21.83377,24.73382800000001,2.9000580000000085
25,25,25,25,Peter Farrell,22.21711100000001,24.73382800000001,2.516717
26,26,26,26,Gus Hale,23.050461,24.73382800000001,1.6833670000000112
27,27,27,27,Joanie Ballinger,23.283799,24.73382800000001,1.4500290000000111
28,28,28,28,Carly Norris,24.750495,27.500550000000004,2.7500550000000032
29,29,29,29,Jack Landsford,25.117169000000004,27.500550000000004,2.383381
30,30,30,30,Carly Norris,27.567218000000004,30.567278,3.0000599999999977
31,31,31,31,Alex Parsons,27.750555,30.567278,2.816723000000003
32,32,32,32,Reporter #1,27.800556000000004,30.567278,2.7667219999999983
33,33,33,33,Reporter #2,27.833890000000004,30.567278,2.7333879999999984
34,34,34,34,Reporter #3,27.833890000000004,30.567278,2.7333879999999984
35,35,35,35,Lt. Victoria Hendrix,27.983893,30.567278,2.583385000000004
36,36,36,36,Zeke Hawkins,28.283899,30.567278,2.283379
37,37,37,37,Vida Warren,29.20058400000001,30.567278,1.3666939999999919
38,38,38,38,Jack Landsford,29.217251,30.567278,1.3500270000000008
39,39,39,39,Carly Norris,30.567278,36.200724,5.6334459999999975
40,40,40,40,Judy Marks,30.583945000000003,36.200724,5.6167789999999975
41,41,41,41,Jack Landsford,30.633946,36.200724,5.5667779999999984
42,42,42,42,Peter Farrell,30.967286,36.200724,5.233438
43,43,43,43,Alex Parsons,31.00062,36.200724,5.2001040000000005
44,44,44,44,Vida Warren,31.050621000000003,36.200724,5.150102999999998
45,45,45,45,Zeke Hawkins,31.267292,36.200724,4.933432
46,46,46,46,Carly Norris,36.350727000000006,40.11746900000001,3.7667420000000007
47,47,47,47,Zeke Hawkins,37.717421,40.11746900000001,2.4000480000000053
48,48,48,48,Carly Norris,40.20080400000001,50.23433800000001,10.033533999999996
49,49,49,49,Zeke Hawkins,40.20080400000001,50.23433800000001,10.033533999999996
50,50,50,50,Judy Marks,49.06764800000001,50.23433800000001,1.1666899999999956
51,51,51,51,Peter Farrell,49.50099,50.23433800000001,0.7333480000000066
52,52,52,52,Judy Marks,50.23433800000001,57.567818,7.3334799999999944
53,53,53,53,Carly Norris,50.284339,57.567818,7.283478999999999
54,54,54,54,Jack Landsford,52.967726000000006,57.567818,4.6000919999999965
55,55,55,55,Zeke Hawkins,56.26779200000001,57.567818,1.3000259999999957
56,56,56,56,Zeke Hawkins,57.567818,63.23459800000001,5.66678000000001
57,57,57,57,Carly Norris,57.684487,63.23459800000001,5.5501110000000144
58,58,58,58,Waiter,58.20116400000001,63.23459800000001,5.033434
59,59,59,59,Waspy Man,58.234498,63.23459800000001,5.0001000000000095
60,60,60,60,Waspy Woman,58.25116500000001,63.23459800000001,4.983433000000005
61,61,61,61,Carly Norris,63.28459900000001,68.401368,5.116768999999998
62,62,62,62,Zeke Hawkins,64.067948,68.401368,4.333420000000004
63,63,63,63,Vida Warren,66.984673,68.401368,1.4166950000000045
64,64,64,64,Jack Landsford,67.28467900000001,68.401368,1.1166889999999938
65,65,65,65,Carly Norris,68.51803699999999,74.218151,5.7001140000000134
66,66,66,66,Vida Warren,68.76804200000001,74.218151,5.450108999999998
67,67,67,67,Jack Landsford,70.784749,74.218151,3.4334020000000014
68,68,68,68,Lt. Victoria Hendrix,71.76810200000001,74.218151,2.4500489999999933
69,69,69,69,Det. McCracken,72.08477500000002,74.218151,2.133375999999984
70,70,70,70,Zeke Hawkins,74.234818,83.98501300000002,9.75019500000002
71,71,71,71,Carly Norris,74.351487,83.98501300000002,9.633526000000018
72,72,72,72,Ted Weisberger,78.484903,83.98501300000002,5.500110000000022
73,73,73,73,Mrs. Ballinger,78.634906,83.98501300000002,5.350107000000024
74,74,74,74,Jack Landsford,82.93499200000002,83.98501300000002,1.050021000000001
75,75,75,75,Judy Marks,82.93499200000002,83.98501300000002,1.050021000000001
76,76,76,76,Vida Warren,82.93499200000002,83.98501300000002,1.050021000000001
77,77,77,77,Carly Norris,83.98501300000002,86.551731,2.5667179999999803
78,78,78,78,Joanie Ballinger,84.06834800000001,86.551731,2.4833829999999892
79,79,79,79,Mr. Ballinger,84.06834800000001,86.551731,2.4833829999999892
80,80,80,80,Samantha Moore,84.968366,86.551731,1.5833650000000006
81,81,81,81,Judy Marks,84.985033,86.551731,1.5666980000000024
82,82,82,82,Zeke Hawkins,85.33504,86.551731,1.2166909999999973
83,83,83,83,Carly Norris,86.65173300000002,92.785189,6.133455999999981
84,84,84,84,Jack Landsford,86.685067,92.785189,6.100121999999999
85,85,85,85,Zeke Hawkins,87.468416,92.785189,5.316772999999999
86,86,86,86,Lt. Victoria Hendrix,90.15180300000002,92.785189,2.6333859999999882
87,87,87,87,Det. McCracken,91.33516,92.785189,1.450029000000001
88,88,88,88,Mr. Ballinger,92.785189,101.185357,8.400167999999994
89,89,89,89,Joanie Ballinger,92.785189,101.185357,8.400167999999994
90,90,90,90,Carly Norris,92.83519,101.185357,8.350166999999999
91,91,91,91,Zeke Hawkins,93.11852900000001,101.185357,8.066827999999987
92,92,92,92,Vida Warren,96.118589,101.185357,5.066767999999996
93,93,93,93,Naomi Singer,96.601932,101.185357,4.583424999999991
94,94,94,94,Jack Landsford,100.352007,101.185357,0.8333499999999958
