,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,character,start (min),end (min),duration
0,0,0,0,Mrs. Little,1.400028,4.950099000000002,3.5500710000000018
1,1,1,1,Mr. Little,1.400028,4.950099000000002,3.5500710000000018
2,2,2,2,Martha Little,1.566698,4.950099000000002,3.383401000000002
3,3,3,3,Martha Little,1.566698,4.950099000000002,3.383401000000002
4,4,4,4,George Little,2.16671,4.950099000000002,2.783389000000001
5,5,5,5,Stuart Little,2.4333820000000004,4.950099000000002,2.5167170000000008
6,6,6,6,nt0112330,2.850057,4.950099000000002,2.100042000000001
7,7,7,7,Snowbell,4.566758,4.950099000000002,0.3833410000000015
8,8,8,8,nt0187057,4.650093,4.950099000000002,0.30000600000000155
9,9,9,9,nt0676901,4.733428000000001,4.950099000000002,0.21667100000000072
10,10,10,10,nt0187067,4.866764000000001,4.950099000000002,0.08333500000000083
11,11,11,11,"Will, George's Friend",5.0167670000000015,7.8334899999999985,2.816722999999997
12,12,12,12,Referee,5.0167670000000015,7.8334899999999985,2.816722999999997
13,13,13,13,Irwin,5.0167670000000015,7.8334899999999985,2.816722999999997
14,14,14,14,Wallace,5.0167670000000015,7.8334899999999985,2.816722999999997
15,15,15,15,George Little,5.0501010000000015,7.8334899999999985,2.783388999999997
16,16,16,16,Soccerball Coach,5.0667680000000015,7.8334899999999985,2.766721999999997
17,17,17,17,Mrs. Little,5.0834350000000015,7.8334899999999985,2.750054999999997
18,18,18,18,Mr. Little,5.0834350000000015,7.8334899999999985,2.750054999999997
19,19,19,19,nt0198035,5.316773,7.8334899999999985,2.516716999999998
20,20,20,20,Stuart Little,5.550111,7.8334899999999985,2.2833789999999983
21,21,21,21,Mrs. Little,7.866824000000001,9.100182,1.233357999999999
22,22,22,22,Mr. Little,7.950159000000001,9.100182,1.1500229999999991
23,23,23,23,George Little,8.400167999999999,9.100182,0.7000140000000012
24,24,24,24,Stuart Little,8.466836,9.100182,0.6333459999999995
25,25,25,25,Mrs. Little,9.16685,13.933612000000002,4.766762000000002
26,26,26,26,nt0443771,9.300186,13.933612000000002,4.633426000000002
27,27,27,27,George Little,9.316853,13.933612000000002,4.616759000000002
28,28,28,28,Stuart Little,9.433522000000002,13.933612000000002,4.50009
29,29,29,29,"Will, George's Friend",9.683527000000002,13.933612000000002,4.250085
30,30,30,30,Snowbell,10.033534,13.933612000000002,3.9000780000000015
31,31,31,31,Mr. Little,11.533564000000002,13.933612000000002,2.400048
32,32,32,32,Catholic Nun in Park,11.900238000000002,13.933612000000002,2.0333740000000002
33,33,33,33,nt0557527,13.483603,13.933612000000002,0.45000900000000144
34,34,34,34,Teacher,13.933612000000002,15.116969000000001,1.1833569999999989
35,35,35,35,Kid,14.000280000000002,15.116969000000001,1.1166889999999992
36,36,36,36,Student,14.000280000000002,15.116969000000001,1.1166889999999992
37,37,37,37,Tony,14.000280000000002,15.116969000000001,1.1166889999999992
38,38,38,38,Mark,14.000280000000002,15.116969000000001,1.1166889999999992
39,39,39,39,Wallace,14.000280000000002,15.116969000000001,1.1166889999999992
40,40,40,40,nt0017550,14.083615000000002,15.116969000000001,1.0333539999999992
41,41,41,41,Stuart Little,14.216951000000002,15.116969000000001,0.9000179999999993
42,42,42,42,George Little,14.750295000000001,15.116969000000001,0.3666739999999997
43,43,43,43,Stuart Little,15.133636,18.933712000000003,3.8000760000000042
44,44,44,44,Margalo the Bird,15.350307,18.933712000000003,3.5834050000000026
45,45,45,45,The Evil Falcon,16.000320000000002,18.933712000000003,2.9333920000000013
46,46,46,46,nt0112323,17.050341000000003,18.933712000000003,1.8833710000000004
47,47,47,47,nt0362481,18.16703,18.933712000000003,0.766682000000003
48,48,48,48,nt0515758,18.250365,18.933712000000003,0.6833470000000048
49,49,49,49,Snowbell,18.967046000000003,21.6671,2.7000539999999984
50,50,50,50,Margalo the Bird,19.300386000000003,21.6671,2.3667139999999978
51,51,51,51,nt0187063,19.583725,21.6671,2.083375
52,52,52,52,Stuart Little,19.733728000000006,21.6671,1.9333719999999952
53,53,53,53,nt0112336,19.983733,21.6671,1.6833670000000005
54,54,54,54,Mrs. Little,20.033734000000006,21.6671,1.6333659999999952
55,55,55,55,Mr. Little,20.750415,21.6671,0.9166850000000012
56,56,56,56,Stuart Little,21.683767000000003,23.067128000000004,1.3833610000000007
57,57,57,57,Margalo the Bird,21.800436,23.067128000000004,1.2666920000000026
58,58,58,58,Martha Little,21.88377100000001,23.067128000000004,1.1833569999999938
59,59,59,59,Martha Little,21.88377100000001,23.067128000000004,1.1833569999999938
60,60,60,60,Mrs. Little,21.900438,23.067128000000004,1.166690000000003
61,61,61,61,George Little,22.717121,23.067128000000004,0.35000700000000506
62,62,62,62,Mrs. Little,23.067128000000004,25.317173000000004,2.250045
63,63,63,63,Martha Little,23.100462000000004,25.317173000000004,2.216711
64,64,64,64,Martha Little,23.100462000000004,25.317173000000004,2.216711
65,65,65,65,nt0078848,23.383801000000002,25.317173000000004,1.933372000000002
66,66,66,66,Margalo the Bird,23.400468000000004,25.317173000000004,1.9167050000000003
67,67,67,67,The Evil Falcon,23.983813,25.317173000000004,1.3333600000000023
68,68,68,68,nt0669838,24.63382600000001,25.317173000000004,0.6833469999999942
69,69,69,69,George Little,25.317173000000004,26.91720500000001,1.600032000000006
70,70,70,70,Mrs. Little,25.350507000000004,26.91720500000001,1.566698000000006
71,71,71,71,Mr. Little,25.350507000000004,26.91720500000001,1.566698000000006
72,72,72,72,Martha Little,25.350507000000004,26.91720500000001,1.566698000000006
73,73,73,73,Martha Little,25.350507000000004,26.91720500000001,1.566698000000006
74,74,74,74,Margalo the Bird,25.450509000000004,26.91720500000001,1.466696000000006
75,75,75,75,Stuart Little,25.483843000000004,26.91720500000001,1.433362000000006
76,76,76,76,nt0828622,26.033854,26.91720500000001,0.8833510000000082
77,77,77,77,Stuart Little,26.91720500000001,28.883911,1.966705999999992
78,78,78,78,Margalo the Bird,26.95053900000001,28.883911,1.933371999999992
79,79,79,79,nt0112321,28.550571,28.883911,0.3333399999999997
80,80,80,80,The Evil Falcon,28.667240000000003,28.883911,0.2166709999999981
81,81,81,81,Margalo the Bird,28.90057800000001,30.783949000000003,1.8833709999999928
82,82,82,82,The Evil Falcon,29.017247,30.783949000000003,1.7667020000000022
83,83,83,83,nt0362493,29.06724800000001,30.783949000000003,1.7167009999999934
84,84,84,84,Mrs. Little,29.40058800000001,30.783949000000003,1.3833609999999936
85,85,85,85,Martha Little,29.53392400000001,30.783949000000003,1.2500249999999935
86,86,86,86,Martha Little,29.53392400000001,30.783949000000003,1.2500249999999935
87,87,87,87,Mr. Little,29.600592,30.783949000000003,1.1833570000000044
88,88,88,88,Stuart Little,30.250605000000004,30.783949000000003,0.5333439999999996
89,89,89,89,nt0112327,30.250605000000004,30.783949000000003,0.5333439999999996
90,90,90,90,George Little,30.250605000000004,30.783949000000003,0.5333439999999996
91,91,91,91,Stuart Little,30.850617000000003,33.200664,2.350047
92,92,92,92,George Little,30.967286,33.200664,2.2333780000000023
93,93,93,93,Mr. Little,30.967286,33.200664,2.2333780000000023
94,94,94,94,Mrs. Little,31.71730100000001,33.200664,1.4833629999999935
95,95,95,95,nt0556995,31.917305,33.200664,1.2833590000000044
96,96,96,96,Margalo the Bird,32.567318,33.200664,0.6333460000000031
97,97,97,97,nt0132142,33.050661000000005,33.200664,0.1500029999999981
98,98,98,98,Mrs. Little,33.217331,34.734028,1.5166970000000006
99,99,99,99,Mr. Little,33.267332,34.734028,1.4666959999999991
